# Sensor Hörnettvägen, Örnsköldsvik, Sweden (Citizen Science project sensor.community/43280)
# https://aqicn.org/station/@105325/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-08T00:00:00.000Z,3,9,5,4,6.59,1.58,52
2020-03-09T00:00:00.000Z,0.5,342.5,3,2,5,37.344,580
2020-03-10T00:00:00.000Z,0,4,1.5,1,2,0.854,352
2020-03-11T00:00:00.000Z,0.33,2,1,0.84,1,0.35,41
2020-03-12T00:00:00.000Z,0,58.5,1,0.33,3,5.382,543
2020-03-13T00:00:00.000Z,0,509,1,0.67,1.67,37.395,510
2020-03-14T00:00:00.000Z,0,11,1.5,0.67,3.5,1.556,556
2020-03-15T00:00:00.000Z,0,8.67,2,1,5,2.254,289
2020-03-16T00:00:00.000Z,4.5,143,7.33,6.5,11,19.23,578
2020-03-17T00:00:00.000Z,0.5,139,24.5,11.67,46,26.785,585
2020-03-18T00:00:00.000Z,8,144,16.5,12,24.25,27.11,373
2020-03-19T00:00:00.000Z,0.33,164.67,7.84,2.59,17.32,26.281,348
2020-03-20T00:00:00.000Z,6,192,16,12,22,34.876,507
2020-03-21T00:00:00.000Z,1,212.5,6.5,4.5,20.5,41.117,509
2020-03-22T00:00:00.000Z,0,212.5,4,2,14,44.289,508
2020-03-23T00:00:00.000Z,2.5,149,6.5,4.5,16,37.202,295
2020-03-24T00:00:00.000Z,2.5,132.5,6,5,7.5,21.976,501
2020-03-25T00:00:00.000Z,5,178,11.33,9.5,13,28.519,498
2020-03-26T00:00:00.000Z,6.5,180,11.5,9.5,13.5,37.941,467
2020-03-27T00:00:00.000Z,0.5,166,10.5,4.5,13.75,27.851,421
2020-03-28T00:00:00.000Z,8,173,16.5,14,20,40.006,201
2020-03-29T00:00:00.000Z,0,182,4,1.5,7,45.44,409
2020-03-30T00:00:00.000Z,0,80.5,3.5,0,13.5,15.307,158
2020-03-31T00:00:00.000Z,0,60,0.5,0,3.5,12.663,398
2020-04-01T00:00:00.000Z,0,156,1,0,5.5,20.542,313
2020-04-02T00:00:00.000Z,0,116.5,2,1,11.5,21.361,531
2020-04-03T00:00:00.000Z,52,78,62.5,57.67,76,8.695,18
2020-04-04T00:00:00.000Z,0,69.5,2.5,0.67,7.33,12.311,306
2020-04-05T00:00:00.000Z,0,98,2.5,1,8,23.513,563
2020-04-06T00:00:00.000Z,6,93.5,50.5,23.5,69.59,26.504,68
2020-04-09T00:00:00.000Z,0,47,1,0,9,8.969,60
2020-04-10T00:00:00.000Z,0,308,3,0.5,6.5,29.901,563
2020-04-11T00:00:00.000Z,7,65.5,28.75,24.5,38.75,13.165,48
2020-06-04T00:00:00.000Z,0,67,0,0,8.5,15.772,140
2020-06-05T00:00:00.000Z,0,102,1,0,9,31.714,514
2020-06-06T00:00:00.000Z,0,106,1,0,5,31.206,213
2020-06-17T00:00:00.000Z,0,115,16,0,59,34.184,171
