# Sensor Kuggebro, Uppsala, Sweden (Citizen Science project sensor.community/43863)
# https://aqicn.org/station/@107110/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-21T00:00:00.000Z,0.15,2.78,1,0.44,1.33,0.59,125
2020-03-22T00:00:00.000Z,0.05,1.23,0.34,0.25,0.56,0.259,474
2020-03-23T00:00:00.000Z,0.1,0.6,0.26,0.2,0.32,0.087,469
2020-03-24T00:00:00.000Z,0.2,0.96,0.5,0.42,0.57,0.122,496
2020-03-25T00:00:00.000Z,0.9,41.45,2.38,2.12,21.28,12.777,154
2020-03-29T00:00:00.000Z,1.49,113.6,13.7,6.3,45.82,31.278,235
2020-03-30T00:00:00.000Z,0.74,22.35,3.09,1.14,5.8,6.009,146
2020-03-31T00:00:00.000Z,0.1,54.62,9.77,0.7,27.34,14.557,339
2020-04-01T00:00:00.000Z,0.1,79.31,0.5,0.25,6.84,13.092,236
2020-04-02T00:00:00.000Z,0,0.96,0.36,0.26,0.48,0.186,473
2020-04-03T00:00:00.000Z,0.02,0.55,0.2,0.15,0.28,0.096,489
2020-04-04T00:00:00.000Z,0.03,12.14,0.25,0.18,0.44,2.537,534
2020-04-05T00:00:00.000Z,0.2,90.98,2.18,0.57,19.98,18.573,546
2020-04-06T00:00:00.000Z,0.82,63.43,2.25,1.86,18.89,12.857,493
2020-04-07T00:00:00.000Z,0.4,4.28,2.22,0.94,2.66,0.993,438
2020-04-08T00:00:00.000Z,0.4,1.33,0.75,0.65,0.85,0.14,497
2020-04-09T00:00:00.000Z,0.06,0.82,0.25,0.2,0.32,0.134,486
2020-04-10T00:00:00.000Z,0,0.91,0.1,0.05,0.23,0.18,539
2020-04-11T00:00:00.000Z,0.25,0.6,0.44,0.36,0.5,0.089,72
2020-04-12T00:00:00.000Z,0,1.04,0.33,0.22,0.42,0.182,307
2020-04-13T00:00:00.000Z,0,0.8,0.27,0.15,0.38,0.151,578
2020-04-14T00:00:00.000Z,0,0.75,0.28,0.1,0.38,0.162,536
2020-04-15T00:00:00.000Z,0,0.94,0.14,0.05,0.35,0.242,443
2020-04-16T00:00:00.000Z,0,0.75,0.19,0.1,0.3,0.138,517
2020-04-17T00:00:00.000Z,0.02,0.7,0.21,0.15,0.28,0.105,567
2020-04-18T00:00:00.000Z,0.05,0.52,0.22,0.18,0.28,0.08,573
2020-04-19T00:00:00.000Z,0.05,0.99,0.2,0.15,0.4,0.158,560
2020-04-20T00:00:00.000Z,0,0.45,0.2,0.15,0.27,0.079,515
2020-04-21T00:00:00.000Z,0,0.84,0.25,0.19,0.32,0.108,373
2020-04-22T00:00:00.000Z,0.05,1.74,0.3,0.2,0.48,0.392,419
2020-04-23T00:00:00.000Z,0,0.5,0.17,0.1,0.24,0.102,475
2020-04-24T00:00:00.000Z,0,0.52,0.05,0.02,0.1,0.067,537
2020-04-25T00:00:00.000Z,0,0.34,0.05,0.03,0.1,0.052,507
2020-04-26T00:00:00.000Z,0,0.7,0.35,0.2,0.43,0.165,555
2020-04-27T00:00:00.000Z,0.1,1.84,0.45,0.32,0.55,0.327,524
2020-04-28T00:00:00.000Z,0.14,1.51,0.4,0.3,0.54,0.251,403
2020-04-29T00:00:00.000Z,0.1,0.96,0.35,0.28,0.48,0.147,503
2020-04-30T00:00:00.000Z,0.3,0.92,0.56,0.5,0.65,0.111,531
2020-05-01T00:00:00.000Z,0.31,2.25,0.72,0.57,0.95,0.376,430
2020-05-02T00:00:00.000Z,0,1.15,0.28,0.15,0.53,0.275,538
2020-05-03T00:00:00.000Z,0,1.21,0.3,0.2,0.4,0.132,572
2020-05-04T00:00:00.000Z,0,0.53,0.15,0.1,0.25,0.108,532
2020-05-05T00:00:00.000Z,0,0.44,0.05,0.02,0.1,0.063,490
2020-05-06T00:00:00.000Z,0,0.52,0.15,0.1,0.2,0.088,586
2020-05-07T00:00:00.000Z,0,0.56,0.15,0.1,0.19,0.072,387
2020-05-08T00:00:00.000Z,0.05,1.35,0.25,0.15,0.43,0.225,354
2020-05-09T00:00:00.000Z,0,2.46,0.1,0.05,0.2,0.468,334
2020-05-10T00:00:00.000Z,0,0.74,0.24,0.15,0.38,0.143,244
2020-05-11T00:00:00.000Z,0,0.34,0.12,0.08,0.15,0.06,350
2020-05-12T00:00:00.000Z,0,0.57,0.1,0.05,0.15,0.11,470
2020-05-13T00:00:00.000Z,0,3.38,0.14,0.05,0.25,0.531,474
2020-05-14T00:00:00.000Z,0,0.42,0.15,0.1,0.2,0.077,463
2020-05-15T00:00:00.000Z,0,0.47,0.12,0.07,0.18,0.075,511
2020-05-16T00:00:00.000Z,0,0.35,0.08,0.02,0.12,0.075,328
2020-05-17T00:00:00.000Z,0,0.4,0.06,0.03,0.1,0.061,532
2020-05-18T00:00:00.000Z,0,20.5,0.14,0.08,0.3,2.569,463
2020-05-19T00:00:00.000Z,0,0.53,0.14,0.06,0.2,0.099,503
2020-05-20T00:00:00.000Z,0,0.59,0.15,0.1,0.2,0.082,550
2020-05-21T00:00:00.000Z,0,0.68,0.15,0.1,0.22,0.087,518
2020-05-22T00:00:00.000Z,0.09,0.7,0.25,0.18,0.3,0.098,472
2020-05-23T00:00:00.000Z,0,0.56,0.2,0.1,0.28,0.1,492
2020-05-24T00:00:00.000Z,0.03,1.98,0.3,0.22,0.5,0.216,474
2020-05-25T00:00:00.000Z,0.1,1.3,0.32,0.25,0.47,0.16,543
2020-05-26T00:00:00.000Z,0.1,0.8,0.23,0.2,0.3,0.116,496
2020-05-27T00:00:00.000Z,0,0.88,0.2,0.2,0.3,0.139,519
2020-05-28T00:00:00.000Z,0,0.7,0.13,0.1,0.2,0.107,536
2020-05-29T00:00:00.000Z,0,0.65,0.2,0.1,0.28,0.123,536
2020-05-30T00:00:00.000Z,0,7.12,0.2,0.1,0.39,1.041,557
2020-05-31T00:00:00.000Z,0,0.93,0.2,0.1,0.28,0.137,493
