# Sensor Bågskyttegatan, Gothenburg, Sweden (Citizen Science project sensor.community/44366)
# https://aqicn.org/station/@112672/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-04-02T00:00:00.000Z,2.59,10.24,4.9,3.98,6.38,1.816,78
2020-04-03T00:00:00.000Z,0.35,4.8,1.42,0.96,2,0.808,440
2020-04-04T00:00:00.000Z,0.1,12.78,1.92,1.3,2.93,2.998,509
2020-04-05T00:00:00.000Z,1.46,25.4,5.6,2.62,16.27,7.673,535
2020-04-06T00:00:00.000Z,1.69,18.75,8.69,4.37,13.16,4.719,507
2020-04-07T00:00:00.000Z,1.35,48.88,3.72,2.95,12.71,10.543,435
2020-04-08T00:00:00.000Z,2.17,9.44,4.8,3.97,5.68,1.34,443
2020-04-09T00:00:00.000Z,0,9.69,1.17,0.55,1.84,1.351,452
2020-04-10T00:00:00.000Z,0.2,5.26,1.59,1.04,2.72,1.018,504
2020-04-11T00:00:00.000Z,1.75,20.61,14.38,2.66,17.73,6.5,155
2020-04-12T00:00:00.000Z,0.64,57.3,8.69,4.88,25.1,13.047,591
2020-04-13T00:00:00.000Z,0,1.34,0.47,0.31,0.68,0.249,581
2020-04-14T00:00:00.000Z,0.13,8.53,0.92,0.48,1.82,2.056,567
2020-04-15T00:00:00.000Z,2.31,9.93,5.04,3.96,6.02,1.42,522
2020-04-16T00:00:00.000Z,0.3,11.22,1.95,1.05,3.65,2.12,523
2020-04-17T00:00:00.000Z,0.08,3.49,0.71,0.49,1.13,0.499,570
2020-04-18T00:00:00.000Z,0.35,3.66,1,0.87,1.24,0.566,574
2020-04-19T00:00:00.000Z,0.12,3.29,0.79,0.53,1.82,0.76,562
2020-04-20T00:00:00.000Z,0.45,2.69,1.31,0.95,1.6,0.478,516
2020-04-21T00:00:00.000Z,0.36,2.84,0.9,0.71,1.14,0.401,371
2020-04-22T00:00:00.000Z,0.3,3.4,1.22,0.9,1.92,0.668,422
2020-04-23T00:00:00.000Z,0.43,4.88,1.71,1.34,3.05,1.051,468
2020-04-24T00:00:00.000Z,0.2,9.69,0.94,0.5,3.26,1.906,541
2020-04-25T00:00:00.000Z,0.06,2.4,0.39,0.28,0.61,0.342,511
2020-04-26T00:00:00.000Z,0.92,21.38,3.63,2.58,5.55,4.671,549
2020-04-27T00:00:00.000Z,1.72,15.9,7.2,5.03,10,2.942,522
2020-04-28T00:00:00.000Z,0.3,11.22,1,0.88,1.19,1.159,407
2020-04-29T00:00:00.000Z,0.5,3.83,1.32,1.02,1.91,0.53,507
2020-04-30T00:00:00.000Z,0.95,13.6,1.95,1.45,5.44,2.811,518
2020-05-01T00:00:00.000Z,1.51,21.28,6.44,2.98,10.92,5.424,546
2020-05-02T00:00:00.000Z,0.81,15.05,5.18,2.27,7.6,3.49,544
2020-05-03T00:00:00.000Z,0.34,17.66,2.04,1.04,5.62,5.128,575
2020-05-04T00:00:00.000Z,0.12,5.7,0.66,0.4,2.4,1.558,534
2020-05-05T00:00:00.000Z,0.15,2.8,0.65,0.5,0.86,0.38,503
2020-05-06T00:00:00.000Z,0.5,6.92,1.94,1.42,3.68,1.604,591
2020-05-07T00:00:00.000Z,0.38,7.58,2.6,1.59,3.46,1.494,373
2020-05-08T00:00:00.000Z,2.17,16.55,6.71,5.36,8.81,2.567,338
2020-05-09T00:00:00.000Z,0.79,15.63,2.44,1.61,7.32,3.611,338
2020-05-10T00:00:00.000Z,0.2,35.65,14.92,10.49,19.7,7.725,245
2020-05-11T00:00:00.000Z,0.15,1.56,0.43,0.32,0.55,0.237,356
2020-05-12T00:00:00.000Z,0.18,2.86,0.9,0.6,1.19,0.46,469
2020-05-13T00:00:00.000Z,0.05,1.68,0.48,0.34,0.7,0.304,465
2020-05-14T00:00:00.000Z,0.4,4.37,1.68,1.01,2.4,0.835,462
2020-05-15T00:00:00.000Z,0.72,5.52,2.27,1.59,3.07,0.949,528
2020-05-16T00:00:00.000Z,0.7,5.48,2.61,1.88,3.66,1.11,318
2020-05-17T00:00:00.000Z,1.62,6.75,3.68,3.16,4.28,0.89,537
2020-05-18T00:00:00.000Z,0.42,3.8,1.67,1.21,2,0.53,456
2020-05-19T00:00:00.000Z,0.24,3.52,1.38,1.02,1.88,0.634,540
2020-05-20T00:00:00.000Z,0.4,8.77,1.41,0.96,2.5,1.427,548
2020-05-21T00:00:00.000Z,0.51,2.82,1.18,0.93,1.48,0.482,508
2020-05-22T00:00:00.000Z,0.72,3.75,1.64,1.38,2.24,0.583,534
2020-05-23T00:00:00.000Z,1.75,22.37,8.48,5.07,11.77,3.878,510
2020-05-24T00:00:00.000Z,0,13.3,5.8,3.19,7.93,3.524,521
2020-05-25T00:00:00.000Z,0.68,11.85,2.54,1.75,4.15,2.73,525
2020-05-26T00:00:00.000Z,0.85,12.5,3.72,2.5,5.17,2.044,489
2020-05-27T00:00:00.000Z,0.28,13.3,2.67,1,5.72,3.226,494
2020-05-28T00:00:00.000Z,0.1,4.12,1.1,0.7,2.04,0.877,525
2020-05-29T00:00:00.000Z,0.2,3.55,1.2,0.9,1.8,0.714,532
2020-05-30T00:00:00.000Z,0.4,5.95,0.9,0.7,1.33,0.574,566
2020-05-31T00:00:00.000Z,0.05,1.8,0.5,0.4,0.65,0.221,487
2020-06-01T00:00:00.000Z,0.1,2.1,0.7,0.5,0.8,0.303,486
2020-06-02T00:00:00.000Z,0.1,2.25,0.8,0.56,1.1,0.398,528
2020-06-03T00:00:00.000Z,0.9,3.67,1.83,1.5,2.27,0.52,440
2020-06-04T00:00:00.000Z,0.6,2.27,1.12,1,1.3,0.256,514
2020-06-05T00:00:00.000Z,0.35,5.53,1.5,0.94,3.01,1.351,445
2020-06-06T00:00:00.000Z,0,5.18,1.6,1.05,2.35,1,482
2020-06-07T00:00:00.000Z,0.35,4.3,1.92,1.6,2.4,0.67,526
2020-06-08T00:00:00.000Z,0.4,5.12,1.95,1.42,3,0.916,498
2020-06-09T00:00:00.000Z,0.7,5.22,2.4,1.98,3.37,0.899,490
2020-06-10T00:00:00.000Z,0.55,5.5,1.62,1.1,2.57,1.249,513
2020-06-11T00:00:00.000Z,0.3,1.7,0.77,0.65,0.95,0.236,561
2020-06-12T00:00:00.000Z,0.52,2.47,1.25,1.02,1.41,0.296,578
2020-06-13T00:00:00.000Z,1.23,4.95,2.4,1.87,3.4,0.872,551
2020-06-14T00:00:00.000Z,1.3,3.08,1.9,1.7,2.17,0.306,339
2020-06-15T00:00:00.000Z,0.95,3.35,1.85,1.6,2.04,0.351,568
2020-06-16T00:00:00.000Z,0.9,6.45,2.42,1.8,3.24,1.047,563
2020-06-17T00:00:00.000Z,1.3,8.48,3.5,2.92,4.95,1.492,539
2020-06-18T00:00:00.000Z,1,6.18,4.34,3.67,4.95,0.966,490
2020-06-19T00:00:00.000Z,1.6,11.12,5.85,2.29,7.45,2.694,490
2020-06-20T00:00:00.000Z,2.17,16.95,4.53,3.45,7.82,3.803,585
2020-06-21T00:00:00.000Z,1.35,28.2,6.7,3.83,14.95,6.385,587
2020-06-22T00:00:00.000Z,0,7.87,3.36,1.75,5.6,2.204,558
2020-06-23T00:00:00.000Z,0.9,7.62,3.85,2.67,5.25,1.568,562
2020-06-24T00:00:00.000Z,1.5,18.05,4.34,3.12,5.7,2.364,592
2020-06-25T00:00:00.000Z,0.9,6.82,2.87,1.98,4.01,1.495,564
2020-06-26T00:00:00.000Z,1.75,11.75,5.78,3.94,7.03,2.226,560
2020-06-27T00:00:00.000Z,1.48,11.95,4.03,3.35,5.96,2.109,521
2020-06-28T00:00:00.000Z,1.08,20.98,7.82,3.01,9.74,4.394,445
2020-06-29T00:00:00.000Z,0,5.18,1.98,1.67,2.33,0.778,483
2020-06-30T00:00:00.000Z,0,4.68,2.52,2.04,3.1,0.791,473
2020-07-01T00:00:00.000Z,0.62,5.85,2.97,2.08,3.6,0.985,458
2020-07-02T00:00:00.000Z,0.45,4.3,1.48,1.12,1.87,0.785,459
2020-07-03T00:00:00.000Z,0,3.58,1,0.8,1.25,0.577,474
2020-07-04T00:00:00.000Z,0,5.22,2.12,0.52,2.67,1.224,498
2020-07-05T00:00:00.000Z,0,8.27,3,2.45,3.83,1.37,474
2020-07-06T00:00:00.000Z,0,9.69,2.8,2.17,3.33,1.53,283
2020-07-07T00:00:00.000Z,0.5,999.9,1.7,1.27,2.08,49.945,417
2020-07-08T00:00:00.000Z,0,4.47,0.52,0.3,1.08,0.711,441
2020-07-09T00:00:00.000Z,0.75,4.97,1.51,1.27,2.13,0.902,468
2020-07-10T00:00:00.000Z,0.55,4.09,1.51,1.2,1.87,0.678,422
2020-07-11T00:00:00.000Z,0.4,5.6,1.76,1.17,3.03,1.102,331
2020-07-12T00:00:00.000Z,0.37,4.9,1.87,1.23,2.67,1.01,387
2020-07-13T00:00:00.000Z,0.47,4.84,1.8,1.4,2.4,0.835,400
2020-07-14T00:00:00.000Z,0,6.22,0,0,3.5,2.059,443
2020-07-15T00:00:00.000Z,0,10.7,1.55,1.1,2.02,1.458,352
2020-07-16T00:00:00.000Z,0.52,4.22,2.92,1.58,3.45,1.027,329
2020-07-17T00:00:00.000Z,0.55,5.72,2.2,1.4,3.82,1.313,493
2020-07-18T00:00:00.000Z,0.6,9.9,1.99,1.23,5.31,2.842,456
2020-07-19T00:00:00.000Z,2.52,12.68,4.18,3.35,6.37,2.991,154
2020-08-02T00:00:00.000Z,2.15,5.35,3.79,3.35,4.25,0.664,86
2020-08-03T00:00:00.000Z,0.37,5.55,2.35,1.42,3.4,1.2,361
2020-08-04T00:00:00.000Z,0.25,4.5,1.35,1,1.97,0.866,393
2020-08-05T00:00:00.000Z,0,13.38,0.09,0,2.15,2.125,422
2020-08-06T00:00:00.000Z,0,4.12,1.98,1.5,2.52,0.946,342
2020-08-07T00:00:00.000Z,1.27,4.59,2.29,1.89,2.84,0.786,420
2020-08-08T00:00:00.000Z,1.12,15.82,2.04,1.7,3.12,1.361,381
2020-08-09T00:00:00.000Z,0.6,6.65,2.92,1.74,3.96,1.455,429
2020-08-10T00:00:00.000Z,1.33,8.4,3.96,2.8,5.18,1.53,406
2020-08-11T00:00:00.000Z,1.14,12.3,2.64,1.9,3.41,2.714,440
2020-08-12T00:00:00.000Z,0.8,5.28,1.6,1.27,2.5,1.104,444
2020-08-13T00:00:00.000Z,1.27,4.12,2.47,1.75,3.08,0.73,463
2020-08-14T00:00:00.000Z,1.73,9.93,2.87,2.52,3.7,0.978,391
2020-08-15T00:00:00.000Z,1.8,10.9,4.87,4.26,5.68,1.521,465
2020-08-16T00:00:00.000Z,3.2,11.57,5.75,4.09,8.18,2.446,462
2020-08-17T00:00:00.000Z,3.8,11.1,6.84,4.8,8.9,2.143,456
2020-08-18T00:00:00.000Z,3.05,20.55,7.5,4.59,11.18,4.339,437
2020-08-19T00:00:00.000Z,2.47,26.37,8.36,4.69,18.55,7.208,424
2020-08-20T00:00:00.000Z,1.62,15.77,5.93,4.29,7.52,3.271,453
