# Sensor Ekerövägen, Söderby, Sweden (Citizen Science project sensor.community/44506)
# https://aqicn.org/station/@112993/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-04-05T00:00:00.000Z,1.1,8.63,3.25,2.04,5.47,2.032,99
2020-04-06T00:00:00.000Z,1.37,8.85,4.22,2.95,5.47,1.758,252
2020-04-07T00:00:00.000Z,0.68,13.52,5.53,1.5,7.57,3.597,241
2020-04-08T00:00:00.000Z,0.77,3.2,1.48,1.3,1.75,0.449,243
2020-04-09T00:00:00.000Z,0.1,2.45,0.4,0.3,0.56,0.589,228
2020-04-10T00:00:00.000Z,0,1.77,0.2,0.16,0.47,0.288,258
2020-04-11T00:00:00.000Z,0.32,2.5,1.21,0.78,1.52,0.53,77
2020-04-12T00:00:00.000Z,0.03,22.55,1.34,0.77,2.92,2.538,290
2020-04-13T00:00:00.000Z,0,0.95,0.34,0.2,0.43,0.154,296
2020-04-14T00:00:00.000Z,0.1,1.48,0.45,0.3,0.6,0.223,285
2020-04-15T00:00:00.000Z,0,1.77,0.4,0.22,0.65,0.397,267
2020-04-16T00:00:00.000Z,0,1.1,0.25,0.17,0.4,0.201,275
2020-04-17T00:00:00.000Z,0,1,0.28,0.2,0.38,0.159,289
2020-04-18T00:00:00.000Z,0,2.1,0.4,0.3,0.6,0.387,294
2020-04-19T00:00:00.000Z,0.1,17.07,0.4,0.3,0.7,1.474,286
2020-04-20T00:00:00.000Z,0.2,1.35,0.52,0.4,0.7,0.212,267
2020-04-21T00:00:00.000Z,0.2,1.25,0.5,0.4,0.65,0.18,223
2020-04-22T00:00:00.000Z,0.2,1,0.5,0.4,0.6,0.146,243
2020-04-23T00:00:00.000Z,0.2,1.42,0.5,0.4,0.6,0.206,255
2020-04-24T00:00:00.000Z,0.03,2.72,0.25,0.2,0.4,0.254,285
2020-04-25T00:00:00.000Z,0,5.95,0.25,0.2,0.35,0.48,259
2020-04-26T00:00:00.000Z,0,1.35,0.6,0.35,0.73,0.288,284
2020-04-27T00:00:00.000Z,0.2,1.25,0.6,0.5,0.73,0.197,282
2020-04-28T00:00:00.000Z,0.2,1.52,0.56,0.44,0.8,0.255,209
2020-04-29T00:00:00.000Z,0.3,11.23,0.8,0.62,1.05,0.704,275
2020-04-30T00:00:00.000Z,0.77,14.3,1.73,1.3,2.47,1.095,285
2020-05-01T00:00:00.000Z,0.77,6.18,2.83,2.02,4.22,1.271,295
2020-05-02T00:00:00.000Z,0.25,3.6,0.7,0.6,0.95,0.666,282
2020-05-03T00:00:00.000Z,0.2,1.8,0.6,0.5,0.8,0.308,290
2020-05-04T00:00:00.000Z,0.2,38.13,0.48,0.37,0.6,2.609,262
2020-05-05T00:00:00.000Z,0.1,2.02,0.52,0.4,0.75,0.372,261
2020-05-06T00:00:00.000Z,0.1,1.1,0.56,0.44,0.7,0.202,312
2020-05-07T00:00:00.000Z,0.1,1.67,0.45,0.3,0.56,0.19,243
2020-05-08T00:00:00.000Z,0.32,2.78,1.25,0.9,1.8,0.574,226
2020-05-09T00:00:00.000Z,0.1,1.45,0.4,0.3,0.55,0.265,220
2020-05-10T00:00:00.000Z,0.2,4.7,1.6,1.14,2.8,1.212,126
2020-05-11T00:00:00.000Z,0.1,0.8,0.3,0.25,0.4,0.124,178
2020-05-12T00:00:00.000Z,0.1,0.8,0.3,0.3,0.4,0.121,254
2020-05-13T00:00:00.000Z,0,3.17,0.35,0.2,0.5,0.299,246
2020-05-14T00:00:00.000Z,0.2,1.1,0.5,0.4,0.6,0.156,259
2020-05-15T00:00:00.000Z,0.13,1.2,0.5,0.4,0.6,0.165,286
2020-05-16T00:00:00.000Z,0.13,0.9,0.4,0.3,0.5,0.155,186
2020-05-17T00:00:00.000Z,0,1.55,0.2,0.1,0.52,0.297,294
2020-05-18T00:00:00.000Z,0,1.2,0.2,0.1,0.35,0.241,268
2020-05-19T00:00:00.000Z,0.1,0.98,0.43,0.3,0.56,0.179,283
2020-05-20T00:00:00.000Z,0.2,1.27,0.47,0.4,0.52,0.138,289
2020-05-21T00:00:00.000Z,0.2,8.57,0.55,0.45,0.7,0.567,269
2020-05-22T00:00:00.000Z,0.5,2.13,0.93,0.73,1.2,0.312,313
2020-05-23T00:00:00.000Z,0.3,4.05,1.02,0.7,1.73,0.825,263
2020-05-24T00:00:00.000Z,0.5,3.17,1.75,1.2,2.25,0.631,275
2020-05-25T00:00:00.000Z,0.6,5,1.33,1,1.86,0.918,272
2020-05-26T00:00:00.000Z,0.2,6.1,1.09,0.8,1.45,0.642,266
2020-05-27T00:00:00.000Z,0.5,2.42,1.05,0.83,1.45,0.4,267
2020-05-28T00:00:00.000Z,0,1.4,0.4,0.2,0.68,0.296,276
2020-05-29T00:00:00.000Z,0.2,1.2,0.5,0.4,0.6,0.195,276
2020-05-30T00:00:00.000Z,0,9.38,0.3,0.2,0.55,0.664,282
2020-05-31T00:00:00.000Z,0,0.75,0.2,0.17,0.3,0.114,253
2020-06-01T00:00:00.000Z,0.15,1.6,0.52,0.4,0.73,0.248,247
2020-06-02T00:00:00.000Z,0.3,1.4,0.75,0.62,0.9,0.196,221
2020-06-19T00:00:00.000Z,0.95,5.65,2.27,1.37,2.89,0.925,177
2020-06-20T00:00:00.000Z,0.56,5.93,3.3,1.5,4.4,1.505,285
2020-06-21T00:00:00.000Z,0.65,16.39,1.25,1,1.45,0.99,282
2020-06-22T00:00:00.000Z,0.56,20.48,1.2,1,1.4,1.38,272
2020-06-23T00:00:00.000Z,1.08,3,1.67,1.47,2.02,0.404,280
2020-06-24T00:00:00.000Z,1.4,3.2,2.27,2,2.6,0.403,287
2020-06-25T00:00:00.000Z,0.8,6.12,2.5,1.6,3.45,1.113,278
2020-06-26T00:00:00.000Z,1.23,34.15,2.33,1.95,2.72,2.039,281
2020-06-27T00:00:00.000Z,1.9,5.2,2.95,2.45,3.53,0.743,274
2020-06-28T00:00:00.000Z,2.29,5.9,4.05,3.51,4.61,0.758,256
2020-06-29T00:00:00.000Z,0.4,7.25,1.32,0.9,2.63,1.545,264
2020-06-30T00:00:00.000Z,0.1,1.73,0.9,0.67,1.1,0.322,260
2020-07-01T00:00:00.000Z,0.3,4,0.7,0.6,0.8,0.338,257
2020-07-02T00:00:00.000Z,0.3,1.75,0.7,0.5,0.8,0.209,256
2020-07-03T00:00:00.000Z,0.15,1.17,0.4,0.3,0.6,0.216,262
2020-07-04T00:00:00.000Z,0,2.2,0.55,0.4,0.7,0.237,276
2020-07-05T00:00:00.000Z,0.4,3.12,1.08,0.8,1.37,0.53,260
2020-07-06T00:00:00.000Z,0.2,1.1,0.6,0.5,0.73,0.198,155
2020-07-07T00:00:00.000Z,0,0.77,0.22,0.2,0.3,0.126,247
2020-07-08T00:00:00.000Z,0.1,1.1,0.3,0.2,0.4,0.153,253
2020-07-09T00:00:00.000Z,0,1.65,0.3,0.2,0.4,0.168,262
2020-07-10T00:00:00.000Z,0.15,1.14,0.56,0.43,0.7,0.191,234
2020-07-11T00:00:00.000Z,0.28,1.87,0.7,0.4,0.95,0.317,160
2020-07-12T00:00:00.000Z,0,2.4,0.4,0.3,0.55,0.227,236
2020-07-13T00:00:00.000Z,0.1,1.8,0.54,0.3,0.99,0.419,232
2020-07-14T00:00:00.000Z,0.7,2.08,1.1,0.93,1.2,0.225,252
2020-07-15T00:00:00.000Z,0.56,2.52,1.14,0.9,1.65,0.463,203
2020-07-16T00:00:00.000Z,0.52,3.87,1.3,0.9,2.85,0.993,191
2020-07-17T00:00:00.000Z,0.47,2.95,1.1,0.85,1.25,0.341,266
2020-07-18T00:00:00.000Z,0.6,6.37,1.3,1.05,1.6,0.594,251
2020-07-19T00:00:00.000Z,1.12,4.3,3.12,1.6,3.47,0.952,90
2020-07-20T00:00:00.000Z,0.4,3.2,1.9,0.9,2.52,0.854,109
2020-07-21T00:00:00.000Z,0,1.37,0.3,0.2,0.5,0.226,173
2020-07-22T00:00:00.000Z,0,10.5,0.1,0.1,0.2,0.874,168
2020-07-23T00:00:00.000Z,0,0.37,0.1,0,0.1,0.066,198
2020-07-24T00:00:00.000Z,0,1.52,0.2,0.1,0.22,0.147,228
2020-07-25T00:00:00.000Z,0,1,0.1,0.1,0.73,0.348,48
2020-07-26T00:00:00.000Z,0.25,2.45,0.65,0.5,0.9,0.283,250
2020-07-27T00:00:00.000Z,0.55,6.97,1.7,1.4,1.9,0.652,156
2020-07-28T00:00:00.000Z,0.73,3.8,1.61,1.26,2.87,0.895,232
2020-07-29T00:00:00.000Z,0.17,2.04,0.74,0.4,1.23,0.479,190
2020-07-30T00:00:00.000Z,0.2,1.7,0.7,0.55,0.98,0.297,214
2020-07-31T00:00:00.000Z,0.4,4.18,1.32,0.7,2.65,1.096,214
2020-08-01T00:00:00.000Z,0.88,40.28,2.6,1.83,3.5,3.576,213
2020-08-02T00:00:00.000Z,0.52,10.65,1.83,1.32,2.74,1.165,193
2020-08-03T00:00:00.000Z,0.1,1.9,0.81,0.45,1.19,0.451,204
2020-08-04T00:00:00.000Z,0,4.4,0.27,0.1,0.47,0.383,228
2020-08-05T00:00:00.000Z,0.3,1.65,0.69,0.55,0.82,0.211,232
2020-08-06T00:00:00.000Z,0.8,2.67,1.2,1,1.4,0.352,185
2020-08-07T00:00:00.000Z,0.3,3.42,1.52,1.1,2.29,0.745,233
2020-08-08T00:00:00.000Z,0.6,9.43,1.4,1,2.2,1.014,203
2020-08-09T00:00:00.000Z,0.2,5.2,1.3,0.75,3.17,1.328,234
2020-08-10T00:00:00.000Z,0.28,3.35,0.56,0.45,0.7,0.262,241
2020-08-11T00:00:00.000Z,0.25,75.4,0.7,0.56,0.81,7.274,244
2020-08-12T00:00:00.000Z,0.47,1.62,0.9,0.8,1.05,0.204,246
2020-08-13T00:00:00.000Z,0.95,4.15,2.45,1.95,2.9,0.691,249
