# Sensor Aron Lindgrens väg, Stäket, Sweden (Citizen Science project sensor.community/44692)
# https://aqicn.org/station/@113539/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-04-10T00:00:00.000Z,0.1,1.6,0.35,0.3,0.7,0.342,354
2020-04-11T00:00:00.000Z,0.34,0.56,0.45,0.4,0.49,0.055,41
2020-04-12T00:00:00.000Z,0.05,3.2,0.98,0.56,1.63,0.725,327
2020-04-13T00:00:00.000Z,0.14,0.86,0.4,0.31,0.5,0.131,584
2020-04-14T00:00:00.000Z,0.15,0.92,0.43,0.35,0.55,0.149,572
2020-04-15T00:00:00.000Z,0.2,2.69,0.53,0.4,0.7,0.522,522
2020-04-16T00:00:00.000Z,0.1,1.52,0.32,0.25,0.4,0.182,520
2020-04-17T00:00:00.000Z,0.14,1,0.36,0.3,0.45,0.128,569
2020-04-18T00:00:00.000Z,0.2,1.1,0.53,0.38,0.66,0.185,573
2020-04-19T00:00:00.000Z,0.21,2.47,0.54,0.45,0.68,0.257,568
2020-04-20T00:00:00.000Z,0.3,1.35,0.56,0.48,0.74,0.213,518
2020-04-21T00:00:00.000Z,0.35,1.61,0.79,0.66,1,0.227,379
2020-04-22T00:00:00.000Z,0.34,1.53,0.72,0.61,0.85,0.226,313
2020-04-23T00:00:00.000Z,0.36,3.14,0.82,0.7,0.94,0.368,374
2020-04-24T00:00:00.000Z,0.13,2.29,0.32,0.25,0.59,0.238,549
2020-04-25T00:00:00.000Z,0.15,0.75,0.38,0.28,0.45,0.11,518
2020-04-26T00:00:00.000Z,0.15,1.9,0.75,0.53,1.08,0.367,569
2020-04-27T00:00:00.000Z,0.46,2.24,1.08,0.81,1.44,0.394,529
2020-04-28T00:00:00.000Z,0.35,2.37,1.06,0.68,1.65,0.517,417
2020-04-29T00:00:00.000Z,0.45,3.51,1.05,0.85,1.45,0.56,525
2020-04-30T00:00:00.000Z,0.98,7.68,2.66,1.6,4.16,1.605,548
2020-05-01T00:00:00.000Z,1.7,16.12,6.2,4.34,12.95,4.445,562
2020-05-02T00:00:00.000Z,0.3,12.76,0.74,0.56,1.21,2.267,542
2020-05-03T00:00:00.000Z,0.27,3.42,1.04,0.7,1.71,0.718,574
2020-05-04T00:00:00.000Z,0.26,5.01,0.7,0.55,0.9,0.655,539
2020-05-05T00:00:00.000Z,0.28,1.47,0.52,0.44,0.71,0.239,502
2020-05-06T00:00:00.000Z,0.26,1.4,0.69,0.55,0.85,0.216,585
2020-05-07T00:00:00.000Z,0.3,1.14,0.56,0.46,0.7,0.17,391
2020-05-08T00:00:00.000Z,0.7,3.14,1.75,1.14,2.24,0.659,350
2020-05-09T00:00:00.000Z,0.2,27.04,0.6,0.4,0.8,2.383,338
2020-05-10T00:00:00.000Z,0.4,6.33,2.2,1.56,3.57,1.437,218
2020-05-11T00:00:00.000Z,0.13,1.27,0.38,0.26,0.6,0.241,353
2020-05-12T00:00:00.000Z,0.1,1.12,0.45,0.33,0.57,0.201,466
2020-05-13T00:00:00.000Z,0.05,1.28,0.48,0.35,0.65,0.237,456
2020-05-14T00:00:00.000Z,0.34,1.2,0.65,0.55,0.78,0.161,461
2020-05-15T00:00:00.000Z,0.28,1.25,0.55,0.45,0.67,0.162,531
2020-05-16T00:00:00.000Z,0.2,0.8,0.4,0.35,0.5,0.112,339
2020-05-17T00:00:00.000Z,0.1,1.23,0.35,0.25,0.62,0.271,547
2020-05-18T00:00:00.000Z,0.05,12.15,0.3,0.2,0.78,2.293,466
2020-05-19T00:00:00.000Z,0.22,2.24,0.56,0.45,0.85,0.353,549
2020-05-20T00:00:00.000Z,0.25,7.68,0.61,0.51,0.75,0.608,456
2020-05-21T00:00:00.000Z,0.34,157.44,0.89,0.65,1.25,9.909,479
2020-05-22T00:00:00.000Z,0.48,2.38,1.27,1.02,1.58,0.403,546
2020-05-23T00:00:00.000Z,0.3,24.2,1.33,0.84,2.77,2.129,513
2020-05-24T00:00:00.000Z,0.77,7.4,2.45,1.8,3.28,1.441,548
2020-05-25T00:00:00.000Z,0.7,16.27,1.95,1.49,3.6,1.86,464
2020-05-26T00:00:00.000Z,0.4,4.72,1.36,0.9,2.04,0.696,508
2020-05-27T00:00:00.000Z,0.4,2.87,1.62,1.2,2.02,0.522,533
2020-05-28T00:00:00.000Z,0.1,2.87,0.5,0.3,0.9,0.56,548
2020-05-29T00:00:00.000Z,0.2,4.43,0.52,0.43,0.8,0.539,555
2020-05-30T00:00:00.000Z,0.1,2.04,0.4,0.3,0.55,0.323,568
