# Sensor Brämhult, Tosseryd, Sweden (Citizen Science project sensor.community/47571)
# https://aqicn.org/station/@128095/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-06-27T00:00:00.000Z,4,183.65,8.57,5.57,13.48,13.345,199
2020-06-28T00:00:00.000Z,2.62,23.7,7.97,5.52,10.34,5.321,445
2020-06-29T00:00:00.000Z,1.35,14,3.49,2.13,5.09,2.648,480
2020-06-30T00:00:00.000Z,1.1,7.68,3.42,2.58,4.87,1.455,467
2020-07-01T00:00:00.000Z,1.3,7.3,3.72,2.27,5.12,1.542,455
2020-07-02T00:00:00.000Z,1,10.3,2.13,1.83,4.16,2.318,448
2020-07-03T00:00:00.000Z,0.7,4.3,1.67,1.3,2.33,0.662,465
2020-07-04T00:00:00.000Z,0.3,8.15,2.4,1.15,4.2,2.017,485
2020-07-05T00:00:00.000Z,0.13,7.78,2.8,1.53,3.64,1.816,465
2020-07-06T00:00:00.000Z,1.05,5.78,2.78,2.21,3.25,0.766,277
2020-07-07T00:00:00.000Z,0.68,4.55,1.92,1.5,2.33,0.604,419
2020-07-08T00:00:00.000Z,0.2,81.78,0.7,0.5,1.17,4.632,435
2020-07-09T00:00:00.000Z,0.97,7.97,2.52,1.7,3.78,1.585,465
2020-07-10T00:00:00.000Z,0.77,8.93,1.73,1.3,2.92,1.329,429
2020-07-11T00:00:00.000Z,0.68,9.07,1.89,1.4,4.03,1.978,334
2020-07-12T00:00:00.000Z,0.7,7.05,2.54,1.58,4.43,1.603,395
2020-07-13T00:00:00.000Z,1.37,7.87,2.9,2.17,4.53,1.487,394
2020-07-14T00:00:00.000Z,2.6,18.8,5.74,4.37,7.53,3.732,438
2020-07-15T00:00:00.000Z,0.9,14.87,2.47,1.6,4.44,3.797,357
2020-07-16T00:00:00.000Z,2.62,27.27,5.95,3.78,9.68,3.964,327
2020-07-17T00:00:00.000Z,0.6,14.93,3.1,1.8,5.76,3.008,489
2020-07-18T00:00:00.000Z,0.95,6.93,2,1.52,4.2,1.766,450
2020-07-19T00:00:00.000Z,2.62,13.57,5.69,4.28,6.45,1.53,170
2020-07-20T00:00:00.000Z,1,21.83,4.5,2.6,11.5,6.068,189
2020-07-21T00:00:00.000Z,0.52,6.22,1.63,1,4.43,1.763,266
2020-07-22T00:00:00.000Z,0.22,6.4,0.98,0.6,1.99,1.056,272
2020-07-23T00:00:00.000Z,0.37,10.52,1.9,1,5.4,2.587,298
2020-07-24T00:00:00.000Z,0.98,10.77,2.92,1.79,4.78,1.938,385
2020-07-25T00:00:00.000Z,1.5,205.6,2.1,1.89,2.31,24.426,81
2020-07-26T00:00:00.000Z,0.85,999.9,4.03,3.3,4.78,169.856,449
2020-07-27T00:00:00.000Z,0.8,10.73,3.33,1.5,7.95,3.226,280
2020-07-28T00:00:00.000Z,1.7,7.25,4.07,3.2,4.75,1.126,419
2020-07-29T00:00:00.000Z,1.5,8.25,3.4,2.67,4.43,1.454,329
2020-07-30T00:00:00.000Z,1.2,7.22,3,2.29,4.5,1.391,376
2020-07-31T00:00:00.000Z,0.5,9.02,1.4,1,3.35,2.251,365
2020-08-01T00:00:00.000Z,0.68,94.15,1.6,1.1,3,4.942,378
2020-08-02T00:00:00.000Z,1.2,9.63,3.2,2.6,5.4,1.941,326
2020-08-03T00:00:00.000Z,0.73,7.28,2.81,1.58,4.8,1.734,358
2020-08-04T00:00:00.000Z,0.73,9.85,2,1.37,2.99,2.041,409
2020-08-05T00:00:00.000Z,1.73,20.14,4.05,3.17,7.97,3.735,445
2020-08-06T00:00:00.000Z,1.6,9.32,2.7,2.12,4.29,1.711,341
2020-08-07T00:00:00.000Z,1.1,7.37,2.5,2.06,3.58,1.226,445
2020-08-08T00:00:00.000Z,1.23,6.35,3.16,2.35,3.97,1.135,390
2020-08-09T00:00:00.000Z,2.58,20.5,4.8,3.3,8.84,3.521,456
2020-08-10T00:00:00.000Z,1.7,32.79,5.56,3.67,11.85,8.286,438
2020-08-11T00:00:00.000Z,1,3.9,2.22,1.8,2.7,0.574,453
2020-08-12T00:00:00.000Z,1.27,10.4,2.8,2.22,4.7,2.113,465
2020-08-13T00:00:00.000Z,2.65,12.32,4.9,3.65,8.1,2.479,459
2020-08-14T00:00:00.000Z,2.29,41.45,4.18,3.1,7,3.194,401
2020-08-15T00:00:00.000Z,3.12,621.97,6.9,4.43,8.74,28.478,473
2020-08-16T00:00:00.000Z,3.03,19.45,5.32,4.22,10.32,3.696,471
2020-08-17T00:00:00.000Z,4.7,18.98,7.89,5.92,12,3.322,472
2020-08-18T00:00:00.000Z,4.2,25.3,7.5,5.6,11.19,4.843,453
2020-08-19T00:00:00.000Z,3.3,26.05,9.72,6.9,14.02,4.772,442
2020-08-20T00:00:00.000Z,1.52,45.5,4.78,2.45,10.3,8.655,453
2020-08-21T00:00:00.000Z,3,19.62,6.8,4.96,10.36,3.67,444
2020-08-22T00:00:00.000Z,2.83,14.3,4.82,4.22,6.02,2.011,405
2020-08-23T00:00:00.000Z,1.7,9.1,3.67,3,5.09,1.467,409
2020-08-24T00:00:00.000Z,0.35,5.9,1.2,0.88,2.54,1.346,352
2020-08-25T00:00:00.000Z,0.17,2.95,1.1,0.7,1.7,0.579,381
2020-08-26T00:00:00.000Z,1.14,3.9,2.2,1.9,2.52,0.513,395
2020-08-27T00:00:00.000Z,0.37,5.87,1.2,0.82,1.9,0.818,453
2020-08-28T00:00:00.000Z,0.8,68.22,1.48,1.23,1.7,3.351,406
2020-08-29T00:00:00.000Z,0.9,6.5,2.33,1.65,3,0.977,406
2020-08-30T00:00:00.000Z,0.52,39.79,2.74,1.27,4.68,6.053,342
2020-08-31T00:00:00.000Z,0.1,4.84,0.65,0.4,1.13,0.81,397
2020-09-01T00:00:00.000Z,1.08,11.02,2.29,2,2.67,0.904,352
2020-09-02T00:00:00.000Z,1.42,26.62,5.9,2.8,8.94,5.299,466
2020-09-03T00:00:00.000Z,1.65,17.3,4.3,2.54,9.02,3.645,472
2020-09-04T00:00:00.000Z,1.62,8,3.75,3.08,4.3,1.102,482
2020-09-05T00:00:00.000Z,0.73,6.53,3.2,2.33,4.3,1.283,476
2020-09-06T00:00:00.000Z,0.8,6.43,2.33,1.73,3,0.929,470
2020-09-07T00:00:00.000Z,0.1,71.15,1.67,0.7,2.12,3.74,442
2020-09-08T00:00:00.000Z,0.37,6.35,3.35,2.7,4.12,1.253,370
2020-09-09T00:00:00.000Z,0.8,7.22,3.7,2.67,4.68,1.378,406
2020-09-10T00:00:00.000Z,0,4.32,0.87,0.56,2.38,1.068,344
2020-09-11T00:00:00.000Z,1.73,9.18,3.67,2.8,5.37,1.821,310
2020-09-12T00:00:00.000Z,1.8,9.85,5.57,3.5,7.18,2.106,298
2020-09-13T00:00:00.000Z,0.65,8.27,3.36,1.95,5.5,1.939,358
2020-09-14T00:00:00.000Z,2.2,22.5,8.48,7.15,11.5,4.533,290
2020-09-15T00:00:00.000Z,3.4,54.05,7.82,5.57,22.73,13.813,251
2020-09-16T00:00:00.000Z,0.47,1.45,0.9,0.73,1.12,0.253,37
2020-09-17T00:00:00.000Z,0.35,2.54,0.9,0.7,1.21,0.396,148
2020-09-18T00:00:00.000Z,1.7,25.02,3.21,2.7,5.16,3.939,326
2020-09-19T00:00:00.000Z,2.65,41.2,10.11,4.15,19.32,9.364,310
2020-09-20T00:00:00.000Z,1.6,21,6.06,4.13,8.47,3.419,240
2020-09-21T00:00:00.000Z,2.12,21.4,9.23,4.05,15.04,5.842,225
2020-09-22T00:00:00.000Z,1.85,43.05,4.97,2.91,12.3,9.487,340
2020-09-23T00:00:00.000Z,5.07,121.57,20.19,14.19,34.85,22.994,444
2020-09-24T00:00:00.000Z,2.04,49.53,8.73,4.03,26.85,14.432,470
2020-09-25T00:00:00.000Z,0.3,4.62,0.9,0.68,1.4,0.872,346
2020-09-26T00:00:00.000Z,0.17,6.37,1.05,0.7,3.99,1.8,276
2020-09-27T00:00:00.000Z,1.75,6.22,3.47,2.97,4.07,0.779,230
2020-09-28T00:00:00.000Z,0.37,4.65,2.06,1.58,2.58,0.739,270
2020-09-29T00:00:00.000Z,0.15,3.33,1.08,0.5,1.5,0.575,263
2020-09-30T00:00:00.000Z,1.08,5.32,2.27,1.82,3.03,0.815,388
2020-10-01T00:00:00.000Z,1.25,6.95,2.8,1.9,3.47,1.193,300
2020-10-02T00:00:00.000Z,2.5,11.65,4.12,3.44,6.02,2.321,257
2020-10-03T00:00:00.000Z,2.15,11.9,4.84,4.03,6.18,1.764,238
2020-10-04T00:00:00.000Z,0.3,9.85,3.89,1.98,7.81,3.114,320
2020-10-05T00:00:00.000Z,0.37,4.55,1.62,1.01,2.6,0.971,321
2020-10-06T00:00:00.000Z,0.4,3.3,1.17,0.93,1.52,0.549,332
2020-10-07T00:00:00.000Z,0.22,5.3,1.14,0.8,2.29,1.088,325
2020-10-08T00:00:00.000Z,0,3.12,0.65,0.39,0.97,0.445,317
2020-10-09T00:00:00.000Z,0,2.27,0.43,0.3,0.68,0.339,345
2020-10-10T00:00:00.000Z,0,3.28,0.6,0.32,1,0.524,396
2020-10-11T00:00:00.000Z,0,2.4,0.62,0.4,1.02,0.46,429
2020-10-12T00:00:00.000Z,0,2,0.25,0.1,0.52,0.36,339
2020-10-13T00:00:00.000Z,0.1,1.75,0.3,0.2,0.55,0.325,403
2020-10-14T00:00:00.000Z,0,1.75,0.4,0.28,0.55,0.252,381
2020-10-15T00:00:00.000Z,0,1.48,0.3,0.2,0.43,0.23,400
2020-10-16T00:00:00.000Z,0,2.7,0.35,0.2,0.62,0.434,425
2020-10-17T00:00:00.000Z,0.03,3.4,0.35,0.2,0.8,0.548,415
2020-10-18T00:00:00.000Z,0.05,1.77,0.2,0.2,0.4,0.287,425
2020-10-19T00:00:00.000Z,0,1.5,0.25,0.2,0.4,0.224,434
2020-10-20T00:00:00.000Z,0.1,7.15,2.85,1.38,3.67,1.608,440
2020-10-21T00:00:00.000Z,0,7.63,3.53,2,4.8,1.92,427
2020-10-22T00:00:00.000Z,0,2.85,0.56,0.3,0.95,0.414,407
2020-10-23T00:00:00.000Z,0.1,2.97,0.63,0.4,1,0.522,402
2020-10-24T00:00:00.000Z,0.1,3.4,0.93,0.55,1.45,0.665,422
2020-10-25T00:00:00.000Z,0,5.45,1.34,0.4,3.08,1.49,478
2020-10-26T00:00:00.000Z,0.05,2.54,0.7,0.38,1.17,0.511,470
2020-10-27T00:00:00.000Z,0.22,5.32,2.38,1.75,3.4,1.094,443
2020-10-28T00:00:00.000Z,0,5.47,1.1,0.55,2.29,1.248,463
2020-10-29T00:00:00.000Z,0.15,4.15,1.42,0.95,2.29,0.895,468
2020-10-30T00:00:00.000Z,0,4.18,0.95,0.65,1.32,0.545,476
2020-10-31T00:00:00.000Z,0,2.47,0.47,0.3,0.73,0.349,482
2020-11-01T00:00:00.000Z,0.08,3.1,1.3,0.95,1.7,0.593,476
2020-11-02T00:00:00.000Z,0,2.7,0.31,0.1,0.6,0.376,434
2020-11-03T00:00:00.000Z,0,3.9,0.65,0.43,0.98,0.515,447
2020-11-04T00:00:00.000Z,0,3.05,0.65,0.39,1.12,0.57,340
2020-11-05T00:00:00.000Z,0,4.43,0.68,0.4,1.12,0.657,299
2020-11-06T00:00:00.000Z,0,3.95,0.77,0.43,1.3,0.635,319
2020-11-07T00:00:00.000Z,0.3,3.3,1.3,1.05,1.63,0.528,384
2020-11-08T00:00:00.000Z,0.47,3.42,1.3,1.05,1.6,0.466,355
2020-11-09T00:00:00.000Z,0.4,3,1.34,1.08,1.65,0.482,284
2020-11-10T00:00:00.000Z,0.65,5.3,1.98,1.5,2.75,0.887,328
2020-11-11T00:00:00.000Z,1.9,8.77,4.82,3.53,5.95,1.554,339
2020-11-12T00:00:00.000Z,0.2,5.3,2.2,1.45,2.9,0.993,289
2020-11-13T00:00:00.000Z,0.88,6.8,3.17,2.4,4.5,1.373,313
2020-11-14T00:00:00.000Z,0.35,3.97,1.5,1,2.02,0.741,338
2020-11-15T00:00:00.000Z,0.3,7.78,4.78,2.62,5.63,1.9,273
2020-11-16T00:00:00.000Z,0.17,7,1.17,0.87,2.41,1.718,284
2020-11-17T00:00:00.000Z,0,2.4,0.56,0.3,0.8,0.461,312
2020-11-18T00:00:00.000Z,0,6.63,0.7,0.3,2.85,1.775,370
2020-11-19T00:00:00.000Z,0,2.7,0.35,0.15,0.77,0.497,365
2020-11-20T00:00:00.000Z,0,1.42,0.25,0.2,0.45,0.255,369
