# Sensor Kronobergsgatan, Kungsholmens stadsdelsområde, Sweden (Citizen Science project sensor.community/51714)
# https://aqicn.org/station/@180187/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-11-14T00:00:00.000Z,1.83,11.43,6,4.75,7.35,1.821,178
2020-11-15T00:00:00.000Z,4.88,32.1,11.68,8.55,17.98,7.115,292
2020-11-16T00:00:00.000Z,1.4,30.95,13.8,9.82,21.6,8.659,285
2020-11-17T00:00:00.000Z,0.1,1.95,0.65,0.4,0.95,0.383,313
2020-11-18T00:00:00.000Z,0,2.04,0.3,0.1,0.65,0.391,374
2020-11-19T00:00:00.000Z,0,2.97,0.42,0.1,1.14,0.76,344
2020-11-20T00:00:00.000Z,0,1.6,0.1,0.1,0.3,0.225,340
2020-11-21T00:00:00.000Z,0.1,0.8,0.2,0.2,0.3,0.143,33
2020-12-01T00:00:00.000Z,0.4,8.13,5.32,4.55,6.27,1.427,53
2020-12-02T00:00:00.000Z,0.2,12.95,5.9,2.97,7.53,3.109,235
2020-12-03T00:00:00.000Z,3.75,22.98,7.13,5.56,9.03,2.794,233
2020-12-04T00:00:00.000Z,0.2,18.75,3,1.52,6.5,3.031,263
2020-12-05T00:00:00.000Z,5.25,38.22,16.39,15.02,18.02,4.584,252
2020-12-06T00:00:00.000Z,7.2,26.48,17.32,11.17,21.14,5.152,345
2020-12-07T00:00:00.000Z,1.88,17.6,3.83,2.85,8.02,3.69,291
2020-12-08T00:00:00.000Z,2.08,25.27,5.4,4.4,6.35,2.71,279
2020-12-09T00:00:00.000Z,2.5,12.68,6.6,4.26,8.75,2.496,253
2020-12-10T00:00:00.000Z,3.38,13.3,8.05,5.07,9.68,2.415,262
2020-12-11T00:00:00.000Z,0.9,27.5,6.27,4.97,11.77,5.008,316
2020-12-12T00:00:00.000Z,2.54,16.63,8.6,5.34,11.39,3.612,321
2020-12-13T00:00:00.000Z,1.4,54.42,6.28,4.23,14.35,6.321,301
2020-12-14T00:00:00.000Z,1.58,21.67,3.44,2.85,4.63,2.639,280
2020-12-15T00:00:00.000Z,2.2,15.65,7.04,5.55,9.74,2.962,308
2020-12-16T00:00:00.000Z,0.1,8.75,0.73,0.3,1.77,2.097,315
2020-12-17T00:00:00.000Z,0.88,13.93,2.52,1.6,3.38,1.529,282
2020-12-18T00:00:00.000Z,0,25.8,0.8,0.2,1.83,2.235,308
2020-12-19T00:00:00.000Z,2.35,13.57,5.97,5.15,7.05,1.735,287
2020-12-20T00:00:00.000Z,1.27,20.95,9.82,6.74,12.89,5.147,305
2020-12-21T00:00:00.000Z,0.5,3.83,2.04,1.7,2.42,0.613,297
2020-12-22T00:00:00.000Z,0.3,16.75,2.5,1.6,4.84,2.364,283
2020-12-23T00:00:00.000Z,0,1.85,0.3,0.2,0.4,0.23,304
2020-12-24T00:00:00.000Z,0,2.38,0.3,0.2,0.52,0.327,269
2020-12-25T00:00:00.000Z,0,2.25,0.2,0.1,0.49,0.281,292
2020-12-26T00:00:00.000Z,0.4,1.3,0.6,0.5,0.68,0.155,41
2021-01-22T00:00:00.000Z,0,6.85,0.5,0.4,0.81,1.333,157
2021-01-23T00:00:00.000Z,0.08,14.02,0.88,0.5,2.75,2.041,255
2021-01-24T00:00:00.000Z,0.3,7.6,2.67,2,3.4,1.165,263
2021-01-25T00:00:00.000Z,0.1,3.05,0.4,0.2,0.6,0.325,231
2021-01-26T00:00:00.000Z,0,2.04,0.4,0.2,0.73,0.389,254
2021-01-27T00:00:00.000Z,0.1,3.67,0.73,0.5,1.12,0.55,224
2021-01-28T00:00:00.000Z,0.4,3.47,1.1,0.8,1.39,0.41,133
2021-02-27T00:00:00.000Z,0.2,1.45,0.32,0.3,0.4,0.206,90
2021-02-28T00:00:00.000Z,0.1,3,0.44,0.3,0.98,0.632,258
2021-03-01T00:00:00.000Z,0.1,2.04,0.5,0.4,0.7,0.279,241
2021-03-02T00:00:00.000Z,0.1,2.58,0.38,0.2,0.7,0.464,251
2021-03-03T00:00:00.000Z,0.1,3.38,0.73,0.46,1.3,0.748,225
2021-03-04T00:00:00.000Z,0,3,0.3,0.2,0.7,0.469,218
2021-03-05T00:00:00.000Z,0,26.3,0.3,0.15,0.52,2.276,234
2021-03-06T00:00:00.000Z,0,0.65,0.1,0.1,0.16,0.102,237
2021-03-07T00:00:00.000Z,0,1.07,0.1,0.1,0.2,0.147,144
2021-03-12T00:00:00.000Z,0.1,2.85,0.8,0.3,1.33,0.644,114
2021-03-13T00:00:00.000Z,0.4,5.2,0.9,0.7,2.02,1.074,240
2021-03-14T00:00:00.000Z,0.2,2.72,0.9,0.5,1.35,0.538,245
2021-03-15T00:00:00.000Z,0.1,4.84,0.9,0.5,1.85,1.179,214
2021-03-16T00:00:00.000Z,0.13,11.4,0.73,0.4,5.63,3.197,220
2021-03-17T00:00:00.000Z,0.3,31.45,0.88,0.6,1.25,2.027,246
2021-03-18T00:00:00.000Z,0,2.95,0.4,0.3,0.72,0.352,232
2021-03-19T00:00:00.000Z,0.1,2.08,0.3,0.2,0.45,0.265,213
2021-03-20T00:00:00.000Z,0.1,2.72,0.4,0.25,0.76,0.378,216
2021-03-21T00:00:00.000Z,0,1.88,0.2,0.1,0.3,0.25,203
2021-03-22T00:00:00.000Z,0,4.07,0.1,0.08,0.2,0.344,221
2021-03-23T00:00:00.000Z,0,1.65,0.28,0.2,0.3,0.175,296
2021-03-24T00:00:00.000Z,0.68,6.45,2.83,2.09,3.39,1.09,173
2021-03-25T00:00:00.000Z,0.2,6.75,0.75,0.5,1.1,1.486,211
2021-03-26T00:00:00.000Z,0.5,23.48,5.25,2.7,11.05,6.689,167
2021-03-27T00:00:00.000Z,0.6,49.78,27.02,19.92,35.56,11.683,148
2021-03-28T00:00:00.000Z,0,27.5,0.75,0.2,1.51,6.284,125
2021-03-29T00:00:00.000Z,0,5.47,0.3,0.1,1.59,1.275,192
2021-03-30T00:00:00.000Z,0.1,2.17,0.6,0.4,0.85,0.359,216
2021-03-31T00:00:00.000Z,0,3,0.31,0.28,1.07,0.734,196
2021-04-01T00:00:00.000Z,0,2.22,0.2,0.1,0.28,0.226,177
2021-04-02T00:00:00.000Z,0,1.08,0.2,0.1,0.3,0.165,201
2021-04-03T00:00:00.000Z,0,1.42,0.19,0.1,0.28,0.184,210
2021-04-04T00:00:00.000Z,0.1,2.33,0.5,0.3,1.14,0.499,196
2021-04-05T00:00:00.000Z,0,1.02,0.1,0.1,0.2,0.205,137
2021-04-06T00:00:00.000Z,0,0.93,0,0,0.1,0.101,237
