# Sensor Gamla Kilandavägen, Nödinge-Nol, Sweden (Citizen Science project sensor.community/55663)
# https://aqicn.org/station/@191047/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-01-10T00:00:00.000Z,0,0,0,0,0,0,80
2021-01-11T00:00:00.000Z,0,0,0,0,0,0,171
2021-01-12T00:00:00.000Z,0,0,0,0,0,0,4
2021-01-13T00:00:00.000Z,0,0,0,0,0,0,52
2021-01-14T00:00:00.000Z,0,0,0,0,0,0,71
2021-01-15T00:00:00.000Z,0,0,0,0,0,0,65
2021-01-16T00:00:00.000Z,0,0,0,0,0,0,46
2021-01-17T00:00:00.000Z,0,0,0,0,0,0,38
2021-01-18T00:00:00.000Z,0,0,0,0,0,0,45
2021-01-19T00:00:00.000Z,0,0,0,0,0,0,57
2021-01-20T00:00:00.000Z,0,0,0,0,0,0,9
2021-02-09T00:00:00.000Z,0,0.63,0.02,0,0.1,0.15,16
2021-02-10T00:00:00.000Z,0,0.87,0.1,0,0.2,0.146,61
2021-02-11T00:00:00.000Z,0,1.3,0.2,0.1,0.3,0.219,83
2021-02-12T00:00:00.000Z,0,0.3,0,0,0.02,0.066,88
2021-02-13T00:00:00.000Z,0,0,0,0,0,0,39
2021-04-23T00:00:00.000Z,1.2,2.25,1.85,1.4,2,0.313,15
2021-04-24T00:00:00.000Z,0.6,3.38,0.9,0.8,1.27,0.492,49
2021-04-25T00:00:00.000Z,0.6,1.88,0.9,0.8,1.05,0.253,48
2021-04-26T00:00:00.000Z,0.63,1.83,1.1,0.88,1.3,0.251,49
2021-04-27T00:00:00.000Z,0.82,2.58,1.2,1.1,1.5,0.383,45
2021-04-28T00:00:00.000Z,1.02,3.42,1.6,1.4,1.77,0.42,44
2021-04-29T00:00:00.000Z,0.98,6.3,1.85,1.6,2.4,0.874,39
2021-04-30T00:00:00.000Z,0.9,3.1,1.57,1.33,1.82,0.402,48
2021-05-01T00:00:00.000Z,0.93,2.42,1.7,1.41,1.98,0.378,48
2021-05-02T00:00:00.000Z,1.8,16.89,2.65,2.4,3.56,2.206,44
2021-05-03T00:00:00.000Z,1.12,4.34,2.89,2,3.47,0.89,46
2021-05-04T00:00:00.000Z,0.9,5.43,2.38,1.9,3.63,1.222,43
2021-05-05T00:00:00.000Z,0.7,1.65,0.9,0.8,1.09,0.249,33
2021-05-06T00:00:00.000Z,0.73,3.38,1.98,1.3,2.47,0.671,39
2021-05-07T00:00:00.000Z,1.6,3.45,2.33,2.1,2.75,0.449,38
2021-05-08T00:00:00.000Z,1.83,7.75,2.7,2.33,2.97,0.929,39
2021-05-09T00:00:00.000Z,1,25.58,4.78,2.83,7.43,5.173,51
2021-05-10T00:00:00.000Z,2.47,10.82,3.58,3.25,4.34,2.052,51
2021-05-11T00:00:00.000Z,0.8,23.67,3.22,1.95,8.32,5.896,51
2021-05-12T00:00:00.000Z,1.3,8.19,3.63,3.03,5.18,1.85,46
2021-05-13T00:00:00.000Z,3,15.9,8.99,5.24,13.68,4.332,28
2021-05-16T00:00:00.000Z,1.4,3.65,2.17,1.77,2.92,0.686,22
2021-05-17T00:00:00.000Z,1.8,19.45,4.05,2.6,7.53,3.211,50
2021-05-18T00:00:00.000Z,1.27,11.73,3.49,2.5,4.41,1.978,48
2021-05-19T00:00:00.000Z,1.55,8.52,3.17,2.54,4.42,1.596,52
2021-05-20T00:00:00.000Z,1.42,5,2.85,2.42,3.3,0.634,53
2021-05-21T00:00:00.000Z,1.02,4.63,2.44,1.96,2.71,0.678,52
2021-05-22T00:00:00.000Z,1,4.3,2.17,1.55,3.11,0.829,49
2021-05-23T00:00:00.000Z,0.75,5.97,2.29,1.65,3.15,1.377,54
2021-05-24T00:00:00.000Z,1.3,4.97,2,1.67,2.85,0.866,50
2021-05-25T00:00:00.000Z,1,2.95,1.76,1.5,2,0.398,52
2021-05-26T00:00:00.000Z,0.88,3.95,1.35,1.12,1.7,0.487,59
2021-05-27T00:00:00.000Z,0.9,3.42,1.83,1.4,2.63,0.67,54
2021-05-28T00:00:00.000Z,1.27,8.23,3.24,1.86,5.8,2.177,44
2021-05-29T00:00:00.000Z,1.48,8.48,3.61,2.38,6.38,2.274,42
2021-05-30T00:00:00.000Z,1.45,8.88,2.83,2.25,4.4,1.503,59
2021-05-31T00:00:00.000Z,1.55,13.07,6.13,3.2,7.75,3.001,50
2021-06-01T00:00:00.000Z,0.8,41.7,1.95,1.55,12.68,7.524,59
2021-06-02T00:00:00.000Z,1.77,4.45,2.58,2.29,2.87,0.503,57
2021-06-03T00:00:00.000Z,1.45,6.22,2.47,2.15,3.9,1.388,51
2021-06-04T00:00:00.000Z,1.8,5.68,2.74,2.31,4.26,1.122,52
2021-06-05T00:00:00.000Z,2.22,9.3,4.17,3.17,5,1.358,54
2021-06-06T00:00:00.000Z,2.02,8.44,3.78,2.8,7.1,2.127,59
2021-06-07T00:00:00.000Z,0.9,17.7,7.65,5.63,11.18,4.486,86
2021-06-08T00:00:00.000Z,2.88,9.85,4.75,4.25,6.47,1.762,71
2021-06-09T00:00:00.000Z,1.42,19.8,2.9,2.33,8.8,5.231,83
2021-06-10T00:00:00.000Z,1.8,14.55,3.38,2.68,5.34,2.064,57
2021-06-11T00:00:00.000Z,1.4,31,5.55,3.95,8.99,5.589,64
2021-06-12T00:00:00.000Z,2.15,22.7,4.07,3.59,5.25,2.715,61
2021-06-13T00:00:00.000Z,0.6,14.07,2.17,0.97,4.5,2.981,60
2021-06-14T00:00:00.000Z,2.22,9.13,4.9,3.4,5.88,1.65,70
2021-06-15T00:00:00.000Z,2.25,6.35,3.66,3.25,4.55,0.945,62
2021-06-16T00:00:00.000Z,1.35,6.05,2.42,2.1,2.7,0.858,58
2021-06-17T00:00:00.000Z,1.63,7.28,3.53,2.08,5.25,1.765,71
2021-06-18T00:00:00.000Z,1.42,9.4,4.28,2.75,6.95,2.378,73
2021-06-19T00:00:00.000Z,2.8,10.93,5.07,3.45,7.1,1.925,90
2021-06-20T00:00:00.000Z,1.45,11.02,5.43,3.53,7.3,2.176,87
2021-06-21T00:00:00.000Z,1.12,6.97,2.87,2.24,4.51,1.595,88
2021-06-22T00:00:00.000Z,1.3,8.02,4.4,2.8,5.5,1.624,75
2021-06-23T00:00:00.000Z,0.8,7.25,1.83,1.27,2.5,1.329,90
2021-06-24T00:00:00.000Z,1.85,8.13,4.21,3.09,6.3,1.741,80
2021-06-25T00:00:00.000Z,1.05,37.54,3.08,2.27,4.55,4.32,84
2021-06-26T00:00:00.000Z,2.1,9.6,4.13,3.45,6.58,1.89,89
2021-06-27T00:00:00.000Z,1.4,14.48,5.05,4.09,6.35,2.902,91
2021-06-28T00:00:00.000Z,2.95,8.6,5.2,4.01,6.52,1.481,88
2021-06-29T00:00:00.000Z,2.42,15.55,5.97,3.53,7.97,3.664,93
2021-06-30T00:00:00.000Z,3.15,17.6,6.7,5.99,7.71,3.84,88
2021-07-01T00:00:00.000Z,1.4,6.55,2.25,2,3.07,1.078,78
2021-07-02T00:00:00.000Z,1.55,9.27,3.93,2.92,4.88,1.924,68
2021-07-03T00:00:00.000Z,1.9,63.8,4.09,2.95,6.98,6.244,101
2021-07-04T00:00:00.000Z,1.75,8.13,5.53,2.97,6.78,1.906,75
2021-07-05T00:00:00.000Z,2.97,10.19,5.43,4.53,7.82,1.872,87
2021-07-06T00:00:00.000Z,0.98,10.63,2.38,1.83,6.77,3.083,91
2021-07-07T00:00:00.000Z,1.65,3.88,2.67,2.44,2.99,0.469,89
2021-07-08T00:00:00.000Z,1.3,5.38,2.42,1.88,3.7,0.997,79
2021-07-09T00:00:00.000Z,1.33,5.63,4.41,1.99,4.8,1.443,52
2021-07-10T00:00:00.000Z,1.1,110.55,3.74,2.13,5.55,13.413,90
2021-07-11T00:00:00.000Z,1.52,5.93,2.95,2.17,3.4,0.872,98
2021-07-12T00:00:00.000Z,0.88,4.07,1.6,1.37,2.6,0.81,74
2021-07-13T00:00:00.000Z,2,9.77,4.42,2.93,7.18,2.296,78
2021-07-14T00:00:00.000Z,6.2,19.35,10.11,8.44,12.02,3.074,78
2021-07-15T00:00:00.000Z,3.5,21.9,7.32,4.5,10.07,5.446,87
2021-07-16T00:00:00.000Z,3.03,12.27,6.2,4.42,7.78,2.147,85
2021-07-17T00:00:00.000Z,1.14,9.85,3.63,2.25,5.95,2.383,95
2021-07-18T00:00:00.000Z,0.75,29.15,2.17,1.55,3.8,3.248,78
2021-07-19T00:00:00.000Z,0.4,5.13,0.92,0.7,2.29,1.392,78
2021-07-20T00:00:00.000Z,1.58,10.25,3.05,2.4,4.08,1.641,88
2021-07-21T00:00:00.000Z,2.2,6.53,3.41,2.9,4.18,0.909,86
2021-07-22T00:00:00.000Z,2.04,148.4,4.53,3.03,5.4,18.564,60
2021-07-23T00:00:00.000Z,4.9,11.57,7.17,6.24,7.93,1.393,88
2021-07-24T00:00:00.000Z,2.27,8.8,3.7,3,4.32,1.424,87
2021-07-25T00:00:00.000Z,1.23,219.85,3.19,1.95,4.93,22.948,90
2021-07-26T00:00:00.000Z,1.9,10.5,4.2,2.67,7.37,2.52,83
2021-07-27T00:00:00.000Z,6.03,14.2,9.85,8.13,11.92,2.182,77
2021-07-28T00:00:00.000Z,3.17,11.07,5.42,4.7,7.05,1.835,98
2021-07-29T00:00:00.000Z,1,138.05,3.45,2.06,4.75,14.301,89
2021-07-30T00:00:00.000Z,1.92,5.95,3.7,3.1,4.3,0.86,85
2021-07-31T00:00:00.000Z,1.42,5.93,3,2.52,4.28,1.149,79
2021-08-01T00:00:00.000Z,1.08,4.38,2.36,1.75,2.95,0.814,80
2021-08-02T00:00:00.000Z,0.6,5.2,1.3,1.01,2.02,0.767,89
2021-08-03T00:00:00.000Z,0.98,2.9,1.6,1.4,1.95,0.422,70
2021-08-04T00:00:00.000Z,0.7,6.28,1.8,1.45,2.2,0.777,66
2021-08-05T00:00:00.000Z,1.14,4.18,2.35,1.93,2.95,0.699,79
2021-08-06T00:00:00.000Z,0.82,3.4,1.38,1.2,1.63,0.501,91
2021-08-07T00:00:00.000Z,1.05,5.05,1.73,1.48,1.9,0.545,91
2021-08-08T00:00:00.000Z,0.77,5,2.35,1.6,3,0.871,87
2021-08-09T00:00:00.000Z,1.23,6.68,3.1,2.5,4.13,1.259,76
2021-08-10T00:00:00.000Z,1.25,8.07,3.4,2.63,4.2,1.111,87
2021-08-11T00:00:00.000Z,0.7,8.88,3.3,2.33,5.2,1.893,75
2021-08-12T00:00:00.000Z,1.73,6.15,2.9,2.29,4.97,1.42,87
2021-08-13T00:00:00.000Z,1.45,27,5.71,2.78,8.43,4.925,134
2021-08-14T00:00:00.000Z,1.93,99.78,4.4,3.65,5.13,13.075,122
2021-08-15T00:00:00.000Z,1.2,8.85,3.25,2.54,3.78,0.99,123
2021-08-16T00:00:00.000Z,0.7,8.48,2.52,1.88,3.17,0.959,139
2021-08-17T00:00:00.000Z,0.6,5.13,1.45,1.1,2.77,1.027,139
2021-08-18T00:00:00.000Z,0.63,6.03,2.7,1.52,3.92,1.344,121
2021-08-19T00:00:00.000Z,0.82,6.57,1.9,1.48,2.37,1.247,140
2021-08-20T00:00:00.000Z,0.47,5.93,2.04,1,3.37,1.407,132
2021-08-21T00:00:00.000Z,0.4,4.47,2.1,1.5,2.54,0.865,135
2021-08-22T00:00:00.000Z,1.08,29.83,2.25,1.7,2.94,3.411,129
2021-08-23T00:00:00.000Z,0.9,5.68,2.38,1.9,2.8,0.697,143
2021-08-24T00:00:00.000Z,1.3,431.75,2.89,2.08,3.45,37.771,128
2021-08-25T00:00:00.000Z,0.3,8.47,1.3,0.51,4.88,2.472,137
2021-08-26T00:00:00.000Z,0.4,3.58,1.1,0.75,1.5,0.762,107
2021-08-27T00:00:00.000Z,0.63,3.6,2,1.23,2.42,0.732,110
2021-08-28T00:00:00.000Z,1.1,7.15,3.14,2.25,4.63,1.409,106
2021-08-29T00:00:00.000Z,2.5,9.4,5.72,4.84,6.47,1.263,107
2021-08-30T00:00:00.000Z,2.15,8.69,4.18,3.2,5.05,1.493,134
2021-08-31T00:00:00.000Z,2.29,7.57,3.63,3.2,4.45,1.012,139
2021-09-01T00:00:00.000Z,2.22,6.57,4.23,3.45,5.13,1.08,132
2021-09-02T00:00:00.000Z,1.1,14.93,5.95,4.7,12.27,4.433,115
2021-09-09T00:00:00.000Z,7.85,20.8,13.6,12.12,15.03,2.449,76
2021-09-10T00:00:00.000Z,5.53,38.95,10.25,6.67,16.23,6.027,121
2021-09-11T00:00:00.000Z,1,30.33,8.61,5.12,20.29,8.586,132
2021-09-12T00:00:00.000Z,1.5,17.98,5.9,3.47,8.73,4.281,115
