# Sensor Tistronvägen, Uppsala, Sweden (Citizen Science project sensor.community/56770)
# https://aqicn.org/station/@192520/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-01-30T00:00:00.000Z,9.9,15.83,12.87,9.9,15.83,2.965,2
2021-03-21T00:00:00.000Z,0.3,2.1,0.6,0.5,0.7,0.222,79
2021-03-22T00:00:00.000Z,0.17,63.7,0.67,0.5,0.97,6.186,235
2021-03-23T00:00:00.000Z,0.45,26.08,1.07,0.9,1.3,2.278,294
2021-03-24T00:00:00.000Z,2.4,9.19,4.79,3.87,5.43,1.152,180
2021-03-25T00:00:00.000Z,1.53,5.57,3.23,2.2,3.87,0.977,207
2021-03-26T00:00:00.000Z,1.93,19.67,5.33,3.38,6.5,4.627,175
2021-03-27T00:00:00.000Z,3.6,61.2,21.3,19.53,47.63,16.126,174
2021-03-28T00:00:00.000Z,0.3,41.97,2.6,1.83,9.9,14.052,111
2021-03-29T00:00:00.000Z,0.4,5.37,1.9,1.1,2.8,1.393,191
2021-03-30T00:00:00.000Z,0.83,4.4,2.02,1.4,2.9,0.821,215
2021-03-31T00:00:00.000Z,0.5,2.8,1.12,0.9,1.4,0.503,194
2021-04-01T00:00:00.000Z,0.2,1.6,0.6,0.42,0.8,0.248,176
2021-04-02T00:00:00.000Z,0.5,2.33,0.9,0.75,1.02,0.231,200
2021-04-03T00:00:00.000Z,0.37,6.3,0.87,0.7,1.1,0.489,208
2021-04-04T00:00:00.000Z,0.7,4.53,1.88,1.53,3.17,0.919,193
2021-04-05T00:00:00.000Z,0.27,5.9,0.9,0.7,1.2,0.574,142
2021-04-06T00:00:00.000Z,0.2,0.9,0.47,0.4,0.56,0.131,237
2021-04-07T00:00:00.000Z,0.27,3.6,1.3,1.02,1.6,0.488,166
2021-04-08T00:00:00.000Z,0.2,2.1,1,0.8,1.3,0.41,188
2021-04-09T00:00:00.000Z,0.33,2.8,1.2,0.8,1.72,0.627,185
2021-04-10T00:00:00.000Z,0.3,2.1,0.9,0.7,1.23,0.387,168
2021-04-11T00:00:00.000Z,0.56,13.1,1.3,1,1.62,1.238,101
2021-04-12T00:00:00.000Z,0.3,8.19,2.47,0.87,4.7,2.345,82
2021-04-13T00:00:00.000Z,0.2,17.1,1.02,0.8,1.33,1.794,116
2021-04-14T00:00:00.000Z,0.4,2.83,1,0.7,1.55,0.535,132
2021-04-15T00:00:00.000Z,0.77,3.03,1.63,1.38,2.1,0.453,102
2021-04-16T00:00:00.000Z,0.85,2.83,1.62,1.3,1.89,0.395,128
2021-04-17T00:00:00.000Z,0.77,2.9,1.58,1.2,2.06,0.504,144
2021-04-18T00:00:00.000Z,1.23,2.93,1.83,1.5,2.31,0.445,116
2021-04-19T00:00:00.000Z,1.3,4.63,2,1.8,2.22,0.51,104
2021-04-20T00:00:00.000Z,1.1,3.27,2,1.8,2.4,0.43,124
2021-04-21T00:00:00.000Z,0.97,5.6,2.29,1.59,2.8,0.843,124
2021-04-22T00:00:00.000Z,0.2,4.26,1.1,0.6,1.7,0.989,117
2021-04-23T00:00:00.000Z,0.2,7.27,0.77,0.63,0.95,1.461,105
2021-04-24T00:00:00.000Z,0.2,2.13,0.7,0.6,0.9,0.334,126
2021-04-25T00:00:00.000Z,0.5,10.33,0.87,0.7,1.1,1.279,161
2021-04-26T00:00:00.000Z,0.83,2.13,1.2,1,1.4,0.265,137
2021-04-27T00:00:00.000Z,0.9,3.1,1.6,1.19,1.9,0.46,129
2021-04-28T00:00:00.000Z,0.9,12.6,1.72,1.4,2.17,1.552,118
2021-04-29T00:00:00.000Z,1.1,2.83,1.67,1.4,2,0.361,114
2021-04-30T00:00:00.000Z,0.45,3.97,1.9,0.9,2.47,0.821,106
2021-05-01T00:00:00.000Z,0.7,25.73,1.6,1.1,2.73,2.436,135
2021-05-02T00:00:00.000Z,0.9,2.52,1.4,1.2,1.62,0.311,133
2021-05-03T00:00:00.000Z,1.12,4.4,1.6,1.5,1.8,0.59,124
2021-05-04T00:00:00.000Z,1.2,14.2,1.9,1.5,2.6,1.878,122
2021-05-05T00:00:00.000Z,0.5,3.6,1.17,0.8,1.63,0.657,127
2021-05-06T00:00:00.000Z,0.4,2.33,1.32,1,1.53,0.395,110
2021-05-07T00:00:00.000Z,1.4,4.2,2.5,1.93,2.97,0.611,123
2021-05-08T00:00:00.000Z,1.1,7.5,2.1,1.4,3.1,1.12,123
2021-05-09T00:00:00.000Z,1.4,20.63,2.93,2.5,10.07,5.955,141
2021-05-10T00:00:00.000Z,3.47,30.5,5.5,4.62,15.04,8.233,133
2021-05-11T00:00:00.000Z,1.2,7.1,3.2,1.7,5.63,1.942,123
2021-05-12T00:00:00.000Z,1.97,8.02,2.95,2.6,3.9,1.501,118
2021-05-13T00:00:00.000Z,2.6,18.27,7.88,6.1,12.83,3.759,143
2021-05-14T00:00:00.000Z,2.2,20.17,6.85,4.19,17.13,6.322,133
2021-05-15T00:00:00.000Z,0.9,10.7,5.4,3.67,7.27,2.286,147
2021-05-16T00:00:00.000Z,1.12,13,2.6,1.98,9.86,3.954,147
2021-05-17T00:00:00.000Z,0.63,9.93,3.07,1.54,5.74,2.284,132
2021-05-18T00:00:00.000Z,1,11.53,2.5,1.61,8.8,3.618,113
2021-05-19T00:00:00.000Z,1,3.93,1.88,1.5,2.5,0.587,151
2021-05-20T00:00:00.000Z,1.58,18.73,3.27,2.06,4,1.645,151
2021-05-21T00:00:00.000Z,0.63,3.87,1.5,1.2,1.73,0.489,139
2021-05-22T00:00:00.000Z,0.45,6.1,1.8,1.3,2.7,1.012,123
2021-05-23T00:00:00.000Z,0.9,9.36,4.62,1.23,5.6,2.254,162
2021-05-24T00:00:00.000Z,1.3,6.1,2.29,1.95,2.75,0.776,148
2021-05-25T00:00:00.000Z,0.9,9.77,2.99,1.62,5.01,2.381,164
2021-05-26T00:00:00.000Z,1.2,5.6,2.72,1.6,4,1.256,158
2021-05-27T00:00:00.000Z,0.2,3.9,1,0.5,1.73,1.022,149
2021-05-28T00:00:00.000Z,1.1,8.8,1.97,1.4,3.67,2.07,155
2021-05-29T00:00:00.000Z,1.47,4.09,2.04,1.8,2.49,0.528,132
2021-05-30T00:00:00.000Z,1.85,4.73,2.6,2.29,3.23,0.627,163
2021-05-31T00:00:00.000Z,1.27,4.37,2.29,1.9,2.58,0.534,128
2021-06-01T00:00:00.000Z,1,3.4,1.85,1.5,2.5,0.6,165
2021-06-02T00:00:00.000Z,1.5,3.57,2,1.9,2.4,0.534,138
2021-06-03T00:00:00.000Z,1.7,4.37,2.83,2.38,3.53,0.679,147
2021-06-04T00:00:00.000Z,1.7,4.93,2.54,2.33,2.9,0.739,147
2021-06-05T00:00:00.000Z,1.92,5.35,3.2,2.5,3.99,0.906,152
2021-06-06T00:00:00.000Z,2.29,5.38,3.42,2.89,4.03,0.715,188
2021-06-07T00:00:00.000Z,3.3,14.13,4.93,4.2,6.19,2.409,317
2021-06-08T00:00:00.000Z,4,21.67,6.93,5.63,13.53,4.915,238
2021-06-09T00:00:00.000Z,2.42,24.83,7.03,4.3,11.48,4.029,259
2021-06-10T00:00:00.000Z,1.3,6.13,3.33,1.75,4.05,1.189,177
2021-06-11T00:00:00.000Z,1.5,6.97,4.05,2.6,5.03,1.409,174
2021-06-12T00:00:00.000Z,1.1,9.69,2.73,1.65,4.93,1.923,159
2021-06-13T00:00:00.000Z,0.7,3,1.3,1.1,1.5,0.426,161
2021-06-14T00:00:00.000Z,1.4,5.88,2.2,2,2.65,1.064,190
2021-06-15T00:00:00.000Z,0.2,3.53,1,0.5,1.7,0.924,187
2021-06-16T00:00:00.000Z,0.37,4.37,1.65,1.3,2.75,1.022,167
2021-06-17T00:00:00.000Z,0.8,4.47,2.7,2.27,3.4,0.752,234
2021-06-18T00:00:00.000Z,0.7,12.98,6.28,3.3,9.5,3.225,241
2021-06-19T00:00:00.000Z,0.4,13.27,2.4,0.9,6.37,3.298,277
2021-06-20T00:00:00.000Z,3.8,15.3,6.65,5.89,8.05,2.207,304
2021-06-21T00:00:00.000Z,1.17,15.6,6.1,2.15,7.65,3.483,270
2021-06-22T00:00:00.000Z,1.97,21.73,9.36,5.64,14.07,5.094,224
2021-06-23T00:00:00.000Z,2,5.3,3.17,2.7,3.7,0.736,278
2021-06-24T00:00:00.000Z,2.35,11.43,4.37,3.45,4.9,1.805,263
2021-06-25T00:00:00.000Z,3.1,32.53,5.82,4.38,9.75,3.709,293
2021-06-26T00:00:00.000Z,1.4,11.6,2.57,2.04,5.82,2.909,304
2021-06-27T00:00:00.000Z,2.57,15.4,4.07,3.6,5.17,2.206,303
2021-06-28T00:00:00.000Z,2.5,13.2,7.03,4.93,8.24,2.24,289
