# Sensor Norra Sävviksvägen, Torslanda, Sweden (Citizen Science project sensor.community/57826)
# https://aqicn.org/station/@194215/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-02-17T00:00:00.000Z,6.88,33.35,10.39,8.98,14.83,6.648,64
2021-02-18T00:00:00.000Z,6.97,24.25,12.93,10.48,16.88,3.841,270
2021-02-19T00:00:00.000Z,6.35,39.45,15.08,10.88,18.85,7.323,232
2021-02-20T00:00:00.000Z,4.63,22.5,7.8,6.13,10.79,4.609,189
2021-02-21T00:00:00.000Z,7.07,34.45,16.12,14.1,20.23,6.939,258
2021-02-22T00:00:00.000Z,8.93,58.33,21.5,16.57,43.67,14.583,211
2021-02-23T00:00:00.000Z,4.3,98.63,30.24,12.32,45.15,23.338,226
2021-02-24T00:00:00.000Z,4.84,83.35,14.3,7.54,48.43,26.532,237
2021-02-25T00:00:00.000Z,3.97,12.95,8.69,6.5,10.45,2.247,234
2021-02-26T00:00:00.000Z,1.63,411.25,4,3.08,5.82,30.929,223
2021-02-27T00:00:00.000Z,0.9,18.57,2.04,1.35,4.3,3.528,171
2021-02-28T00:00:00.000Z,1.14,12.32,5.2,3.44,8.02,2.878,192
2021-03-01T00:00:00.000Z,2.78,20,5.2,4.68,6.15,3.761,134
2021-03-02T00:00:00.000Z,2.29,35,4.68,3.83,17.98,8.041,253
2021-03-03T00:00:00.000Z,5.57,33.38,14.17,9,21.3,7.507,228
2021-03-04T00:00:00.000Z,0.1,24.52,0.5,0.38,0.81,3.559,232
2021-03-05T00:00:00.000Z,0.1,13.2,0.55,0.4,0.75,1.143,212
2021-03-06T00:00:00.000Z,1.02,9.19,4.3,2.5,5.9,1.896,210
2021-03-07T00:00:00.000Z,0.1,9.73,0.47,0.3,0.92,2.482,257
2021-03-08T00:00:00.000Z,0.2,147.19,0.5,0.4,0.73,11.314,202
2021-03-09T00:00:00.000Z,0.5,43.7,3.1,2.04,3.88,2.982,249
2021-03-10T00:00:00.000Z,0.65,8.44,2.8,1.3,3.82,1.45,225
2021-03-11T00:00:00.000Z,3,24.17,12.03,7.45,16.75,5.36,194
2021-03-12T00:00:00.000Z,2.95,18.88,5.88,4.53,6.9,1.773,211
2021-03-13T00:00:00.000Z,1.58,69.43,2.99,2.38,4.07,5.933,130
2021-03-14T00:00:00.000Z,1.17,110.78,2.7,2.25,4.49,10.9,244
2021-03-15T00:00:00.000Z,0.1,7.78,1.2,0.7,1.89,1.351,216
2021-03-16T00:00:00.000Z,0.4,43.78,1.6,1,2.27,3.195,231
2021-03-17T00:00:00.000Z,0.1,3.33,0.82,0.5,1.32,0.576,253
2021-03-18T00:00:00.000Z,0.2,13.9,0.98,0.6,1.3,1.214,237
2021-03-19T00:00:00.000Z,0.2,2.57,0.69,0.48,0.89,0.361,112
2021-03-20T00:00:00.000Z,0.9,5.63,3.08,2.25,3.8,1.118,110
2021-03-21T00:00:00.000Z,0.5,1.2,0.7,0.63,0.85,0.165,85
2021-03-22T00:00:00.000Z,0.5,8.3,1.42,1.1,2.65,1.782,231
2021-03-23T00:00:00.000Z,1.73,15.38,5.09,3.7,7.55,3.009,293
2021-03-24T00:00:00.000Z,10.63,31.55,21.42,16.39,25.34,5.321,173
2021-03-25T00:00:00.000Z,5.95,30.7,14.67,12.68,18.07,4.69,210
2021-03-26T00:00:00.000Z,10.27,70.22,34.92,27.44,51.31,14.205,128
2021-03-27T00:00:00.000Z,0.63,63.03,1.27,1,2.54,12.554,38
2021-03-28T00:00:00.000Z,3.05,15,5.43,3.1,13.27,4.633,7
2021-03-29T00:00:00.000Z,7.13,15.48,8.93,8.03,10.96,2.172,21
2021-03-30T00:00:00.000Z,3.83,10.55,5.89,5.28,6.85,1.124,118
2021-03-31T00:00:00.000Z,0.08,39.53,18.07,11.42,22.78,8.779,193
2021-04-01T00:00:00.000Z,0.1,5.32,0.5,0.31,1.09,0.747,173
2021-04-02T00:00:00.000Z,0.15,11.25,1.1,0.32,2.9,2.598,195
2021-04-03T00:00:00.000Z,0.1,95.25,0.59,0.35,1,14.597,196
2021-04-04T00:00:00.000Z,1,13.73,3.99,2.54,7.79,3.341,144
2021-04-05T00:00:00.000Z,0.22,3.2,1.17,0.7,1.84,0.677,141
2021-04-06T00:00:00.000Z,0.2,2.02,0.85,0.6,1.1,0.331,239
2021-04-07T00:00:00.000Z,0.3,6.72,0.6,0.4,0.98,0.78,161
2021-04-08T00:00:00.000Z,0.3,10.25,1.08,0.75,2.22,2.373,182
2021-04-09T00:00:00.000Z,1,11.1,3.33,2.42,4.5,2.553,187
2021-04-10T00:00:00.000Z,0.52,3.22,1.64,1.3,2.17,0.593,158
2021-04-11T00:00:00.000Z,0.3,29.23,2.09,1.04,2.5,3.71,92
2021-04-12T00:00:00.000Z,0.08,2.29,1,0.56,1.32,0.541,69
2021-04-13T00:00:00.000Z,0.1,3.1,0.5,0.39,0.75,0.63,116
2021-04-14T00:00:00.000Z,0.1,0.95,0.4,0.3,0.5,0.155,128
2021-04-15T00:00:00.000Z,0.2,1.1,0.6,0.5,0.77,0.164,95
2021-04-16T00:00:00.000Z,0.6,1.38,0.93,0.8,1.1,0.198,125
2021-04-17T00:00:00.000Z,0.6,1.58,1,0.85,1.2,0.217,148
2021-04-18T00:00:00.000Z,0.55,9.05,1.17,0.8,1.4,0.769,133
2021-04-19T00:00:00.000Z,0.85,2.27,1.4,1.14,1.6,0.303,129
2021-04-20T00:00:00.000Z,1.14,21.83,1.95,1.7,2.35,3.318,112
2021-04-21T00:00:00.000Z,0.3,25.2,2.35,0.99,14.94,7.633,61
2021-04-22T00:00:00.000Z,0.2,1.38,0.5,0.4,0.6,0.264,65
2021-04-23T00:00:00.000Z,0.2,3,0.47,0.32,0.65,0.752,67
2021-04-24T00:00:00.000Z,0.1,12.1,0.52,0.31,0.75,1.142,125
2021-04-25T00:00:00.000Z,0,1.38,0.3,0.2,0.7,0.326,132
2021-04-26T00:00:00.000Z,0.1,1,0.4,0.3,0.5,0.156,124
2021-04-27T00:00:00.000Z,0.3,1.6,0.59,0.44,0.8,0.331,116
2021-04-28T00:00:00.000Z,0.5,1.33,0.8,0.65,0.93,0.198,58
2021-04-29T00:00:00.000Z,0.75,4.3,1.2,1.02,1.6,0.485,83
2021-04-30T00:00:00.000Z,0.3,2.04,0.9,0.73,1.1,0.305,104
2021-05-01T00:00:00.000Z,0.4,8.57,1.4,1.04,1.74,0.864,136
2021-05-02T00:00:00.000Z,1.2,6.95,2.63,2.1,3.65,1.299,121
2021-05-03T00:00:00.000Z,0.6,2.95,1.45,1.1,1.8,0.503,120
2021-05-04T00:00:00.000Z,0.9,9.65,3.75,1.83,5.72,2.463,119
2021-05-05T00:00:00.000Z,0,4.2,0.6,0.2,1.1,0.706,125
2021-05-06T00:00:00.000Z,0,2.22,1.2,0.75,1.49,0.582,109
2021-05-07T00:00:00.000Z,0.8,5.75,1.7,1.3,2.42,0.859,121
2021-05-08T00:00:00.000Z,0.98,4.55,2.1,1.54,2.75,0.751,121
2021-05-09T00:00:00.000Z,1,30.05,5.09,1.9,8.86,6.837,141
2021-05-10T00:00:00.000Z,2.2,31,4.78,3.74,8.1,6.341,133
2021-05-11T00:00:00.000Z,0.8,38.47,3.22,1.65,15.36,11.219,121
2021-05-12T00:00:00.000Z,1.65,6.85,3.33,2.96,4.05,0.993,116
2021-05-13T00:00:00.000Z,1.73,12.52,7.03,5.6,8.57,2.575,144
2021-05-14T00:00:00.000Z,3.7,26.13,7.72,5.23,12.39,4.894,132
2021-05-15T00:00:00.000Z,0.4,8.85,3,2.29,4.8,1.943,147
2021-05-16T00:00:00.000Z,1,11.02,3.24,2.46,4.84,2.091,148
2021-05-17T00:00:00.000Z,0.98,19.95,4.7,2.34,7.6,4.613,133
2021-05-18T00:00:00.000Z,0.8,12.48,3.53,2.29,4.04,1.762,112
2021-05-19T00:00:00.000Z,1.1,5.6,2.88,2.4,4.3,1.202,146
2021-05-20T00:00:00.000Z,1.23,3.22,1.84,1.7,2.02,0.331,150
2021-05-21T00:00:00.000Z,0.4,3.72,1.98,1.6,2.29,0.529,145
2021-05-22T00:00:00.000Z,0.7,8.02,2.08,1.6,2.38,0.976,122
2021-05-23T00:00:00.000Z,0.8,8.77,2.45,1.65,3.1,1.471,163
2021-05-24T00:00:00.000Z,0.5,3.45,1,0.8,1.72,0.756,148
2021-05-25T00:00:00.000Z,0.7,3.1,1.3,1.1,1.7,0.438,163
2021-05-26T00:00:00.000Z,0.3,2.13,0.55,0.43,0.96,0.397,161
2021-05-27T00:00:00.000Z,0.6,2.29,1.05,0.85,1.3,0.423,147
2021-05-28T00:00:00.000Z,0.9,13.32,3.88,2.02,9.02,3.587,149
2021-05-29T00:00:00.000Z,1.88,22.08,10.92,4.03,15.43,6.328,74
2021-05-30T00:00:00.000Z,1.8,14.73,3.21,2.45,4.22,2.71,82
2021-05-31T00:00:00.000Z,4.5,52.28,14.2,10.03,16.09,6.578,132
2021-06-01T00:00:00.000Z,0.8,25.45,11.93,1.33,19.1,8.571,94
2021-06-02T00:00:00.000Z,1.3,4.88,2.29,1.98,3.5,0.859,135
2021-06-03T00:00:00.000Z,1.35,3.25,1.8,1.6,1.95,0.318,62
2021-06-04T00:00:00.000Z,1.48,3.6,2.8,2.4,3.21,0.542,48
2021-06-05T00:00:00.000Z,2.15,6.05,3.62,3.17,4.95,0.98,112
2021-06-06T00:00:00.000Z,1.5,23.4,4.09,3.04,4.82,2.418,152
2021-06-07T00:00:00.000Z,0.8,22.67,8.38,1.73,14.18,6.661,241
2021-06-08T00:00:00.000Z,1.67,12.32,2.52,2.25,3.72,1.597,117
2021-06-09T00:00:00.000Z,1.1,27.35,4.18,2.84,15.47,7.974,176
2021-06-10T00:00:00.000Z,1.8,14.8,8.18,4.83,12.27,3.999,165
2021-06-11T00:00:00.000Z,3.1,35.4,4.34,3.7,6.95,6.518,170
2021-06-12T00:00:00.000Z,1.98,6.3,4.13,3.41,4.75,1.028,161
2021-06-13T00:00:00.000Z,0.35,14.13,3.26,0.73,4.93,3.095,114
2021-06-14T00:00:00.000Z,1.4,10.38,4.03,3.3,4.9,1.903,187
2021-06-15T00:00:00.000Z,1.48,9.32,2.8,2.41,3.5,0.894,165
2021-06-16T00:00:00.000Z,1.1,3.2,1.95,1.7,2.21,0.412,156
2021-06-17T00:00:00.000Z,1,6.57,2.59,1.8,3.3,1.218,194
2021-06-18T00:00:00.000Z,1.5,20.32,6.1,3.47,8.5,4.211,223
2021-06-19T00:00:00.000Z,1.5,10.77,3.54,2,7.18,2.64,64
2021-06-20T00:00:00.000Z,0.47,11.9,4.03,1.83,5.97,2.721,202
2021-06-21T00:00:00.000Z,0.65,5.65,3.03,1.8,4.07,1.233,265
2021-06-22T00:00:00.000Z,0.8,5.53,3.7,2.4,4.12,1.224,225
2021-06-23T00:00:00.000Z,0.3,5.03,1.76,0.9,3.53,1.289,224
2021-06-24T00:00:00.000Z,2.52,7.55,5.18,4.44,6.35,1.188,73
2021-06-25T00:00:00.000Z,1.3,19.92,4.76,2,6.65,3.67,130
2021-06-26T00:00:00.000Z,1.05,14.15,5.56,3,9.03,3.512,308
2021-06-27T00:00:00.000Z,2.04,7.93,4.18,3.04,4.87,1.126,301
2021-06-28T00:00:00.000Z,4.13,9.8,6.02,5.5,7.25,1.167,276
2021-06-29T00:00:00.000Z,4.55,21.58,6.63,5.85,7.5,2.47,236
2021-06-30T00:00:00.000Z,5.18,23.15,6.47,6.12,7.18,3.863,165
2021-07-01T00:00:00.000Z,1.05,6.55,2,1.7,2.72,1.027,248
2021-07-02T00:00:00.000Z,1.7,10.43,3.13,2.29,3.92,2.699,154
2021-07-03T00:00:00.000Z,2.25,15.32,5.22,3.59,10.15,3.498,241
2021-07-04T00:00:00.000Z,3.28,8.85,5.81,5.01,6.99,1.241,276
2021-07-05T00:00:00.000Z,2.67,9.94,4.97,3.92,5.75,1.325,175
2021-07-06T00:00:00.000Z,2.97,7.2,3.26,3.13,4.94,1.572,8
2021-07-08T00:00:00.000Z,0.93,3.38,1.3,1.2,1.5,0.525,47
2021-07-09T00:00:00.000Z,1.23,4.2,2.97,2.17,3.7,0.824,115
2021-07-19T00:00:00.000Z,0.4,5.53,0.5,0.4,0.68,1.16,55
2021-07-20T00:00:00.000Z,2.02,11.35,3.42,2.99,4.88,1.872,53
2021-07-21T00:00:00.000Z,2.63,6.68,3.85,3.44,4.65,0.807,137
2021-07-22T00:00:00.000Z,2.42,8.02,3.91,3.42,5.8,1.31,98
2021-07-23T00:00:00.000Z,10.7,17.25,15.1,12.08,16.14,2.019,53
