# Sensor Gullvivevägen, Uppsala, Sweden (Citizen Science project sensor.community/60612)
# https://aqicn.org/station/@198559/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,3.1,7.73,4.23,3.97,4.95,0.905,329
2021-09-08T00:00:00.000Z,2.04,8.47,3.53,2.8,5.62,1.738,580
2021-09-09T00:00:00.000Z,3.37,14.07,6.4,5.38,8.36,2.052,505
2021-09-10T00:00:00.000Z,3,21.67,5.07,4.17,6.8,4.059,342
2021-09-11T00:00:00.000Z,8.93,21.15,13.22,11.47,15.63,2.73,566
2021-09-12T00:00:00.000Z,0.83,30.87,6.8,5.22,18.29,7.97,565
2021-09-13T00:00:00.000Z,0.7,2.29,1.3,1.1,1.6,0.33,563
2021-09-14T00:00:00.000Z,1.1,3.2,1.67,1.5,1.85,0.376,582
2021-09-15T00:00:00.000Z,0.6,3.07,1.45,1.2,2.25,0.588,569
2021-09-16T00:00:00.000Z,1.6,5.13,2.9,2.2,3.77,0.907,570
2021-09-17T00:00:00.000Z,2.2,8.19,3.6,3,4.37,0.785,564
2021-09-18T00:00:00.000Z,1.93,8.4,2.73,2.4,3.13,0.537,574
2021-09-19T00:00:00.000Z,1.73,4.13,2.67,2.3,3.2,0.54,568
2021-09-20T00:00:00.000Z,2.7,5.27,3.6,3.3,3.9,0.426,569
2021-09-21T00:00:00.000Z,2.6,5.2,3.8,3.23,4.2,0.581,579
2021-09-22T00:00:00.000Z,1.5,8.27,3.5,2.37,4.59,1.317,574
2021-09-23T00:00:00.000Z,0.3,7.47,1.7,1.2,4.47,1.931,578
2021-09-24T00:00:00.000Z,0.5,8.33,1.07,0.87,1.3,0.743,571
2021-09-25T00:00:00.000Z,0.43,5.83,1.07,0.8,3.6,1.557,573
2021-09-26T00:00:00.000Z,0.5,2.77,1.1,0.93,1.3,0.289,551
2021-09-27T00:00:00.000Z,0.67,6.9,1.57,1.3,2.27,1.326,474
2021-09-28T00:00:00.000Z,1.97,7.97,3.53,2.52,5.57,1.722,567
2021-09-29T00:00:00.000Z,3.4,9.4,5.9,4.5,6.77,1.489,558
2021-09-30T00:00:00.000Z,2.77,14.87,6.1,5.09,7.13,2.314,567
2021-10-01T00:00:00.000Z,1.1,4.63,2.5,2.1,2.9,0.687,548
2021-10-02T00:00:00.000Z,2.83,14.87,4.83,4.01,9.9,3.57,556
2021-10-03T00:00:00.000Z,9.33,22.67,13.73,12.23,15.63,2.683,561
2021-10-04T00:00:00.000Z,1.9,30.87,10.27,4.95,14.5,7.625,568
2021-10-05T00:00:00.000Z,1.93,18.93,5.69,3.71,9.17,4.16,584
2021-10-06T00:00:00.000Z,1.6,19.63,5.71,2.27,13.22,5.745,572
2021-10-07T00:00:00.000Z,2.4,7.63,4.63,3.59,5.73,1.256,572
2021-10-08T00:00:00.000Z,2.02,12.7,3.7,2.93,7.2,2.928,568
2021-10-09T00:00:00.000Z,3.8,16.13,8.1,5.9,9.47,2.037,568
2021-10-10T00:00:00.000Z,3.8,11.93,5.9,5.27,7.4,2.011,573
2021-10-11T00:00:00.000Z,0.8,18.27,3.3,2.02,11.57,5.144,579
2021-10-12T00:00:00.000Z,0.4,2.23,0.9,0.8,1.1,0.254,574
2021-10-13T00:00:00.000Z,0.53,2.17,1.15,1,1.4,0.284,572
2021-10-14T00:00:00.000Z,1,3.77,1.85,1.43,2.4,0.56,570
2021-10-15T00:00:00.000Z,0.4,3.83,1.2,0.87,2.5,0.9,564
2021-10-16T00:00:00.000Z,0.67,3.27,1.23,1.03,1.5,0.337,579
2021-10-17T00:00:00.000Z,0.6,1.97,1.03,0.95,1.2,0.197,573
2021-10-18T00:00:00.000Z,0.5,2.1,1.1,0.97,1.25,0.237,555
2021-10-19T00:00:00.000Z,1.08,22.03,1.9,1.6,2.59,5.059,580
2021-10-20T00:00:00.000Z,0.87,11.1,2.22,1.67,5.09,2.343,556
2021-10-21T00:00:00.000Z,0.4,5.09,2.1,1.4,2.43,0.837,572
2021-10-22T00:00:00.000Z,0.3,2.63,0.8,0.67,1,0.283,568
2021-10-23T00:00:00.000Z,0.98,4.53,1.42,1.3,1.65,0.308,569
2021-10-24T00:00:00.000Z,1.07,8,1.9,1.6,3,0.882,561
2021-10-25T00:00:00.000Z,1.8,8.4,3.77,3.08,5.09,1.489,575
2021-10-26T00:00:00.000Z,1.23,12.6,2.77,2.1,8.3,3.321,564
2021-10-27T00:00:00.000Z,1.4,11.13,2.7,2.2,3.9,1.481,549
2021-10-28T00:00:00.000Z,1.6,9.63,3.3,2.2,4.47,1.358,541
2021-10-29T00:00:00.000Z,6.33,36.17,10,8.8,13.47,7.153,567
2021-10-30T00:00:00.000Z,11.93,47.9,19.77,17,23.5,5.745,575
2021-10-31T00:00:00.000Z,4.97,43.47,16.43,7.57,29.63,11.432,550
2021-11-01T00:00:00.000Z,5.93,32.57,17.87,14,20.39,4.967,543
2021-11-02T00:00:00.000Z,13.83,34.67,20.67,17.57,25.9,5.295,507
2021-11-03T00:00:00.000Z,13.1,29.07,19.93,17.17,22.77,3.493,541
2021-11-04T00:00:00.000Z,1.2,24.5,2.4,1.89,3.76,2.695,568
2021-11-05T00:00:00.000Z,1.2,4.59,1.87,1.6,2.29,0.581,569
2021-11-06T00:00:00.000Z,0.6,2.27,1.5,1.3,1.7,0.311,554
2022-02-01T00:00:00.000Z,1.12,6.75,2.2,1.9,2.64,0.756,376
2022-02-02T00:00:00.000Z,1.3,5.82,2.33,1.98,2.7,0.521,533
