# Sensor Lövstavägen, Upplands Väsby, Sweden (Citizen Science project sensor.community/70832)
# https://aqicn.org/station/@250030/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-03-02T00:00:00.000Z,0.7,5.4,2.54,1.25,3.42,1.164,175
2022-03-03T00:00:00.000Z,0.28,3.45,0.8,0.6,1.12,0.425,553
2022-03-04T00:00:00.000Z,0.1,15.3,1.27,0.88,3.18,2.724,569
2022-03-05T00:00:00.000Z,0.4,8.23,1.48,0.93,2.34,1.162,569
2022-03-06T00:00:00.000Z,0.2,5.68,1.1,0.8,1.63,0.806,558
2022-03-07T00:00:00.000Z,0.3,9.63,1.25,0.9,2.15,1.092,579
2022-03-08T00:00:00.000Z,0.88,11.38,2.45,1.75,3.66,1.324,560
2022-03-09T00:00:00.000Z,1,11.07,2.33,1.8,2.88,0.92,567
2022-03-10T00:00:00.000Z,0.63,6.03,2.42,1.3,3.72,1.329,568
2022-03-11T00:00:00.000Z,1.6,29.9,5.37,3.75,7.1,2.275,568
2022-03-12T00:00:00.000Z,1.5,40.54,5.7,3.85,9.4,6.112,559
2022-03-13T00:00:00.000Z,1.14,17.95,8.68,3.78,11.49,4.081,541
2022-03-14T00:00:00.000Z,4.78,28.77,16.39,13.01,19.62,5,568
2022-03-15T00:00:00.000Z,11.6,33.67,21.23,16.92,24.1,5.648,567
2022-03-16T00:00:00.000Z,14.68,37.47,23.1,20.86,25.52,3.717,560
2022-03-17T00:00:00.000Z,4.59,25,11.38,8.01,19.38,5.914,560
2022-03-18T00:00:00.000Z,0.8,26.45,2.7,1.67,12.86,8.379,548
2022-03-19T00:00:00.000Z,0.4,16.13,1.98,1.25,4.09,2.727,574
2022-03-20T00:00:00.000Z,0.88,8.13,2,1.52,2.72,0.922,560
2022-03-21T00:00:00.000Z,3.72,25.83,13.2,9.9,15.64,4.512,540
2022-03-22T00:00:00.000Z,10.7,44.2,16.42,14.58,21,4.775,569
2022-03-23T00:00:00.000Z,3.1,25.77,6.82,5.05,11.94,5.546,561
2022-03-24T00:00:00.000Z,4.09,10.19,5.96,5.47,6.43,0.912,552
2022-03-25T00:00:00.000Z,0.2,14.43,6.4,2.8,9.77,3.724,567
2022-03-26T00:00:00.000Z,0.2,9.94,1.1,0.7,1.83,1.305,575
2022-03-27T00:00:00.000Z,0.2,6.28,1.08,0.8,1.55,0.851,560
2022-03-28T00:00:00.000Z,0.1,6.4,1,0.69,2.38,1.351,561
2022-03-29T00:00:00.000Z,0.1,9.44,0.9,0.67,1.5,1.094,568
2022-03-30T00:00:00.000Z,0.2,7.03,0.98,0.7,2.5,1.51,559
2022-03-31T00:00:00.000Z,0.4,8.77,2.29,1.12,3.55,1.555,574
2022-04-01T00:00:00.000Z,0.25,11.68,2.15,1.04,3.33,2.182,541
2022-04-02T00:00:00.000Z,0.35,6.82,2.25,1.14,3.67,1.476,506
2022-04-03T00:00:00.000Z,0,12.32,0.52,0.32,0.88,0.771,571
2022-04-04T00:00:00.000Z,0,3.92,0.7,0.3,1.52,0.84,567
2022-04-05T00:00:00.000Z,0.1,3.8,0.55,0.4,0.75,0.42,558
2022-04-06T00:00:00.000Z,0.1,31.17,0.7,0.43,1.05,1.594,546
2022-04-07T00:00:00.000Z,0.1,14.3,0.99,0.7,1.35,1.847,568
2022-04-08T00:00:00.000Z,0.3,6.38,1.2,0.77,1.73,0.945,575
2022-04-09T00:00:00.000Z,0.3,3.35,0.8,0.63,0.95,0.311,531
2022-04-10T00:00:00.000Z,0,7.7,0.43,0.3,0.64,0.458,569
2022-04-11T00:00:00.000Z,0.2,23.3,0.85,0.6,2.58,3.392,566
2022-04-12T00:00:00.000Z,0.2,10.5,1.58,0.65,3.13,1.655,579
2022-04-13T00:00:00.000Z,0.4,12.32,1.58,1.1,2.38,1.216,562
2022-04-14T00:00:00.000Z,0.75,11.02,4.03,2.72,6.85,2.469,563
2022-04-15T00:00:00.000Z,0.08,4.47,0.63,0.3,1.6,0.88,576
2022-04-16T00:00:00.000Z,0.03,6.78,0.6,0.4,0.85,0.528,578
2022-04-17T00:00:00.000Z,0.2,4.63,0.85,0.65,1.12,0.42,567
2022-04-18T00:00:00.000Z,0.47,4.34,1.3,1,1.67,0.54,570
2022-04-19T00:00:00.000Z,0.35,2.83,1.02,0.75,1.3,0.465,562
2022-04-20T00:00:00.000Z,0.5,4.59,1.58,1.14,2.04,0.656,557
2022-04-21T00:00:00.000Z,0.32,2.45,1,0.82,1.2,0.29,570
2022-04-22T00:00:00.000Z,0.3,2.54,0.9,0.7,1.3,0.41,569
2022-04-23T00:00:00.000Z,0.13,4.7,0.73,0.55,0.99,0.413,573
2022-04-24T00:00:00.000Z,0.3,3.72,1.42,0.97,2.06,0.75,577
2022-04-25T00:00:00.000Z,0.3,4.38,1.65,1.23,2,0.675,552
2022-04-26T00:00:00.000Z,0,3.55,0.5,0.3,0.73,0.373,552
2022-04-27T00:00:00.000Z,0.1,3.42,0.63,0.43,1.08,0.492,566
2022-04-28T00:00:00.000Z,0,3.28,0.88,0.5,1.3,0.548,556
2022-04-29T00:00:00.000Z,0.1,3.1,0.6,0.4,0.95,0.494,569
2022-04-30T00:00:00.000Z,0.3,9.9,1.35,0.8,2.88,1.855,578
2022-05-01T00:00:00.000Z,0.1,7.9,0.8,0.4,1.4,1.249,515
2022-05-02T00:00:00.000Z,0,2.47,0.85,0.52,1.1,0.447,461
2022-05-03T00:00:00.000Z,0.13,3.08,0.7,0.5,1,0.452,543
2022-05-04T00:00:00.000Z,0.2,4.95,0.85,0.56,1.35,0.626,579
2022-05-05T00:00:00.000Z,0.85,10.23,2.2,1.92,2.63,0.819,562
2022-05-06T00:00:00.000Z,0.8,6.18,2.09,1.73,2.52,0.802,568
2022-05-07T00:00:00.000Z,0.38,9.25,1.17,0.77,4.25,2.479,575
2022-05-08T00:00:00.000Z,0.2,6.82,0.65,0.5,0.8,0.362,561
2022-05-09T00:00:00.000Z,0.43,3.17,1.12,0.9,1.48,0.42,539
2022-05-10T00:00:00.000Z,0.56,7.65,2.35,1.42,3.88,1.677,519
2022-05-11T00:00:00.000Z,1,6.28,2.33,1.84,3,0.824,516
2022-05-12T00:00:00.000Z,0.1,5.05,1.38,0.8,2.47,1.022,523
2022-05-13T00:00:00.000Z,0.4,11.3,1.48,1.01,1.95,0.823,528
2022-05-14T00:00:00.000Z,0.1,3.75,1.23,0.8,1.57,0.581,549
2022-05-15T00:00:00.000Z,0,2.04,0.4,0.25,0.6,0.362,542
2022-05-16T00:00:00.000Z,0.1,3.03,0.63,0.4,0.81,0.337,528
2022-05-17T00:00:00.000Z,0.1,2.08,0.63,0.45,0.9,0.357,538
2022-05-18T00:00:00.000Z,0.47,4.3,1,0.85,1.23,0.391,520
2022-05-19T00:00:00.000Z,0.68,3.2,1.65,1.38,1.95,0.434,512
2022-05-20T00:00:00.000Z,0.93,13.18,2.65,1.8,3.6,1.251,517
2022-05-21T00:00:00.000Z,0.6,3.42,1.7,1.4,2,0.45,519
2022-05-22T00:00:00.000Z,1.02,5.09,1.8,1.5,2.29,0.668,506
2022-05-23T00:00:00.000Z,1,54.13,1.95,1.58,2.6,2.358,532
2022-05-24T00:00:00.000Z,1,4.59,2.22,1.83,2.8,0.648,535
2022-05-25T00:00:00.000Z,0.4,12.75,2.1,1.39,4.54,2.105,496
2022-05-26T00:00:00.000Z,0.25,4.03,0.9,0.63,1.2,0.452,505
2022-05-27T00:00:00.000Z,0.05,3,0.8,0.52,1.2,0.525,489
2022-05-28T00:00:00.000Z,0.3,18.82,2.04,1.2,2.6,1.187,522
2022-05-29T00:00:00.000Z,0.2,3.33,0.8,0.6,1.14,0.482,454
2022-05-30T00:00:00.000Z,0.1,2.25,0.9,0.5,1.14,0.417,466
2022-05-31T00:00:00.000Z,1.1,9.32,4.8,3.14,6.2,2.053,493
2022-06-01T00:00:00.000Z,0.5,4.93,1.75,1.2,2.8,1.064,491
