# Sensor Aspvägen, Hallstavik, Sweden (Citizen Science project sensor.community/73283)
# https://aqicn.org/station/@345007/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-06-12T00:00:00.000Z,1.4,2.93,1.9,1.7,2.02,0.26,123
2022-06-13T00:00:00.000Z,0.9,8.43,2.17,1.6,2.77,1.21,462
2022-06-14T00:00:00.000Z,0.7,3.8,1.49,1.2,1.9,0.517,366
2022-06-15T00:00:00.000Z,0.5,14.33,1.1,0.9,1.44,2.023,488
2022-06-16T00:00:00.000Z,0.6,15.57,1.14,0.93,1.63,3.326,504
2022-06-17T00:00:00.000Z,0.45,20.77,1.23,1,1.5,1.342,442
2022-06-18T00:00:00.000Z,0.6,6.35,2.29,1.42,4,1.513,503
2022-06-19T00:00:00.000Z,0.5,10.23,1,0.82,1.33,1.591,462
2022-06-20T00:00:00.000Z,0.9,3.45,2.33,1.92,2.58,0.493,373
2022-06-21T00:00:00.000Z,1,20.47,2.54,1.94,3.2,3.688,364
2022-06-22T00:00:00.000Z,1.5,7.07,2.6,2.2,2.97,0.587,350
2022-06-23T00:00:00.000Z,1,29.27,1.7,1.5,2.1,1.728,312
2022-06-24T00:00:00.000Z,0.7,28.87,2.29,1.83,3.5,5.267,563
2022-06-25T00:00:00.000Z,2.06,13.53,4,3.08,4.9,2.107,575
2022-06-26T00:00:00.000Z,2.78,14.88,4.43,3.88,5.13,2.183,579
2022-06-27T00:00:00.000Z,2.83,17.48,5.09,3.8,6.23,2.321,546
2022-06-28T00:00:00.000Z,1.77,15.6,5.99,4.5,8.77,2.573,546
2022-06-29T00:00:00.000Z,1.5,12.47,4.3,3.2,6,2.924,546
2022-06-30T00:00:00.000Z,3.6,20.25,8.19,7.3,10.02,3.659,561
2022-07-01T00:00:00.000Z,3,11.75,6.35,4.33,7.68,2.225,561
2022-07-02T00:00:00.000Z,0.7,14.6,1.8,1.14,5.13,4.196,563
2022-07-03T00:00:00.000Z,0.7,10.9,1.48,1.27,1.75,1.162,533
2022-07-04T00:00:00.000Z,0.7,9.32,1.55,1.3,2.13,1.232,554
2022-07-05T00:00:00.000Z,0.4,3.8,0.95,0.7,1.3,0.513,536
2022-07-06T00:00:00.000Z,0.4,4,0.9,0.7,1.1,0.477,559
2022-07-07T00:00:00.000Z,0.4,1.77,0.88,0.7,1.05,0.267,371
2022-07-08T00:00:00.000Z,0.4,4.34,0.9,0.7,1.1,0.385,544
2022-07-09T00:00:00.000Z,0.3,13.8,0.95,0.6,1.49,0.876,548
2022-07-10T00:00:00.000Z,0.3,25.37,0.75,0.6,0.93,1.341,551
2022-07-11T00:00:00.000Z,0.4,86.77,0.9,0.8,1.12,3.703,553
2022-07-12T00:00:00.000Z,0.5,11.35,1.1,0.9,1.42,2.297,564
2022-07-13T00:00:00.000Z,0.7,12.35,1.5,1.3,2.27,2.614,523
2022-07-14T00:00:00.000Z,0.3,17.88,0.8,0.6,1.07,1.355,542
2022-07-15T00:00:00.000Z,0.3,1.48,0.6,0.43,0.73,0.234,510
2022-07-16T00:00:00.000Z,0.3,2,0.68,0.5,0.85,0.256,575
2022-07-17T00:00:00.000Z,0.3,6.95,0.65,0.5,0.9,0.618,585
2022-07-18T00:00:00.000Z,0.4,17.45,1.5,0.88,2.1,1.314,568
2022-07-19T00:00:00.000Z,0.4,93.05,1.25,0.83,3.19,4.664,580
2022-07-20T00:00:00.000Z,0.6,8.94,3.03,1.58,3.75,1.566,575
2022-07-21T00:00:00.000Z,3.6,17.95,5.15,4.59,5.87,2.585,578
2022-07-22T00:00:00.000Z,0.9,7.93,2,1.47,4.32,1.85,583
2022-07-23T00:00:00.000Z,0.38,2.63,0.9,0.7,1.1,0.304,570
2022-07-24T00:00:00.000Z,0.5,13.53,0.96,0.77,2.2,2.465,568
2022-07-25T00:00:00.000Z,1.7,20.73,2.78,2.54,3.08,0.956,577
2022-07-26T00:00:00.000Z,0.4,7.47,1.83,0.98,5.2,2.085,580
2022-07-27T00:00:00.000Z,0.3,9.38,0.7,0.56,0.9,0.605,578
2022-07-28T00:00:00.000Z,0.3,1.98,0.67,0.5,0.85,0.28,564
2022-07-29T00:00:00.000Z,0.4,10,0.7,0.56,1.01,2.089,564
2022-07-30T00:00:00.000Z,0.43,3.03,0.9,0.7,1.08,0.356,570
2022-07-31T00:00:00.000Z,0.6,15.17,1.1,0.9,1.5,2.165,583
2022-08-01T00:00:00.000Z,0.7,5.63,1.12,1,1.38,0.657,516
2022-08-02T00:00:00.000Z,0.5,7.82,1.14,0.9,1.4,0.884,544
2022-08-03T00:00:00.000Z,0.63,3.55,1.3,1.07,1.8,0.522,555
2022-08-04T00:00:00.000Z,0.8,5.45,1.8,1.33,2.9,1.146,459
2022-08-05T00:00:00.000Z,2.1,12.93,4.55,3.4,6.2,2.291,571
2022-08-06T00:00:00.000Z,0.3,9.43,0.73,0.5,1.4,0.97,552
2022-08-07T00:00:00.000Z,0.47,8.68,0.9,0.7,1.2,0.631,442
2022-08-08T00:00:00.000Z,0.47,11.52,1.14,0.9,2,2.191,512
2022-08-09T00:00:00.000Z,0.8,14.8,1.48,1.23,1.9,2.499,562
2022-08-10T00:00:00.000Z,1,3.08,1.7,1.5,1.9,0.302,484
2022-08-11T00:00:00.000Z,1,10.18,1.98,1.7,2.5,2.021,456
2022-08-12T00:00:00.000Z,0.8,18.27,2.1,1.48,2.75,3.248,561
2022-08-13T00:00:00.000Z,0.6,13.15,1.7,1.42,2.06,2.784,581
2022-08-14T00:00:00.000Z,0.63,19.38,2,1.63,3.06,3.472,540
2022-08-15T00:00:00.000Z,2.38,14.33,5.47,4.43,6.46,1.656,452
2022-08-16T00:00:00.000Z,5.5,13.65,8.43,7.28,9.5,1.472,583
2022-08-17T00:00:00.000Z,4.84,13.57,9.15,7.63,9.98,1.817,433
2022-08-18T00:00:00.000Z,2.1,20.87,5.45,3.7,7.85,2.421,478
2022-08-19T00:00:00.000Z,3.25,15.03,7.11,5.01,10.11,2.931,576
2022-08-20T00:00:00.000Z,1.7,13.23,7.09,6.2,9.63,2.52,546
2022-08-21T00:00:00.000Z,0.6,3,1.5,1.24,1.73,0.344,517
2022-08-22T00:00:00.000Z,0.55,10.02,1.4,1,2.04,2.062,343
2022-08-23T00:00:00.000Z,0.7,4.4,1.4,1.2,1.7,0.44,539
2022-08-24T00:00:00.000Z,0.52,4.57,1.05,0.9,1.25,0.559,481
2022-08-25T00:00:00.000Z,0.3,13.65,1,0.83,1.42,2.674,507
2022-08-26T00:00:00.000Z,0.7,7.77,2.04,1.33,3.4,1.425,551
2022-08-27T00:00:00.000Z,1,150.43,6.6,5.63,8.36,8.445,530
2022-08-28T00:00:00.000Z,0.4,5.7,1.6,0.9,2.7,1.127,539
2022-08-29T00:00:00.000Z,0.3,2.58,0.8,0.6,1.02,0.361,534
2022-08-30T00:00:00.000Z,0.3,2.17,0.7,0.55,0.88,0.298,546
2022-08-31T00:00:00.000Z,0.3,1.67,0.7,0.6,0.87,0.231,523
2022-09-01T00:00:00.000Z,0.37,2.27,0.7,0.6,0.95,0.287,502
2022-09-02T00:00:00.000Z,0.3,13.25,0.63,0.5,0.93,0.797,432
2022-09-14T00:00:00.000Z,0.6,1.35,0.8,0.7,1,0.185,74
2022-09-15T00:00:00.000Z,0.5,14.37,0.8,0.7,1.07,1.162,509
2022-09-16T00:00:00.000Z,0.4,11.4,1,0.85,1.23,0.607,500
2022-09-17T00:00:00.000Z,0.5,16.45,1.08,0.9,1.4,0.994,501
2022-09-18T00:00:00.000Z,0.5,90.45,1.37,0.8,2.15,9.591,504
2022-09-19T00:00:00.000Z,0.4,27.47,0.85,0.7,1.3,2.36,497
