# Sensor Korstavägen, Sundsvall, Sweden (Citizen Science project sensor.community/74395)
# https://aqicn.org/station/@351115/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-08-10T00:00:00.000Z,1.02,2.6,1.4,1.3,1.7,0.325,135
2022-08-11T00:00:00.000Z,0,3.5,0.4,0.2,0.8,0.455,478
2022-08-12T00:00:00.000Z,0,4.28,0.6,0.32,1,0.452,566
2022-08-13T00:00:00.000Z,0.5,21.83,1.3,0.9,1.77,1.004,603
2022-08-14T00:00:00.000Z,0.73,115.2,2.8,1.12,4.3,6.964,574
2022-08-15T00:00:00.000Z,1.3,58.6,3.28,2.13,5.45,4.388,498
2022-08-16T00:00:00.000Z,4.03,17.85,8.52,6.13,9.15,1.792,557
2022-08-17T00:00:00.000Z,0.13,19.82,4.28,0.7,9.43,4.205,463
2022-08-18T00:00:00.000Z,0.25,34.42,0.9,0.77,1.2,2.267,494
2022-08-19T00:00:00.000Z,2.1,31.8,6.4,4.78,7.3,2.456,599
2022-08-20T00:00:00.000Z,1.83,15.32,6.95,4.8,8.9,2.696,559
2022-08-21T00:00:00.000Z,0.6,35.03,1.85,1.2,6.56,4.097,537
2022-08-22T00:00:00.000Z,0.1,20.6,0.7,0.5,0.98,2.048,376
2022-08-23T00:00:00.000Z,0.4,7.2,1.32,0.98,2.2,0.946,558
2022-08-24T00:00:00.000Z,0.63,9.52,1.9,1.55,2.9,0.968,496
2022-08-25T00:00:00.000Z,0.6,8.8,1.35,1.1,2,0.748,527
2022-08-26T00:00:00.000Z,0.52,15.15,1.38,1,1.67,1.022,579
2022-08-27T00:00:00.000Z,0.2,24.08,1.57,0.63,3.32,1.8,560
2022-08-28T00:00:00.000Z,0,9.3,0.47,0.3,0.65,0.5,564
2022-08-29T00:00:00.000Z,0,2.2,0.2,0.13,0.38,0.187,563
2022-08-30T00:00:00.000Z,0.1,16.17,0.4,0.3,0.5,0.79,562
2022-08-31T00:00:00.000Z,0.08,14.02,0.4,0.3,0.5,0.933,548
