# Sensor Högkullevägen, Lindome, Sweden (Citizen Science project sensor.community/81376)
# https://aqicn.org/station/@404209/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-06-18T00:00:00.000Z,5.85,9.07,7.43,6.97,7.93,0.639,111
2023-06-19T00:00:00.000Z,3.35,14,9.23,8.35,10.13,1.973,378
2023-06-20T00:00:00.000Z,8.6,20.88,13.95,12.91,15.84,2.086,493
2023-06-21T00:00:00.000Z,2.95,65.09,9.6,6.97,17.01,6.61,573
2023-06-22T00:00:00.000Z,2.35,47.38,4.8,3.97,5.5,2.243,569
2023-06-23T00:00:00.000Z,1.3,10.07,3.2,1.95,6.68,2.614,570
2023-06-24T00:00:00.000Z,2.97,11.38,5.6,4.63,7.74,2.05,568
2023-06-25T00:00:00.000Z,1.75,11.02,4.37,3,6.55,2.067,588
2023-06-26T00:00:00.000Z,1.5,12.13,3.47,3.14,3.9,0.853,500
2023-06-27T00:00:00.000Z,1.8,5.3,3.3,2.75,3.82,0.729,577
2023-06-28T00:00:00.000Z,0.98,7.65,3.05,2.4,3.7,1.254,584
2023-06-29T00:00:00.000Z,2.1,26.17,4.2,3.22,6.69,4.158,584
2023-06-30T00:00:00.000Z,1.05,24.2,2.27,1.7,3.22,3.679,581
2023-07-01T00:00:00.000Z,1.27,22.63,2.97,2.5,3.83,2.265,368
2023-07-02T00:00:00.000Z,1.42,9.88,3.15,2.5,3.97,1.092,581
2023-07-03T00:00:00.000Z,1.52,6.1,3.03,2.35,3.7,0.942,556
2023-07-04T00:00:00.000Z,1.2,6.05,2.29,1.9,2.8,0.81,412
2023-07-05T00:00:00.000Z,1.25,4.59,2.65,2.2,3,0.579,540
2023-07-06T00:00:00.000Z,1.35,4.43,2.17,1.83,2.6,0.644,275
2023-07-07T00:00:00.000Z,1.12,4.43,1.98,1.7,2.35,0.686,503
2023-07-08T00:00:00.000Z,1.88,5.75,3.1,2.5,3.6,0.774,346
2023-07-09T00:00:00.000Z,1.6,13.85,3.49,2.4,4.9,1.413,370
2023-07-10T00:00:00.000Z,2.02,9.4,3.6,2.8,4.32,1.029,350
2023-07-11T00:00:00.000Z,1.2,10.73,3.42,2.15,4.92,2.47,532
2023-07-12T00:00:00.000Z,1,6.57,3.7,2.92,4.38,1.07,565
2023-07-13T00:00:00.000Z,0.8,5.09,2.52,1.77,3.25,1,555
2023-07-14T00:00:00.000Z,0.88,5.03,1.83,1.4,2.67,0.784,533
2023-07-15T00:00:00.000Z,1.8,10.52,3.24,2.78,4.28,1.371,578
2023-07-16T00:00:00.000Z,1.73,15.15,3.7,3.08,4.93,2.895,583
2023-07-17T00:00:00.000Z,0.7,6.5,3.25,1.95,4.07,1.226,382
2023-07-18T00:00:00.000Z,0.8,4.03,1.9,1.4,2.35,0.638,563
