# Sensor Hagen, Grundsund, Sweden (Citizen Science project sensor.community/83239)
# https://aqicn.org/station/@417595/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-10-03T00:00:00.000Z,3.45,6.6,4,3.45,6.6,1.374,3
2023-10-17T00:00:00.000Z,2.35,5.6,3.83,3.38,4.44,0.727,80
2023-10-18T00:00:00.000Z,0.5,0.8,0.6,0.55,0.7,0.095,21
2023-10-19T00:00:00.000Z,0.7,9.18,1.3,1.01,1.6,0.825,361
2023-10-20T00:00:00.000Z,0.6,3.7,1.2,1,1.5,0.373,579
2023-10-21T00:00:00.000Z,0.5,3.58,1,0.8,1.29,0.341,581
2023-10-22T00:00:00.000Z,0.4,3.78,1.4,0.99,1.9,0.662,577
2023-10-23T00:00:00.000Z,0.38,38.15,1.1,0.77,1.67,2.182,584
2023-10-24T00:00:00.000Z,0.98,8.18,1.77,1.48,2.35,0.86,578
2023-10-25T00:00:00.000Z,1.4,28.83,3.23,2.4,4.76,2.97,577
2023-10-26T00:00:00.000Z,0.9,14.97,1.5,1.3,1.73,1.542,576
2023-10-27T00:00:00.000Z,1.1,3.1,2,1.73,2.29,0.395,577
2023-10-28T00:00:00.000Z,1.2,4.13,2.63,2.22,2.9,0.53,584
2023-10-29T00:00:00.000Z,3.53,5.23,4.03,3.85,4.47,0.405,25
2023-11-16T00:00:00.000Z,1.57,17.43,2.4,2.1,3.03,1.943,342
2023-11-17T00:00:00.000Z,1.53,84.73,2.77,2.2,3.8,6.422,571
2023-11-18T00:00:00.000Z,1.8,7.47,2.97,2.6,3.4,0.89,567
2023-11-19T00:00:00.000Z,1.7,5.67,2.93,2.33,4.09,0.957,575
2023-12-14T00:00:00.000Z,1.87,8,3.6,2.8,4.97,1.22,342
2023-12-15T00:00:00.000Z,2.6,27.6,8.52,7.33,9.86,5.254,587
2023-12-16T00:00:00.000Z,5.73,18.37,10.97,9.65,12.53,2.175,585
2023-12-17T00:00:00.000Z,7.47,21.8,13.2,11.53,15.33,2.875,586
2023-12-18T00:00:00.000Z,11.53,14.37,12.95,11.53,14.37,1.42,2
2024-01-11T00:00:00.000Z,0.8,32.93,2.4,1.27,3.89,3.603,337
2024-01-12T00:00:00.000Z,0.7,39.33,3.47,2.4,8.28,5.556,589
2024-01-13T00:00:00.000Z,1.97,19.39,5.43,4.23,7.17,3.236,586
2024-01-14T00:00:00.000Z,0.7,7.83,1.73,1.3,2.29,1.082,577
2024-02-24T00:00:00.000Z,1.9,8.33,3.2,2.63,3.72,0.814,281
2024-02-25T00:00:00.000Z,0.8,16.2,5.27,1.8,7.6,3.037,583
2024-03-18T00:00:00.000Z,0.6,3.57,1,0.83,1.2,0.314,578
2024-03-19T00:00:00.000Z,1.2,27.37,2.9,1.73,8.19,6.246,583
2024-03-20T00:00:00.000Z,0.6,87.1,8.97,3.4,28.3,21.075,581
2024-03-21T00:00:00.000Z,1.7,23.67,5.17,3,9.14,4.76,585
2024-03-22T00:00:00.000Z,4.07,27.97,11.55,8.43,15.87,5.686,505
2024-03-23T00:00:00.000Z,1.63,15.93,5.66,3.67,7.33,2.248,540
2024-03-24T00:00:00.000Z,2.29,4.73,3.53,2.9,4.12,0.673,25
2024-03-27T00:00:00.000Z,4.63,24.77,7.03,6.54,7.66,1.561,261
2024-04-03T00:00:00.000Z,1.1,1.4,1.33,1.1,1.4,0.128,3
2024-04-04T00:00:00.000Z,1.43,2.6,2.02,1.84,2.24,0.314,12
2024-04-19T00:00:00.000Z,1.4,25.77,2.33,2.04,2.9,2.265,263
2024-04-20T00:00:00.000Z,0.5,50.13,1.59,1.1,2.8,3.038,562
2024-04-21T00:00:00.000Z,0.56,62.33,1.3,1,1.93,4.762,586
2024-04-22T00:00:00.000Z,1.02,3.37,1.83,1.6,2.23,0.464,583
2024-04-23T00:00:00.000Z,0.6,42.53,2.02,1.42,3.2,2.651,579
2024-04-24T00:00:00.000Z,0.7,29.67,1.52,1.2,1.98,2.232,586
2024-04-25T00:00:00.000Z,1,5.4,2.87,2.2,3.53,0.943,586
2024-04-26T00:00:00.000Z,0.4,71.23,1.8,1.2,3.05,3.139,575
2024-04-27T00:00:00.000Z,0.4,44.3,1.38,0.98,1.8,2.788,587
2024-04-28T00:00:00.000Z,1.3,8.43,3,2.4,3.53,1.002,589
2024-04-29T00:00:00.000Z,1,8.25,2,1.75,2.4,1.49,587
2024-04-30T00:00:00.000Z,0.2,6.4,1.1,0.7,1.4,0.607,585
2024-05-01T00:00:00.000Z,0.8,4.3,1.27,1.1,1.45,0.282,556
2024-05-02T00:00:00.000Z,0.6,4.93,0.98,0.88,1.1,0.28,586
2024-05-03T00:00:00.000Z,0.73,3.4,1.33,1.2,1.52,0.237,587
2024-05-04T00:00:00.000Z,1.23,3.8,1.98,1.73,2.39,0.536,372
2024-05-05T00:00:00.000Z,0.73,11.8,5.09,3.42,6.55,2.474,474
2024-05-06T00:00:00.000Z,0.7,7.43,1.45,1.2,1.9,1.16,588
2024-05-07T00:00:00.000Z,1.3,5.5,2.25,1.98,2.7,0.504,586
2024-05-08T00:00:00.000Z,1.7,10,3.2,2.35,5.68,1.89,587
2024-05-09T00:00:00.000Z,1.65,12.7,6.18,5,8.18,2.253,587
2024-05-10T00:00:00.000Z,0.4,7.35,1.42,1.1,2.24,1.454,589
2024-05-11T00:00:00.000Z,0.75,5.35,1.42,1.2,1.91,0.815,589
2024-05-12T00:00:00.000Z,1.7,6.8,3.25,2.52,4.32,1.155,587
2024-05-13T00:00:00.000Z,0.55,5.95,1.3,1.07,2.6,1.28,585
2024-05-14T00:00:00.000Z,0.55,10.32,1.14,1,1.27,0.461,588
2024-05-15T00:00:00.000Z,0.9,2.58,1.38,1.2,1.6,0.294,441
2024-05-16T00:00:00.000Z,1.55,4.45,2.7,2.35,3.2,0.624,478
2024-05-17T00:00:00.000Z,1.6,6.18,3.65,3.15,4.45,0.865,587
2024-05-18T00:00:00.000Z,2.42,8.5,3.38,3.05,3.97,0.613,590
2024-05-19T00:00:00.000Z,2.29,6.53,3.2,2.95,4.17,0.972,580
2024-05-20T00:00:00.000Z,0.77,4.47,1.27,1.1,1.7,0.812,590
2024-05-21T00:00:00.000Z,0.3,1.9,0.8,0.7,1,0.286,587
2024-05-22T00:00:00.000Z,0.4,2.9,1.5,0.8,2.15,0.697,589
2024-05-23T00:00:00.000Z,0.77,9.23,2.5,1.38,6.35,2.576,588
2024-05-24T00:00:00.000Z,1.02,25.88,2.7,1.7,7.28,4.101,589
2024-05-25T00:00:00.000Z,1.45,16.63,4.4,2.83,8.35,4.407,590
2024-05-26T00:00:00.000Z,2.1,16.38,4.88,3.95,8.97,3.248,584
2024-05-27T00:00:00.000Z,1.67,6.45,3.71,3,5.15,1.234,588
2024-05-28T00:00:00.000Z,1.14,13.95,4.2,3,5.93,2.144,589
2024-05-29T00:00:00.000Z,0.7,3.08,1.3,1.1,1.52,0.419,588
2024-05-30T00:00:00.000Z,1.12,4.5,2.63,2,3,0.719,589
2024-05-31T00:00:00.000Z,1.6,7.4,3.08,2.5,4.2,1.063,590
2024-06-01T00:00:00.000Z,2.2,8.65,4.4,3.97,4.97,1.052,561
2024-06-02T00:00:00.000Z,2.8,12.02,5.94,4.15,7.88,2.257,562
2024-06-03T00:00:00.000Z,1.05,12.52,5.21,2.4,7.09,2.883,580
2024-06-04T00:00:00.000Z,1,4.43,2.47,2.17,2.83,0.535,586
2024-06-05T00:00:00.000Z,1.14,14.73,3.33,2.58,6.43,2.667,587
2024-06-06T00:00:00.000Z,1.12,5.95,2.29,1.87,2.72,0.775,565
2024-06-07T00:00:00.000Z,0.7,5.43,2.42,2,2.76,0.68,588
2024-06-08T00:00:00.000Z,1.17,39.7,2.97,2.22,4.28,3.168,587
2024-06-09T00:00:00.000Z,1.12,10,2.8,2.42,3.45,0.844,586
2024-06-10T00:00:00.000Z,0.68,6.93,4.46,2.52,5.38,1.654,586
2024-06-11T00:00:00.000Z,1.65,5.65,2.7,2.4,3.41,0.812,585
2024-06-12T00:00:00.000Z,1.4,4.53,2.78,2.33,3.3,0.629,586
2024-06-13T00:00:00.000Z,1.45,7.85,2.47,2.1,3.03,1.02,588
2024-06-14T00:00:00.000Z,1.5,11,3.45,2.85,4.01,2.032,584
2024-06-15T00:00:00.000Z,0.88,9.73,2.2,1.4,2.97,1.008,518
2024-06-16T00:00:00.000Z,0.4,3.5,1.6,1.2,2.29,0.625,587
2024-06-17T00:00:00.000Z,0.6,6.53,1.8,1.23,2.15,1.048,587
2024-06-18T00:00:00.000Z,1,6.47,3.28,2.29,3.92,1.068,587
2024-06-19T00:00:00.000Z,0.3,7.53,1.63,0.65,3.33,1.858,583
2024-06-20T00:00:00.000Z,1,6.9,3.6,2.54,4.59,1.258,581
2024-06-21T00:00:00.000Z,1.83,281.73,3.58,2.9,4.07,11.873,584
2024-06-22T00:00:00.000Z,0.85,93.85,2.04,1.48,2.95,4.701,585
2024-06-23T00:00:00.000Z,0.56,10.98,1.6,1.2,3.67,1.577,586
2024-06-24T00:00:00.000Z,1.2,7.15,3.08,2.35,4.59,1.434,586
2024-06-25T00:00:00.000Z,1,5.28,2.9,2.47,3.7,0.813,589
2024-06-26T00:00:00.000Z,1,5.57,2.69,2.15,3.38,0.971,588
2024-06-27T00:00:00.000Z,1.33,15.4,2.92,2.2,3.8,1.911,585
2024-06-28T00:00:00.000Z,1.42,41.45,5.55,2.97,9.48,8.211,556
2024-06-29T00:00:00.000Z,1.23,3.8,2.2,1.95,2.52,0.424,588
2024-06-30T00:00:00.000Z,1.08,3.58,1.92,1.65,2.38,0.45,587
2024-07-01T00:00:00.000Z,0.8,3.42,1.9,1.5,2.25,0.498,561
2024-07-02T00:00:00.000Z,0.22,3,0.8,0.63,1.48,0.614,582
2024-07-03T00:00:00.000Z,0.4,4.7,1.77,1.25,2.52,0.999,587
