# Sensor Rutger Fuchsvägen, Saltsjöbaden, Sweden (Citizen Science project sensor.community/86077)
# https://aqicn.org/station/@472264/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-02-17T00:00:00.000Z,0.6,3.5,1.1,0.95,1.3,0.435,212
2024-02-18T00:00:00.000Z,0.5,3.8,1.1,0.9,1.3,0.406,585
2024-02-19T00:00:00.000Z,0.67,10.57,5.32,3.43,6.93,2.362,590
2024-02-20T00:00:00.000Z,1,15.57,5.67,3.23,8.17,3.117,588
2024-02-21T00:00:00.000Z,1,14.8,4.69,3.4,6.47,2.237,584
2024-02-22T00:00:00.000Z,1,17.5,2.93,1.93,6.07,3.386,591
2024-02-23T00:00:00.000Z,0.8,29.6,2.23,1.6,13.49,7.764,592
2024-02-24T00:00:00.000Z,0.77,6.43,2.29,1.87,3.15,0.998,589
2024-02-25T00:00:00.000Z,1.12,13.97,4.7,3.45,5.82,1.813,589
2024-02-26T00:00:00.000Z,5.03,31.77,11.05,9.47,13.07,3.926,590
2024-02-27T00:00:00.000Z,3.27,15.67,6.47,4.93,8.63,2.869,587
2024-02-28T00:00:00.000Z,1.2,8.97,3.5,2.93,4.09,1.299,592
2024-02-29T00:00:00.000Z,1.83,13.83,6,4.2,9.27,3.042,591
2024-03-01T00:00:00.000Z,3.5,24.13,13.13,11.92,15.45,2.879,545
2024-03-02T00:00:00.000Z,5.73,32.6,12.1,10,19.85,5.613,588
2024-03-03T00:00:00.000Z,6.73,16.27,11.6,10.33,12.87,1.849,581
2024-03-04T00:00:00.000Z,3.9,45.6,11.34,7.9,16.48,7.467,580
2024-03-05T00:00:00.000Z,1.67,25.17,5.2,3.63,12.3,6.18,579
2024-03-06T00:00:00.000Z,1.37,18.2,2.37,2.02,2.9,2.015,577
2024-03-07T00:00:00.000Z,1.27,10.53,4.09,2.93,5.37,1.468,567
2024-03-08T00:00:00.000Z,0.93,5.13,2.47,1.77,2.93,0.857,580
2024-03-09T00:00:00.000Z,1.23,21.17,2.43,2.02,3,1.246,579
2024-03-10T00:00:00.000Z,1.1,270.87,1.93,1.7,2.23,21.872,581
2024-03-11T00:00:00.000Z,1.3,6.4,2.4,2.1,2.93,0.841,567
2024-03-12T00:00:00.000Z,1.7,7.5,3.03,2.62,3.79,0.955,577
2024-03-13T00:00:00.000Z,3.5,8.52,4.9,4.47,5.5,0.959,55
2024-03-16T00:00:00.000Z,0.6,1.33,0.8,0.7,0.87,0.129,137
2024-03-17T00:00:00.000Z,0.56,2.52,1.03,0.9,1.27,0.288,575
2024-03-18T00:00:00.000Z,0.56,3.07,1.1,0.9,1.3,0.337,583
2024-03-19T00:00:00.000Z,0.6,5.23,1.7,1.07,2.4,0.799,582
2024-03-20T00:00:00.000Z,1.4,36.6,9.8,4.5,16.86,6.796,585
2024-03-21T00:00:00.000Z,1.1,25.63,5.8,2.57,14.27,6.407,583
2024-03-22T00:00:00.000Z,0.9,24.67,4.09,3.4,5.4,1.785,504
2024-03-23T00:00:00.000Z,1,24.67,2.89,2.29,3.37,1.417,542
2024-03-24T00:00:00.000Z,0.7,6.07,2.47,2.1,2.9,0.745,582
2024-03-25T00:00:00.000Z,1.03,6.93,2.29,1.83,2.7,0.728,583
2024-03-26T00:00:00.000Z,1.57,13.33,4.07,3.3,4.9,2.111,586
2024-03-27T00:00:00.000Z,2.8,15.7,10.63,8.9,11.9,2.963,589
2024-03-28T00:00:00.000Z,3.37,20.39,8.86,5.37,11.53,3.79,586
2024-03-29T00:00:00.000Z,1.12,28.37,16.12,5.2,21.9,8.615,366
2024-03-30T00:00:00.000Z,1,8.3,2.47,2,3,1.107,584
2024-03-31T00:00:00.000Z,0.7,9.6,3.03,2,4.37,1.64,587
2024-04-01T00:00:00.000Z,0.8,13.83,2.83,1.8,8.03,3.445,568
2024-04-02T00:00:00.000Z,1.17,5.67,2.9,2.37,3.63,0.864,585
2024-04-03T00:00:00.000Z,0.8,4.09,1.6,1.37,2.04,0.602,585
2024-04-04T00:00:00.000Z,0.7,5.97,1.43,1.17,1.8,0.573,587
2024-04-05T00:00:00.000Z,0.83,15.43,2.7,1.9,4.73,2.36,584
2024-04-06T00:00:00.000Z,0.83,6.27,1.75,1.5,2,0.446,588
2024-04-07T00:00:00.000Z,0.8,7.7,2.83,1.9,4.03,1.611,586
2024-04-08T00:00:00.000Z,0.8,4.37,2,1.53,2.5,0.686,582
