# Sensor Z 565, Stavre, Sweden (Citizen Science project sensor.community/88756)
# https://aqicn.org/station/@494275/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-07-24T00:00:00.000Z,4.07,23.48,6.92,5.6,9.18,3.957,162
2024-07-25T00:00:00.000Z,1.92,33.45,3.9,2.9,9,5.522,587
2024-07-26T00:00:00.000Z,1.9,26,3.62,2.52,6,3.013,588
2024-07-27T00:00:00.000Z,3.17,28.7,6.97,5,9.27,3.116,589
2024-07-28T00:00:00.000Z,0.55,17.3,1.7,1.2,3.96,3.034,589
2024-07-29T00:00:00.000Z,0.55,19.5,1.92,1.3,3.33,2.46,585
2024-07-30T00:00:00.000Z,1.12,4.55,1.6,1.42,1.9,0.538,352
2024-07-31T00:00:00.000Z,0.38,14.15,4.82,2.84,8.69,3.578,161
2024-08-01T00:00:00.000Z,0.56,11.5,1.37,1.1,1.76,1.482,548
2024-08-02T00:00:00.000Z,1,7.32,1.8,1.65,1.9,0.318,572
2024-08-03T00:00:00.000Z,1.63,5.3,3.17,2.5,3.8,0.824,566
2024-08-04T00:00:00.000Z,2.25,7,3.58,2.8,4.45,0.924,544
2024-08-05T00:00:00.000Z,2.52,6.4,4.05,3.5,4.8,0.838,525
2024-08-06T00:00:00.000Z,2.63,5.97,4.82,4.25,5.2,0.76,543
2024-08-07T00:00:00.000Z,2.83,7.18,4.82,4.3,5.35,0.824,538
2024-08-08T00:00:00.000Z,1.4,6.68,3.88,2.47,5,1.321,546
2024-08-09T00:00:00.000Z,1.23,3.45,2.04,1.75,2.45,0.465,530
2024-08-10T00:00:00.000Z,0.28,6.6,0.77,0.65,0.9,0.411,535
2024-08-11T00:00:00.000Z,0,1.4,0.52,0.3,0.82,0.321,564
2024-08-12T00:00:00.000Z,0,1.2,0.4,0.13,0.7,0.33,538
2024-08-13T00:00:00.000Z,0.73,1.6,1.1,1,1.27,0.166,548
2024-08-14T00:00:00.000Z,0.98,1.73,1.3,1.2,1.3,0.106,510
2024-08-15T00:00:00.000Z,1.4,3.4,2.22,2,2.6,0.423,462
2024-08-16T00:00:00.000Z,0,2.2,0.88,0.63,1.4,0.493,442
2024-08-17T00:00:00.000Z,0.7,2.8,1.27,1.05,1.5,0.301,531
2024-08-18T00:00:00.000Z,0.63,3.9,1.83,1.6,2.72,0.711,530
2024-08-19T00:00:00.000Z,0.4,2.65,0.92,0.8,1.12,0.296,530
2024-08-20T00:00:00.000Z,0.55,5.93,3,1.2,3.95,1.427,538
2024-08-21T00:00:00.000Z,2.08,6.68,3.6,3.1,5.4,1.171,526
