# Sensor Solna Enköpingsvägen, Sweden (Natur Vårdsverket - Swedish Environmental Protection Agency/se428510)
# https://aqicn.org/station/@562600/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-09-10T00:00:00.000Z,6.73,10.93,8.55,7.59,9.52,1.263,12
2025-09-11T00:00:00.000Z,3.46,12.52,11.33,6.56,11.96,3.088,18
2025-09-12T00:00:00.000Z,2.25,8.32,4.44,3.34,6.89,1.798,24
2025-09-13T00:00:00.000Z,1.76,4.25,2.54,2.4,3.58,0.72,24
2025-09-14T00:00:00.000Z,1.59,6.61,3.83,2.98,5.41,1.42,24
2025-09-15T00:00:00.000Z,1.76,5.66,2.47,2,2.87,0.857,24
2025-09-16T00:00:00.000Z,1.24,3.07,2.5,1.97,2.79,0.529,19
2025-09-17T00:00:00.000Z,1.78,3.69,2.87,2.36,3.4,0.569,24
2025-09-18T00:00:00.000Z,1.7,4.66,3.12,2.54,3.77,0.858,24
2025-09-19T00:00:00.000Z,2.79,4.73,3.61,3.14,4.5,0.68,24
2025-09-20T00:00:00.000Z,2.44,8.76,3.27,2.82,6.64,2.091,24
2025-09-21T00:00:00.000Z,1.22,7.55,5.65,4.49,6.44,1.796,24
2025-09-22T00:00:00.000Z,0.76,1.48,1,0.9,1.21,0.203,24
2025-09-23T00:00:00.000Z,1,2.65,1.48,1.19,1.73,0.408,24
2025-09-24T00:00:00.000Z,1.1,5.62,1.61,1.21,3.88,1.471,22
2025-09-25T00:00:00.000Z,1,5.73,3.15,1.58,4.19,1.431,24
2025-09-26T00:00:00.000Z,1.47,8.57,2.9,2.06,4.75,1.919,24
2025-09-27T00:00:00.000Z,1.66,6.24,4.13,2.25,5.28,1.508,24
2025-09-28T00:00:00.000Z,1.12,4.4,2.36,1.75,3.37,0.944,15
2025-09-29T00:00:00.000Z,1.27,2.23,1.66,1.46,1.91,0.275,17
2025-09-30T00:00:00.000Z,1.32,3.01,2.06,1.69,2.54,0.493,16
2025-10-01T00:00:00.000Z,2.54,7.19,3.82,3.12,5.72,1.516,18
2025-10-02T00:00:00.000Z,3.34,8.28,6.46,5.26,7.22,1.352,24
2025-10-03T00:00:00.000Z,3.18,8.11,5.36,3.79,6.97,1.58,24
2025-10-04T00:00:00.000Z,1.65,8.64,4.57,3.95,5.27,1.433,24
2025-10-05T00:00:00.000Z,1.32,3.65,2.18,1.72,2.99,0.719,13
2025-10-06T00:00:00.000Z,2.31,6.36,3.35,3.14,4.3,1.064,20
2025-10-07T00:00:00.000Z,0.6,6.1,2.73,2.22,3.05,1.428,20
2025-10-08T00:00:00.000Z,0.46,3.8,2.45,1.67,2.93,0.9,24
2025-10-09T00:00:00.000Z,1.86,3.59,2.29,2.09,2.54,0.421,22
2025-10-10T00:00:00.000Z,1.33,2.96,2.35,1.75,2.49,0.501,18
2025-10-11T00:00:00.000Z,1.21,5.2,2.08,1.7,2.69,1.047,24
2025-10-12T00:00:00.000Z,0.62,2.38,0.88,0.79,1.02,0.364,24
2025-10-13T00:00:00.000Z,0.83,2.29,1.55,1.33,1.87,0.437,24
2025-10-14T00:00:00.000Z,1.03,3.42,2.04,1.35,2.4,0.653,24
2025-10-15T00:00:00.000Z,1.18,3.54,1.79,1.6,2.52,0.677,24
2025-10-16T00:00:00.000Z,1.87,3.4,2.62,2.11,2.77,0.451,24
2025-10-17T00:00:00.000Z,0.95,4.16,1.67,1.38,1.88,0.747,24
2025-10-18T00:00:00.000Z,1.02,4.71,1.46,1.17,2.86,1.105,24
2025-10-19T00:00:00.000Z,1.19,2.36,1.67,1.44,1.89,0.314,24
2025-10-20T00:00:00.000Z,1.35,3.76,1.84,1.54,2.67,0.716,24
2025-10-21T00:00:00.000Z,1.74,8.69,6.67,3.08,7.49,2.329,19
2025-10-22T00:00:00.000Z,11.78,18.52,15.92,14.94,17.07,1.7,18
2025-10-23T00:00:00.000Z,4.15,21.49,13.92,10.82,15.88,4.059,24
2025-10-24T00:00:00.000Z,2.42,17.48,9.78,6.23,12.29,4.038,24
2025-10-25T00:00:00.000Z,2.12,6.16,3.72,2.7,4.38,1.085,23
2025-10-26T00:00:00.000Z,3.16,9.33,4.55,4.04,6.24,1.716,24
2025-10-27T00:00:00.000Z,0.3,5.76,2.04,1.5,3.93,1.543,24
2025-10-28T00:00:00.000Z,1.21,6.6,2.66,2.04,5.82,1.954,24
2025-10-29T00:00:00.000Z,1.45,5.61,2.67,2.11,3.59,1.038,24
2025-10-30T00:00:00.000Z,1.49,6.05,3.38,2.21,4.3,1.346,24
2025-10-31T00:00:00.000Z,0.38,3.32,1.32,0.96,1.83,0.654,24
2025-11-01T00:00:00.000Z,0.74,4.11,1.43,1.05,2.45,0.926,24
2025-11-02T00:00:00.000Z,3.28,11.67,4.59,3.85,5.86,2.383,24
2025-11-03T00:00:00.000Z,1.57,5.2,3.5,2.45,4.3,1.133,24
2025-11-04T00:00:00.000Z,0.67,4.54,1.4,0.89,2.81,1.204,24
2025-11-05T00:00:00.000Z,1.09,5.65,4.13,1.68,4.88,1.599,24
2025-11-06T00:00:00.000Z,3.58,8.02,5.85,5.19,7.3,1.178,21
2025-11-07T00:00:00.000Z,4,21.59,6.79,5.09,12.49,5.932,24
2025-11-08T00:00:00.000Z,3.57,18.17,12.61,8.33,14.68,3.683,24
2025-11-09T00:00:00.000Z,0.89,12.17,3.34,1.83,4.65,2.64,24
2025-11-10T00:00:00.000Z,1.3,4.59,2.89,1.79,3.57,1,24
2025-11-11T00:00:00.000Z,2.52,5.16,3.72,3.23,4.63,0.766,24
2025-11-12T00:00:00.000Z,2.17,4.88,3.99,3.04,4.41,0.788,24
2025-11-13T00:00:00.000Z,0.99,2.95,1.39,1.07,2.06,0.59,23
2025-11-14T00:00:00.000Z,0.81,3.32,1.57,1.04,2.47,0.843,24
2025-11-15T00:00:00.000Z,0.75,3.68,1.65,0.99,2.52,0.842,23
2025-11-16T00:00:00.000Z,1.1,6.99,1.93,1.2,3.54,1.891,24
2025-11-17T00:00:00.000Z,1.36,3.19,2.35,1.88,2.67,0.496,24
2025-11-18T00:00:00.000Z,1.3,9.66,4.51,2.37,7.05,2.671,24
2025-11-19T00:00:00.000Z,5.35,12.41,8.23,6.91,8.86,1.67,24
2025-11-20T00:00:00.000Z,1.21,8.02,2.4,1.65,3.46,1.948,24
2025-11-21T00:00:00.000Z,0.65,4.58,1.48,1.06,2.09,0.987,24
2025-11-22T00:00:00.000Z,1.05,2.71,1.88,1.6,2.1,0.456,24
2025-11-23T00:00:00.000Z,1.42,7.96,4.16,3.07,5.97,1.868,21
2025-11-24T00:00:00.000Z,1.57,14.32,6.56,2.92,9.09,3.427,24
2025-11-25T00:00:00.000Z,4.04,9.8,5.54,4.8,7.05,1.599,24
2025-11-26T00:00:00.000Z,4.17,9.82,5.96,4.87,7.2,1.494,24
2025-11-27T00:00:00.000Z,2,8.39,3.09,2.41,3.93,1.785,24
