# Sensor Ubby, Johannehill, Sweden (Citizen Science project sensor.community/8683)
# https://aqicn.org/station/@57421/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,1.94,1.03,0.5,1.41,0.525,321
2019-12-10T00:00:00.000Z,0.36,12.29,1.2,0.84,2.02,1.095,411
2019-12-11T00:00:00.000Z,0.57,3.92,1.67,1.38,2.02,0.691,430
2019-12-12T00:00:00.000Z,0.1,20.07,11.52,0.87,15.37,7.234,495
2019-12-13T00:00:00.000Z,2.1,21.76,8.35,5.36,12.32,4.203,564
2019-12-14T00:00:00.000Z,1.3,16.28,4.78,3.2,6.35,2.731,398
2019-12-15T00:00:00.000Z,0.72,5.54,2.08,1.57,2.54,0.907,576
2019-12-16T00:00:00.000Z,1,3.77,1.92,1.58,2.35,0.493,290
2019-12-17T00:00:00.000Z,0.78,5.96,3.42,2.98,4.3,1.29,291
2019-12-18T00:00:00.000Z,0,6.56,0.62,0.28,0.82,0.639,474
2019-12-19T00:00:00.000Z,0.55,11.9,2.38,1.23,4.88,2.174,550
2019-12-20T00:00:00.000Z,3.65,24.6,12.27,10.84,15.08,4.491,586
2019-12-21T00:00:00.000Z,10.81,40.85,29.89,23.73,36.57,7.655,572
2019-12-22T00:00:00.000Z,0.83,10.96,3.15,2,4.48,2.248,585
2019-12-23T00:00:00.000Z,1.15,5.5,2.19,1.8,2.94,0.908,584
2019-12-24T00:00:00.000Z,1.8,15.2,3.18,2.42,4.13,1.674,588
2019-12-25T00:00:00.000Z,0.5,7.06,3.23,2.25,5.27,1.78,585
2019-12-26T00:00:00.000Z,0.74,287.39,1.55,1.25,1.98,17.07,581
2019-12-27T00:00:00.000Z,0.4,26.38,2.2,1.82,2.5,2.178,586
2019-12-28T00:00:00.000Z,1.52,37.54,2.43,1.94,3.26,2.712,584
2019-12-29T00:00:00.000Z,3.16,25.38,7.22,5.28,12.7,5.673,591
