# Sensor Jupitersvägen, Ängeby, Sweden (Citizen Science project sensor.community/10430)
# https://aqicn.org/station/@58666/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.15,2.04,0.91,0.6,1.36,0.457,314
2019-12-10T00:00:00.000Z,0.44,8.52,1.31,0.84,1.67,0.834,411
2019-12-11T00:00:00.000Z,0.64,2.72,1.44,1.04,1.95,0.518,431
2019-12-12T00:00:00.000Z,0.1,23.35,2.89,1.21,19.13,9.01,492
2019-12-13T00:00:00.000Z,2.62,21.12,10.45,5.88,13.48,4.235,565
2019-12-14T00:00:00.000Z,1.08,11.09,4.12,1.96,5.58,2.651,401
2019-12-15T00:00:00.000Z,0.94,7.43,2.72,1.97,4.04,1.384,577
2019-12-16T00:00:00.000Z,0.65,6.4,1.95,1.14,2.9,1.497,287
2019-12-17T00:00:00.000Z,0.45,7.42,3.81,2.66,5.75,1.971,291
2019-12-18T00:00:00.000Z,0.1,6.06,0.74,0.42,1.19,1.05,437
2019-12-19T00:00:00.000Z,0.43,10.48,2.4,1.13,7.35,3.272,449
2019-12-20T00:00:00.000Z,7.2,21,12.54,11.28,15,2.839,592
2019-12-21T00:00:00.000Z,14.05,37.44,27.2,18.72,33.72,7.021,578
2019-12-22T00:00:00.000Z,0.88,13.95,1.92,1.5,5.01,2.963,560
2019-12-23T00:00:00.000Z,0.68,13.07,4.54,1.75,7.54,3.42,589
2019-12-24T00:00:00.000Z,1.44,13.35,3.78,2.46,4.91,2.065,593
2019-12-25T00:00:00.000Z,0.99,12,2.96,2.29,3.63,1.509,527
2019-12-26T00:00:00.000Z,0.56,4.3,2.09,1.54,2.68,0.761,592
2019-12-27T00:00:00.000Z,0.53,3.9,2.54,2.13,2.8,0.718,587
2019-12-28T00:00:00.000Z,1.08,11.23,2.54,1.96,2.93,0.973,591
2019-12-29T00:00:00.000Z,2.78,21.84,7.62,5.52,10.19,4.2,593
2019-12-30T00:00:00.000Z,0.4,12.16,2.59,1.82,3.74,2.518,587
2019-12-31T00:00:00.000Z,0.1,12.65,0.47,0.3,0.72,0.949,579
2020-01-01T00:00:00.000Z,0.25,3.31,1,0.62,1.38,0.753,587
2020-01-02T00:00:00.000Z,1.27,8.73,3.9,2.52,4.93,1.62,566
2020-01-03T00:00:00.000Z,0.1,2.42,0.56,0.43,0.81,0.361,552
2020-01-04T00:00:00.000Z,0.16,1.78,0.5,0.36,0.74,0.268,561
2020-01-05T00:00:00.000Z,0.44,4.86,0.91,0.75,1.14,0.482,570
2020-01-06T00:00:00.000Z,0.45,8.22,1.72,0.95,3.1,1.621,508
2020-01-07T00:00:00.000Z,0.3,7.6,2.38,0.75,5.27,2.404,513
2020-01-08T00:00:00.000Z,0.25,4.48,1.54,1.25,1.9,0.767,508
2020-01-09T00:00:00.000Z,1.02,8.15,1.84,1.6,2.22,0.911,532
2020-01-10T00:00:00.000Z,1.45,16.34,3.5,2.38,7.25,3.318,367
2020-01-11T00:00:00.000Z,0.28,3.35,1.4,0.91,2.16,0.732,532
2020-01-12T00:00:00.000Z,0.15,2.04,0.85,0.56,1.08,0.354,574
2020-01-13T00:00:00.000Z,0.98,3.88,2.27,1.74,2.72,0.617,489
2020-01-14T00:00:00.000Z,1.26,6.88,2.78,2.22,4.01,1.291,443
2020-01-15T00:00:00.000Z,0.2,4.23,1.72,1.47,2.15,0.65,460
2020-01-16T00:00:00.000Z,1.01,4.44,3.1,2.49,3.44,0.785,473
2020-01-17T00:00:00.000Z,1.21,20.88,3.08,2.22,13.64,6.47,468
2020-01-18T00:00:00.000Z,0.15,19.12,12.3,0.77,16.55,7.299,506
2020-01-19T00:00:00.000Z,0.2,2.75,0.68,0.48,1.31,0.597,472
2020-01-20T00:00:00.000Z,0.48,2.08,1.17,0.97,1.41,0.312,365
2020-01-21T00:00:00.000Z,0.18,3.12,0.66,0.4,1.73,0.76,463
2020-01-22T00:00:00.000Z,0.2,0.5,0.33,0.26,0.4,0.089,15
2020-01-23T00:00:00.000Z,0.75,2.25,1.17,1.02,1.36,0.312,86
2020-01-24T00:00:00.000Z,0.3,2.68,0.82,0.64,1,0.312,265
2020-01-25T00:00:00.000Z,0.25,2.12,0.7,0.45,1.12,0.453,301
