# Sensor Eklanda Slätt, Mölndal, Sweden (Citizen Science project sensor.community/11006)
# https://aqicn.org/station/@59095/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.2,6.03,2.08,0.59,2.8,1.34,309
2019-12-10T00:00:00.000Z,0.57,5.98,1.7,1,3,1.173,413
2019-12-11T00:00:00.000Z,1.77,5.45,4.55,4.04,4.78,0.78,118
2019-12-12T00:00:00.000Z,2.27,11.43,5.63,4.8,7.76,1.898,424
2019-12-13T00:00:00.000Z,1.85,12.72,6.25,4.57,7.86,2.241,550
2019-12-14T00:00:00.000Z,0.85,19.73,10.15,5.92,14.34,5.26,397
2019-12-15T00:00:00.000Z,0.55,19.85,1.9,1.14,3.03,1.824,568
2019-12-16T00:00:00.000Z,0.82,7.26,3.1,2.54,3.54,1.29,288
2019-12-17T00:00:00.000Z,0.5,14.86,2.11,0.8,5.74,3.266,288
2019-12-18T00:00:00.000Z,0.2,8.65,2.16,1.18,2.65,1.69,470
2019-12-19T00:00:00.000Z,1.78,13.35,6.01,4.57,7.34,2.223,553
2019-12-20T00:00:00.000Z,4.96,20.72,11.82,10.25,16.05,4.252,576
2019-12-21T00:00:00.000Z,3.33,20.95,9.41,4.78,14.26,5.146,568
2019-12-22T00:00:00.000Z,2.65,18.62,4.59,3.9,6.27,3.857,581
2019-12-23T00:00:00.000Z,1.27,8.17,2.17,1.87,4.84,1.963,575
2019-12-24T00:00:00.000Z,1.1,13.08,3.28,2.7,4.25,2.391,585
2019-12-25T00:00:00.000Z,0.48,10.27,2.45,1.1,4.96,2.589,581
2019-12-26T00:00:00.000Z,0.55,7.63,1.25,1,1.66,1.421,569
2019-12-27T00:00:00.000Z,0.4,4.55,1.45,1.04,1.94,0.604,580
2019-12-28T00:00:00.000Z,1.27,4.9,2.54,2.14,3.48,0.838,582
2019-12-29T00:00:00.000Z,3.55,42.52,30.32,18.05,34.85,11.395,588
2019-12-30T00:00:00.000Z,2.74,15.46,10.4,6.83,11,2.551,577
2019-12-31T00:00:00.000Z,0.8,40.4,2.94,1.53,7.22,6.442,575
2020-01-01T00:00:00.000Z,2,40.76,3.67,3.04,4.76,7.506,577
2020-01-02T00:00:00.000Z,2.25,52.96,16.52,13.33,20.68,12.371,569
2020-01-03T00:00:00.000Z,2.6,18.07,4.8,4.05,5.98,3.233,548
2020-01-04T00:00:00.000Z,0.68,7.24,1.32,1.05,1.85,0.903,545
2020-01-05T00:00:00.000Z,0.7,7.48,3.06,1.27,4.91,1.876,558
2020-01-06T00:00:00.000Z,1.98,10.26,5.3,4.16,6.42,1.83,521
2020-01-07T00:00:00.000Z,3.34,38.4,16.11,5.72,25.26,10.967,518
2020-01-08T00:00:00.000Z,4.42,20.57,6.97,5.44,9.05,3.906,502
2020-01-09T00:00:00.000Z,0.24,7.04,4.76,0.59,5.34,2.25,536
2020-01-10T00:00:00.000Z,0.2,5.71,1.54,0.53,2.76,1.351,427
2020-01-11T00:00:00.000Z,1.12,9.3,4.23,3.08,6.57,2.032,525
2020-01-12T00:00:00.000Z,1.98,12,5.01,3.74,5.8,1.754,560
2020-01-13T00:00:00.000Z,1.94,12.36,3.35,2.8,5.05,2.045,490
2020-01-14T00:00:00.000Z,1.95,13.3,5.12,4.44,5.9,2.485,440
2020-01-15T00:00:00.000Z,0.88,8.5,2.99,1.66,3.63,1.591,462
