# Sensor Z 811.01, Ringvattnet, Sweden (Citizen Science project sensor.community/11445)
# https://aqicn.org/station/@59410/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,3.56,0.9,0.72,1.04,0.321,313
2019-12-10T00:00:00.000Z,0.05,1.73,0.44,0.3,0.62,0.272,280
2019-12-11T00:00:00.000Z,0.08,3.4,0.3,0.2,0.53,0.376,360
2019-12-12T00:00:00.000Z,0.35,2.22,1.46,1.25,1.74,0.346,490
2019-12-13T00:00:00.000Z,0.36,2.54,0.85,0.68,1.06,0.414,552
2019-12-14T00:00:00.000Z,0.06,4.83,1.37,0.95,2.7,1.196,394
2019-12-15T00:00:00.000Z,0,1.45,0.1,0.05,0.15,0.111,561
2019-12-16T00:00:00.000Z,0.05,1.92,0.34,0.15,0.83,0.46,284
2019-12-17T00:00:00.000Z,0.2,1.77,0.55,0.4,0.8,0.317,283
2019-12-18T00:00:00.000Z,0.1,1.93,0.46,0.34,0.85,0.373,461
2019-12-19T00:00:00.000Z,0.04,4.95,0.76,0.36,1.21,0.717,544
2019-12-20T00:00:00.000Z,0.32,3.43,0.65,0.52,1.06,0.682,569
2019-12-21T00:00:00.000Z,0.35,4.08,1.2,0.84,1.9,0.717,559
2019-12-22T00:00:00.000Z,0.2,4.9,0.5,0.42,0.62,0.339,564
2019-12-23T00:00:00.000Z,0.2,2.58,0.87,0.4,1.4,0.581,550
2019-12-24T00:00:00.000Z,0.5,3.95,1.44,1,1.72,0.542,566
2019-12-25T00:00:00.000Z,0.6,7.22,1.01,0.9,1.2,0.578,557
2019-12-26T00:00:00.000Z,0.12,11,0.78,0.5,1.1,0.799,567
2019-12-27T00:00:00.000Z,0.3,11.05,0.92,0.7,1.13,0.829,558
2019-12-28T00:00:00.000Z,0.4,2.27,0.82,0.7,0.94,0.186,555
2019-12-29T00:00:00.000Z,0.05,3.62,0.74,0.35,0.9,0.675,561
2019-12-30T00:00:00.000Z,0.03,2.99,0.3,0.14,1.14,0.712,551
2019-12-31T00:00:00.000Z,0,1.75,0.45,0.14,0.86,0.427,549
2020-01-01T00:00:00.000Z,0,1.6,0.1,0.1,0.21,0.28,554
2020-01-02T00:00:00.000Z,0.05,3.03,0.84,0.16,1.85,0.833,544
2020-01-03T00:00:00.000Z,0.05,3.01,0.66,0.46,1.05,0.669,518
2020-01-04T00:00:00.000Z,0.21,2.36,0.85,0.64,1.05,0.321,514
2020-01-05T00:00:00.000Z,0.2,2.66,0.68,0.55,0.84,0.229,496
2020-01-06T00:00:00.000Z,0.2,4.72,0.55,0.4,1.05,0.533,463
2020-01-07T00:00:00.000Z,0.2,3.55,0.56,0.45,0.7,0.344,467
2020-01-08T00:00:00.000Z,0.05,2.43,0.7,0.35,0.98,0.49,477
2020-01-09T00:00:00.000Z,0,5.53,1.7,1.18,2.27,0.763,504
2020-01-10T00:00:00.000Z,0.1,16.39,0.75,0.45,1.07,1.17,405
2020-01-11T00:00:00.000Z,0.04,2.31,0.35,0.25,0.48,0.254,509
2020-01-12T00:00:00.000Z,0.14,3.57,0.65,0.4,1.38,0.716,534
2020-01-13T00:00:00.000Z,0.05,0.94,0.25,0.2,0.35,0.146,473
2020-01-14T00:00:00.000Z,0.16,1.55,0.44,0.3,0.61,0.229,320
2020-01-15T00:00:00.000Z,0.15,2.68,0.56,0.4,0.87,0.311,444
2020-01-16T00:00:00.000Z,0.05,1.15,0.35,0.25,0.5,0.203,459
2020-01-17T00:00:00.000Z,0.09,3.68,0.6,0.35,1.1,0.595,454
2020-01-18T00:00:00.000Z,0.8,5.18,2.29,2.06,2.49,0.629,249
2020-01-19T00:00:00.000Z,0,3.23,1.84,1.4,2.11,0.66,112
2020-01-20T00:00:00.000Z,0,1.18,0.1,0.1,0.2,0.295,316
2020-01-21T00:00:00.000Z,0.26,3.17,1.32,0.93,1.8,0.624,325
2020-01-22T00:00:00.000Z,0.6,0.87,0.6,0.6,0.8,0.113,6
2020-01-23T00:00:00.000Z,0.1,2.13,0.6,0.48,0.79,0.429,68
2020-01-24T00:00:00.000Z,0,1.34,0.44,0.3,0.68,0.276,267
2020-01-25T00:00:00.000Z,0.1,2.04,0.48,0.38,0.64,0.252,305
