# Sensor Skillingevägen, Viby, Sweden (Citizen Science project sensor.community/12120)
# https://aqicn.org/station/@59887/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.48,2.27,1.56,0.9,1.78,0.461,317
2019-12-10T00:00:00.000Z,0.72,7.58,1.38,1.18,1.97,0.925,413
2019-12-11T00:00:00.000Z,0.77,5.3,2.04,1.66,3.12,1.045,425
2019-12-12T00:00:00.000Z,0.45,24.75,17.14,1.46,21.74,9.623,493
2019-12-13T00:00:00.000Z,3.72,21.62,10.99,7.65,16.47,4.874,563
2019-12-14T00:00:00.000Z,1.65,20.07,5.72,3.87,8.66,4.459,402
2019-12-15T00:00:00.000Z,1.32,11.3,3.6,2.27,5.38,2.195,577
2019-12-16T00:00:00.000Z,1.14,4.47,2,1.7,3.06,0.843,289
2019-12-17T00:00:00.000Z,2.16,11.17,5.58,4.08,8.75,2.604,282
2019-12-18T00:00:00.000Z,0,4.7,1.2,0.97,1.48,0.788,467
2019-12-19T00:00:00.000Z,0.95,17.27,3.06,1.71,7.65,3.979,527
2019-12-20T00:00:00.000Z,6.75,36.53,20.5,17.17,22.8,5.297,406
2019-12-21T00:00:00.000Z,15.8,54.89,38.61,34.15,45.66,8.08,560
2019-12-22T00:00:00.000Z,2.1,15.23,5.58,3.61,6.77,2.081,583
2019-12-23T00:00:00.000Z,3.58,22.67,7.78,5.28,10.22,3.527,582
2019-12-24T00:00:00.000Z,4.5,25.18,11.02,6.54,12.99,4.465,574
2019-12-25T00:00:00.000Z,1.27,14.4,8.24,5.29,9.5,3.07,584
2019-12-26T00:00:00.000Z,1.4,5.26,2.7,2.08,3.63,0.943,587
2019-12-27T00:00:00.000Z,0.9,7.07,2.65,1.87,2.94,0.807,533
2019-12-28T00:00:00.000Z,1.52,5.82,2.88,2.29,3.49,0.83,585
2019-12-29T00:00:00.000Z,2.82,22.43,8.86,5.67,13.07,4.827,578
2019-12-30T00:00:00.000Z,1.03,13.32,5.18,4.05,6.4,2.63,246
2019-12-31T00:00:00.000Z,0.1,14.54,0.74,0.6,0.91,1.077,472
2020-01-01T00:00:00.000Z,0.7,3.87,1.42,1.21,2.17,0.876,572
2020-01-02T00:00:00.000Z,2.25,11.07,6.38,4.53,8.22,2.423,391
2020-01-03T00:00:00.000Z,0.25,37.47,1,0.78,1.74,2.648,485
2020-01-04T00:00:00.000Z,0.26,2,0.8,0.64,1.04,0.309,523
2020-01-05T00:00:00.000Z,0.75,2.42,1.25,1.06,1.42,0.265,522
2020-01-06T00:00:00.000Z,0.55,11.62,2.59,1.84,3.1,1.165,506
2020-01-07T00:00:00.000Z,0.3,9.36,0.95,0.7,7,3.166,272
2020-01-08T00:00:00.000Z,0.76,4.34,2.78,2.46,3.02,0.71,350
2020-01-09T00:00:00.000Z,2.1,9.27,3.05,2.8,3.64,1.154,536
2020-01-10T00:00:00.000Z,1.62,22.22,3.35,2.74,5.68,2.849,427
2020-01-11T00:00:00.000Z,0.7,8.24,2.15,1.44,3.38,1.29,532
2020-01-12T00:00:00.000Z,0.15,3.36,1.62,0.76,2.04,0.743,562
2020-01-13T00:00:00.000Z,1.42,4.25,2.44,2.08,3.01,0.582,485
2020-01-14T00:00:00.000Z,1.94,12.8,3.39,2.62,5.97,2.227,440
2020-01-15T00:00:00.000Z,0.35,8.25,1.65,1.42,2.42,1.48,456
2020-01-16T00:00:00.000Z,0.85,5.26,3.49,2.48,4.13,1.161,477
2020-01-17T00:00:00.000Z,2.08,22.45,6.82,3.05,15.88,6.555,466
2020-01-18T00:00:00.000Z,0.32,25.66,12.72,1.08,19.59,8.834,501
2020-01-19T00:00:00.000Z,0.56,3.14,0.95,0.84,1.06,0.255,440
2020-01-20T00:00:00.000Z,0.75,4.01,1.85,1.48,2.34,0.652,368
2020-01-21T00:00:00.000Z,0.4,4.33,1.11,0.72,3.12,1.242,460
2020-01-22T00:00:00.000Z,0.5,0.87,0.6,0.53,0.73,0.113,17
2020-01-23T00:00:00.000Z,0.88,1.95,1.43,1.18,1.58,0.246,83
2020-01-24T00:00:00.000Z,0.94,2.72,1.5,1.36,1.74,0.262,267
2020-01-25T00:00:00.000Z,0.48,2.63,0.99,0.78,1.75,0.584,302
2020-01-26T00:00:00.000Z,0.74,3.52,1.6,1.28,2.02,0.583,311
2020-01-27T00:00:00.000Z,2.5,14.24,6.9,5.01,9.3,3.138,259
2020-01-28T00:00:00.000Z,3,18.72,10.31,8.76,14.2,3.888,274
2020-01-29T00:00:00.000Z,1.1,17.04,5.42,2.5,9.75,3.883,315
2020-01-30T00:00:00.000Z,2.1,10.22,7.54,5.93,8.27,1.96,295
2020-01-31T00:00:00.000Z,0.85,9.4,2.82,1.25,5.5,2.356,289
2020-02-01T00:00:00.000Z,0.4,8.42,2.87,2.04,3.4,1.082,330
2020-02-02T00:00:00.000Z,0.15,2.2,0.5,0.4,0.94,0.449,334
2020-02-03T00:00:00.000Z,0.2,13.72,0.95,0.45,2.9,2.364,323
2020-02-04T00:00:00.000Z,1.02,4.46,2.06,1.5,2.75,0.729,255
2020-02-05T00:00:00.000Z,0.2,1.48,0.78,0.62,1,0.244,239
2020-02-06T00:00:00.000Z,0.3,5.46,1.14,0.75,1.64,0.897,240
2020-02-07T00:00:00.000Z,1.1,14.73,2.46,1.8,3.81,1.54,216
2020-02-08T00:00:00.000Z,1.08,7.38,2.6,1.83,4.18,1.417,197
2020-02-09T00:00:00.000Z,4.48,16.02,10.42,8.07,12.97,3.087,364
2020-02-10T00:00:00.000Z,0.37,5.86,1.62,1.35,2.04,1.102,366
2020-02-11T00:00:00.000Z,1.1,10.77,2.33,2,2.64,0.84,369
2020-02-12T00:00:00.000Z,0.55,4.5,1.21,0.92,3.05,1.122,379
2020-02-13T00:00:00.000Z,0.65,1.85,0.99,0.85,1.21,0.256,377
2020-02-14T00:00:00.000Z,0.9,3.51,1.4,1.23,1.85,0.552,384
2020-02-15T00:00:00.000Z,1.53,7.54,3,2.4,4.69,1.508,327
2020-02-16T00:00:00.000Z,0.45,15.33,3.04,1.34,5.72,3.454,377
2020-02-17T00:00:00.000Z,0.44,3.78,2.17,1.5,2.65,0.789,346
2020-02-18T00:00:00.000Z,1.06,4.62,2.86,2.04,3.62,0.922,307
2020-02-19T00:00:00.000Z,0.7,7.46,1.78,1.34,2.15,0.66,446
2020-02-20T00:00:00.000Z,0.57,7.92,1.86,1.59,2.39,1.583,500
2020-02-21T00:00:00.000Z,0.5,10.87,2.09,1.35,3.57,2.672,438
2020-02-22T00:00:00.000Z,0.18,2.34,0.9,0.5,1.45,0.568,455
2020-02-23T00:00:00.000Z,0.24,3.54,0.76,0.6,1.59,0.844,448
2020-02-24T00:00:00.000Z,0.5,5.5,1.14,0.88,1.68,0.69,528
2020-02-25T00:00:00.000Z,0.63,2.9,1.4,1.12,2.06,0.552,472
2020-02-26T00:00:00.000Z,0.68,8.03,1.05,0.95,1.2,0.532,399
2020-02-27T00:00:00.000Z,0.7,7.12,1.6,1.05,1.96,0.632,544
2020-02-28T00:00:00.000Z,0.76,2.76,1.36,1.14,1.76,0.398,566
2020-02-29T00:00:00.000Z,1.25,11.45,2.95,2.15,6.03,2.54,571
2020-03-01T00:00:00.000Z,1.3,13.92,2.38,2,2.74,2.88,570
2020-03-02T00:00:00.000Z,1.6,7.42,2.6,2.35,2.9,1.228,504
2020-03-03T00:00:00.000Z,2.6,14.05,6.15,5.16,8.48,2.142,429
2020-03-04T00:00:00.000Z,0.5,17.23,1.1,0.82,1.86,3.601,584
2020-03-05T00:00:00.000Z,0.66,3.88,1.4,1.21,1.96,0.653,584
2020-03-06T00:00:00.000Z,0.55,4.98,1.93,0.9,2.54,1.027,585
2020-03-07T00:00:00.000Z,2.65,13.1,6.61,5.34,7.96,2.283,568
2020-03-08T00:00:00.000Z,5.22,23.73,11.34,10.19,13.94,3.784,588
2020-03-09T00:00:00.000Z,1.3,16.25,6.95,2.72,10.81,4.248,582
2020-03-10T00:00:00.000Z,1.88,18.34,6.04,4.19,9.53,3.95,585
2020-03-11T00:00:00.000Z,0.15,5.3,2.47,0.9,3.32,1.408,584
2020-03-12T00:00:00.000Z,0.57,3.05,1.73,1.36,2.25,0.559,519
2020-03-13T00:00:00.000Z,0.34,10.19,0.75,0.6,1.2,0.967,536
2020-03-14T00:00:00.000Z,0.2,2.25,0.65,0.5,0.98,0.377,540
2020-03-15T00:00:00.000Z,2.06,5.28,3.62,2.96,4.09,0.729,290
2020-03-16T00:00:00.000Z,0.78,6.44,1.43,1.15,2.25,1.431,583
2020-03-17T00:00:00.000Z,1.1,3.9,1.78,1.56,2.35,0.676,580
2020-03-18T00:00:00.000Z,0.33,4.04,1.28,0.88,3.05,1.094,515
2020-03-19T00:00:00.000Z,0.6,2.38,1.4,1.05,1.6,0.375,569
2020-03-20T00:00:00.000Z,0.75,5.97,1.46,1.2,1.95,1.014,479
2020-03-21T00:00:00.000Z,0.53,3.22,1.05,0.84,1.33,0.387,495
2020-03-22T00:00:00.000Z,0.65,2.29,1.15,0.95,1.32,0.251,489
2020-03-23T00:00:00.000Z,0.8,2.45,1.32,1.05,1.54,0.296,476
2020-03-24T00:00:00.000Z,1.5,4.16,2.34,2,2.85,0.633,493
2020-03-25T00:00:00.000Z,2.06,6.02,3.82,3.15,4.66,0.953,470
2020-03-26T00:00:00.000Z,3.86,11.94,7.36,6.51,8.15,2.019,448
2020-03-27T00:00:00.000Z,5.8,13.23,8.03,6.87,10.9,2.083,409
2020-03-28T00:00:00.000Z,0.5,1.97,1.15,0.9,1.38,0.299,189
2020-03-29T00:00:00.000Z,0.47,3.04,0.78,0.7,0.9,0.428,365
2020-03-30T00:00:00.000Z,0.46,1.78,0.9,0.8,1.13,0.31,147
2020-03-31T00:00:00.000Z,0.52,3.52,1.05,0.9,1.21,0.402,343
2020-04-01T00:00:00.000Z,0.45,2.37,1.14,1,1.4,0.324,219
2020-04-02T00:00:00.000Z,0.45,3.08,1.59,1.11,2.19,0.642,461
2020-04-03T00:00:00.000Z,0.35,2,0.8,0.7,0.95,0.227,479
2020-04-04T00:00:00.000Z,0.5,3.3,0.95,0.78,1.19,0.502,543
2020-04-05T00:00:00.000Z,0.85,8.66,1.54,1.2,3.55,2.012,546
2020-04-06T00:00:00.000Z,2.54,17.8,6.28,4.65,9.59,3.854,519
2020-04-07T00:00:00.000Z,1.7,24.44,8.96,2.84,11.18,6.014,471
2020-04-08T00:00:00.000Z,2,4.18,2.64,2.46,3.05,0.442,485
2020-04-09T00:00:00.000Z,0.4,4.01,0.85,0.65,1.1,0.809,478
2020-04-10T00:00:00.000Z,0.2,2.75,0.55,0.45,1.31,0.677,521
2020-04-11T00:00:00.000Z,1.05,3.44,2.06,1.45,2.66,0.662,158
2020-04-12T00:00:00.000Z,0.05,14.95,2.6,1.4,5.14,3.75,588
2020-04-13T00:00:00.000Z,0.2,1.42,0.9,0.73,1.05,0.233,589
2020-04-14T00:00:00.000Z,0.35,1.96,0.95,0.7,1.23,0.332,575
2020-04-15T00:00:00.000Z,0.25,7.74,0.91,0.65,1.25,0.843,524
2020-04-16T00:00:00.000Z,0.3,2.15,0.65,0.5,0.92,0.332,515
2020-04-17T00:00:00.000Z,0.34,1.25,0.72,0.6,0.88,0.193,582
2020-04-18T00:00:00.000Z,0.45,2.2,1,0.8,1.18,0.274,591
2020-04-19T00:00:00.000Z,0.45,3.3,0.97,0.78,1.27,0.578,571
2020-04-20T00:00:00.000Z,0.57,2.04,1,0.85,1.21,0.251,520
2020-04-21T00:00:00.000Z,0.76,22.78,1.32,1.02,1.8,1.706,377
2020-04-22T00:00:00.000Z,0.82,1.9,1.21,1.05,1.42,0.239,424
2020-04-23T00:00:00.000Z,0.74,1.75,1.21,1.06,1.36,0.208,479
2020-04-24T00:00:00.000Z,0.33,1.72,0.62,0.53,0.97,0.304,545
2020-04-25T00:00:00.000Z,0.2,11.6,0.67,0.46,0.77,0.765,516
2020-04-26T00:00:00.000Z,0.2,2.92,1.23,1,1.72,0.665,558
2020-04-27T00:00:00.000Z,0.9,4.12,1.6,1.35,2.45,0.672,537
2020-04-28T00:00:00.000Z,0.95,6.42,1.69,1.25,2.08,0.691,406
2020-04-29T00:00:00.000Z,1.04,4.25,1.6,1.4,2.08,0.773,516
2020-04-30T00:00:00.000Z,1.13,8.47,3.58,2.4,4.4,1.614,539
2020-05-01T00:00:00.000Z,2.62,16.85,6.6,4.98,13.32,4.38,550
2020-05-02T00:00:00.000Z,0.55,12.61,1.23,0.96,1.76,2.331,548
2020-05-03T00:00:00.000Z,0.6,35.36,1.7,1.09,2.45,2.444,576
2020-05-04T00:00:00.000Z,0.6,5.66,1.1,0.95,1.55,0.794,539
2020-05-05T00:00:00.000Z,0.6,6.89,1,0.84,1.35,0.636,501
2020-05-06T00:00:00.000Z,0.57,2.95,1.13,0.95,1.4,0.418,598
2020-05-07T00:00:00.000Z,0.55,2.38,1.05,0.85,1.5,0.385,387
2020-05-08T00:00:00.000Z,1.25,4.08,2.61,1.83,3,0.763,350
2020-05-09T00:00:00.000Z,0.45,3.3,0.95,0.72,1.17,0.457,343
2020-05-10T00:00:00.000Z,0.63,8.21,3.08,2.34,5.25,1.914,243
2020-05-11T00:00:00.000Z,0.38,1.82,0.84,0.65,1.15,0.316,354
2020-05-12T00:00:00.000Z,0.38,2,0.85,0.65,1.04,0.308,475
2020-05-13T00:00:00.000Z,0.04,2.2,0.85,0.64,1.13,0.412,479
2020-05-14T00:00:00.000Z,0.6,2.56,1.06,0.95,1.35,0.308,460
2020-05-15T00:00:00.000Z,0.56,7.62,0.92,0.82,1.08,0.449,528
2020-05-16T00:00:00.000Z,0.5,1.22,0.8,0.7,0.85,0.114,332
2020-05-17T00:00:00.000Z,0.2,4.2,0.8,0.45,1.12,0.472,540
2020-05-18T00:00:00.000Z,0.1,4.87,0.52,0.4,0.82,0.388,467
2020-05-19T00:00:00.000Z,0.6,3.25,1.05,0.88,1.21,0.297,541
2020-05-20T00:00:00.000Z,0.64,1.98,1.02,0.88,1.32,0.291,554
2020-05-21T00:00:00.000Z,0.6,3.36,1.5,0.98,1.8,0.556,517
2020-05-22T00:00:00.000Z,0.84,3.43,2.1,1.68,2.5,0.557,548
2020-05-23T00:00:00.000Z,0.9,7.5,2.15,1.6,3.9,1.662,519
2020-05-24T00:00:00.000Z,1.37,8.5,3.53,2.47,4.26,1.309,536
2020-05-25T00:00:00.000Z,1.23,9.17,2.4,1.8,3.59,1.629,549
2020-05-26T00:00:00.000Z,0.87,6.23,1.9,1.5,2.7,0.89,503
2020-05-27T00:00:00.000Z,1.23,3.8,2.2,1.93,2.57,0.454,522
2020-05-28T00:00:00.000Z,0.4,3,1.07,0.7,1.55,0.612,544
2020-05-29T00:00:00.000Z,0.7,7.57,1.1,0.93,1.6,0.582,544
2020-05-30T00:00:00.000Z,0.2,3.13,0.8,0.67,1,0.54,566
2020-05-31T00:00:00.000Z,0.3,2.13,0.7,0.6,0.83,0.208,499
2020-06-01T00:00:00.000Z,0.6,4.17,1.33,1.07,1.6,0.5,490
2020-06-02T00:00:00.000Z,1,3.87,1.6,1.4,1.8,0.462,534
2020-06-03T00:00:00.000Z,1.12,6.97,1.9,1.6,3.25,1.323,460
2020-06-04T00:00:00.000Z,1.5,9.33,3.53,2.6,4.5,1.711,534
2020-06-05T00:00:00.000Z,2.63,7.07,4.5,3.9,5.3,0.992,454
2020-06-06T00:00:00.000Z,0.5,6.57,1.4,1,2.29,1.264,488
2020-06-07T00:00:00.000Z,0.7,2.97,1.4,1.23,1.63,0.343,541
2020-06-08T00:00:00.000Z,1,4.4,1.6,1.35,2.45,0.757,532
2020-06-09T00:00:00.000Z,1,5.43,1.7,1.5,2.8,1.139,496
2020-06-10T00:00:00.000Z,0.5,6.33,0.9,0.8,1.07,0.292,525
2020-06-11T00:00:00.000Z,0.5,9.13,1,0.9,1.1,0.508,564
2020-06-12T00:00:00.000Z,0.87,4.76,2.1,1.89,2.45,0.607,576
2020-06-13T00:00:00.000Z,1.1,22.5,1.7,1.4,2.1,1.347,550
2020-06-14T00:00:00.000Z,0.7,4,1.83,1.33,2.23,0.611,338
2020-06-15T00:00:00.000Z,1.17,3.93,1.77,1.53,2.2,0.597,565
2020-06-16T00:00:00.000Z,1.7,10.57,4.26,2.7,6,2.326,573
2020-06-17T00:00:00.000Z,2.29,12.07,5,4,6.2,2.167,553
2020-06-18T00:00:00.000Z,2.8,10.6,4.13,3.53,5.09,1.591,511
2020-06-19T00:00:00.000Z,2.47,9.1,4.5,3.33,5.23,1.608,487
2020-06-20T00:00:00.000Z,1.47,11.33,5.5,3.2,6.83,2.703,583
2020-06-21T00:00:00.000Z,0.87,4.97,2.1,1.53,2.7,0.743,583
2020-06-22T00:00:00.000Z,1.5,3.5,2.4,2.13,2.6,0.37,564
2020-06-23T00:00:00.000Z,1.6,6.53,2.8,2.57,3.2,0.851,572
2020-06-24T00:00:00.000Z,2.4,7,3.87,3.5,5.05,1.09,588
2020-06-25T00:00:00.000Z,2,7.23,4.67,3.63,5.77,1.241,571
2020-06-26T00:00:00.000Z,2.8,7.87,4.01,3.6,4.53,0.912,570
2020-06-27T00:00:00.000Z,3.2,12.6,4.33,3.83,6,1.971,518
2020-06-28T00:00:00.000Z,4.73,12.4,6.13,5.63,7,1.566,452
2020-06-29T00:00:00.000Z,1.1,12.07,2.8,1.77,5.7,2.889,487
