# Sensor Annedal, Majorna-Linné, Sweden (Citizen Science project sensor.community/12990)
# https://aqicn.org/station/@60535/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,9.07,2.48,0.55,3.15,1.541,317
2019-12-10T00:00:00.000Z,0.6,5.18,2.13,1.5,3.28,1.107,415
2019-12-11T00:00:00.000Z,2.58,9.53,6.08,5.18,6.95,1.394,434
2019-12-12T00:00:00.000Z,2.46,16,8.84,7.39,11.32,2.846,496
2019-12-13T00:00:00.000Z,3.05,15.98,8.07,5.77,10.77,2.931,565
2019-12-14T00:00:00.000Z,1.8,21.18,12.43,6.02,14.83,5.172,400
2019-12-15T00:00:00.000Z,0.67,7.56,2.52,1.42,3.84,1.571,561
2019-12-16T00:00:00.000Z,0.32,10.27,3.89,2.9,5.01,1.984,291
2019-12-17T00:00:00.000Z,0,0.64,0,0,0,0.053,281
2019-12-18T00:00:00.000Z,0,0.18,0,0,0,0.015,463
2019-12-19T00:00:00.000Z,0,19.02,0.16,0,12.95,7.028,554
2019-12-20T00:00:00.000Z,9.07,24.59,12.98,11.48,19.75,4.303,591
2019-12-21T00:00:00.000Z,4.84,29.52,13.09,6.32,19.73,6.966,580
2019-12-22T00:00:00.000Z,3.26,18.34,5.7,4.63,6.86,3.752,589
2019-12-23T00:00:00.000Z,1.5,9.32,3.27,2.62,4.91,1.967,556
2019-12-24T00:00:00.000Z,2.33,21.36,5.32,4.34,6.76,3.553,588
2019-12-25T00:00:00.000Z,0.76,33.79,3.57,1.9,7.94,5.716,588
2019-12-26T00:00:00.000Z,0.95,11.74,2.1,1.55,3.08,2.146,591
2019-12-27T00:00:00.000Z,0.36,4.32,1.96,1.31,2.95,0.956,580
2019-12-28T00:00:00.000Z,1.6,9.75,2.92,2.31,4.41,1.283,584
2019-12-29T00:00:00.000Z,3.54,50.28,35.92,19.18,42.78,14.478,596
2019-12-30T00:00:00.000Z,3.72,15.68,10.74,8.05,11.48,2.512,585
2019-12-31T00:00:00.000Z,0.77,24.55,2.85,1.58,4.4,2.663,578
2020-01-01T00:00:00.000Z,2.4,38.25,4.09,3.46,5.08,5.272,572
2020-01-02T00:00:00.000Z,3.86,52.4,15.61,12.93,18.87,11.595,574
2020-01-03T00:00:00.000Z,3.12,23.84,5.4,4.4,7.65,4.812,547
2020-01-04T00:00:00.000Z,0.72,6.05,1.5,1.21,1.98,0.75,565
2020-01-05T00:00:00.000Z,0.8,14.65,3.93,2.12,6.94,2.796,566
2020-01-06T00:00:00.000Z,3.68,16.77,7.29,6.23,10.07,2.709,526
2020-01-07T00:00:00.000Z,4.13,48.68,26.12,19.93,39.79,12.774,340
2020-02-29T00:00:00.000Z,2.38,11.85,6.02,4.71,8.43,2.66,113
2020-03-01T00:00:00.000Z,1.78,6.38,3.98,3.22,4.69,0.894,571
2020-03-02T00:00:00.000Z,2.4,8.19,4.26,3.55,5.04,1.014,460
2020-03-03T00:00:00.000Z,0.34,9.52,1.55,1.08,2.35,2.035,424
2020-03-04T00:00:00.000Z,0.71,7.86,3.36,1.94,4.95,1.725,587
2020-03-05T00:00:00.000Z,0.72,5.18,1.8,1.45,2.25,0.833,589
2020-03-06T00:00:00.000Z,0.87,5.22,2.6,2.13,3.07,0.713,590
2020-03-07T00:00:00.000Z,4.48,21.2,8.98,7.47,14.49,3.957,592
2020-03-08T00:00:00.000Z,6.25,25.5,15.25,11.93,18.16,4.765,592
2020-03-09T00:00:00.000Z,2.12,19.72,7.37,5.69,10.22,4.043,583
2020-03-10T00:00:00.000Z,0.53,20.17,6.67,4.59,8.82,4.483,586
2020-03-11T00:00:00.000Z,3.22,10.15,6.46,5.44,7.23,1.29,579
2020-03-12T00:00:00.000Z,0,10.43,3.5,2.44,4.8,1.916,496
2020-03-13T00:00:00.000Z,0.3,8.47,1.02,0.75,1.48,1.397,517
2020-03-14T00:00:00.000Z,0.3,9.35,1.02,0.72,1.45,0.829,467
2020-03-15T00:00:00.000Z,5.8,13.93,8.69,7.46,11.03,2.041,173
2020-03-16T00:00:00.000Z,1.7,8.13,3.13,2.46,4.76,1.464,310
2020-03-17T00:00:00.000Z,1.3,12.43,3.37,2.2,7.07,2.986,290
2020-03-18T00:00:00.000Z,1.25,24.23,5.45,3.27,11.66,6.13,154
2020-03-19T00:00:00.000Z,2,5.63,3.39,3.03,3.74,0.651,152
2020-03-20T00:00:00.000Z,0.2,5.46,1.04,0.65,2.59,1.197,200
2020-03-21T00:00:00.000Z,0.3,8.73,1.01,0.6,2.6,1.374,233
2020-03-22T00:00:00.000Z,0.37,10.07,1.25,0.9,1.88,1.025,180
2020-03-23T00:00:00.000Z,0.6,5.04,2.25,1.42,3.2,1.081,184
2020-03-24T00:00:00.000Z,3.4,10.17,4.47,4.17,5.13,1.067,155
2020-03-25T00:00:00.000Z,6.18,23.4,8.63,7.87,9.67,3.017,171
2020-03-26T00:00:00.000Z,19.57,30.63,26.8,21.03,29.33,3.775,39
2020-04-13T00:00:00.000Z,0.32,8.17,0.7,0.53,0.83,0.568,278
2020-04-14T00:00:00.000Z,0.32,8.11,1.06,0.69,2.2,2.318,571
2020-04-15T00:00:00.000Z,2.82,8.35,5.12,4.28,6,1.094,527
2020-04-16T00:00:00.000Z,0.7,8.19,2.66,1.48,4.25,1.889,525
2020-04-17T00:00:00.000Z,0.15,3.68,1.17,0.62,1.6,0.646,580
2020-04-18T00:00:00.000Z,0.55,6.26,1.25,1.02,1.58,0.706,593
2020-04-19T00:00:00.000Z,0.25,55.25,1.14,0.77,2.04,3.832,570
2020-04-20T00:00:00.000Z,0.64,4.9,1.35,1.05,1.8,0.677,516
2020-04-21T00:00:00.000Z,0.36,3.35,0.9,0.72,1.09,0.372,374
2020-04-22T00:00:00.000Z,0.45,10.43,1.25,0.9,2.31,1.242,429
2020-04-23T00:00:00.000Z,0.75,7.35,1.78,1.37,4.25,1.902,487
2020-04-24T00:00:00.000Z,0.2,17.32,0.98,0.57,3.05,3.169,556
2020-04-25T00:00:00.000Z,0.1,2.44,0.6,0.4,0.85,0.359,514
2020-04-26T00:00:00.000Z,1.1,21.06,4.42,2.75,7.45,4.23,566
2020-04-27T00:00:00.000Z,2.62,20.62,7.22,5.53,9.32,2.511,533
2020-04-28T00:00:00.000Z,0.25,5.34,1.3,1.05,1.55,0.645,418
2020-04-29T00:00:00.000Z,0.65,2.73,1.27,0.97,1.85,0.516,521
2020-04-30T00:00:00.000Z,0.9,14.65,1.96,1.41,7.04,3.467,553
2020-05-01T00:00:00.000Z,1.56,23.08,5.98,3.55,12.25,6.3,562
