# Sensor Prinsgatan, Majorna-Linné, Sweden (Citizen Science project sensor.community/13014)
# https://aqicn.org/station/@60541/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.25,21.62,1.95,0.7,2.64,1.601,320
2019-12-10T00:00:00.000Z,0.6,24.17,2.23,1.14,2.72,1.812,408
2019-12-11T00:00:00.000Z,1.68,7.08,4.24,3.66,4.76,0.92,423
2019-12-12T00:00:00.000Z,1.72,21,5.88,4.8,8.67,2.598,484
2019-12-13T00:00:00.000Z,1.72,11.93,6.83,4.94,8.48,2.297,554
2019-12-14T00:00:00.000Z,0.95,19.67,10.63,5.13,14.6,5.46,401
2019-12-15T00:00:00.000Z,0.55,5.38,1.72,1.15,2.58,1.082,567
2019-12-16T00:00:00.000Z,0.88,7.62,2.79,2.25,3.43,1.317,288
2019-12-17T00:00:00.000Z,1,12.1,2.16,1.38,5.49,2.868,285
2019-12-18T00:00:00.000Z,0.06,9.82,1.98,1.08,2.54,1.172,439
2019-12-19T00:00:00.000Z,1.5,20.05,6.58,4,7.86,2.738,552
2019-12-20T00:00:00.000Z,4.94,24.75,13.09,10.92,17.5,4.869,574
2019-12-21T00:00:00.000Z,3.66,21.56,10.86,5.2,16.35,5.654,551
2019-12-22T00:00:00.000Z,3,17.57,4.95,4.36,6.43,3.546,561
2019-12-23T00:00:00.000Z,1.28,12.5,2.43,1.84,4.88,1.997,565
2019-12-24T00:00:00.000Z,1.02,15.72,3.5,2.82,4.8,2.796,584
2019-12-25T00:00:00.000Z,0.53,12.98,3.25,1.4,6.32,2.934,582
2019-12-26T00:00:00.000Z,0.84,9.92,1.72,1.3,2.63,1.673,579
2019-12-27T00:00:00.000Z,0.6,5.97,2.15,1.64,2.75,0.771,559
2019-12-28T00:00:00.000Z,1.58,24.88,2.94,2.42,4.59,3.522,583
2019-12-29T00:00:00.000Z,3.04,50.17,32.76,19.2,37.21,12.246,585
2019-12-30T00:00:00.000Z,2.65,18.82,9.71,6.58,10.45,2.446,570
2019-12-31T00:00:00.000Z,0.93,17.52,2.78,1.6,4.4,2.255,559
2020-01-01T00:00:00.000Z,2.18,37.92,3.86,3.06,4.65,6.559,561
2020-01-02T00:00:00.000Z,1.92,55.36,16.19,12.71,19.88,12.781,560
2020-01-03T00:00:00.000Z,1.98,17.97,4.68,3.69,5.95,3.326,546
2020-01-04T00:00:00.000Z,0.75,5.52,1.56,1.36,2.02,0.67,549
2020-01-05T00:00:00.000Z,0.8,6.28,2.9,1.82,4.22,1.351,553
2020-01-06T00:00:00.000Z,2,14.22,4.92,3.84,6.72,2.033,523
2020-01-07T00:00:00.000Z,3.18,39.32,16.23,5,24.23,11.289,513
2020-01-08T00:00:00.000Z,4.09,19.2,6.26,5.2,8.99,4.027,496
2020-01-09T00:00:00.000Z,0.16,25.86,4.54,0.75,5.01,2.772,523
2020-01-10T00:00:00.000Z,0.25,5.96,2.52,0.75,3.76,1.529,429
2020-01-11T00:00:00.000Z,1.44,10.32,4.15,2.8,6.63,2.129,513
2020-01-12T00:00:00.000Z,1.32,9.24,4.59,3.01,5.29,1.748,545
2020-01-13T00:00:00.000Z,1.92,11.25,3.3,2.54,4.97,1.781,481
2020-01-14T00:00:00.000Z,1.27,12.93,4.92,3.9,5.92,2.55,434
2020-01-15T00:00:00.000Z,0.9,26,2.98,1.74,3.8,2.39,461
2020-01-16T00:00:00.000Z,3.68,19.78,5.08,4.69,5.46,1.138,471
2020-01-17T00:00:00.000Z,4.16,22.68,8.84,6.36,10.91,4.616,464
2020-01-18T00:00:00.000Z,0.8,28.84,3.62,2.56,10.67,7.933,486
2020-01-19T00:00:00.000Z,0.95,9.67,2.16,1.67,3.54,1.291,461
2020-01-20T00:00:00.000Z,2.34,8.85,5.27,4.66,5.68,0.997,365
2020-01-21T00:00:00.000Z,3.16,10.76,4.96,4.34,5.54,0.851,460
2020-01-22T00:00:00.000Z,3.5,4.8,4.13,3.89,4.38,0.332,16
2020-01-23T00:00:00.000Z,2.4,6.25,3.72,3.42,4.92,0.878,82
2020-01-24T00:00:00.000Z,0.85,5.72,3.27,2.75,3.78,0.89,267
2020-01-25T00:00:00.000Z,1.35,13.64,2.8,2.5,3.28,2.366,298
2020-01-26T00:00:00.000Z,1.63,27.63,9.24,6.76,16.3,6.793,310
2020-01-27T00:00:00.000Z,3.48,79.28,19.45,13.63,25.09,8.101,257
