# Sensor Björneborgsgatan, Skönsmon District, Sweden (Citizen Science project sensor.community/13477)
# https://aqicn.org/station/@60889/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,0.72,0.37,0.3,0.46,0.12,439
2019-12-10T00:00:00.000Z,0.12,2.64,0.42,0.24,0.84,0.653,571
2019-12-11T00:00:00.000Z,0.1,1.63,0.45,0.28,0.54,0.203,574
2019-12-12T00:00:00.000Z,0.56,1.78,1.2,0.99,1.39,0.237,701
2019-12-13T00:00:00.000Z,0.2,2.83,0.63,0.43,1.35,0.65,980
2019-12-14T00:00:00.000Z,0.7,3.93,1.05,0.91,1.38,0.693,742
2019-12-15T00:00:00.000Z,0.41,1.81,0.79,0.67,0.94,0.238,1203
2019-12-16T00:00:00.000Z,0.23,1.21,0.63,0.52,0.76,0.197,586
2019-12-17T00:00:00.000Z,0.09,1.66,0.67,0.45,0.89,0.365,563
2019-12-18T00:00:00.000Z,0.11,0.76,0.43,0.26,0.52,0.157,894
2019-12-19T00:00:00.000Z,0.06,2.06,0.5,0.24,1.15,0.539,1071
2019-12-20T00:00:00.000Z,0.7,6.47,3.94,1.59,4.78,1.689,1179
2019-12-21T00:00:00.000Z,0.77,4.76,2.31,1.42,3.62,1.145,1144
2019-12-22T00:00:00.000Z,0.25,3.18,0.78,0.52,1.34,0.781,1158
2019-12-23T00:00:00.000Z,0,3.63,0.41,0.19,1.78,1.106,1127
2019-12-24T00:00:00.000Z,0.15,3.3,1.18,0.73,1.59,0.639,1201
2019-12-25T00:00:00.000Z,0.13,0.8,0.35,0.25,0.44,0.122,1194
2019-12-26T00:00:00.000Z,0.1,0.64,0.26,0.2,0.32,0.089,1163
2019-12-27T00:00:00.000Z,0.3,1.69,0.64,0.49,0.86,0.307,1179
2019-12-28T00:00:00.000Z,0.36,2.76,0.69,0.51,0.98,0.434,1244
2019-12-29T00:00:00.000Z,0.13,2.36,0.45,0.34,0.63,0.385,1259
2019-12-30T00:00:00.000Z,0.08,0.53,0.22,0.17,0.28,0.092,1230
2019-12-31T00:00:00.000Z,0.02,2.39,0.22,0.14,0.27,0.267,1166
2020-01-01T00:00:00.000Z,0.04,1.12,0.36,0.22,0.48,0.175,1160
2020-01-02T00:00:00.000Z,0.25,4.01,0.94,0.42,1.9,0.99,1149
2020-01-03T00:00:00.000Z,0.07,1.81,0.28,0.23,0.38,0.36,1029
2020-01-04T00:00:00.000Z,0.1,1.1,0.51,0.33,0.6,0.21,1032
2020-01-05T00:00:00.000Z,0.23,1.99,0.5,0.41,0.61,0.266,1040
2020-01-06T00:00:00.000Z,0.17,3.86,0.78,0.33,1.5,0.883,923
2020-01-07T00:00:00.000Z,0.08,1.15,0.22,0.16,0.41,0.237,865
2020-01-08T00:00:00.000Z,0.08,1.24,0.28,0.22,0.43,0.244,771
2020-01-09T00:00:00.000Z,0.13,3.28,1.2,0.26,2.29,1.006,828
2020-01-10T00:00:00.000Z,0.88,6.5,1.66,1.46,1.92,0.828,596
2020-01-11T00:00:00.000Z,0.06,1.62,0.51,0.2,1.03,0.43,855
2020-01-12T00:00:00.000Z,0.06,1.13,0.3,0.18,0.52,0.24,973
2020-01-13T00:00:00.000Z,0.2,4.22,0.44,0.35,0.54,0.337,729
2020-01-14T00:00:00.000Z,0.17,1.42,0.69,0.53,0.92,0.237,618
2020-01-15T00:00:00.000Z,0.04,2.31,0.8,0.45,1.32,0.616,688
2020-01-16T00:00:00.000Z,0.3,3.32,1.15,0.82,2.06,0.727,738
2020-01-17T00:00:00.000Z,0.23,2.98,1.36,0.87,1.69,0.605,716
2020-01-18T00:00:00.000Z,0.36,7.56,2.46,1.9,3.56,1.317,840
2020-01-19T00:00:00.000Z,0.08,2.44,0.28,0.18,1.32,0.68,838
2020-01-20T00:00:00.000Z,0.02,1.39,0.34,0.11,0.87,0.406,572
2020-01-21T00:00:00.000Z,0.04,1.33,0.46,0.28,0.7,0.333,676
2020-01-22T00:00:00.000Z,0.55,0.78,0.63,0.6,0.69,0.058,28
2020-01-23T00:00:00.000Z,0.28,0.83,0.43,0.37,0.49,0.115,93
2020-01-24T00:00:00.000Z,0.1,0.94,0.35,0.25,0.45,0.155,282
2020-01-25T00:00:00.000Z,0.23,1.32,0.46,0.36,0.68,0.235,322
2020-01-26T00:00:00.000Z,0.08,0.64,0.32,0.2,0.41,0.125,317
2020-01-27T00:00:00.000Z,0.21,2.75,0.72,0.5,1.52,0.635,239
2020-01-28T00:00:00.000Z,0.3,2.25,0.89,0.68,1.31,0.419,300
2020-01-29T00:00:00.000Z,0.08,1.63,0.28,0.16,0.92,0.474,349
2020-01-30T00:00:00.000Z,0.15,1.73,0.83,0.4,1.29,0.465,315
2020-01-31T00:00:00.000Z,0.18,1.18,0.38,0.3,0.57,0.213,322
2020-02-01T00:00:00.000Z,0.13,1.82,0.32,0.25,0.53,0.343,352
2020-02-02T00:00:00.000Z,0.09,0.55,0.23,0.18,0.28,0.074,386
2020-02-03T00:00:00.000Z,0.05,2.46,0.37,0.25,0.49,0.275,349
2020-02-04T00:00:00.000Z,0.18,0.97,0.45,0.3,0.6,0.183,287
2020-02-05T00:00:00.000Z,0.08,0.6,0.31,0.2,0.4,0.114,216
2020-02-06T00:00:00.000Z,0.14,0.72,0.33,0.27,0.4,0.126,235
2020-02-07T00:00:00.000Z,0.33,1.49,0.55,0.49,0.62,0.139,226
2020-02-08T00:00:00.000Z,0.15,15.04,0.49,0.36,1.17,2.501,212
2020-02-09T00:00:00.000Z,0.22,1.99,0.8,0.4,1.06,0.404,441
2020-02-10T00:00:00.000Z,0.12,31.27,0.6,0.3,2.02,4.993,496
2020-02-11T00:00:00.000Z,0.05,1.61,0.25,0.17,0.61,0.318,481
2020-02-12T00:00:00.000Z,0.18,1.34,0.68,0.49,0.92,0.276,505
2020-02-13T00:00:00.000Z,0.14,1.31,0.48,0.36,0.81,0.264,479
2020-02-14T00:00:00.000Z,0.25,2.98,0.56,0.41,1.02,0.548,487
2020-02-15T00:00:00.000Z,0.3,1.3,0.63,0.56,0.76,0.185,406
2020-02-16T00:00:00.000Z,0.1,1.5,0.38,0.22,0.6,0.325,470
2020-02-17T00:00:00.000Z,0.11,1.45,0.76,0.35,0.95,0.358,413
2020-02-18T00:00:00.000Z,0.06,0.3,0.15,0.12,0.2,0.051,363
2020-02-19T00:00:00.000Z,0.07,1.62,0.45,0.2,0.88,0.39,593
2020-02-20T00:00:00.000Z,0.12,1.13,0.45,0.37,0.57,0.196,701
2020-02-21T00:00:00.000Z,0.05,0.86,0.19,0.15,0.28,0.184,566
2020-02-22T00:00:00.000Z,0.12,1.24,0.4,0.26,0.5,0.168,623
2020-02-23T00:00:00.000Z,0.03,1.46,0.42,0.12,0.61,0.257,642
2020-02-24T00:00:00.000Z,0.18,0.94,0.39,0.32,0.47,0.124,844
2020-02-25T00:00:00.000Z,0.17,1.01,0.49,0.31,0.6,0.181,628
2020-02-26T00:00:00.000Z,0.13,1.58,0.6,0.43,0.76,0.269,735
2020-02-27T00:00:00.000Z,0.22,2.62,0.75,0.41,1.14,0.464,1129
2020-02-28T00:00:00.000Z,0.34,1.52,0.63,0.52,0.8,0.21,1104
2020-02-29T00:00:00.000Z,0.2,1.63,0.65,0.41,0.98,0.353,1171
2020-03-01T00:00:00.000Z,0.25,2.19,0.46,0.4,0.53,0.144,1187
2020-03-02T00:00:00.000Z,0.18,1.5,0.47,0.36,0.69,0.29,926
2020-03-03T00:00:00.000Z,0.2,0.69,0.45,0.41,0.5,0.071,921
2020-03-04T00:00:00.000Z,0.13,0.68,0.41,0.26,0.49,0.126,1274
2020-03-05T00:00:00.000Z,0.11,1.47,0.26,0.2,0.33,0.249,1271
