# Sensor Nyhemsgatan, Norra Hisingen, Sweden (Citizen Science project sensor.community/14799)
# https://aqicn.org/station/@61714/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.3,5.72,2.15,0.75,2.88,1.294,314
2019-12-10T00:00:00.000Z,0.7,26.48,2.54,1.25,3.24,3.313,411
2019-12-11T00:00:00.000Z,1.38,22.6,4.97,4.05,6.63,2.978,428
2019-12-12T00:00:00.000Z,2.64,91.2,9.35,7.62,11.15,7.073,497
2019-12-13T00:00:00.000Z,3.24,50.92,7.8,4.98,9.89,5.035,566
2019-12-14T00:00:00.000Z,2.18,22.04,10.47,5.16,15.18,5.457,398
2019-12-15T00:00:00.000Z,0.62,15.25,2.14,1.14,3.94,2.368,577
2019-12-16T00:00:00.000Z,1.27,12.9,3.25,2.65,4.22,2.029,269
2019-12-17T00:00:00.000Z,0.75,20.28,2.39,1.27,6.56,4.778,288
2019-12-18T00:00:00.000Z,0.25,21.8,1.95,0.6,3.01,2.497,471
2019-12-19T00:00:00.000Z,2.65,63.97,7.17,5.37,9.11,5.873,557
2019-12-20T00:00:00.000Z,5.28,32.79,12.72,10.37,16.68,4.706,586
2019-12-21T00:00:00.000Z,4.46,59.14,13.75,7.79,19.45,6.181,576
2019-12-22T00:00:00.000Z,3.5,65.15,6.66,5.05,11.24,6.446,588
2019-12-23T00:00:00.000Z,1.47,36.42,4.23,2.56,6.62,6.266,586
2019-12-24T00:00:00.000Z,1.56,17.37,5.48,4.04,6.86,2.746,591
2019-12-25T00:00:00.000Z,0.86,36.33,3.28,1.64,7.39,5.224,587
2019-12-26T00:00:00.000Z,0.65,17.86,2,1.51,3.26,2.271,586
2019-12-27T00:00:00.000Z,0.44,17.29,2.12,1.4,3.01,1.541,576
2019-12-28T00:00:00.000Z,1.58,46.64,4.13,2.52,5,3.842,590
2019-12-29T00:00:00.000Z,3.05,80.87,35.47,19.2,42.6,15.299,595
2019-12-30T00:00:00.000Z,3.3,17.57,12.15,9.05,13.26,3.129,584
2019-12-31T00:00:00.000Z,1.01,44.4,2.6,1.67,4.72,5.661,577
2020-01-01T00:00:00.000Z,2.43,39.7,4.61,3.9,5.63,5.843,584
2020-01-02T00:00:00.000Z,2.99,67.4,17.16,13.26,21.16,13.927,575
2020-01-03T00:00:00.000Z,3.08,22.37,5.72,4.7,7.61,4.088,561
2020-01-04T00:00:00.000Z,0.68,7.06,1.53,1.12,2.13,0.891,564
2020-01-05T00:00:00.000Z,0.92,104.78,4.88,2.21,7.39,12.047,568
2020-01-06T00:00:00.000Z,3.56,16.3,7.36,6.02,10.07,2.608,532
