# Sensor x, Östersund, Sweden (Citizen Science project sensor.community/16531)
# https://aqicn.org/station/@62848/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.72,5.44,2,1.68,2.5,0.807,314
2019-12-10T00:00:00.000Z,0.78,4.51,2.12,1.5,2.45,0.654,409
2019-12-11T00:00:00.000Z,1.55,8.58,2.62,2,4,1.391,428
2019-12-12T00:00:00.000Z,1.05,3.29,2.15,1.9,2.44,0.411,484
2019-12-13T00:00:00.000Z,1,5.58,2.82,1.82,3.5,0.974,566
2019-12-14T00:00:00.000Z,1.9,8.41,4.29,3.3,5.2,1.411,402
2019-12-15T00:00:00.000Z,1.05,7.2,2.25,1.75,4.21,1.534,579
2019-12-16T00:00:00.000Z,1.56,5.07,2.92,2.04,3.55,0.839,291
2019-12-17T00:00:00.000Z,0.57,7.52,2.54,1.58,3.85,1.743,288
2019-12-18T00:00:00.000Z,0.55,5.82,2.77,1.9,3.54,1.245,465
2019-12-19T00:00:00.000Z,1.15,5.77,2.31,1.65,3.85,1.294,547
2019-12-20T00:00:00.000Z,2.4,265.55,6.66,3.73,8.82,28.205,589
2019-12-21T00:00:00.000Z,1.45,10.14,3.57,2.95,5.55,1.997,576
2019-12-22T00:00:00.000Z,0.9,1.98,1.38,1.2,1.58,0.233,588
2019-12-23T00:00:00.000Z,0.65,1.94,1.2,0.93,1.46,0.315,585
2019-12-24T00:00:00.000Z,0.4,5.12,1.63,1.33,2,0.633,592
2019-12-25T00:00:00.000Z,0.52,2.49,1.05,0.8,1.67,0.51,588
2019-12-26T00:00:00.000Z,0.26,6.73,0.74,0.5,4.03,1.961,590
2019-12-27T00:00:00.000Z,0.55,6.2,2.18,1.08,4.51,1.765,588
2019-12-28T00:00:00.000Z,1.1,7.1,2.85,2.2,4.21,1.361,589
2019-12-29T00:00:00.000Z,1.33,6.56,4.34,2.74,4.88,1.418,588
2019-12-30T00:00:00.000Z,2.58,10.3,4.2,3.62,5.79,1.664,580
2019-12-31T00:00:00.000Z,1.01,16.07,3.65,2.29,5.7,2.918,571
2020-01-01T00:00:00.000Z,1.55,12.65,2.71,2.25,6.15,2.533,585
2020-01-02T00:00:00.000Z,1.42,16.6,5.22,3.99,9.36,4.283,569
2020-01-03T00:00:00.000Z,1.14,4.09,2.54,2.02,2.8,0.611,551
2020-01-04T00:00:00.000Z,1,7.4,2.27,1.58,4.05,1.597,556
2020-01-05T00:00:00.000Z,1.1,6.28,2.98,1.65,3.99,1.376,565
2020-01-06T00:00:00.000Z,1.6,7,2.96,2.06,3.91,1.372,522
2020-01-07T00:00:00.000Z,1.62,6.44,3.34,2.56,4.25,1.18,520
2020-01-08T00:00:00.000Z,2.02,8.68,4.34,3.38,5.74,1.507,502
2020-01-09T00:00:00.000Z,0.66,7.02,2.8,2.5,4.03,1.312,536
2020-01-10T00:00:00.000Z,0.34,10.55,3.64,1.56,4.34,2.064,423
2020-01-11T00:00:00.000Z,0.95,9.44,3.22,1.4,3.74,1.431,532
2020-01-12T00:00:00.000Z,1.08,9.59,2,1.45,4.72,2.199,347
2020-01-29T00:00:00.000Z,0.8,4.67,3.15,2.54,3.54,0.863,182
2020-01-30T00:00:00.000Z,1.05,5.8,2.4,1.65,3.18,1.077,291
2020-01-31T00:00:00.000Z,0.27,2.74,0.64,0.35,1.3,0.768,111
2020-02-01T00:00:00.000Z,2.27,7.42,3.87,3.31,4.71,1.051,164
2020-02-02T00:00:00.000Z,0.99,6.25,2.6,1.85,3.66,1.133,333
2020-02-03T00:00:00.000Z,0.9,73.61,2.25,1.56,3.22,6.061,314
2020-02-04T00:00:00.000Z,0.7,13.34,2.73,1.2,3.6,1.745,262
2020-02-05T00:00:00.000Z,0.8,7.02,3.25,1.8,3.93,1.327,243
2020-02-06T00:00:00.000Z,1.71,7.12,2.95,2.27,5.12,1.569,236
2020-02-07T00:00:00.000Z,1.48,10.92,2.6,1.88,3.38,1.189,218
2020-02-08T00:00:00.000Z,0.97,7.8,3.3,1.35,4.42,1.716,191
2020-02-09T00:00:00.000Z,1.56,5.09,2.66,2.27,3.25,0.871,361
2020-02-10T00:00:00.000Z,2.15,8.57,3.2,2.86,3.64,0.764,367
2020-02-11T00:00:00.000Z,1.42,5.34,2.7,1.9,3.36,0.955,363
2020-02-12T00:00:00.000Z,1.54,5.13,2.8,2.19,3.3,0.726,375
2020-02-13T00:00:00.000Z,1.21,6.44,3.26,1.96,3.91,1.149,360
2020-02-14T00:00:00.000Z,1.58,6.32,2.84,2.02,3.85,1.107,389
2020-02-15T00:00:00.000Z,1.32,7.74,2.35,1.86,3.07,1.081,331
2020-02-16T00:00:00.000Z,1.25,5.46,2.68,2.18,3.2,0.755,380
2020-02-17T00:00:00.000Z,1.66,6.25,3.93,2.84,4.62,1.127,351
2020-02-18T00:00:00.000Z,1.7,12.1,3.35,2.6,4.5,1.756,307
2020-02-19T00:00:00.000Z,1.1,7.1,2.62,1.65,3.78,1.282,456
2020-02-20T00:00:00.000Z,1.35,5.72,2.58,2.12,3.12,0.716,504
2020-02-21T00:00:00.000Z,1.7,17.98,3.15,2.68,4.03,2.177,415
2020-02-22T00:00:00.000Z,1.68,6.36,3.18,2.24,4.08,1.08,450
2020-02-23T00:00:00.000Z,2.45,71,4.55,4.09,5.29,12.587,447
2020-02-24T00:00:00.000Z,1.1,24.68,3.28,1.82,4.54,5.03,530
2020-02-25T00:00:00.000Z,0.75,18.85,3.1,2.04,3.86,2.178,468
2020-02-26T00:00:00.000Z,0.55,6.74,2.4,1.03,3.62,1.677,409
2020-02-27T00:00:00.000Z,1.05,4.74,2.52,1.8,3.28,0.883,560
2020-02-28T00:00:00.000Z,0.78,4.79,1.7,1.25,2.54,0.877,569
2020-02-29T00:00:00.000Z,1.52,5.95,2.38,2,2.95,0.822,520
