# Sensor Vretgatan, Ludvika, Sweden (Citizen Science project sensor.community/16705)
# https://aqicn.org/station/@62968/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.26,6.79,0.6,0.5,1.56,0.71,315
2019-12-10T00:00:00.000Z,0.45,3.62,1.28,0.99,1.58,0.41,412
2019-12-11T00:00:00.000Z,0.55,4.4,2.24,1.1,2.91,0.959,419
2019-12-12T00:00:00.000Z,0.28,3.65,2.16,0.73,2.8,1.034,483
2019-12-13T00:00:00.000Z,1.72,10.72,5.3,3.03,6.95,2.213,558
2019-12-14T00:00:00.000Z,0.26,8.44,1.51,0.62,2.33,1.614,388
2019-12-15T00:00:00.000Z,1.21,21.46,4.26,2.76,6.11,2.456,564
2019-12-16T00:00:00.000Z,0.43,1.98,1.14,0.95,1.35,0.281,280
2019-12-17T00:00:00.000Z,0.35,11.02,1.99,1.15,3.5,1.615,287
2019-12-18T00:00:00.000Z,0.25,4.51,0.75,0.65,0.9,0.458,462
2019-12-19T00:00:00.000Z,0.56,10.29,3.01,1.17,4.15,2.058,551
2019-12-20T00:00:00.000Z,1.87,12.38,3.6,2.58,4.95,1.84,586
2019-12-21T00:00:00.000Z,1.7,16.25,3.69,3.16,4.41,2.067,571
2019-12-22T00:00:00.000Z,0.7,14.42,1.6,1.2,2.08,1.455,580
2019-12-23T00:00:00.000Z,0.45,8.76,1.62,1.05,2.95,1.386,576
2019-12-24T00:00:00.000Z,1.05,26.86,3.05,2.22,4.3,2.365,586
2019-12-25T00:00:00.000Z,0.8,8.48,1.94,1.34,2.96,1.227,580
2019-12-26T00:00:00.000Z,0.5,3.65,0.95,0.77,1.48,0.536,573
2019-12-27T00:00:00.000Z,0.28,8.03,1.91,1.05,2.33,0.876,579
2019-12-28T00:00:00.000Z,0.94,14.58,2.5,2.31,2.92,1.085,582
2019-12-29T00:00:00.000Z,1.88,14.04,2.83,2.42,4.32,1.382,587
2019-12-30T00:00:00.000Z,0.36,6.07,2.37,1.27,3.64,1.372,578
2019-12-31T00:00:00.000Z,0.1,14.72,0.5,0.35,1.81,2.2,569
2020-01-01T00:00:00.000Z,0.4,33.47,1.25,0.75,2.7,1.926,584
2020-01-02T00:00:00.000Z,0.5,8.55,2.56,1.8,4.83,2.12,561
2020-01-03T00:00:00.000Z,0.17,3.81,0.69,0.5,0.94,0.4,545
2020-01-04T00:00:00.000Z,0.25,1.83,0.66,0.53,0.92,0.278,556
2020-01-05T00:00:00.000Z,0.36,9.33,1,0.88,1.26,0.742,548
2020-01-06T00:00:00.000Z,0.3,8.86,1.14,0.77,1.48,0.818,478
