# Sensor Lilla skogsvägen, Stora Höga, Sweden (Citizen Science project sensor.community/19547)
# https://aqicn.org/station/@65104/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0,1.42,0.41,0.15,0.7,0.338,315
2019-12-10T00:00:00.000Z,0.1,4.05,0.7,0.43,0.98,0.431,403
2019-12-11T00:00:00.000Z,0.38,2.11,1.08,0.89,1.26,0.26,418
2019-12-12T00:00:00.000Z,0.78,3.63,1.79,1.44,2.27,0.556,485
2019-12-13T00:00:00.000Z,0.38,5.94,1.87,1.48,2.25,0.659,560
2019-12-14T00:00:00.000Z,0.2,6.38,2.13,1.23,4.28,1.694,402
2019-12-15T00:00:00.000Z,0.05,2.46,0.51,0.31,0.94,0.387,572
2019-12-16T00:00:00.000Z,0.1,1.66,0.7,0.43,0.92,0.339,288
2019-12-17T00:00:00.000Z,0.05,4.57,0.52,0.15,1.62,1.246,287
2019-12-18T00:00:00.000Z,0,2.15,0.32,0.1,0.56,0.342,470
2019-12-19T00:00:00.000Z,0.25,2.79,1.9,1,2.2,0.666,553
2019-12-20T00:00:00.000Z,1,7.28,3.1,2.24,3.9,1.096,586
2019-12-21T00:00:00.000Z,0.94,5.6,2.42,1.38,4.12,1.441,575
2019-12-22T00:00:00.000Z,0.74,6.65,1.38,1.14,1.82,0.721,577
2019-12-23T00:00:00.000Z,0.26,4.9,0.88,0.63,1.47,0.707,589
2019-12-24T00:00:00.000Z,0.21,3.15,0.98,0.75,1.31,0.435,588
2019-12-25T00:00:00.000Z,0.05,3.84,0.56,0.31,1.25,0.623,593
2019-12-26T00:00:00.000Z,0.1,3.24,0.67,0.4,0.91,0.44,591
2019-12-27T00:00:00.000Z,0.05,2.11,0.6,0.36,0.78,0.293,584
2019-12-28T00:00:00.000Z,0.3,3.16,1.13,0.71,1.5,0.525,590
2019-12-29T00:00:00.000Z,0.92,10.19,6.03,3.41,7.35,2.358,588
2019-12-30T00:00:00.000Z,0.52,3.66,2.18,1.32,2.5,0.681,585
2019-12-31T00:00:00.000Z,0,10.32,0.62,0.38,1.81,1.59,577
2020-01-01T00:00:00.000Z,0.2,5.34,1.02,0.76,1.26,1.034,588
2020-01-02T00:00:00.000Z,0.75,8.3,3.78,2.31,5.12,1.649,572
2020-01-03T00:00:00.000Z,0.44,3.47,1.1,0.91,1.48,0.617,552
2020-01-04T00:00:00.000Z,0.05,5.43,0.36,0.26,0.5,0.467,555
2020-01-05T00:00:00.000Z,0.15,5.31,0.82,0.5,1.13,0.465,563
2020-01-06T00:00:00.000Z,0.16,2.29,0.96,0.73,1.26,0.384,527
2020-01-07T00:00:00.000Z,0.5,7.58,3.26,1.42,5,2.053,510
2020-01-08T00:00:00.000Z,0.8,3.86,1.66,1.36,2.16,0.614,511
2020-01-09T00:00:00.000Z,0,2,1.05,0.4,1.27,0.487,530
2020-01-10T00:00:00.000Z,0,3.12,0.59,0.3,1.36,0.707,419
2020-01-11T00:00:00.000Z,0.38,2.74,1.24,0.9,1.48,0.418,529
2020-01-12T00:00:00.000Z,0.24,6.18,1.13,0.83,1.42,0.569,561
2020-01-13T00:00:00.000Z,0.1,2.04,0.81,0.57,1.1,0.356,486
2020-01-14T00:00:00.000Z,0.48,3.68,1.48,1.2,1.85,0.686,446
2020-01-15T00:00:00.000Z,0.16,2.29,0.83,0.52,1.15,0.41,467
2020-01-16T00:00:00.000Z,0.69,2.72,1.38,1.18,1.72,0.381,482
2020-01-17T00:00:00.000Z,1.23,5.8,2.5,1.88,3.05,1.016,465
2020-01-18T00:00:00.000Z,0.1,5.85,0.76,0.52,2.68,1.574,502
2020-01-19T00:00:00.000Z,0.1,2.08,0.95,0.48,1.23,0.418,474
2020-01-20T00:00:00.000Z,0.35,2.35,1.55,1.24,1.78,0.399,359
2020-01-21T00:00:00.000Z,0.54,4.94,1.4,1.02,1.72,0.467,464
2020-01-22T00:00:00.000Z,0.52,1.05,0.78,0.7,0.83,0.125,16
2020-01-25T00:00:00.000Z,0.18,3.64,0.74,0.56,1.42,0.846,168
2020-01-26T00:00:00.000Z,0.24,7,2.06,1.23,3.02,1.5,309
2020-01-27T00:00:00.000Z,1.07,8.52,3.97,2.58,5.24,1.636,253
2020-01-28T00:00:00.000Z,0.1,4.55,1.57,0.36,2.84,1.286,270
2020-01-29T00:00:00.000Z,0,0.97,0.35,0.22,0.48,0.196,312
2020-01-30T00:00:00.000Z,0.02,0.81,0.35,0.24,0.46,0.158,295
2020-01-31T00:00:00.000Z,0,1.82,0.44,0.05,0.86,0.451,284
2020-02-01T00:00:00.000Z,0.25,2.44,1.51,0.85,1.73,0.504,325
2020-02-02T00:00:00.000Z,0.09,2.78,0.38,0.28,0.54,0.285,331
2020-02-03T00:00:00.000Z,0,1.79,0.34,0.22,0.45,0.247,316
2020-02-04T00:00:00.000Z,0,2.89,0.32,0.25,0.41,0.348,252
2020-02-05T00:00:00.000Z,0.1,2.58,0.73,0.41,1.07,0.41,228
2020-02-06T00:00:00.000Z,0.32,4.24,0.76,0.62,0.98,0.472,233
2020-02-07T00:00:00.000Z,0.32,3.55,0.76,0.57,1.1,0.472,213
2020-02-08T00:00:00.000Z,1.33,7.66,4.08,3.53,5.52,1.271,195
2020-02-09T00:00:00.000Z,0.42,7.8,2.59,1.73,4.22,1.841,365
2020-02-10T00:00:00.000Z,0.45,3.18,1.2,0.99,1.42,0.341,352
2020-02-11T00:00:00.000Z,0.19,2.25,0.82,0.56,1.1,0.392,350
2020-02-12T00:00:00.000Z,0.14,1.86,0.51,0.4,0.8,0.318,392
2020-02-13T00:00:00.000Z,0.15,1.45,0.52,0.38,0.8,0.291,381
2020-02-14T00:00:00.000Z,0.36,3.26,0.94,0.74,1.19,0.525,386
2020-02-15T00:00:00.000Z,0.18,5.07,2.42,1.76,3.53,1.169,323
2020-02-16T00:00:00.000Z,0.2,2.48,0.89,0.65,1.42,0.538,373
2020-02-17T00:00:00.000Z,0.6,4.49,1.86,1.56,2.13,0.485,346
2020-02-18T00:00:00.000Z,0.46,2.48,1.13,0.94,1.5,0.409,308
2020-02-19T00:00:00.000Z,0.1,1.48,0.52,0.36,0.75,0.264,452
2020-02-20T00:00:00.000Z,0.16,3.95,0.91,0.59,1.56,0.86,497
2020-02-21T00:00:00.000Z,0.2,2.54,1,0.68,1.5,0.499,416
2020-02-22T00:00:00.000Z,0.35,2.62,1.11,0.86,1.45,0.438,422
2020-02-23T00:00:00.000Z,0.05,2.62,1.39,0.85,1.84,0.613,436
2020-02-24T00:00:00.000Z,0.18,2.64,0.66,0.48,0.88,0.356,509
2020-02-25T00:00:00.000Z,0,1.45,0.28,0.16,0.46,0.232,446
2020-02-26T00:00:00.000Z,0.05,2.04,0.25,0.18,0.38,0.346,396
2020-02-27T00:00:00.000Z,0.05,2.13,0.48,0.34,0.66,0.285,554
2020-02-28T00:00:00.000Z,0.05,2.24,0.43,0.26,0.64,0.277,558
