# Sensor Landerigatan, Örgryte-Härlanda, Sweden (Citizen Science project sensor.community/19599)
# https://aqicn.org/station/@65146/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.2,6.25,2.81,1.73,3.37,1.083,316
2019-12-10T00:00:00.000Z,1.95,18.8,3.19,2.41,3.93,1.765,408
2019-12-11T00:00:00.000Z,2.75,8.48,5.34,4.62,6.17,1.142,420
2019-12-12T00:00:00.000Z,3.82,12.45,7.88,6.85,8.9,1.671,491
2019-12-13T00:00:00.000Z,3.75,13,7.79,5.44,9.27,2.194,562
2019-12-14T00:00:00.000Z,1.85,18.57,10.9,5.82,13.87,4.768,399
2019-12-15T00:00:00.000Z,1.55,6,2.68,2.2,3.79,1.055,577
2019-12-16T00:00:00.000Z,1.95,4.38,3.05,2.4,3.74,0.687,102
2019-12-21T00:00:00.000Z,4.8,21.37,9.6,6.38,15.43,4.826,515
2019-12-22T00:00:00.000Z,4.09,15.28,6.15,5.07,8.11,2.963,583
2019-12-23T00:00:00.000Z,1.2,8.15,3.23,2.83,5.63,1.814,568
2019-12-24T00:00:00.000Z,2.31,13.7,4.84,3.78,6.11,2.567,564
2019-12-25T00:00:00.000Z,1.68,29.78,5.29,2.4,7.76,4.865,586
2019-12-26T00:00:00.000Z,1.85,11.33,3.01,2.45,4.12,2.165,587
2019-12-27T00:00:00.000Z,1.62,15.85,3.32,2.6,4.58,1.422,584
2019-12-28T00:00:00.000Z,3.01,8.93,4.63,3.88,5.42,1.012,573
2019-12-29T00:00:00.000Z,5.48,6.9,6.06,5.88,6.42,0.361,27
2019-12-30T00:00:00.000Z,3.12,18.57,12.26,6.3,13.97,4.215,399
2019-12-31T00:00:00.000Z,1.6,83.34,3.35,2.25,5.12,6.598,571
2020-01-01T00:00:00.000Z,2.65,35.25,4.22,3.66,5.81,5.562,581
2020-01-02T00:00:00.000Z,4.09,51.05,16.44,13.67,20.01,11.473,562
2020-01-03T00:00:00.000Z,2.77,20.52,5.04,4.13,6.94,4.17,551
2020-01-04T00:00:00.000Z,1.6,4.8,2.16,1.98,2.47,0.437,525
2020-01-05T00:00:00.000Z,2.45,15.7,3.85,3.28,6.45,1.924,558
2020-01-06T00:00:00.000Z,3.89,11.32,6.29,5.4,7.5,1.663,518
2020-01-07T00:00:00.000Z,4.37,36.1,17.29,6.14,23.78,10.187,514
2020-01-08T00:00:00.000Z,4.28,22.09,6.95,5.37,12.34,4.903,495
2020-01-09T00:00:00.000Z,1.42,6.75,4.91,1.9,5.4,1.721,500
2020-01-10T00:00:00.000Z,1.35,8.86,2.96,1.85,4.47,2.031,420
2020-01-11T00:00:00.000Z,2.75,12.82,6.55,4.87,9.01,2.515,513
2020-01-12T00:00:00.000Z,2.75,21.98,5.55,4.73,6.64,2.962,554
2020-01-13T00:00:00.000Z,2.45,11.54,4.48,3.53,5.68,1.857,478
2020-01-14T00:00:00.000Z,3.35,13.6,5.9,5.22,7.33,2.38,436
2020-01-15T00:00:00.000Z,1.44,12.3,3.4,2.25,4.63,2.468,437
2020-01-16T00:00:00.000Z,3.8,11.16,5.78,5.36,6.18,1.016,476
2020-01-17T00:00:00.000Z,6.1,27.92,10.68,9.34,13.22,5.235,464
2020-01-18T00:00:00.000Z,1.8,27.58,4,3.26,13.41,7.297,493
2020-01-19T00:00:00.000Z,1.82,14.45,3.15,2.6,5.48,2.815,458
2020-01-20T00:00:00.000Z,4.23,13.12,6.32,5.84,6.75,0.876,357
2020-01-21T00:00:00.000Z,3.78,8.86,5.38,4.73,6.78,1.176,443
2020-01-22T00:00:00.000Z,3.73,5.12,4.36,3.96,4.76,0.423,14
2020-01-23T00:00:00.000Z,3.7,8.27,5.22,4.8,6.19,1.039,84
2020-01-24T00:00:00.000Z,1.8,6.85,4.4,3.93,4.96,0.9,267
2020-01-25T00:00:00.000Z,2.29,16.39,3.35,3.05,3.65,2.859,300
2020-01-26T00:00:00.000Z,2.8,36.44,10,7.85,15.08,5.848,307
2020-01-27T00:00:00.000Z,3.75,28.68,18.3,14.56,24.16,6.165,257
2020-01-28T00:00:00.000Z,1.3,19.38,7.46,1.98,13.74,5.642,274
2020-01-29T00:00:00.000Z,1.37,4.9,2.22,1.86,2.65,0.634,311
2020-01-30T00:00:00.000Z,1.12,4.48,2.11,1.66,2.67,0.78,294
2020-01-31T00:00:00.000Z,1.27,5.78,2.71,1.58,4.46,1.438,280
2020-02-01T00:00:00.000Z,2.64,12.1,7.56,6.15,8.82,2.289,324
2020-02-02T00:00:00.000Z,1.64,4.66,2.27,2.09,2.45,0.486,333
2020-02-03T00:00:00.000Z,1.35,6.1,3.05,2.2,3.86,1.066,311
2020-02-04T00:00:00.000Z,1.25,17.87,2.15,1.86,2.45,1.217,257
2020-02-05T00:00:00.000Z,1.82,6.77,3.59,2.31,4.69,1.208,240
2020-02-06T00:00:00.000Z,2.75,12.98,4.54,4.15,5.11,1.354,236
2020-02-07T00:00:00.000Z,1.9,12.16,5.64,4.84,6.16,1.614,216
2020-02-08T00:00:00.000Z,8.06,33.9,13.5,10.57,18.63,6.941,199
2020-02-09T00:00:00.000Z,2.8,27.46,9.36,7.24,16.53,6.722,359
2020-02-10T00:00:00.000Z,2.56,6.82,4.23,3.64,5.05,0.961,373
2020-02-11T00:00:00.000Z,1.5,7.27,3.39,2.66,4.17,1.205,366
2020-02-12T00:00:00.000Z,1.97,5.42,3,2.68,3.48,0.661,384
2020-02-13T00:00:00.000Z,2,6.5,2.76,2.5,3.28,1.138,373
2020-02-14T00:00:00.000Z,3.8,10.19,5.88,5.12,6.55,1.175,384
2020-02-15T00:00:00.000Z,3.42,30.17,12.69,9.86,19.3,7.245,320
2020-02-16T00:00:00.000Z,1.63,9.52,4.09,2.63,6.93,2.259,379
2020-02-17T00:00:00.000Z,2.65,8.61,6.56,5.48,7.15,1.284,344
2020-02-18T00:00:00.000Z,2.38,8.1,4.28,3.47,5.43,1.488,315
2020-02-19T00:00:00.000Z,1.6,4.26,2.9,2.35,3.22,0.545,451
2020-02-20T00:00:00.000Z,1.8,15.6,4.88,3.54,7.94,3.781,501
2020-02-21T00:00:00.000Z,2.92,6.93,4.51,3.68,5.3,0.974,435
2020-02-22T00:00:00.000Z,2.08,7.02,4.62,3.83,5.37,1.069,454
2020-02-23T00:00:00.000Z,1.8,8.84,4.96,3.78,6.46,1.711,441
2020-02-24T00:00:00.000Z,1.8,5.92,2.84,2.44,3.32,0.617,523
2020-02-25T00:00:00.000Z,1.2,3.55,1.9,1.55,2.36,0.514,468
2020-02-26T00:00:00.000Z,1.46,6.8,1.82,1.7,1.97,0.41,405
2020-02-27T00:00:00.000Z,1.5,6.14,3.4,2.08,4.09,1.107,562
2020-02-28T00:00:00.000Z,1.64,9.66,3.04,2.45,3.62,0.98,567
2020-02-29T00:00:00.000Z,2.54,9.52,5.45,4.57,6.98,1.658,567
2020-03-01T00:00:00.000Z,2.16,5.38,3.74,3.25,4.25,0.642,577
2020-03-02T00:00:00.000Z,2.74,7.3,4.48,3.81,5.05,0.932,497
2020-03-03T00:00:00.000Z,1.4,8.74,2.4,1.9,2.82,1.738,427
2020-03-04T00:00:00.000Z,1.68,27.64,4.11,2.5,5.44,2.342,586
2020-03-05T00:00:00.000Z,1.7,8.33,2.62,2.31,3.3,1.224,583
2020-03-06T00:00:00.000Z,2.04,8.98,3.71,2.98,4.75,1.237,588
2020-03-07T00:00:00.000Z,5.27,20.62,9.96,8.52,15.18,3.972,587
2020-03-08T00:00:00.000Z,5.05,26.98,17.05,11.92,20.62,5.812,586
2020-03-09T00:00:00.000Z,2.68,14.17,7.12,4.79,9.51,2.825,581
2020-03-10T00:00:00.000Z,1.46,17.7,6.18,4.75,8.36,3.82,577
2020-03-11T00:00:00.000Z,3.56,8.03,5.56,4.9,6.2,0.865,571
2020-03-12T00:00:00.000Z,1.25,8.38,3.53,2.76,4.3,1.386,518
2020-03-13T00:00:00.000Z,1.33,31.47,1.96,1.76,2.84,2.954,531
2020-03-14T00:00:00.000Z,1.35,22.27,2.29,1.85,2.74,1.755,541
2020-03-15T00:00:00.000Z,7.1,15.56,10.42,8.98,11.77,1.926,291
2020-03-16T00:00:00.000Z,1.54,7.55,3.26,2.8,4.82,1.353,582
2020-03-17T00:00:00.000Z,1.95,14.12,6.3,2.87,9,3.533,581
2020-03-18T00:00:00.000Z,1.97,21.85,3.88,3.14,10.05,5.31,511
2020-03-19T00:00:00.000Z,2.63,5.85,3.42,3.18,3.72,0.465,503
2020-03-20T00:00:00.000Z,1.25,14.1,1.82,1.6,3.9,1.821,433
2020-03-21T00:00:00.000Z,1.3,7.23,2.8,1.6,3.95,1.397,443
2020-03-22T00:00:00.000Z,1.5,12.74,2.54,1.88,3.5,1.662,437
2020-03-23T00:00:00.000Z,1.78,6.42,3.12,2.29,4.17,1.087,428
