# Sensor Kastövägen, Boo, Sweden (Citizen Science project sensor.community/19788)
# https://aqicn.org/station/@65284/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.15,3.2,1.01,0.76,1.27,0.415,317
2019-12-10T00:00:00.000Z,0.35,9.94,1,0.65,1.72,1.105,406
2019-12-11T00:00:00.000Z,0.32,3.1,1.25,0.95,1.76,0.566,424
2019-12-12T00:00:00.000Z,0.1,14.74,10.18,0.55,12.26,5.381,483
2019-12-13T00:00:00.000Z,1.8,13.58,6.71,4.82,8.52,2.851,562
2019-12-14T00:00:00.000Z,1.18,10.57,3.57,2.4,6.3,2.413,399
2019-12-15T00:00:00.000Z,0.45,11.83,1.37,0.95,1.9,1.199,567
2019-12-16T00:00:00.000Z,0.45,3.48,1.18,1,1.54,0.397,286
2019-12-17T00:00:00.000Z,1.15,13.3,3.24,2.24,4.16,1.451,289
2019-12-18T00:00:00.000Z,0,21.75,0.95,0.62,2.42,2.329,462
2019-12-19T00:00:00.000Z,0.57,11.15,2,1.04,3.92,1.873,552
2019-12-20T00:00:00.000Z,2.85,22.98,12.92,6.5,17.96,5.841,583
2019-12-21T00:00:00.000Z,7.16,33.97,25.01,23.02,29.45,6.234,566
2019-12-22T00:00:00.000Z,1.23,21,2.96,2.15,3.62,1.774,575
2019-12-23T00:00:00.000Z,0.74,18.87,2.35,1.57,4.09,1.697,579
2019-12-24T00:00:00.000Z,3.01,12.04,5.66,4.65,7.01,1.72,577
2019-12-25T00:00:00.000Z,0.32,25.38,3.86,2.87,5.24,2.669,579
2019-12-26T00:00:00.000Z,0.44,20.78,1.75,1.23,2.45,1.738,581
2019-12-27T00:00:00.000Z,0.3,5.88,1.63,1.35,2,0.816,577
2019-12-28T00:00:00.000Z,0.83,27.18,1.7,1.32,2.25,2.897,575
2019-12-29T00:00:00.000Z,1,12.11,5.97,2.54,8.57,3.311,582
2019-12-30T00:00:00.000Z,0.76,11.42,2.9,2.35,3.65,2.197,572
2019-12-31T00:00:00.000Z,0.06,5.65,0.53,0.38,0.66,0.614,570
2020-01-01T00:00:00.000Z,0.43,2.92,1,0.8,1.84,0.617,582
2020-01-02T00:00:00.000Z,1.27,18.17,5.05,3.72,6.16,1.897,558
2020-01-03T00:00:00.000Z,0.25,5.52,0.66,0.5,1.21,1.112,549
2020-01-04T00:00:00.000Z,0.14,5.78,0.5,0.36,0.7,0.45,548
2020-01-05T00:00:00.000Z,0.35,4.75,0.75,0.61,0.92,0.439,563
2020-01-06T00:00:00.000Z,0.25,2.34,1.31,1,1.56,0.397,521
2020-01-07T00:00:00.000Z,0.2,11.93,2.77,0.52,4.4,2.526,518
2020-01-08T00:00:00.000Z,0.9,3.15,1.84,1.6,2.1,0.372,503
2020-01-09T00:00:00.000Z,1.62,6.25,2.2,2.02,2.78,0.998,528
2020-01-10T00:00:00.000Z,1.13,11.82,2.19,1.72,3.01,1.113,420
2020-01-11T00:00:00.000Z,0.38,3.22,1.55,1.11,1.85,0.494,522
2020-01-12T00:00:00.000Z,0.2,2.13,1.11,0.5,1.3,0.439,555
2020-01-13T00:00:00.000Z,0.8,3.36,1.55,1.38,1.75,0.307,481
2020-01-14T00:00:00.000Z,1.06,7.48,2.34,1.68,3.92,1.487,442
2020-01-15T00:00:00.000Z,0.32,4.9,1.08,0.92,1.54,0.834,453
2020-01-16T00:00:00.000Z,0.47,4.95,2.5,1.51,2.84,0.867,468
2020-01-17T00:00:00.000Z,1.52,14.16,7.18,2.22,10.15,4.147,459
2020-01-18T00:00:00.000Z,0.2,18.96,8.9,1.05,12.55,5.669,492
2020-01-19T00:00:00.000Z,0.3,8.24,0.62,0.55,0.82,1.301,464
2020-01-20T00:00:00.000Z,0.4,2.56,1.23,1,1.68,0.467,359
