# Sensor Vaksala Kyrkväg, Årsta, Sweden (Citizen Science project sensor.community/23187)
# https://aqicn.org/station/@68167/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0,33.4,0.94,0.65,1.13,1.876,314
2019-12-10T00:00:00.000Z,0.25,14.53,1.05,0.67,1.79,1.57,413
2019-12-11T00:00:00.000Z,0.5,8.8,1.34,0.94,2.04,0.896,429
2019-12-12T00:00:00.000Z,0,39.11,3.85,2.34,20.62,10.121,489
2019-12-13T00:00:00.000Z,3.5,28.77,12.37,7.34,16.57,5.471,564
2019-12-14T00:00:00.000Z,1.12,20.34,4.78,2.38,7.05,3.82,400
2019-12-15T00:00:00.000Z,1.08,21.84,5.5,3.18,6.87,2.472,573
2019-12-16T00:00:00.000Z,0.78,6.28,1.87,1.42,2.31,1.289,291
2019-12-17T00:00:00.000Z,0.6,14.58,4.8,3.08,7.28,3.535,287
2019-12-18T00:00:00.000Z,0.1,10.07,0.61,0.45,0.97,1.391,468
2019-12-19T00:00:00.000Z,0.3,18.37,2.23,0.7,11.28,5.373,552
2019-12-20T00:00:00.000Z,9.61,36.5,24.6,22.46,26.87,5.74,586
2019-12-21T00:00:00.000Z,22.97,64.67,49.06,33.4,53.28,10.262,578
2019-12-22T00:00:00.000Z,0.78,150.56,3.1,1.9,8.47,18.933,587
2019-12-23T00:00:00.000Z,0.66,24.85,5.27,3.14,7.34,2.745,586
2019-12-24T00:00:00.000Z,4.69,11.6,6.75,6.07,7.5,1.133,588
2019-12-25T00:00:00.000Z,1.21,11.86,5.38,3.93,7.02,2.068,586
2019-12-26T00:00:00.000Z,0.88,7.58,3.14,2.06,4.04,1.357,589
2019-12-27T00:00:00.000Z,0.74,5.18,2.38,1.85,2.78,0.823,575
2019-12-28T00:00:00.000Z,1.09,5.42,2.22,1.59,2.78,0.673,587
2019-12-29T00:00:00.000Z,2.77,24.92,8.09,6.21,11.48,4.72,588
2019-12-30T00:00:00.000Z,0.25,12.8,2.29,1.45,3.3,2.503,586
