# Sensor Syster Estrids Gata, Centrum, Sweden (Citizen Science project sensor.community/25001)
# https://aqicn.org/station/@69628/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.05,5.72,2.21,0.46,2.94,1.438,417
2019-12-10T00:00:00.000Z,0.57,6.37,2.06,1.09,3.2,1.271,567
2019-12-11T00:00:00.000Z,3.45,13.69,6.04,5.39,7.27,2.153,579
2019-12-12T00:00:00.000Z,4.72,22.75,13.95,10.44,17.89,4.426,694
2019-12-13T00:00:00.000Z,3.77,23.03,9.52,6.55,13.22,5.045,923
2019-12-14T00:00:00.000Z,3.4,26.67,16.29,8.51,19.48,6.303,746
2019-12-15T00:00:00.000Z,1.02,10.09,2.91,1.93,4.53,1.764,1205
2019-12-16T00:00:00.000Z,1.21,16.6,3.98,3.36,4.78,2.915,592
2019-12-17T00:00:00.000Z,0.85,44.52,6.77,1.4,15.63,9.069,510
2019-12-18T00:00:00.000Z,0.1,29.8,2.61,1.45,3.57,5.184,882
2019-12-19T00:00:00.000Z,3.49,35.11,8.61,6.74,9.86,5.691,1019
2019-12-20T00:00:00.000Z,6.36,28.11,14.93,12.96,23.02,6.569,1160
2019-12-21T00:00:00.000Z,7.99,95.8,22.04,10.02,32.84,15.184,1158
2019-12-22T00:00:00.000Z,3.75,29.59,6.78,5.47,8.77,6.617,1150
2019-12-23T00:00:00.000Z,1.42,11.92,4.83,2.83,7.58,2.767,1054
2019-12-24T00:00:00.000Z,5.17,44.63,10.37,8.27,14.58,7.326,1195
2019-12-25T00:00:00.000Z,0.69,73.22,7.72,3.05,17,14.517,1144
2019-12-26T00:00:00.000Z,0.94,51.52,3.29,1.82,5.96,10.504,1124
2019-12-27T00:00:00.000Z,0.23,12.16,2.06,1.21,3.35,1.577,1109
2019-12-28T00:00:00.000Z,2.1,6.81,3.42,2.76,5.38,1.367,1231
2019-12-29T00:00:00.000Z,4.18,89.89,59.87,21.58,66.69,25.614,920
2019-12-30T00:00:00.000Z,5.83,9.38,7.17,6.82,7.52,0.592,106
2019-12-31T00:00:00.000Z,0.8,15.51,2.47,1.34,3.51,2.183,1121
2020-01-01T00:00:00.000Z,2.17,48.68,3.87,3.18,4.79,7.825,1198
2020-01-02T00:00:00.000Z,5.5,66.08,20.1,16.35,25.53,15.121,1163
2020-01-03T00:00:00.000Z,3.18,37.15,5.79,4.36,11.7,8.559,1053
2020-01-04T00:00:00.000Z,0.74,6.02,1.19,1.02,1.79,0.79,1045
2020-01-05T00:00:00.000Z,0.64,52.79,3.24,1.17,13.28,9.974,1014
2020-01-06T00:00:00.000Z,6.6,85.68,13.16,10.56,26.34,13.387,922
2020-01-07T00:00:00.000Z,4.65,75,27.64,8.15,40.79,20.272,873
2020-01-08T00:00:00.000Z,4.57,47.48,9.07,5.62,26.24,11.82,780
2020-01-09T00:00:00.000Z,0.19,7.78,5.69,1.47,6.07,2.375,835
2020-01-10T00:00:00.000Z,0.46,49.06,3.36,1.99,4.13,9.845,599
2020-01-11T00:00:00.000Z,2.33,41.86,11.36,5.72,18.6,8.823,874
2020-01-12T00:00:00.000Z,4.76,62.76,10.23,5.98,19.11,12.725,997
2020-01-13T00:00:00.000Z,2.31,50.25,4.95,3.99,7.54,8.564,748
2020-01-14T00:00:00.000Z,4.04,19.28,9.52,5.94,12.42,3.844,622
2020-01-15T00:00:00.000Z,0.61,22.2,4.08,1.83,8.19,5.89,665
2020-01-16T00:00:00.000Z,3.95,11.39,5.89,5.52,6.33,1.191,726
2020-01-17T00:00:00.000Z,6.38,52.53,10.49,9.05,13.29,12.457,710
2020-01-18T00:00:00.000Z,1.17,112.52,4.76,3.23,36.11,29.778,833
2020-01-19T00:00:00.000Z,0.77,3.73,2.11,1.46,2.81,0.769,827
2020-01-20T00:00:00.000Z,3.42,8.15,5.97,5.16,6.47,0.997,571
2020-01-21T00:00:00.000Z,3.38,8.65,5.67,4.9,6.3,1.045,679
2020-01-22T00:00:00.000Z,3.46,4.38,4.05,3.92,4.17,0.227,26
2020-01-23T00:00:00.000Z,3.72,46.12,7.21,5.85,11.1,7.514,88
2020-01-24T00:00:00.000Z,1.1,5.89,3.99,3.49,4.54,1.033,283
2020-01-25T00:00:00.000Z,1.14,26.66,2.9,2.68,3.32,5.569,320
2020-01-26T00:00:00.000Z,3.2,47.9,17.6,11.39,21.91,9.735,327
2020-01-27T00:00:00.000Z,6.99,73.06,39.2,26.96,48.17,13.842,271
2020-01-28T00:00:00.000Z,0.85,52.67,17.14,1.65,31.43,14.449,299
2020-01-29T00:00:00.000Z,0.46,4.42,1.92,1.05,2.62,0.957,343
2020-01-30T00:00:00.000Z,0.34,7.39,1.78,1.02,2.65,1.444,308
2020-01-31T00:00:00.000Z,0.11,24.7,3.4,0.85,5.77,3.152,321
2020-02-01T00:00:00.000Z,3.93,53.43,18.44,9.48,29.71,12.218,342
2020-02-02T00:00:00.000Z,0.75,5.54,1.57,1.36,1.79,0.93,377
2020-02-03T00:00:00.000Z,0.4,18.88,1,0.83,2.82,3.367,273
2020-02-04T00:00:00.000Z,0.31,7.98,1.12,0.76,1.7,1.724,283
2020-02-05T00:00:00.000Z,0.42,6.33,1.08,0.71,4.45,2.089,254
2020-02-06T00:00:00.000Z,1.03,6.19,3.82,3.01,4.21,1.018,250
2020-02-07T00:00:00.000Z,1.19,29.42,4.82,2.29,14.46,7.586,225
2020-02-08T00:00:00.000Z,9.1,104.02,20.21,17.13,24.38,20.936,207
2020-02-09T00:00:00.000Z,3.36,87.47,15,10.53,23.95,15.207,445
2020-02-10T00:00:00.000Z,2.02,8.07,4.2,3.44,5.32,1.274,483
2020-02-11T00:00:00.000Z,0.69,7.37,3.12,2.11,4.12,1.594,475
2020-02-12T00:00:00.000Z,1.76,5.8,3.12,2.76,3.94,0.862,417
2020-02-13T00:00:00.000Z,3.43,5.38,4.47,4.28,4.76,0.424,72
2020-02-14T00:00:00.000Z,2.04,11.89,3.22,2.91,4.01,1.63,480
2020-02-15T00:00:00.000Z,6.41,67.97,30.82,14.56,47.27,17.49,370
2020-02-16T00:00:00.000Z,2.1,17.87,9.92,7.72,13.21,4.247,345
2020-02-17T00:00:00.000Z,7.59,9.8,8.61,8.38,8.77,0.351,72
2020-02-18T00:00:00.000Z,1.73,9.71,4.42,3.16,6.47,2.295,364
2020-02-19T00:00:00.000Z,1.02,17.3,2.1,1.73,2.5,1.969,591
2020-02-20T00:00:00.000Z,1.57,26.39,5.93,4.17,12.31,6.626,701
2020-02-21T00:00:00.000Z,2.7,16.02,4.88,3.89,5.67,1.807,573
2020-02-22T00:00:00.000Z,1.99,13.96,5.62,4.17,7.3,2.222,629
2020-02-23T00:00:00.000Z,0.96,9.39,5.16,4.03,7.25,2.142,641
2020-02-24T00:00:00.000Z,1.05,4.26,2.06,1.52,2.89,0.854,833
2020-02-25T00:00:00.000Z,0.12,3.3,0.96,0.34,1.51,0.8,632
2020-02-26T00:00:00.000Z,0.22,1.46,0.44,0.36,0.61,0.229,732
2020-02-27T00:00:00.000Z,0.38,1.9,0.86,0.65,1.12,0.3,1125
2020-02-28T00:00:00.000Z,0.37,3.99,1.04,0.67,2.14,1.054,1108
2020-02-29T00:00:00.000Z,2.4,45.1,7.21,4.78,10.11,5.378,1176
2020-03-01T00:00:00.000Z,1.75,6.03,3.53,2.91,4.33,0.881,1182
2020-03-02T00:00:00.000Z,2.12,23.24,4.01,3.01,4.65,2.582,934
2020-03-03T00:00:00.000Z,0.36,29.54,1.32,0.82,2.37,5.385,904
2020-03-04T00:00:00.000Z,0.47,23.59,5.15,2.29,9.07,4.146,1249
2020-03-05T00:00:00.000Z,0.48,4.99,1.33,1.05,1.74,1.016,1280
2020-03-06T00:00:00.000Z,0.56,4.79,1.79,1.27,2.38,0.85,1270
2020-03-07T00:00:00.000Z,4.59,30.3,12.05,7.32,19.41,7.481,1308
2020-03-08T00:00:00.000Z,6.74,32.9,21.17,16.77,27.13,6.931,1304
2020-03-09T00:00:00.000Z,1.85,25.46,9.09,5.98,12.89,5.64,1226
2020-03-10T00:00:00.000Z,1.3,37.83,8.55,6.52,16.98,8.773,1279
2020-03-11T00:00:00.000Z,3.29,9.21,5.81,5.01,6.85,1.288,1245
2020-03-12T00:00:00.000Z,0.26,17.48,3.33,2.58,4.24,2.309,1000
2020-03-13T00:00:00.000Z,0.21,6.65,0.69,0.54,1.31,1.219,1073
2020-03-14T00:00:00.000Z,0.24,2.38,0.68,0.48,1.45,0.544,1122
2020-03-15T00:00:00.000Z,6.07,22.37,11.36,8.65,15.14,4.116,642
2020-03-16T00:00:00.000Z,1.44,13.01,3.21,2.38,4.95,2.174,1256
2020-03-17T00:00:00.000Z,1,44.24,5.62,2.02,10.8,6.479,1270
2020-03-18T00:00:00.000Z,11.05,86.18,22.84,17.64,42.07,20.745,367
2020-03-20T00:00:00.000Z,0.14,2.54,0.62,0.43,0.91,0.43,855
2020-03-21T00:00:00.000Z,0.22,2.35,0.73,0.44,1.07,0.386,955
2020-03-22T00:00:00.000Z,0.33,2.5,0.87,0.69,1.14,0.398,931
2020-03-23T00:00:00.000Z,0.66,4.66,2,1.17,2.87,1.047,802
2020-03-24T00:00:00.000Z,3.19,9.52,4.09,3.61,5.35,1.387,829
2020-03-25T00:00:00.000Z,5.18,22.8,7.88,7.34,8.81,3.421,778
2020-03-26T00:00:00.000Z,7.7,37.77,11.08,9.15,13.97,7.862,756
2020-03-27T00:00:00.000Z,7.29,19.34,10.23,9.01,11.79,2.005,610
2020-03-28T00:00:00.000Z,0.22,1.62,0.71,0.48,1.12,0.369,326
2020-03-29T00:00:00.000Z,0.22,1.45,0.6,0.48,0.96,0.294,657
2020-03-30T00:00:00.000Z,0.27,1.59,0.76,0.45,1.13,0.363,251
2020-03-31T00:00:00.000Z,0.6,11.77,1.99,1.07,3.07,1.565,610
2020-04-01T00:00:00.000Z,0.8,7.48,3.98,2.22,4.95,1.654,360
2020-04-02T00:00:00.000Z,2.67,7.97,4.59,3.87,5.87,1.187,806
2020-04-03T00:00:00.000Z,0.3,3.7,1.46,0.98,1.99,0.634,876
2020-04-04T00:00:00.000Z,0.75,16.94,1.44,1.12,2.31,3.801,1043
2020-04-05T00:00:00.000Z,1.12,28.76,4.51,2.18,15.28,8.222,1031
2020-04-06T00:00:00.000Z,1.59,19.2,7.26,3.94,9.86,4.323,1035
2020-04-07T00:00:00.000Z,2.19,41.97,3.11,2.82,13.26,11.393,834
2020-04-08T00:00:00.000Z,1.91,6.04,3.7,2.92,4.46,0.97,745
2020-04-13T00:00:00.000Z,0.22,0.54,0.4,0.37,0.44,0.054,140
2020-04-14T00:00:00.000Z,0.25,7.23,0.87,0.53,1.88,2.176,1208
2020-04-15T00:00:00.000Z,2.89,7.51,4.83,3.74,5.75,1.16,1104
2020-04-16T00:00:00.000Z,0.75,8.02,2.14,1.26,3.46,1.914,1052
2020-04-17T00:00:00.000Z,0.19,3.25,0.53,0.38,0.99,0.362,1201
2020-04-18T00:00:00.000Z,0.42,1.99,0.86,0.74,0.99,0.246,1245
2020-04-19T00:00:00.000Z,0.11,2.84,0.54,0.45,0.95,0.411,1230
2020-04-20T00:00:00.000Z,0.19,1.9,0.72,0.56,0.98,0.326,1029
2020-04-21T00:00:00.000Z,0.19,1.38,0.56,0.46,0.72,0.184,566
2020-04-22T00:00:00.000Z,0.28,2.59,0.78,0.56,1.4,0.515,732
2020-04-23T00:00:00.000Z,0.5,7.96,1.36,0.83,4.07,1.993,871
2020-04-24T00:00:00.000Z,0.15,16.16,0.67,0.33,3.35,3.645,1081
2020-04-25T00:00:00.000Z,0.08,0.91,0.31,0.21,0.44,0.161,1034
2020-04-26T00:00:00.000Z,0.72,27.17,4.5,2.57,9.44,6.094,1180
2020-04-27T00:00:00.000Z,2.48,18.53,9.59,6.95,13.45,3.956,1066
2020-04-28T00:00:00.000Z,0.19,2.34,0.89,0.74,1.07,0.29,836
2020-04-29T00:00:00.000Z,0.54,2.34,0.94,0.72,1.67,0.544,1038
2020-04-30T00:00:00.000Z,0.77,33.5,1.58,1.12,10.39,7.744,1109
2020-05-01T00:00:00.000Z,1.74,40.63,6.23,3.4,19.46,12.482,1134
2020-05-02T00:00:00.000Z,1.09,31.83,6.06,2.69,8.76,7.624,1112
2020-05-03T00:00:00.000Z,0.32,56.72,1.39,0.72,5.67,16.385,1218
2020-05-04T00:00:00.000Z,0.1,5.05,0.44,0.28,0.68,1.285,921
2020-05-05T00:00:00.000Z,0.2,1.49,0.42,0.34,0.56,0.251,997
2020-05-06T00:00:00.000Z,0.72,10.38,2.09,1.18,2.85,1.406,1209
2020-05-07T00:00:00.000Z,0.63,6.8,1.64,1.17,2.35,1.562,638
2020-05-08T00:00:00.000Z,2.74,13.3,7.15,6.04,8.16,2.041,533
2020-05-09T00:00:00.000Z,0.37,30.28,1.54,0.86,5.97,7.558,526
2020-05-10T00:00:00.000Z,4.98,38.38,14.27,8.69,23.84,9.091,502
2020-05-11T00:00:00.000Z,0.43,0.74,0.55,0.52,0.62,0.07,90
2020-05-12T00:00:00.000Z,0.28,1.8,0.72,0.49,0.94,0.337,894
2020-05-13T00:00:00.000Z,0.12,1.65,0.37,0.28,0.44,0.159,902
2020-05-14T00:00:00.000Z,0.39,2.86,1.65,0.82,2.11,0.684,838
2020-05-15T00:00:00.000Z,0.64,4.05,2.06,1.24,2.87,0.874,1010
2020-05-16T00:00:00.000Z,0.76,3.72,1.96,1.62,2.92,0.743,390
2020-05-24T00:00:00.000Z,5.5,13.3,10.6,8.7,11.75,1.833,272
2020-05-25T00:00:00.000Z,0.7,14.68,2,1.5,3.53,3.58,1232
2020-05-26T00:00:00.000Z,0.6,20.73,1.92,1.23,4.8,4.316,1022
2020-05-27T00:00:00.000Z,0.4,12.13,1.8,1,5.28,3.309,1132
2020-05-28T00:00:00.000Z,0.1,3.3,0.8,0.5,1.17,0.492,1193
2020-05-29T00:00:00.000Z,0.3,3.87,0.93,0.75,1.17,0.694,1196
2020-05-30T00:00:00.000Z,0.1,1.6,0.5,0.4,0.6,0.224,1298
2020-05-31T00:00:00.000Z,0,1.1,0.2,0.15,0.35,0.165,1103
2020-06-01T00:00:00.000Z,0.1,2.04,0.4,0.3,0.5,0.196,1116
2020-06-02T00:00:00.000Z,0.1,1.62,0.43,0.3,0.6,0.221,1171
2020-06-03T00:00:00.000Z,0.4,5,1.32,0.8,1.6,0.497,968
2020-06-04T00:00:00.000Z,0.3,1.65,0.7,0.56,0.9,0.224,1147
2020-06-05T00:00:00.000Z,0.2,10.1,1.2,0.77,4.95,2.843,938
2020-06-06T00:00:00.000Z,0.17,6.95,1.23,0.6,1.67,0.838,1081
2020-06-07T00:00:00.000Z,0.68,4.76,1.5,1.23,1.98,0.775,1185
2020-06-08T00:00:00.000Z,0.43,9.02,1.26,0.93,3.1,1.456,1158
2020-06-09T00:00:00.000Z,1,5.18,1.83,1.57,2.4,0.896,1075
2020-06-10T00:00:00.000Z,0.2,6.07,1.3,0.87,1.66,0.954,1133
2020-06-11T00:00:00.000Z,0.1,1.73,0.4,0.33,0.56,0.224,1269
2020-06-12T00:00:00.000Z,0.22,1.8,0.8,0.6,0.9,0.221,1307
2020-06-13T00:00:00.000Z,0.75,3.57,1.7,1.33,2.4,0.618,1269
2020-06-14T00:00:00.000Z,0.7,2.33,1.3,1.1,1.5,0.287,525
2020-06-15T00:00:00.000Z,0.5,5.03,1.2,1.03,1.4,0.316,1277
2020-06-16T00:00:00.000Z,0.52,4.05,1.7,1.3,1.96,0.547,1273
2020-06-17T00:00:00.000Z,1,9,2.83,2.37,4,1.459,1186
2020-06-18T00:00:00.000Z,1.3,7.37,2.78,2.43,3.08,1.086,1091
2020-06-20T00:00:00.000Z,1.87,25.63,7.44,4.7,16.07,6.39,754
2020-06-21T00:00:00.000Z,1.87,22.9,7.07,3.9,15.97,6.634,1371
2020-06-22T00:00:00.000Z,0.2,6.2,2.65,1.57,3.6,1.39,1290
2020-06-23T00:00:00.000Z,1.2,12.25,3.1,2.29,4.87,2.437,1301
2020-06-24T00:00:00.000Z,1.17,22.13,3.27,2.42,4.7,3.193,1357
2020-06-25T00:00:00.000Z,0.6,6.37,1.9,1.3,2.77,1.23,1287
2020-06-26T00:00:00.000Z,0.6,8.27,3.9,2.17,5.17,1.778,1238
2020-06-27T00:00:00.000Z,0,7.43,2.2,1.4,3.17,1.615,1046
2020-06-28T00:00:00.000Z,0,41.58,7.23,2.2,8.75,6.882,908
2020-06-29T00:00:00.000Z,0.7,4.26,1.5,1.3,1.77,0.424,1004
2020-06-30T00:00:00.000Z,0.53,5.03,1.97,1.6,2.2,0.487,662
