# Sensor Sandfjärdsgatan, Enskede-Årsta-Vantörs stadsdelsområde, Sweden (Citizen Science project sensor.community/26131)
# https://aqicn.org/station/@70564/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,2.72,1.33,0.68,1.62,0.584,311
2019-12-10T00:00:00.000Z,0.39,6.72,1.29,0.93,2.54,1.368,407
2019-12-11T00:00:00.000Z,0.42,4.58,2.15,1.55,2.83,0.866,419
2019-12-12T00:00:00.000Z,0.1,24.38,16.28,1.08,21.17,8.983,462
2019-12-13T00:00:00.000Z,2.97,23.51,9.75,7.25,15.34,4.982,560
2019-12-14T00:00:00.000Z,1.45,15.26,5.63,3.3,8.93,3.747,398
2019-12-15T00:00:00.000Z,0.66,12.39,1.99,1.25,3.16,1.561,574
2019-12-16T00:00:00.000Z,0.72,4.49,1.94,1.51,2.5,0.74,290
2019-12-17T00:00:00.000Z,1.2,10.68,5.19,3.95,6.94,2.149,283
2019-12-18T00:00:00.000Z,0.08,7.93,1.64,1.22,3.4,1.998,467
2019-12-19T00:00:00.000Z,0.98,10.98,4.28,2.29,6.45,2.441,556
2019-12-20T00:00:00.000Z,4.34,29.17,15.73,10.89,21.06,5.844,592
2019-12-21T00:00:00.000Z,13.02,41.86,29.78,27.19,36.25,6.12,575
2019-12-22T00:00:00.000Z,1.42,118.32,4.84,4.08,5.86,10.451,587
2019-12-23T00:00:00.000Z,2.59,15.92,4.67,3.55,7.1,2.144,590
2019-12-24T00:00:00.000Z,4.26,18.95,8.52,7.46,13.42,3.55,590
2019-12-25T00:00:00.000Z,0.56,15.62,6.55,5.09,9.33,3.24,585
2019-12-26T00:00:00.000Z,0.5,6.04,2.02,1.48,2.89,1.012,586
2019-12-27T00:00:00.000Z,0.36,3.7,2.25,1.62,2.65,0.778,590
2019-12-28T00:00:00.000Z,1.34,62.11,2.78,2.36,3.31,3.856,589
2019-12-29T00:00:00.000Z,2.49,18.92,8.8,4.8,13.34,4.629,592
2019-12-30T00:00:00.000Z,0.85,15.23,3.68,2.85,4.69,3.023,578
2019-12-31T00:00:00.000Z,0.09,14,0.66,0.44,0.91,1.239,575
2020-01-01T00:00:00.000Z,0.51,4.5,1.36,1.05,2.44,0.924,583
2020-01-02T00:00:00.000Z,1.68,12.92,7.09,5.4,8.83,2.536,568
2020-01-03T00:00:00.000Z,0.15,7.35,0.79,0.54,1.69,1.419,534
2020-01-04T00:00:00.000Z,0.18,5.4,0.74,0.52,1.05,0.482,550
2020-01-05T00:00:00.000Z,0.44,2.18,1.12,0.94,1.34,0.301,565
2020-01-06T00:00:00.000Z,1.4,2.29,1.91,1.82,2.02,0.221,17
2020-01-07T00:00:00.000Z,0.65,13.76,6.06,3.87,7.8,3.197,357
2020-01-08T00:00:00.000Z,1.62,3.98,2.57,2.33,2.8,0.401,234
2020-01-09T00:00:00.000Z,2.2,12.75,3.68,3.14,5.68,2.412,542
2020-01-10T00:00:00.000Z,1.67,12.8,3.92,2.62,5.5,2.429,429
2020-01-11T00:00:00.000Z,0.54,8.51,2.36,1.42,3.73,1.59,527
2020-01-12T00:00:00.000Z,0.1,3.66,1.28,0.56,1.81,0.738,567
2020-01-13T00:00:00.000Z,1.05,5.32,2.45,2,2.95,0.71,471
2020-01-14T00:00:00.000Z,1.75,14.5,4.04,2.59,6.07,2.523,441
2020-01-15T00:00:00.000Z,0.21,6.24,1.33,0.99,2.43,1.244,458
2020-01-16T00:00:00.000Z,0.52,6,3.35,2.42,3.89,1.2,471
2020-01-17T00:00:00.000Z,2.04,20.75,9.03,3.39,15.49,6.154,460
2020-01-18T00:00:00.000Z,0.21,27.72,12.57,0.72,19.34,8.826,505
2020-01-19T00:00:00.000Z,0.25,2.45,0.87,0.71,1.08,0.336,470
2020-01-20T00:00:00.000Z,0.6,4.69,1.78,1.36,2.4,0.725,364
2020-01-21T00:00:00.000Z,0.35,5.09,1.56,0.82,2.82,1.112,454
2020-01-22T00:00:00.000Z,0.4,1.75,0.69,0.56,1.15,0.374,13
2020-01-23T00:00:00.000Z,0.55,3.03,1.08,0.9,1.42,0.434,85
2020-01-24T00:00:00.000Z,0.7,2.45,1.27,1.05,1.54,0.353,272
2020-01-25T00:00:00.000Z,0.46,3.78,1.15,0.82,1.9,0.843,295
2020-01-26T00:00:00.000Z,0.55,3.15,1.26,0.96,1.78,0.584,308
2020-01-27T00:00:00.000Z,2.7,18.48,8.32,6.66,10.11,3.755,135
2020-01-28T00:00:00.000Z,3.01,17.6,9.85,7.9,11.02,3.139,271
2020-01-29T00:00:00.000Z,0.7,9.84,4.25,1.94,7.11,2.638,312
2020-01-30T00:00:00.000Z,1.27,10.22,5.62,3.4,7.44,2.319,291
2020-01-31T00:00:00.000Z,0.1,7.91,1.49,0.73,3.99,1.952,284
2020-02-01T00:00:00.000Z,0.15,3.97,2.15,1.27,2.62,0.911,328
2020-02-02T00:00:00.000Z,0.1,2.27,0.45,0.32,0.72,0.428,325
2020-02-03T00:00:00.000Z,0.2,11.92,0.92,0.5,3.97,3.346,312
2020-02-04T00:00:00.000Z,0.5,8.44,1.81,1.13,3.35,2.093,254
2020-02-05T00:00:00.000Z,0.37,2.16,0.85,0.7,1.02,0.284,229
2020-02-06T00:00:00.000Z,0.1,7.45,1,0.6,1.67,1.584,234
2020-02-07T00:00:00.000Z,0.68,7.33,4.3,3,4.95,1.449,214
2020-02-08T00:00:00.000Z,1.08,8.65,3.32,1.89,4.5,1.698,193
2020-02-09T00:00:00.000Z,5.85,21.9,11.86,9.32,14.22,3.115,307
2020-02-10T00:00:00.000Z,0.24,2.4,1.13,0.66,1.37,0.458,123
2020-02-11T00:00:00.000Z,0.78,9.78,2.36,1.91,2.76,0.896,366
2020-02-12T00:00:00.000Z,0.38,5.43,1.09,0.71,2.88,1.261,382
2020-02-13T00:00:00.000Z,0.34,5,0.9,0.71,1.34,0.535,373
2020-02-14T00:00:00.000Z,0.4,6.34,2,1.63,3.21,1.194,377
2020-02-15T00:00:00.000Z,1.3,9.3,3.74,2.56,5.34,1.971,320
2020-02-16T00:00:00.000Z,0.2,15.24,2.84,0.94,4.86,3.434,376
2020-02-17T00:00:00.000Z,0.25,3.84,1.82,1.17,2.42,0.843,345
2020-02-18T00:00:00.000Z,0.52,4.88,2.5,1.92,3.33,0.995,307
2020-02-19T00:00:00.000Z,0.65,3.99,1.56,1.1,1.92,0.557,447
2020-02-20T00:00:00.000Z,0.34,8.46,1.74,1.25,2.89,1.698,497
2020-02-21T00:00:00.000Z,0.32,12.1,2.33,1.1,3.59,3.063,423
2020-02-22T00:00:00.000Z,0.1,2.33,0.74,0.46,1.17,0.467,422
2020-02-23T00:00:00.000Z,0.2,4.08,0.89,0.57,1.46,0.724,438
2020-02-24T00:00:00.000Z,0.3,7.12,1.44,0.99,3.05,1.652,510
2020-02-25T00:00:00.000Z,0.5,5.51,1.34,0.92,2.25,1.093,444
2020-02-26T00:00:00.000Z,0.36,1.94,0.77,0.62,0.94,0.242,382
2020-02-27T00:00:00.000Z,0.38,3.82,1.18,0.85,1.9,0.674,543
2020-02-28T00:00:00.000Z,0.66,9.73,1.3,1.08,1.71,0.836,550
2020-02-29T00:00:00.000Z,0.82,11.38,2.65,1.8,5.17,2.528,572
2020-03-01T00:00:00.000Z,1.84,12.52,2.7,2.38,3.19,3.298,171
2020-03-02T00:00:00.000Z,1.33,12.74,2.44,2.12,2.96,1.403,247
2020-03-03T00:00:00.000Z,5.07,20.99,8.43,7.15,10.79,4.051,169
2020-03-04T00:00:00.000Z,0.2,17.84,0.91,0.68,1.35,3.696,584
2020-03-05T00:00:00.000Z,0.41,4.08,1.38,1,2.09,0.777,585
2020-03-06T00:00:00.000Z,0.15,8.38,2.2,0.88,3.26,1.924,587
2020-03-07T00:00:00.000Z,4.98,16.3,8.17,7.04,12.74,2.987,450
2020-03-08T00:00:00.000Z,4.8,24.66,11.56,9.36,13.22,3.072,589
