# Sensor Karlsgatan, Strömstad, Sweden (Citizen Science project sensor.community/13071)
# https://aqicn.org/station/@78532/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0,3.93,0.6,0.3,1.4,0.905,142
2019-12-10T00:00:00.000Z,0.3,4.73,1.09,0.7,2.29,1.071,216
2019-12-11T00:00:00.000Z,1.77,8.97,3.87,3.03,4.59,1.162,205
2019-12-12T00:00:00.000Z,1.87,5.33,3.2,2.93,3.59,0.524,81
2019-12-13T00:00:00.000Z,0.8,6.17,2.44,1.2,4,1.42,66
2019-12-14T00:00:00.000Z,0.23,10.67,3.51,0.9,5.17,3.044,170
2019-12-15T00:00:00.000Z,0.43,5.4,1.5,1,4.43,1.691,99
2019-12-16T00:00:00.000Z,0.4,4.63,2.02,1.12,2.52,0.958,75
2019-12-17T00:00:00.000Z,1.7,10.6,4.44,2.33,7.63,2.899,58
2019-12-18T00:00:00.000Z,0.4,14.17,3.27,1.67,6.67,3.613,198
2019-12-19T00:00:00.000Z,1.2,13.57,5.09,2.63,7.35,3.187,193
2019-12-20T00:00:00.000Z,5.2,11.27,7.37,6.63,8.5,1.509,91
2019-12-21T00:00:00.000Z,2.63,14.67,7,4.37,9.35,2.796,82
2019-12-22T00:00:00.000Z,3.63,11.57,5.33,4.75,5.93,1.106,225
2019-12-23T00:00:00.000Z,1.37,6.03,3.47,2.7,4.2,0.958,242
2019-12-24T00:00:00.000Z,0.7,6.57,3.23,2.2,3.82,1.147,245
2019-12-25T00:00:00.000Z,1.2,9.69,3.47,2.57,5.17,1.846,230
2019-12-26T00:00:00.000Z,2.97,12.5,6.63,5.27,7.86,1.884,237
2019-12-27T00:00:00.000Z,0.3,4.8,1.27,0.76,2.13,1.036,168
2019-12-28T00:00:00.000Z,1.1,11.1,4.98,2,7.33,2.905,158
2019-12-29T00:00:00.000Z,8.97,24.67,11.8,11.05,12.67,2.125,213
2019-12-30T00:00:00.000Z,1.07,14.43,8.52,2.29,12.07,4.7,162
2019-12-31T00:00:00.000Z,0.1,3.47,1.37,0.35,1.82,0.909,48
2020-01-02T00:00:00.000Z,2.06,6.8,4.01,3.5,4.84,0.948,136
2020-01-03T00:00:00.000Z,1,7.83,2.6,1.87,5.43,1.9,135
2020-01-04T00:00:00.000Z,0.17,1.33,0.5,0.4,0.7,0.256,166
2020-01-05T00:00:00.000Z,0.5,6.77,1.33,0.87,3.32,1.458,228
2020-01-06T00:00:00.000Z,2.93,3.1,3,2.93,3.1,0.07,3
2020-01-08T00:00:00.000Z,1.8,5.13,2.95,2.63,3.43,0.605,75
2020-01-09T00:00:00.000Z,0.53,5.93,2.45,1.8,2.92,0.887,248
2020-01-10T00:00:00.000Z,0.4,8.27,1.2,0.8,2.29,1.178,241
2020-01-11T00:00:00.000Z,1,10.07,5.75,2.7,7.17,2.477,228
2020-01-12T00:00:00.000Z,0.9,9.83,2.33,1.8,3.7,2.152,227
2020-01-13T00:00:00.000Z,1,4.26,2,1.63,2.47,0.636,233
2020-01-14T00:00:00.000Z,0.8,8.19,4.59,3.37,5.43,1.404,206
2020-01-15T00:00:00.000Z,1.67,12.53,4.33,3.8,5.23,2.093,197
2020-01-16T00:00:00.000Z,2.73,9.27,5.6,4.67,6.17,1.169,190
2020-01-17T00:00:00.000Z,2.93,12.1,7.67,5.04,9.63,2.507,181
2020-01-18T00:00:00.000Z,0.5,13.57,1.39,0.97,3.24,2.441,172
2020-01-19T00:00:00.000Z,0.3,9.9,1.2,0.9,2.71,1.482,212
2020-01-20T00:00:00.000Z,1.3,8.4,3.87,3.2,5.23,1.482,141
2020-01-21T00:00:00.000Z,0.5,7.73,2.87,2.04,3.99,1.451,229
2020-01-22T00:00:00.000Z,1.83,3.63,2.93,2.13,3.37,0.6,7
2020-01-23T00:00:00.000Z,1.3,4.13,2.27,1.93,2.67,0.498,71
2020-01-24T00:00:00.000Z,0.83,3.9,2.09,1.7,2.52,0.592,194
2020-01-25T00:00:00.000Z,0.6,6.8,1.4,1.07,2.23,1.499,234
2020-01-26T00:00:00.000Z,1.37,8,4.26,3.14,5.32,1.462,169
2020-01-27T00:00:00.000Z,0.56,15.27,6,3.39,10.94,4.022,176
2020-01-28T00:00:00.000Z,0.2,6,1.1,0.6,2.72,1.369,152
2020-01-29T00:00:00.000Z,0.2,4,1,0.67,1.8,0.839,99
