# Sensor Berghemsgatan, Mölndal, Sweden (Citizen Science project sensor.community/13012)
# https://aqicn.org/station/@79750/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,4.26,1.46,0.59,2.04,1.01,120
2019-12-10T00:00:00.000Z,0.35,3,1,0.6,1.42,0.681,138
2019-12-11T00:00:00.000Z,2.33,5.28,2.76,2.64,3,0.698,14
2019-12-12T00:00:00.000Z,2.54,6.58,5.05,4.72,5.63,0.962,56
2019-12-13T00:00:00.000Z,3.13,5.43,5.27,4.17,5.39,0.953,4
2019-12-14T00:00:00.000Z,0.97,11.9,6.4,5.04,9.1,2.579,289
2019-12-15T00:00:00.000Z,0.2,3.1,0.5,0.3,0.87,0.917,13
2019-12-17T00:00:00.000Z,0.5,1.05,0.69,0.61,0.78,0.159,12
2019-12-18T00:00:00.000Z,1.2,2.83,2.15,1.94,2.27,0.38,36
2019-12-19T00:00:00.000Z,1.36,8.22,4.2,2.85,4.66,1.326,554
2019-12-20T00:00:00.000Z,3.92,14.3,8.14,7.2,10.63,2.392,585
2019-12-21T00:00:00.000Z,2.37,22.65,6.05,3.56,9.48,3.382,570
2019-12-22T00:00:00.000Z,2.24,9.27,3.44,3.04,4.55,1.705,581
2019-12-23T00:00:00.000Z,0.9,5.84,1.86,1.48,3.46,1.204,582
2019-12-24T00:00:00.000Z,0.78,12.38,2.58,2.04,3.27,1.246,582
2019-12-25T00:00:00.000Z,0.36,17.48,2.16,1.15,3.6,1.736,527
2019-12-26T00:00:00.000Z,0.5,12.57,1.07,0.85,1.65,0.998,576
2019-12-27T00:00:00.000Z,0.25,5.09,1.1,0.77,1.46,0.479,581
2019-12-28T00:00:00.000Z,0.86,6.25,1.62,1.3,2.96,0.95,502
2019-12-29T00:00:00.000Z,2.72,25.7,17.44,10.97,21.12,6.843,558
2019-12-30T00:00:00.000Z,1.95,10.15,7.42,4.59,8.02,1.929,569
2019-12-31T00:00:00.000Z,0.5,317.5,1.72,1.08,3.14,21.026,577
2020-01-01T00:00:00.000Z,1.62,23.7,2.64,2.35,3.61,4.019,576
2020-01-02T00:00:00.000Z,1.97,33.77,10.24,8.52,12.77,7.522,572
2020-01-03T00:00:00.000Z,1.94,11.85,3.16,2.62,4.05,2.041,549
2020-01-04T00:00:00.000Z,0.5,5.44,1,0.82,1.23,0.498,557
2020-01-05T00:00:00.000Z,0.46,1.64,0.82,0.74,0.94,0.2,162
2020-01-19T00:00:00.000Z,1.68,6.97,3.02,2.41,3.6,1.062,119
2020-01-20T00:00:00.000Z,1.8,8.25,4.13,3.43,4.51,0.896,352
2020-01-21T00:00:00.000Z,2.18,5.46,3.62,3.12,4.25,0.735,460
2020-01-22T00:00:00.000Z,2.5,3.1,2.7,2.6,2.86,0.161,17
2020-01-23T00:00:00.000Z,1.1,6.27,3.16,2.7,3.6,0.681,86
2020-01-24T00:00:00.000Z,0.66,5.85,2.44,2.04,2.7,0.64,267
2020-01-25T00:00:00.000Z,1.18,12.11,2.06,1.85,2.48,1.363,297
2020-01-26T00:00:00.000Z,1.2,16.97,5.8,3.92,8.46,3.351,307
2020-01-27T00:00:00.000Z,1.77,17.67,10.24,7.88,14.5,3.924,255
2020-01-28T00:00:00.000Z,0.42,12.59,3.82,1.06,8.19,3.542,273
2020-01-29T00:00:00.000Z,0.22,5.78,1,0.56,1.46,0.578,314
2020-01-30T00:00:00.000Z,0.16,14.85,0.74,0.48,1.18,1.01,296
2020-01-31T00:00:00.000Z,0,6.12,0.89,0.3,2.09,1.138,288
2020-02-01T00:00:00.000Z,1.45,7.82,4.55,3.29,5.15,1.264,325
2020-02-02T00:00:00.000Z,0.36,4.12,1.1,0.94,1.32,0.511,331
2020-02-03T00:00:00.000Z,0.2,3.86,0.75,0.55,1.02,0.514,310
2020-02-04T00:00:00.000Z,0.16,3.22,0.65,0.51,0.92,0.407,264
2020-02-05T00:00:00.000Z,0.2,4.5,1.55,0.67,3.06,1.249,243
2020-02-06T00:00:00.000Z,0.98,8.41,2.35,2,2.75,0.695,236
2020-02-07T00:00:00.000Z,0.66,8,1.98,1.5,3.01,1.208,219
2020-02-08T00:00:00.000Z,3.99,18.7,8.43,5.48,11.46,4.062,195
2020-02-09T00:00:00.000Z,1.43,15.33,5.2,4.24,9.63,3.868,365
2020-02-10T00:00:00.000Z,1.2,4.76,2.62,2.2,3.22,0.739,374
2020-02-11T00:00:00.000Z,0.44,4.94,2.1,1.54,2.95,0.952,361
2020-02-12T00:00:00.000Z,1.03,3.8,1.54,1.28,2.85,0.831,66
2020-02-13T00:00:00.000Z,0.7,15.25,1.21,1.03,1.55,1.178,375
2020-02-14T00:00:00.000Z,1.27,6.16,2.29,1.72,2.9,0.982,374
2020-02-15T00:00:00.000Z,1.32,16.05,7.43,5.17,10.06,3.668,329
2020-02-16T00:00:00.000Z,0.55,5.22,2.22,1.46,3.88,1.249,373
2020-02-17T00:00:00.000Z,1.56,6.74,4.34,3.55,4.79,0.879,332
2020-02-18T00:00:00.000Z,1.1,5.72,2.67,2.04,3.84,1.182,306
2020-02-19T00:00:00.000Z,0.55,7.62,1.35,1.04,1.58,0.756,441
2020-02-20T00:00:00.000Z,0.46,8.47,2.89,2,3.57,1.946,472
2020-02-21T00:00:00.000Z,1,5.08,2.8,2.24,3.5,0.81,412
2020-02-22T00:00:00.000Z,1.12,5.7,2.82,2.21,3.45,0.94,449
2020-02-23T00:00:00.000Z,0.65,5.95,3.22,2.49,4.57,1.332,439
2020-02-24T00:00:00.000Z,0.6,3.45,1.42,1.03,1.78,0.496,525
2020-02-25T00:00:00.000Z,0,1.9,0.26,0.15,0.65,0.484,462
2020-02-26T00:00:00.000Z,0.15,1.56,0.4,0.3,0.54,0.266,407
2020-02-27T00:00:00.000Z,0.2,5.2,0.77,0.5,1.1,0.502,544
2020-02-28T00:00:00.000Z,0.32,4.58,0.8,0.55,1.23,0.64,554
2020-02-29T00:00:00.000Z,1,6.06,3.05,2.15,3.95,1.075,566
2020-03-01T00:00:00.000Z,1,4.36,2.23,1.82,2.69,0.549,574
2020-03-02T00:00:00.000Z,1.5,7.45,2.5,2.22,2.88,0.612,499
2020-03-03T00:00:00.000Z,0.3,7.86,0.9,0.68,1.15,0.937,432
2020-03-04T00:00:00.000Z,0.35,5,1.72,0.96,2.46,0.887,577
