# Sensor Kaplansvägen, Säter, Sweden (Citizen Science project sensor.community/13481)
# https://aqicn.org/station/@80773/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,0.5,0.28,0.25,0.34,0.077,67
2019-12-10T00:00:00.000Z,0.05,2.25,0.41,0.26,0.63,0.315,409
2019-12-11T00:00:00.000Z,0.05,10.24,0.56,0.3,0.98,0.892,427
2019-12-12T00:00:00.000Z,0.02,3.14,0.82,0.4,1.06,0.43,491
2019-12-13T00:00:00.000Z,0.1,5.37,2.46,1.68,3.36,1.122,563
2019-12-14T00:00:00.000Z,0.1,4.36,0.94,0.45,1.38,0.769,403
2019-12-15T00:00:00.000Z,0.34,8.94,2.19,1.14,3.14,1.184,575
2019-12-16T00:00:00.000Z,0.14,1.38,0.42,0.3,0.53,0.217,289
2019-12-17T00:00:00.000Z,0.12,4.42,1.15,0.6,1.68,0.849,283
2019-12-18T00:00:00.000Z,0.05,4.98,0.5,0.28,0.9,0.901,466
2019-12-19T00:00:00.000Z,0.1,8.82,1.26,0.55,1.84,1.322,555
2019-12-20T00:00:00.000Z,0.95,12.48,1.72,1.48,2,0.724,589
2019-12-21T00:00:00.000Z,0.65,6.35,2.35,2.06,2.71,0.794,579
2019-12-22T00:00:00.000Z,0.16,4.22,0.74,0.53,1.03,0.531,587
2019-12-23T00:00:00.000Z,0.1,4.38,0.8,0.35,1.7,0.768,586
2019-12-24T00:00:00.000Z,0.28,4.54,1.3,0.79,1.88,0.79,589
2019-12-25T00:00:00.000Z,0.15,3.46,1.33,0.82,1.63,0.524,589
2019-12-26T00:00:00.000Z,0.15,2.45,0.5,0.38,0.72,0.309,593
2019-12-27T00:00:00.000Z,0,2.42,0.97,0.67,1.14,0.426,591
2019-12-28T00:00:00.000Z,0.3,9.77,0.99,0.85,1.18,0.588,589
2019-12-29T00:00:00.000Z,0.5,2.27,0.88,0.71,1.35,0.475,588
2019-12-30T00:00:00.000Z,0.15,2.38,0.94,0.48,1.23,0.499,586
2019-12-31T00:00:00.000Z,0.05,1.88,0.25,0.18,0.36,0.237,577
2020-01-01T00:00:00.000Z,0.13,2.48,0.38,0.26,0.7,0.31,590
2020-01-02T00:00:00.000Z,0.2,3.82,0.99,0.64,1.8,0.822,563
2020-01-03T00:00:00.000Z,0.05,1.26,0.26,0.2,0.35,0.146,528
2020-01-04T00:00:00.000Z,0,2.29,0.25,0.15,0.4,0.293,557
2020-01-05T00:00:00.000Z,0.05,1.8,0.42,0.3,0.6,0.328,563
2020-01-06T00:00:00.000Z,0.1,2.1,0.35,0.26,0.5,0.249,519
2020-01-07T00:00:00.000Z,0.1,1.68,0.45,0.22,0.75,0.339,514
2020-01-08T00:00:00.000Z,0,1.87,0.45,0.28,0.65,0.306,502
2020-01-09T00:00:00.000Z,0.16,7.32,0.64,0.4,1.58,1.057,534
2020-01-10T00:00:00.000Z,0.53,11.11,1.7,1.38,3.43,1.695,426
2020-01-11T00:00:00.000Z,0.1,5.18,0.55,0.34,0.84,0.475,534
2020-01-12T00:00:00.000Z,0.06,1.7,0.46,0.3,0.6,0.246,567
2020-01-13T00:00:00.000Z,0.2,2.95,0.56,0.46,0.7,0.243,479
2020-01-14T00:00:00.000Z,0.15,2.04,0.85,0.55,1.32,0.46,446
2020-01-15T00:00:00.000Z,0,2.57,0.77,0.49,0.95,0.393,461
2020-01-16T00:00:00.000Z,0.52,1.74,1.04,0.9,1.2,0.236,470
2020-01-17T00:00:00.000Z,0.52,3.7,1.22,0.94,2.1,0.74,463
2020-01-18T00:00:00.000Z,0.1,7.65,1.1,0.5,2.57,1.333,504
2020-01-19T00:00:00.000Z,0.05,1.9,0.26,0.18,0.48,0.276,468
2020-01-20T00:00:00.000Z,0.08,1.55,0.37,0.3,0.46,0.153,360
2020-01-21T00:00:00.000Z,0.08,0.9,0.26,0.2,0.4,0.176,459
2020-01-22T00:00:00.000Z,0,0.3,0.1,0.1,0.15,0.071,14
2020-01-23T00:00:00.000Z,0.1,0.85,0.26,0.2,0.35,0.138,85
2020-01-24T00:00:00.000Z,0.05,1.1,0.26,0.2,0.35,0.154,266
2020-01-25T00:00:00.000Z,0.08,2.85,0.35,0.2,0.55,0.331,299
2020-01-26T00:00:00.000Z,0.15,1.77,0.5,0.36,0.66,0.25,297
2020-01-27T00:00:00.000Z,0.3,6.4,1.14,0.85,1.61,0.923,223
2020-01-28T00:00:00.000Z,0.38,5.15,0.95,0.62,2.2,1.099,274
2020-01-29T00:00:00.000Z,0,2.84,0.84,0.3,1.71,0.782,308
2020-01-30T00:00:00.000Z,0,2.35,0.72,0.35,1.08,0.427,293
2020-01-31T00:00:00.000Z,0.1,1.9,0.8,0.52,1.01,0.354,286
2020-02-01T00:00:00.000Z,0.05,2.7,0.57,0.3,1.1,0.502,282
2020-02-02T00:00:00.000Z,0,1.13,0.16,0.13,0.2,0.105,323
2020-02-03T00:00:00.000Z,0,7.7,0.4,0.2,1.57,1.33,317
2020-02-04T00:00:00.000Z,0.1,4.92,0.75,0.5,1.13,0.731,260
2020-02-05T00:00:00.000Z,0.02,0.9,0.2,0.15,0.25,0.134,187
2020-02-06T00:00:00.000Z,0.1,4.86,0.4,0.25,1.08,0.964,220
2020-02-07T00:00:00.000Z,0.1,3.18,0.62,0.45,0.82,0.443,214
2020-02-08T00:00:00.000Z,0,4.12,0.35,0.12,1.86,1.082,192
2020-02-09T00:00:00.000Z,0,4,0.91,0.32,1.38,0.898,362
2020-02-10T00:00:00.000Z,0,1.68,0.3,0.2,0.5,0.239,363
2020-02-11T00:00:00.000Z,0.1,3.16,0.55,0.42,0.75,0.337,346
2020-02-12T00:00:00.000Z,0.1,2.56,0.5,0.35,0.75,0.341,385
2020-02-13T00:00:00.000Z,0.05,1.65,0.25,0.2,0.44,0.316,376
2020-02-14T00:00:00.000Z,0.12,3.65,0.64,0.4,1.05,0.511,387
2020-02-15T00:00:00.000Z,0.1,3.85,0.95,0.62,1.15,0.458,333
2020-02-16T00:00:00.000Z,0.05,1.6,0.3,0.17,0.6,0.374,375
2020-02-17T00:00:00.000Z,0.32,2.22,0.94,0.74,1.2,0.364,347
2020-02-18T00:00:00.000Z,0.15,1.3,0.7,0.53,0.85,0.231,309
2020-02-19T00:00:00.000Z,0.12,4.23,0.46,0.36,0.68,0.51,458
2020-02-20T00:00:00.000Z,0.05,1.66,0.5,0.32,0.71,0.303,496
2020-02-21T00:00:00.000Z,0,1.48,0.3,0.2,0.47,0.286,415
