# Sensor Rotorvägen, Västerås, Sweden (Citizen Science project sensor.community/11004)
# https://aqicn.org/station/@82384/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-12T00:00:00.000Z,0.15,28.77,4.96,1.9,21.07,9.928,361
2019-12-13T00:00:00.000Z,2.34,24.94,9.77,6.94,11.24,5.155,561
2019-12-14T00:00:00.000Z,1.63,19.7,7.17,3.68,13,5.195,386
2019-12-15T00:00:00.000Z,1.6,12.87,3.92,2.44,8.92,3.514,573
2019-12-16T00:00:00.000Z,1.03,7.05,2.25,1.8,2.96,1.508,284
2019-12-17T00:00:00.000Z,0.9,9.4,5.05,3.64,7.27,2.411,290
2019-12-18T00:00:00.000Z,0.1,3.55,0.92,0.66,1.27,0.782,457
2019-12-19T00:00:00.000Z,0.77,23.98,5.26,2.12,7.46,4.351,527
2019-12-20T00:00:00.000Z,10.45,36.56,18.34,16.16,20.75,3.825,590
2019-12-21T00:00:00.000Z,8.69,42.45,25.05,20.45,31.98,7.873,579
2019-12-22T00:00:00.000Z,1.12,12.24,4.94,3.44,8.66,2.932,588
2019-12-23T00:00:00.000Z,1.05,31.96,4.5,2.08,7.57,4.743,589
2019-12-24T00:00:00.000Z,2.85,11.31,5.72,4.34,6.45,1.669,588
2019-12-25T00:00:00.000Z,2.42,31.9,6.48,4.46,10.62,5.295,584
2019-12-26T00:00:00.000Z,0.64,3.54,1.48,0.93,2.1,0.689,587
2019-12-27T00:00:00.000Z,0.2,3,1.8,1.12,2.08,0.655,589
2019-12-28T00:00:00.000Z,1.57,5.53,3.42,2.4,3.9,0.873,589
2019-12-29T00:00:00.000Z,3.75,24.27,10.31,6.94,13.5,4.934,590
2019-12-30T00:00:00.000Z,0.45,11.6,3.32,2.15,4.96,2.225,582
2019-12-31T00:00:00.000Z,0.05,6.55,0.42,0.28,0.6,0.683,578
2020-01-01T00:00:00.000Z,0.45,3.72,1.18,0.88,2.18,0.83,585
2020-01-02T00:00:00.000Z,0.93,10.07,4.16,3.11,6.04,2.005,573
2020-01-03T00:00:00.000Z,0.15,2.17,0.7,0.52,0.95,0.384,549
2020-01-04T00:00:00.000Z,0.12,2.9,0.52,0.4,0.65,0.213,557
2020-01-05T00:00:00.000Z,0.46,4.38,0.97,0.8,1.38,0.927,566
2020-01-06T00:00:00.000Z,0.35,4.8,2.24,0.95,2.77,0.983,526
2020-01-07T00:00:00.000Z,0.2,13.22,3.62,1.18,9.02,4.067,511
2020-01-08T00:00:00.000Z,0.18,5.16,2.1,1.65,2.56,1.043,507
2020-01-09T00:00:00.000Z,1.65,7.2,2.54,2.23,4.66,1.424,533
2020-01-10T00:00:00.000Z,1.25,8.72,3,2.18,3.78,1.418,431
2020-01-11T00:00:00.000Z,0.5,4.58,1.51,1.17,3.15,1.098,528
2020-01-12T00:00:00.000Z,0.08,3.68,1.17,0.43,1.55,0.79,571
2020-01-13T00:00:00.000Z,0.96,12.78,2.25,1.83,3.76,2.021,488
2020-01-14T00:00:00.000Z,1.22,8.25,3.24,2.6,4.32,1.303,437
2020-01-15T00:00:00.000Z,0.1,4.07,1.72,1.46,2.06,0.782,460
2020-01-16T00:00:00.000Z,0.84,5.2,3.3,2.86,3.7,0.845,478
2020-01-17T00:00:00.000Z,1.74,78.13,4.76,2.33,16.45,8.278,465
2020-01-18T00:00:00.000Z,0.3,32.97,7.15,0.86,17.95,9.09,500
2020-01-19T00:00:00.000Z,0.26,1.68,0.68,0.55,0.84,0.224,479
2020-01-20T00:00:00.000Z,0.5,3.18,1.6,1.25,2.15,0.618,370
2020-01-21T00:00:00.000Z,0.15,3.98,0.9,0.51,2.6,1.087,457
2020-01-22T00:00:00.000Z,0.2,0.6,0.45,0.3,0.5,0.12,16
2020-01-23T00:00:00.000Z,0.72,1.76,1.06,0.98,1.18,0.201,87
2020-01-24T00:00:00.000Z,0.38,2.95,1.12,0.82,1.4,0.421,271
2020-01-25T00:00:00.000Z,0.3,2.7,0.85,0.53,1.52,0.611,300
2020-01-26T00:00:00.000Z,0.36,5.65,1.34,0.95,2.15,1.133,302
2020-01-27T00:00:00.000Z,3.32,11.55,6.06,5.18,8.1,1.998,255
2020-01-28T00:00:00.000Z,3.72,16.63,8.32,7.3,9.34,1.987,271
2020-01-29T00:00:00.000Z,0.59,10.96,4.41,3.35,5.75,1.991,310
2020-01-30T00:00:00.000Z,0.75,15.51,2.65,1.43,3.98,1.596,293
2020-01-31T00:00:00.000Z,0.85,53.24,3.22,2.12,5.07,4.965,283
2020-02-01T00:00:00.000Z,0.4,21.94,2.68,1.96,3.12,1.595,328
2020-02-02T00:00:00.000Z,0.08,3.56,0.3,0.2,0.48,0.758,332
2020-02-03T00:00:00.000Z,0.1,5.72,0.6,0.27,3,1.572,309
2020-02-04T00:00:00.000Z,0.48,3.64,1.19,0.86,1.49,0.502,260
2020-02-05T00:00:00.000Z,0.2,1.7,0.57,0.4,0.8,0.271,235
2020-02-06T00:00:00.000Z,0.15,5.6,0.99,0.4,1.77,0.966,235
2020-02-07T00:00:00.000Z,0.52,9.11,3.2,2.5,3.97,1.649,212
2020-02-08T00:00:00.000Z,0.2,8.65,2.45,1.46,4.38,2.299,194
2020-02-09T00:00:00.000Z,0.66,15.57,4.96,3.26,9.84,4.264,353
2020-02-10T00:00:00.000Z,0.1,2.45,1.01,0.6,1.38,0.527,351
2020-02-11T00:00:00.000Z,0.66,11.18,1.88,1.34,2.25,0.89,355
2020-02-12T00:00:00.000Z,0.26,4.74,0.8,0.65,1.32,0.988,383
2020-02-13T00:00:00.000Z,0.25,3.12,0.74,0.5,1.08,0.397,377
2020-02-14T00:00:00.000Z,0.46,4.51,1.52,0.82,2.27,0.978,383
2020-02-15T00:00:00.000Z,1.76,6.32,3.44,2.78,4.2,1.146,333
2020-02-16T00:00:00.000Z,0.12,7.62,0.86,0.49,2.18,1.979,380
2020-02-17T00:00:00.000Z,0.25,4.45,2.5,1.54,3.19,1.044,348
2020-02-18T00:00:00.000Z,1.08,4.63,2.54,1.95,3.66,0.944,304
2020-02-19T00:00:00.000Z,0.4,5.27,1.36,0.9,1.9,0.751,454
2020-02-20T00:00:00.000Z,0.5,6.46,1.52,1.1,2,1.397,503
2020-02-21T00:00:00.000Z,0.15,4.01,1.53,0.76,2.41,0.973,413
2020-02-22T00:00:00.000Z,0.08,2.15,0.56,0.25,1,0.504,427
2020-02-23T00:00:00.000Z,0.05,3.4,0.47,0.28,0.74,0.496,443
2020-02-24T00:00:00.000Z,0.3,5.97,1.06,0.79,1.65,0.952,524
2020-02-25T00:00:00.000Z,0.2,2.9,1.05,0.64,1.48,0.561,452
2020-02-26T00:00:00.000Z,0.22,1,0.53,0.45,0.65,0.143,391
2020-02-27T00:00:00.000Z,0.32,1.86,0.78,0.56,1.08,0.325,546
2020-02-28T00:00:00.000Z,0.64,2.65,1.35,1.12,1.6,0.331,555
2020-02-29T00:00:00.000Z,1.25,14.65,3.24,1.84,4.09,2.069,571
2020-03-01T00:00:00.000Z,0.6,11.94,2.2,1.72,3.68,2.736,578
2020-03-02T00:00:00.000Z,1.66,8.15,2.42,2.2,2.7,1.1,472
2020-03-03T00:00:00.000Z,2.04,9.55,6.01,3.8,7.34,2.04,422
2020-03-04T00:00:00.000Z,0.3,11.1,1.17,0.68,3.07,2.445,587
2020-03-05T00:00:00.000Z,0.34,4.62,1.69,1.14,2.68,1.046,584
2020-03-06T00:00:00.000Z,1.55,30.78,4.76,3.6,8.11,4.718,590
2020-03-07T00:00:00.000Z,2.49,19.32,6.12,4.3,8.5,3.469,592
2020-03-08T00:00:00.000Z,4.5,31.13,8.06,6.28,11.56,6.062,590
2020-03-09T00:00:00.000Z,0.62,4.92,1.7,1.41,2.45,0.894,585
2020-03-10T00:00:00.000Z,0.78,10.68,4.18,2.37,5.68,2.352,583
2020-03-11T00:00:00.000Z,0.06,7.78,2.04,0.55,3.25,1.974,576
2020-03-12T00:00:00.000Z,0.5,3.18,1.47,1.02,1.96,0.6,496
2020-03-13T00:00:00.000Z,0.1,1.42,0.35,0.28,0.46,0.221,507
2020-03-14T00:00:00.000Z,0.14,1.42,0.4,0.3,0.6,0.212,547
2020-03-15T00:00:00.000Z,1.8,5.03,2.72,2.41,3.16,0.679,294
2020-03-16T00:00:00.000Z,0.2,9.15,0.9,0.65,1.25,1.736,585
2020-03-17T00:00:00.000Z,0.72,3.67,1.96,1.38,2.87,0.77,581
2020-03-18T00:00:00.000Z,0.1,3.76,0.88,0.65,2.5,1.016,501
2020-03-19T00:00:00.000Z,0.16,2.17,0.94,0.62,1.17,0.385,553
2020-03-20T00:00:00.000Z,0.35,6.48,0.95,0.74,1.17,0.731,469
2020-03-21T00:00:00.000Z,0.2,3.36,0.52,0.4,0.78,0.629,484
2020-03-22T00:00:00.000Z,0.25,1.9,0.74,0.55,0.95,0.291,461
2020-03-23T00:00:00.000Z,0.55,2.6,1.25,1,1.6,0.445,432
2020-03-24T00:00:00.000Z,1.4,6,2.95,2.35,3.6,1.05,446
2020-03-25T00:00:00.000Z,2.67,7.35,5.13,3.83,5.85,1.166,421
2020-03-26T00:00:00.000Z,4.72,11.04,8,6.63,9.19,1.489,416
2020-03-27T00:00:00.000Z,5.6,14.1,10.26,8.13,11.65,2.189,389
2020-03-28T00:00:00.000Z,0.2,1.94,0.6,0.4,0.8,0.322,177
2020-03-29T00:00:00.000Z,0.2,2.25,0.5,0.4,0.6,0.185,343
2020-03-30T00:00:00.000Z,0.33,1.82,0.9,0.6,1.17,0.325,131
