# Sensor W 675, Smedjebacken, Sweden (Citizen Science project sensor.community/29920)
# https://aqicn.org/station/@84085/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-15T00:00:00.000Z,8.13,12.77,9.67,8.13,11.64,1.726,5
2019-12-29T00:00:00.000Z,2.6,4.87,3.74,2.6,4.87,1.135,2
2020-01-05T00:00:00.000Z,0.43,1.33,0.8,0.6,0.85,0.234,15
2020-01-06T00:00:00.000Z,0.77,0.9,0.84,0.79,0.89,0.052,4
2020-01-07T00:00:00.000Z,0.4,0.4,0.4,0.4,0.4,0,1
2020-01-10T00:00:00.000Z,1.6,1.63,1.62,1.6,1.63,0.015,2
2020-01-11T00:00:00.000Z,0.15,2.17,0.46,0.3,1.06,0.415,203
2020-01-12T00:00:00.000Z,0.1,2,0.82,0.6,1.12,0.44,562
2020-01-13T00:00:00.000Z,0.83,2.08,1.44,1.27,1.6,0.24,488
2020-01-14T00:00:00.000Z,1.14,4.63,2.64,2.1,3.42,0.826,439
2020-01-15T00:00:00.000Z,0.35,3.18,1.8,1.45,2,0.501,463
2020-01-16T00:00:00.000Z,1.52,3.63,2.73,2.34,3.02,0.447,478
2020-01-17T00:00:00.000Z,1.6,10.45,2.54,2.22,4.24,1.714,468
2020-01-18T00:00:00.000Z,0.25,12.8,2.84,0.75,8.66,3.946,501
2020-01-19T00:00:00.000Z,0.25,0.97,0.47,0.4,0.59,0.122,473
2020-01-20T00:00:00.000Z,0.4,1.5,0.9,0.76,1.03,0.201,362
2020-01-21T00:00:00.000Z,0.1,1.98,0.5,0.39,1.35,0.542,461
2020-01-22T00:00:00.000Z,0.4,0.65,0.48,0.45,0.56,0.075,15
2020-01-23T00:00:00.000Z,0.53,1.14,0.75,0.7,0.85,0.117,83
2020-01-24T00:00:00.000Z,0.25,1.3,0.56,0.5,0.64,0.14,265
2020-01-25T00:00:00.000Z,0.38,7.4,0.57,0.52,0.85,0.635,297
2020-01-26T00:00:00.000Z,0.36,2.49,1.12,0.9,1.3,0.477,306
2020-01-27T00:00:00.000Z,1.3,7.8,3.45,2.86,4.2,1.27,252
2020-01-28T00:00:00.000Z,0.76,11.25,2.29,1.94,4.94,2.46,273
2020-01-29T00:00:00.000Z,0.26,5.73,1.49,0.75,2.59,1.259,308
2020-01-30T00:00:00.000Z,0.25,3.2,1.27,0.65,1.7,0.656,293
2020-01-31T00:00:00.000Z,0.48,3.07,1.54,1.19,2.18,0.639,284
2020-02-01T00:00:00.000Z,0.2,3.85,1.45,0.65,2.5,0.987,325
2020-02-02T00:00:00.000Z,0.1,0.95,0.34,0.26,0.42,0.137,329
2020-02-03T00:00:00.000Z,0.3,1.13,0.55,0.45,0.67,0.159,310
2020-02-04T00:00:00.000Z,0.46,2.04,1.05,0.84,1.5,0.386,249
2020-02-05T00:00:00.000Z,0.3,3,0.45,0.4,0.5,0.195,230
2020-02-06T00:00:00.000Z,0.2,3.1,0.55,0.4,1.23,0.597,230
