# Sensor Vallatorpsvägen, Täby kommun, Sweden (Citizen Science project sensor.community/19207)
# https://aqicn.org/station/@89584/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-30T00:00:00.000Z,1.56,4.41,3.08,2.34,3.56,0.753,226
2019-12-31T00:00:00.000Z,0.76,24.4,1.3,1.04,1.5,1.41,556
2020-01-01T00:00:00.000Z,1.28,2.74,1.73,1.6,1.85,0.206,345
2020-01-02T00:00:00.000Z,7.14,11.65,10.27,8.8,11.08,1.268,63
2020-01-03T00:00:00.000Z,0.72,7.37,1.42,1.23,1.88,1.317,409
2020-01-04T00:00:00.000Z,0.81,3.34,1.55,1.32,1.88,0.408,537
2020-01-05T00:00:00.000Z,1.58,11.15,2.29,1.99,2.74,1.068,387
2020-01-06T00:00:00.000Z,2.4,3.5,2.76,2.65,3.15,0.306,36
2020-01-08T00:00:00.000Z,1.06,4.34,2.88,2.62,3.16,0.557,319
2020-01-09T00:00:00.000Z,2.38,36.39,3.32,3.03,7.37,4.239,504
2020-01-10T00:00:00.000Z,2.72,11.3,4.54,3.56,7.12,2.033,381
2020-01-11T00:00:00.000Z,1.03,9.15,3.21,2.4,4.84,1.608,484
2020-01-12T00:00:00.000Z,1,3.42,2.1,1.85,2.44,0.522,307
2020-01-13T00:00:00.000Z,1.59,5.61,2.8,2.47,3.39,0.637,469
2020-01-14T00:00:00.000Z,2.49,17.87,5.09,3.35,7,3.081,430
2020-01-15T00:00:00.000Z,0.68,10.26,1.92,1.67,3.02,1.796,454
2020-01-16T00:00:00.000Z,1.33,5.14,3.54,2.75,4.08,0.986,470
2020-01-17T00:00:00.000Z,2.79,29.6,7.62,3.65,22.02,9.118,466
2020-01-18T00:00:00.000Z,0.9,27.42,13.35,1.61,20.23,8.669,494
2020-01-19T00:00:00.000Z,0.65,3.05,1.67,1.48,1.84,0.405,467
2020-01-20T00:00:00.000Z,1.55,3.47,2.12,1.9,2.45,0.447,367
2020-01-21T00:00:00.000Z,0.38,4.37,1.38,1.13,3.2,1.107,459
2020-01-22T00:00:00.000Z,0.9,1.3,1.14,1.1,1.2,0.083,18
2020-01-23T00:00:00.000Z,1.23,2.46,1.72,1.57,1.92,0.259,84
2020-01-24T00:00:00.000Z,0.94,2.64,1.88,1.69,2.06,0.308,265
2020-01-25T00:00:00.000Z,1,8.77,1.8,1.6,2.46,1.022,296
2020-01-26T00:00:00.000Z,1.07,4.12,2.04,1.68,2.4,0.709,309
2020-01-27T00:00:00.000Z,3.82,17.38,7.63,5.7,10.14,3.305,258
2020-01-28T00:00:00.000Z,4.11,18.92,12.24,10.09,15.58,3.946,274
2020-01-29T00:00:00.000Z,1.62,21.96,5.7,3.22,14.87,5.829,303
2020-01-30T00:00:00.000Z,3,28.46,10,7.9,12.11,3.97,294
2020-01-31T00:00:00.000Z,1.12,16.87,3.05,1.66,5.88,3.811,282
2020-02-01T00:00:00.000Z,1.65,7.98,3.33,2.5,4.28,1.033,315
2020-02-02T00:00:00.000Z,0.4,2.6,1.23,1.05,1.55,0.446,338
2020-02-03T00:00:00.000Z,1.08,17.18,1.65,1.4,4.54,4.367,316
2020-02-04T00:00:00.000Z,1,16.57,5.09,2.65,7.28,3.681,260
2020-02-05T00:00:00.000Z,1.01,2.98,1.7,1.45,2.15,0.459,245
2020-02-06T00:00:00.000Z,1.03,7,1.87,1.48,3.78,1.564,236
2020-02-07T00:00:00.000Z,1.65,18.1,4.55,3.76,5.69,1.861,211
2020-02-08T00:00:00.000Z,1.77,9.11,3.83,3.12,5.25,1.546,195
2020-02-09T00:00:00.000Z,4.46,21.86,12.3,8.84,16.41,4.271,373
2020-02-10T00:00:00.000Z,0.85,7.09,1.92,1.6,2.37,1.336,358
2020-02-11T00:00:00.000Z,1.27,3.78,2.54,2.16,2.9,0.467,354
2020-02-12T00:00:00.000Z,1.15,4.75,1.98,1.68,3.06,0.867,366
2020-02-13T00:00:00.000Z,0.7,8.78,2.1,1.44,2.38,0.88,356
2020-02-14T00:00:00.000Z,1.23,20.75,2.82,2.5,4.73,3.246,361
2020-02-15T00:00:00.000Z,2.27,9.38,4.34,3.68,6.5,1.864,319
2020-02-16T00:00:00.000Z,0.84,19.3,3.92,1.73,7.32,4.37,365
2020-02-17T00:00:00.000Z,1,3.5,2.33,1.82,2.7,0.604,348
2020-02-18T00:00:00.000Z,1.14,4.76,2.88,2.11,3.5,0.848,304
2020-02-19T00:00:00.000Z,0.75,7.85,2.33,1.68,2.65,1.238,419
2020-02-20T00:00:00.000Z,1.18,11.11,2.86,2.15,3.54,1.967,487
2020-02-21T00:00:00.000Z,0.83,13.08,2.27,1.25,3.34,3.273,439
2020-02-22T00:00:00.000Z,0.75,11.38,1.31,1.06,1.72,0.813,449
2020-02-23T00:00:00.000Z,0.38,3.59,1.46,0.85,2.04,0.767,449
2020-02-24T00:00:00.000Z,0.68,2.5,1.42,1.05,1.9,0.443,329
2020-02-25T00:00:00.000Z,1.2,5.5,1.86,1.64,2,0.824,332
2020-02-26T00:00:00.000Z,1.1,5.2,1.75,1.48,1.94,0.429,406
2020-02-27T00:00:00.000Z,1.6,7.85,2.31,2,2.99,0.717,552
2020-02-28T00:00:00.000Z,0.88,8.44,2.72,1.84,3.26,1.346,565
2020-02-29T00:00:00.000Z,2.42,12.25,3.96,3.48,7.93,2.75,565
2020-03-01T00:00:00.000Z,1.8,15.67,3.66,2.75,4.26,3.217,565
2020-03-02T00:00:00.000Z,1.98,11.26,3.17,2.72,4.16,2.186,488
