# Sensor Upphärad, Sweden (Citizen Science project sensor.community/29400)
# https://aqicn.org/station/@90676/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-01-02T00:00:00.000Z,1.85,10.68,4.62,3.77,6.83,2.279,221
2020-01-03T00:00:00.000Z,0.88,6.64,3.72,2.18,4.51,1.324,544
2020-01-04T00:00:00.000Z,0.77,6.72,1.78,1.27,2.24,0.654,548
2020-01-05T00:00:00.000Z,1.4,16.12,3.4,1.94,5.14,2.758,559
2020-01-06T00:00:00.000Z,1.5,15.63,5.4,2.72,6.9,3.265,518
2020-01-07T00:00:00.000Z,4.99,72.09,24.38,7.67,45.2,20.969,512
2020-01-08T00:00:00.000Z,4.76,24.91,8.02,6.8,11.58,3.527,484
2020-01-09T00:00:00.000Z,1.31,10.52,6.28,3.36,7.64,2.474,507
2020-01-10T00:00:00.000Z,1.2,18.42,4.05,2.88,6.82,3.416,421
2020-01-11T00:00:00.000Z,1.36,25.65,7.3,4.99,14.85,6.095,497
2020-01-12T00:00:00.000Z,0.77,29.54,5.85,5.05,7.14,4.2,540
2020-01-13T00:00:00.000Z,3.54,19.3,6.84,5.36,8.42,2.417,472
2020-01-14T00:00:00.000Z,1.48,17.97,7.06,4.88,9.16,2.909,429
2020-01-15T00:00:00.000Z,1.77,14.89,4.22,2.96,5.45,1.883,449
2020-01-16T00:00:00.000Z,4.66,11.16,7.32,6.51,8.66,1.426,460
2020-01-17T00:00:00.000Z,5.64,42.08,10.52,9.09,15.12,8.029,466
2020-01-18T00:00:00.000Z,1.34,53.98,3.72,2.96,21.66,13.65,497
2020-01-19T00:00:00.000Z,1.15,14.48,3.07,2.15,6.56,3.447,460
2020-01-20T00:00:00.000Z,5.42,9.75,7.25,6.62,8.14,0.962,352
2020-01-21T00:00:00.000Z,3.24,12.19,7.15,4.51,8.38,2.09,454
2020-01-22T00:00:00.000Z,3.62,5.09,4.18,3.9,4.53,0.427,19
2020-01-23T00:00:00.000Z,0.92,6.42,4.9,4.57,5.56,0.801,83
2020-01-24T00:00:00.000Z,2.33,6.04,4.05,3.47,4.47,0.723,264
2020-01-25T00:00:00.000Z,1.48,15.02,3.94,3.3,4.62,2.63,298
2020-01-26T00:00:00.000Z,1.25,39.72,8.9,5.15,18.96,11.712,305
2020-01-27T00:00:00.000Z,1.9,49.19,29.81,25.06,36.9,10.075,247
2020-01-28T00:00:00.000Z,0.86,37.81,12.55,2.25,21.18,10.293,271
2020-01-29T00:00:00.000Z,0.96,8.02,2.38,1.86,3,1.407,310
2020-01-30T00:00:00.000Z,0.82,14.24,2.78,1.48,5.67,2.974,289
2020-01-31T00:00:00.000Z,0.8,18.66,4.83,1.48,7.29,4.008,284
2020-02-01T00:00:00.000Z,0.56,23.92,8.5,3.33,10.32,5.64,317
2020-02-02T00:00:00.000Z,0.9,5.75,2,1.7,2.33,0.76,321
2020-02-03T00:00:00.000Z,0.8,7.35,1.84,1.39,2.13,0.818,309
2020-02-04T00:00:00.000Z,0.75,5.34,2.17,1.6,2.75,0.778,258
2020-02-05T00:00:00.000Z,1.2,5.84,2.12,1.75,4.36,1.398,225
2020-02-06T00:00:00.000Z,1.54,5.86,3.76,3.28,4.22,0.788,231
2020-02-07T00:00:00.000Z,3.5,51.18,7.48,4.8,11.46,6.866,212
2020-02-08T00:00:00.000Z,10.02,70.2,22.62,17.53,26.66,8.929,189
2020-02-09T00:00:00.000Z,2.68,42.6,8.56,5.15,18,9.449,355
2020-02-10T00:00:00.000Z,3.2,8.64,5.25,4.53,5.82,0.974,334
2020-02-11T00:00:00.000Z,1.2,8.05,4.63,3.28,5.36,1.568,351
2020-02-12T00:00:00.000Z,1.24,7.99,2.44,2.1,3.35,1.541,371
2020-02-13T00:00:00.000Z,1.46,17.6,2.48,2.2,2.91,1.266,364
2020-02-14T00:00:00.000Z,3.32,15.89,5.5,4.58,6.21,1.964,379
2020-02-15T00:00:00.000Z,1.18,46.56,16.22,11.25,22.05,11.887,319
2020-02-16T00:00:00.000Z,0.91,9.36,3.48,2.41,5.49,1.827,368
2020-02-17T00:00:00.000Z,1.95,11.68,7.82,6.73,8.98,1.76,341
2020-02-18T00:00:00.000Z,3.28,10.35,5.56,4.8,7.03,1.755,308
2020-02-19T00:00:00.000Z,0.81,13.68,3.43,1.67,5.3,2.304,442
2020-02-20T00:00:00.000Z,0.46,22.62,6.28,2.61,8.78,4.135,483
2020-02-21T00:00:00.000Z,0.8,8.77,4.43,3.18,6.11,1.818,420
2020-02-22T00:00:00.000Z,0.85,9.14,4.16,2.99,5.49,1.884,414
2020-02-23T00:00:00.000Z,1.68,10.27,6.31,4.84,7.45,1.953,426
2020-02-24T00:00:00.000Z,1.23,68.76,2.38,2.06,3.46,3.904,510
2020-02-25T00:00:00.000Z,0.53,4.51,1.67,1.21,2.46,0.927,454
2020-02-26T00:00:00.000Z,0.57,4.42,0.95,0.82,1.25,0.515,391
2020-02-27T00:00:00.000Z,0.99,6.35,2.08,1.7,2.58,1.072,540
2020-02-28T00:00:00.000Z,1.03,14.92,2.7,1.75,4.8,2.358,547
2020-02-29T00:00:00.000Z,2.41,16.71,6.82,5.01,8.94,2.755,556
2020-03-01T00:00:00.000Z,0.86,42.61,5.22,3.54,6.43,3.567,557
2020-03-02T00:00:00.000Z,1.7,12.15,5.68,3.62,7.18,2.318,453
2020-03-03T00:00:00.000Z,3.44,26.83,4.97,4.34,7.12,4.256,417
2020-03-04T00:00:00.000Z,0.45,15.14,2.23,1.25,6.6,3.55,570
2020-03-05T00:00:00.000Z,0.48,8.36,1.92,1.08,3.93,2.242,563
2020-03-06T00:00:00.000Z,0.86,20.65,5.55,2.7,10.94,5.449,556
2020-03-07T00:00:00.000Z,6.35,32.45,16.2,11.83,21.47,7.215,569
2020-03-08T00:00:00.000Z,3.95,51.6,24.33,19.78,31.36,11.945,566
2020-03-09T00:00:00.000Z,4.12,18.19,9.6,6.68,12.08,3.373,564
2020-03-10T00:00:00.000Z,0.5,20.88,5.64,4.05,8.6,3.794,576
2020-03-11T00:00:00.000Z,1.74,8.32,5.26,4.47,5.91,1.209,571
2020-03-12T00:00:00.000Z,0.2,10.41,3.46,1.56,4.62,2.067,495
2020-03-13T00:00:00.000Z,0.64,4.82,1.21,0.94,2.78,1.129,516
2020-03-14T00:00:00.000Z,0.6,22.21,1.27,1.06,2.09,1.984,525
2020-03-15T00:00:00.000Z,1.74,24.95,16.16,13.88,19.42,5.458,289
2020-03-16T00:00:00.000Z,0.56,15.78,2.42,1.69,4.63,2.087,573
2020-03-17T00:00:00.000Z,2.19,12.35,6.26,3.11,8.15,2.666,567
2020-03-18T00:00:00.000Z,1.24,20.64,4.36,2.34,6.23,3.7,492
2020-03-19T00:00:00.000Z,2.49,6.9,4.05,3.48,4.55,0.75,542
2020-03-20T00:00:00.000Z,0.52,7.22,1.15,0.86,1.55,1.175,459
2020-03-21T00:00:00.000Z,0.5,5.08,1.78,0.94,3.08,1.088,474
2020-03-22T00:00:00.000Z,0.88,7.93,1.67,1.38,2.92,1.326,466
2020-03-23T00:00:00.000Z,1.42,14.1,2.72,2.17,4.28,1.396,440
2020-03-24T00:00:00.000Z,3.35,16,6.04,4.76,8.06,2.441,434
2020-03-25T00:00:00.000Z,6.1,32.21,9.64,8.48,12.22,3.401,421
2020-03-26T00:00:00.000Z,7.43,74.06,12.13,9.26,26.68,16.826,431
2020-03-27T00:00:00.000Z,6.99,22.76,11.87,10.6,15.78,3.461,365
2020-03-28T00:00:00.000Z,0.64,2.67,1.12,0.87,1.42,0.434,179
2020-03-29T00:00:00.000Z,0.56,4.34,1.36,1.1,1.7,0.468,342
2020-03-30T00:00:00.000Z,0.74,2.6,1.4,1,1.64,0.427,136
2020-03-31T00:00:00.000Z,1.25,6.22,2.44,2.16,3.91,1.149,317
2020-04-01T00:00:00.000Z,0.44,12.5,4.61,2.83,5.48,1.922,200
2020-04-02T00:00:00.000Z,1.54,8.91,4.45,3.23,5.92,1.548,413
2020-04-03T00:00:00.000Z,0.45,2.92,1.52,1.02,1.86,0.552,443
2020-04-04T00:00:00.000Z,0.73,11.4,1.91,1.36,2.4,1.718,527
2020-04-05T00:00:00.000Z,2,38.18,8.49,3.06,16.94,10.342,524
2020-04-06T00:00:00.000Z,2.4,26.5,6.22,5.62,7.2,3.577,469
2020-04-07T00:00:00.000Z,1.95,34.2,5.05,3.08,5.96,7.855,429
2020-04-08T00:00:00.000Z,3.05,9.02,6.18,4.72,6.91,1.362,461
2020-04-09T00:00:00.000Z,0.43,14.02,1.41,0.88,2.41,3.266,443
2020-04-10T00:00:00.000Z,0.7,4.73,1.94,1.65,2.89,0.755,493
2020-04-11T00:00:00.000Z,1.85,24.86,11.68,4.51,16.6,6.795,152
2020-04-12T00:00:00.000Z,0.9,40.04,7.04,5.43,13.87,8.821,567
2020-04-13T00:00:00.000Z,0.38,1.84,0.85,0.71,0.98,0.193,576
2020-04-14T00:00:00.000Z,0.7,5.88,1.21,1.05,2.02,1.223,545
2020-04-15T00:00:00.000Z,1.53,7.14,3.78,2.54,5.42,1.521,506
2020-04-16T00:00:00.000Z,0.7,6.94,1.67,1.44,2.17,1.454,503
2020-04-17T00:00:00.000Z,0.38,3.14,1.27,0.7,1.78,0.695,568
2020-04-18T00:00:00.000Z,0.8,3.18,1.56,1.23,1.92,0.44,580
2020-04-19T00:00:00.000Z,0.2,3.53,0.98,0.53,2.1,0.883,562
2020-04-20T00:00:00.000Z,0.38,2.42,0.99,0.75,1.35,0.379,516
2020-04-21T00:00:00.000Z,0.74,3.62,1.3,1.1,2.31,0.682,384
2020-04-22T00:00:00.000Z,0.89,3.4,1.56,1.2,2.24,0.563,397
2020-04-23T00:00:00.000Z,0.73,3.37,1.79,1.37,2.02,0.486,477
2020-04-24T00:00:00.000Z,0.2,12.81,0.92,0.48,2.19,2.188,544
2020-04-25T00:00:00.000Z,0.2,2.29,0.62,0.4,0.82,0.342,510
2020-04-26T00:00:00.000Z,1.12,26.54,2.58,1.85,7.53,6.422,409
2020-04-27T00:00:00.000Z,2,55.32,6.51,4.49,7.78,4.022,436
2020-04-28T00:00:00.000Z,0.99,17.98,2.52,1.73,3.18,4.041,407
2020-04-29T00:00:00.000Z,0.55,5.2,1.2,0.9,1.71,1.198,514
2020-04-30T00:00:00.000Z,0.95,9.94,2.31,1.96,5.74,2.332,535
2020-05-01T00:00:00.000Z,4.58,25.96,8.94,7.02,13.45,4.584,550
2020-05-02T00:00:00.000Z,1.69,28.93,12.67,3.22,18.89,8.189,264
2020-05-09T00:00:00.000Z,0.86,5.68,2.39,1.44,3.32,1.152,106
2020-05-10T00:00:00.000Z,1.05,21.61,10.68,8.43,14.42,4.452,252
2020-05-11T00:00:00.000Z,0.3,2.02,0.96,0.65,1.2,0.321,344
2020-05-12T00:00:00.000Z,0.45,1.89,0.96,0.8,1.34,0.329,454
2020-05-13T00:00:00.000Z,0.2,1.75,0.76,0.56,1.09,0.335,457
2020-05-14T00:00:00.000Z,0.56,5.98,1.49,1.06,3.42,1.343,448
2020-05-15T00:00:00.000Z,0.44,39.42,2.76,0.98,5.01,4.067,526
2020-05-16T00:00:00.000Z,1.25,5.12,2.94,2,4.12,1.108,334
2020-05-17T00:00:00.000Z,1.25,5.41,2.54,2.02,3.47,0.989,544
2020-05-18T00:00:00.000Z,0.26,4.28,0.91,0.56,2.09,0.948,476
2020-05-19T00:00:00.000Z,0.32,3.38,1,0.79,1.51,0.497,547
2020-05-20T00:00:00.000Z,0.4,3.36,0.9,0.68,1.67,0.684,548
2020-05-21T00:00:00.000Z,0.51,2.69,1.08,0.85,1.55,0.475,514
2020-05-22T00:00:00.000Z,0.95,3.18,1.72,1.5,2.2,0.461,547
2020-05-23T00:00:00.000Z,2.24,10.4,6.08,5,7.14,1.587,503
2020-05-24T00:00:00.000Z,2.22,11.45,5,4.07,6.72,1.836,539
2020-05-25T00:00:00.000Z,0.3,14.68,2.42,1,5.7,3.982,538
2020-05-26T00:00:00.000Z,1,7.3,2.49,1.7,3.61,1.284,504
2020-05-27T00:00:00.000Z,0.6,15.73,1.9,1.25,5.68,3.284,525
2020-05-28T00:00:00.000Z,0.37,3.28,0.9,0.7,1.3,0.631,526
2020-05-29T00:00:00.000Z,0.4,3.55,0.95,0.73,1.62,0.681,548
2020-05-30T00:00:00.000Z,0.5,2.78,1.08,0.88,1.5,0.464,558
2020-05-31T00:00:00.000Z,0.2,2.6,0.5,0.4,0.75,0.486,491
2020-06-01T00:00:00.000Z,0.28,2.65,0.87,0.62,1.33,0.495,438
2020-06-02T00:00:00.000Z,0.22,2.58,0.62,0.5,0.9,0.334,523
2020-06-03T00:00:00.000Z,0.68,5.85,2.2,1.2,3.51,1.265,441
2020-06-04T00:00:00.000Z,0.7,6.8,1.48,1.17,1.7,0.458,522
2020-06-05T00:00:00.000Z,0.8,13.1,2.5,1.9,4.41,1.991,445
2020-06-06T00:00:00.000Z,0.5,8.8,1.76,1.2,3.11,1.973,484
2020-06-07T00:00:00.000Z,0.85,5.55,2.17,1.85,2.7,0.713,541
2020-06-08T00:00:00.000Z,0.4,14.4,1.5,1.12,2.67,1.992,537
2020-06-09T00:00:00.000Z,1.17,6.53,2.8,1.95,3.92,1.162,487
2020-06-10T00:00:00.000Z,0.45,9.07,1.98,1.35,2.45,1.808,519
2020-06-11T00:00:00.000Z,0.37,2.8,0.8,0.69,0.95,0.455,532
2020-06-12T00:00:00.000Z,0.62,2.54,1.45,1.25,1.7,0.301,547
2020-06-13T00:00:00.000Z,1.52,3.72,2.5,2.12,2.75,0.404,530
2020-06-14T00:00:00.000Z,1.1,3.15,1.8,1.6,2.12,0.429,341
2020-06-15T00:00:00.000Z,0.5,4.32,1.8,1.51,2.47,0.775,550
2020-06-16T00:00:00.000Z,0.6,6.6,2.52,1.98,3.33,1.114,562
2020-06-17T00:00:00.000Z,1.12,10.85,3.6,2.29,5.6,2.334,537
2020-06-18T00:00:00.000Z,1.23,12,2.2,1.92,4.15,2.461,506
2020-06-19T00:00:00.000Z,1.65,5.65,2.7,2.37,3.22,0.738,481
2020-06-20T00:00:00.000Z,1.37,19.07,5.95,2.17,9.91,4.18,580
2020-06-21T00:00:00.000Z,6.55,19.39,10.81,9.35,11.9,2.201,406
2020-06-24T00:00:00.000Z,1.65,7.28,3.4,2.83,4.38,1.283,321
2020-06-25T00:00:00.000Z,1.73,9.52,2.8,2.35,4.22,1.865,557
2020-06-26T00:00:00.000Z,1.67,13.55,4.53,3.08,5.4,2.277,551
2020-06-27T00:00:00.000Z,2.4,20.88,6.7,3.2,11.77,5.077,515
2020-06-28T00:00:00.000Z,3.12,26.8,7.85,6.14,10.14,4.964,449
2020-06-29T00:00:00.000Z,1.45,18.95,2.54,2.13,3.2,4.657,481
2020-06-30T00:00:00.000Z,1.4,8.23,3.2,2.65,3.65,0.945,459
2020-07-01T00:00:00.000Z,0.93,11.32,2.8,1.99,5.18,2.408,456
2020-07-02T00:00:00.000Z,1.25,16.75,2.29,1.83,3.07,4.159,453
2020-07-03T00:00:00.000Z,0.55,4.59,1.33,1.08,2,0.854,469
2020-07-04T00:00:00.000Z,0.45,11.12,2.54,1.37,3.34,2.083,488
2020-07-05T00:00:00.000Z,0.5,14.9,4.07,2.5,6.7,2.551,467
2020-07-06T00:00:00.000Z,0.3,8.69,3.2,2.5,3.95,1.24,275
2020-07-07T00:00:00.000Z,0.65,4.12,2.04,1.7,2.65,0.683,415
2020-07-08T00:00:00.000Z,0.1,3.08,0.5,0.3,1.13,0.591,441
2020-07-09T00:00:00.000Z,0.47,9.88,1.8,1.4,2.83,1.907,463
2020-07-10T00:00:00.000Z,0.6,5.09,2.1,1.4,2.97,1.018,426
2020-07-11T00:00:00.000Z,0.5,6.7,1.42,1,3.59,1.641,333
2020-07-12T00:00:00.000Z,0.56,6.75,1.95,1.5,3.33,1.563,407
2020-07-13T00:00:00.000Z,1,7.12,2.33,1.7,3.32,1.637,380
2020-07-14T00:00:00.000Z,0.82,15.63,4.03,3.1,6.2,2.886,437
