# Sensor Söbben, Henån, Sweden (Citizen Science project sensor.community/38316)
# https://aqicn.org/station/@92683/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-01-09T00:00:00.000Z,0.38,2.74,1.04,0.77,2.22,0.757,70
2020-01-10T00:00:00.000Z,1.72,26.48,3.19,2.68,3.63,2.584,156
2020-01-11T00:00:00.000Z,0.35,17.37,3.47,2.68,4.84,2.816,527
2020-01-12T00:00:00.000Z,2.44,10.44,4.36,3.56,6.38,1.78,562
2020-01-13T00:00:00.000Z,1.35,5.64,2.88,2.35,3.58,0.872,482
2020-01-14T00:00:00.000Z,0.57,9.74,4.63,3.1,6.55,2.143,440
2020-01-15T00:00:00.000Z,1.52,11.93,3.18,2.46,7.76,3.072,459
2020-01-16T00:00:00.000Z,3.72,11.68,7.64,5.5,8.91,1.973,467
2020-01-17T00:00:00.000Z,3.31,18.2,8.5,4.76,10.22,3.41,467
2020-01-18T00:00:00.000Z,0.78,41.58,2.58,1.46,5.99,4.334,500
2020-01-19T00:00:00.000Z,0.4,12.16,1.13,0.79,3.51,2.074,473
2020-01-20T00:00:00.000Z,3.03,10.19,6.54,5.28,7.46,1.685,362
2020-01-21T00:00:00.000Z,1.37,10.22,3.77,2.61,8.03,2.804,456
2020-01-22T00:00:00.000Z,2.42,3.78,3.13,2.95,3.58,0.399,16
2020-01-23T00:00:00.000Z,1.27,6,4.53,4.26,4.96,0.723,81
2020-01-24T00:00:00.000Z,1.71,5.72,3.58,2.72,4.16,0.855,264
2020-01-25T00:00:00.000Z,0.75,10.35,2.45,2.1,2.88,1.685,299
2020-01-26T00:00:00.000Z,2.04,9.9,4.13,3.07,6.72,2.096,211
2020-02-01T00:00:00.000Z,1.08,9.24,5.12,2.92,6.35,2.013,148
2020-02-02T00:00:00.000Z,0.37,5.26,1,0.75,1.26,0.875,328
2020-02-03T00:00:00.000Z,0,5.2,0.52,0.38,0.8,0.477,316
2020-02-04T00:00:00.000Z,0,2.04,0.56,0.35,0.86,0.379,251
2020-02-05T00:00:00.000Z,0.2,5.14,0.89,0.61,3.45,1.526,228
2020-02-06T00:00:00.000Z,1.82,5.28,3.24,2.79,3.65,0.609,234
2020-02-07T00:00:00.000Z,1.05,22.79,3.23,2.5,4.4,2.519,204
2020-02-08T00:00:00.000Z,7.52,33.84,20.1,14.77,26.14,6.759,113
2020-02-09T00:00:00.000Z,0,30.28,5.62,4.11,12.46,7.059,335
2020-02-10T00:00:00.000Z,1.12,6.5,3.45,2.83,4.12,0.925,355
2020-02-11T00:00:00.000Z,0.56,6.46,2.56,1.68,3.49,1.207,359
2020-02-12T00:00:00.000Z,0.52,6.12,1.68,1.44,2.04,0.707,367
2020-02-13T00:00:00.000Z,0.94,5.14,1.5,1.27,1.85,0.743,364
2020-02-14T00:00:00.000Z,0.68,10.98,2.7,2.27,3.41,1.615,375
2020-02-15T00:00:00.000Z,0.45,25.07,7.09,5.62,15.14,6.665,320
2020-02-16T00:00:00.000Z,0.3,7.26,2.5,1.55,3.57,1.495,373
2020-02-17T00:00:00.000Z,0.88,9.96,5.75,4.08,7.08,1.848,335
2020-02-18T00:00:00.000Z,1.08,8.49,3.51,2.83,4.38,1.199,304
2020-02-19T00:00:00.000Z,0.3,5.09,1.6,0.98,2.19,0.762,390
2020-02-20T00:00:00.000Z,0.15,9.03,2.52,1.35,4.59,1.936,488
2020-02-21T00:00:00.000Z,0.74,7.48,2.96,2.18,3.96,1.255,413
2020-02-22T00:00:00.000Z,1,4.86,1.8,1.48,2.27,0.945,94
2020-02-24T00:00:00.000Z,0.48,4.59,1.75,1.23,2.54,0.886,346
2020-02-25T00:00:00.000Z,0,5.05,0.59,0.35,1.34,0.842,459
2020-02-26T00:00:00.000Z,0.06,4.47,0.25,0.18,0.4,0.474,396
2020-02-27T00:00:00.000Z,0.3,4.15,0.88,0.65,1.13,0.455,538
2020-02-28T00:00:00.000Z,0.15,4.58,0.7,0.45,1.87,1.132,554
2020-02-29T00:00:00.000Z,0.54,11.42,4.05,3.02,5.2,1.857,570
2020-03-01T00:00:00.000Z,0.57,7.35,3.22,2.34,4.08,1.331,568
2020-03-02T00:00:00.000Z,1.81,5.71,3.84,3.24,4.48,0.805,471
2020-03-03T00:00:00.000Z,0.3,6.35,3.25,1.63,3.84,1.371,420
