# Sensor Doktor Westrings Gata, Centrum, Sweden (Citizen Science project sensor.community/25149)
# https://aqicn.org/station/@69724/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.3,4.96,2.25,0.95,2.78,1.059,311
2019-12-10T00:00:00.000Z,1.05,4.28,2.23,1.55,2.76,0.725,404
2019-12-11T00:00:00.000Z,2.31,7.56,4.32,3.83,4.95,0.916,419
2019-12-12T00:00:00.000Z,3.3,11.6,7.32,5.5,8.68,1.999,480
2019-12-13T00:00:00.000Z,2.94,11.25,6.66,4.82,8.08,1.93,558
2019-12-14T00:00:00.000Z,1.75,16.92,10.05,5.38,13.13,4.483,398
2019-12-15T00:00:00.000Z,1.05,4.8,2.2,1.5,3.04,1,567
2019-12-16T00:00:00.000Z,1.4,7.44,3.01,2.61,3.6,1.247,283
2019-12-17T00:00:00.000Z,0.7,12.18,2.22,1.34,7.07,3.212,281
2019-12-18T00:00:00.000Z,0.15,4.26,2.27,1.52,2.72,0.906,458
2019-12-19T00:00:00.000Z,2.9,15.28,6.7,5.75,7.59,2.281,544
2019-12-20T00:00:00.000Z,5.58,19.86,11.42,9.86,15.8,3.803,540
2019-12-21T00:00:00.000Z,4.65,20.83,11.18,6.1,15.9,4.875,552
2019-12-22T00:00:00.000Z,3.4,16.37,5.28,4.63,6.61,3.339,553
2019-12-23T00:00:00.000Z,1.6,7.72,2.91,2.4,5.04,1.762,566
2019-12-24T00:00:00.000Z,2.7,14.95,4.66,3.84,6.02,2.743,583
2019-12-25T00:00:00.000Z,1.06,24.04,3.49,1.98,7.42,4.327,579
2019-12-26T00:00:00.000Z,1.3,11.32,2.22,1.9,3.14,1.895,578
2019-12-27T00:00:00.000Z,0.85,4.26,2.12,1.6,2.68,0.693,560
2019-12-28T00:00:00.000Z,2.09,5.64,3.04,2.54,4.51,1.041,579
2019-12-29T00:00:00.000Z,3.5,42.41,29.05,18.1,33.32,10.693,559
2019-12-30T00:00:00.000Z,2.6,13.56,9.91,6.8,10.68,2.564,572
2019-12-31T00:00:00.000Z,1.08,4.69,2.13,1.55,2.6,0.83,403
2020-01-01T00:00:00.000Z,3.6,34.42,7.02,4.95,15.64,9.754,130
2020-01-02T00:00:00.000Z,3.57,46.03,14.73,12.32,18.07,10.241,551
2020-01-03T00:00:00.000Z,2.52,18.66,4.25,3.51,6.04,3.68,540
2020-01-04T00:00:00.000Z,0.94,4.87,1.54,1.4,1.85,0.497,554
2020-01-05T00:00:00.000Z,1.04,8.86,2.88,1.62,5.79,2.179,552
2020-01-06T00:00:00.000Z,2.9,21.78,6.14,5.27,8.28,3.012,516
2020-01-07T00:00:00.000Z,3.58,37.39,14.77,5.19,22.45,9.903,508
2020-01-08T00:00:00.000Z,3.4,22.06,5.4,4.54,11,4.618,495
2020-01-09T00:00:00.000Z,0.45,6.2,4.5,1.1,4.87,1.84,523
2020-01-10T00:00:00.000Z,0.3,19.14,2.4,1.38,3.29,3.335,421
2020-01-11T00:00:00.000Z,1.98,19.26,5.4,3.45,8.06,2.85,513
2020-01-12T00:00:00.000Z,3.28,20.38,4.76,4.3,6.02,3.071,541
2020-01-13T00:00:00.000Z,2.22,15.62,3.68,3,5.27,2.466,477
2020-01-14T00:00:00.000Z,2.68,11.85,4.91,4.34,6.2,2.156,432
2020-01-15T00:00:00.000Z,1.05,11.88,2.96,1.93,4.4,2.299,454
2020-01-16T00:00:00.000Z,3.45,9.07,4.91,4.59,5.26,0.8,468
2020-01-17T00:00:00.000Z,5.03,23.34,8.82,7.48,10.67,4.517,466
2020-01-18T00:00:00.000Z,1.2,36.44,3.47,2.76,12.89,8.852,494
2020-01-19T00:00:00.000Z,1.15,5.32,2.17,1.74,2.68,0.627,470
2020-01-20T00:00:00.000Z,2.78,7.28,5.08,4.38,5.62,0.931,360
2020-01-21T00:00:00.000Z,3,7.46,4.58,3.88,5.05,0.794,456
2020-01-22T00:00:00.000Z,3.05,4.13,3.58,3.32,3.7,0.311,14
2020-01-23T00:00:00.000Z,2.88,15.28,4.7,4.09,6.16,2.291,82
2020-01-24T00:00:00.000Z,1.27,5.04,3.44,2.97,3.89,0.753,264
2020-01-25T00:00:00.000Z,1.65,13.93,2.75,2.54,3.16,2.607,293
2020-01-26T00:00:00.000Z,2.15,24.38,9.5,6.78,13.58,5.219,303
2020-01-27T00:00:00.000Z,3.36,28.7,18.39,13.46,22.93,5.946,248
2020-01-28T00:00:00.000Z,1,19.76,5.05,1.52,13.74,6.117,269
2020-01-29T00:00:00.000Z,0.86,3.03,1.69,1.32,2.1,0.489,305
2020-01-30T00:00:00.000Z,0.57,4.55,1.63,1.2,2.39,0.796,285
2020-01-31T00:00:00.000Z,0.15,8.75,2.29,0.78,3.6,1.57,283
2020-02-01T00:00:00.000Z,2.6,30.4,7.88,5.64,12.43,5.676,321
2020-02-02T00:00:00.000Z,0.93,4.26,1.75,1.55,2.04,0.5,321
2020-02-03T00:00:00.000Z,0.93,9.77,1.54,1.3,1.9,0.884,314
2020-02-04T00:00:00.000Z,0.66,4.15,1.4,1.15,1.68,0.678,261
2020-02-05T00:00:00.000Z,0.76,5.19,1.68,1.27,3.79,1.347,233
2020-02-06T00:00:00.000Z,1.5,4.86,3.38,2.88,3.63,0.616,232
2020-02-07T00:00:00.000Z,1.46,11.95,3.18,2.35,6.11,2.504,216
2020-02-08T00:00:00.000Z,7,35.86,12.02,10.22,17.48,7.382,187
2020-02-09T00:00:00.000Z,2.63,28.37,8.16,6.33,14.38,6.384,347
2020-02-10T00:00:00.000Z,1.88,5.84,3.32,2.86,4.05,0.826,353
2020-02-11T00:00:00.000Z,1.13,5.92,2.85,2.21,3.71,1.089,348
2020-02-12T00:00:00.000Z,1.58,4.58,2.54,2.13,3.05,0.637,380
2020-02-13T00:00:00.000Z,1.56,3.8,2.04,1.85,2.58,0.571,369
2020-02-14T00:00:00.000Z,2.4,8.4,3.1,2.85,3.92,1.179,381
