# Sensor Furugatan, Centrum, Sweden (Citizen Science project sensor.community/25764)
# https://aqicn.org/station/@81505/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-10T00:00:00.000Z,2.61,5.86,4.22,3.79,4.68,0.649,138
2019-12-11T00:00:00.000Z,2.85,10.21,5.75,5.01,6.45,1.19,417
2019-12-12T00:00:00.000Z,4.01,40.9,9.85,7.84,12.77,4.1,497
2019-12-13T00:00:00.000Z,3.86,17.41,9.99,6.63,11.72,3.235,568
2019-12-14T00:00:00.000Z,1.98,26.54,14.32,8.03,19.51,6.873,400
2019-12-15T00:00:00.000Z,1.22,8.44,2.78,1.88,3.95,1.537,576
2019-12-16T00:00:00.000Z,1.4,10.4,4.01,3.29,4.71,1.736,288
2019-12-17T00:00:00.000Z,1.05,15.57,2,1.45,9.01,4.432,290
2019-12-18T00:00:00.000Z,0.69,5.27,2.82,1.62,3.74,1.235,471
2019-12-19T00:00:00.000Z,3.25,22.11,8.98,7.68,10.29,3.421,557
2019-12-20T00:00:00.000Z,7.54,32.42,16.07,14.1,22,5.936,592
2019-12-21T00:00:00.000Z,5.55,29.92,14.87,7.68,22.67,7.332,571
2019-12-22T00:00:00.000Z,4.45,22.85,7.39,6.49,10.02,4.551,565
2019-12-23T00:00:00.000Z,1.94,11.38,3.75,2.85,7.95,2.844,480
2019-12-24T00:00:00.000Z,3.02,21.38,6.38,4.88,8.23,3.979,581
2019-12-25T00:00:00.000Z,1.2,31.03,5.39,2.49,9.91,4.93,582
2019-12-26T00:00:00.000Z,1.48,14.28,2.81,2.2,4.95,2.734,553
2019-12-27T00:00:00.000Z,1.34,13.96,3.25,2.5,3.98,1.387,543
2019-12-28T00:00:00.000Z,2.86,14.76,4.47,3.91,6.27,1.424,588
2019-12-29T00:00:00.000Z,4.55,59.73,38.67,25.93,45.32,14.477,588
2019-12-30T00:00:00.000Z,4.46,23.62,14.72,10.51,16.05,4,580
2019-12-31T00:00:00.000Z,1.33,10.58,3.7,2.08,5.12,2.013,574
2020-01-01T00:00:00.000Z,2.94,49.25,5.16,4.4,6.44,8.24,583
2020-01-02T00:00:00.000Z,3.65,73.67,20.9,16,25.84,16.166,565
2020-01-03T00:00:00.000Z,3.98,27.35,6.15,5.18,8.34,4.311,549
2020-01-04T00:00:00.000Z,1.39,14.54,2.44,2,2.92,1.145,555
2020-01-05T00:00:00.000Z,1.72,11.9,3.75,2.41,6.86,2.665,559
2020-01-06T00:00:00.000Z,3.29,14.9,8.05,6.88,11.13,2.695,357
2020-01-07T00:00:00.000Z,4.23,83.72,21.02,6.98,32.52,14.407,517
