# Sensor Söderby parkväg, Handen, Sweden (Citizen Science project sensor.community/46284)
# https://aqicn.org/station/@122302/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-22T00:00:00.000Z,0.62,1.21,0.84,0.76,0.9,0.112,87
2020-05-23T00:00:00.000Z,0.4,10.5,1.4,0.9,2.62,1.55,514
2020-05-24T00:00:00.000Z,0.6,25.42,2.1,1.4,2.67,1.708,547
2020-05-25T00:00:00.000Z,0.2,3.9,0.56,0.43,0.7,0.297,551
2020-05-26T00:00:00.000Z,0.3,5.12,0.7,0.52,0.9,0.473,505
2020-05-27T00:00:00.000Z,0.17,2.27,0.6,0.37,1,0.431,532
2020-05-28T00:00:00.000Z,0,6.32,0.3,0.2,0.47,0.428,536
2020-05-29T00:00:00.000Z,0,10.8,0.3,0.2,0.4,0.561,551
2020-05-30T00:00:00.000Z,0,1.2,0.2,0.1,0.3,0.167,574
2020-05-31T00:00:00.000Z,0,3.37,0.1,0,0.1,0.224,507
2020-06-01T00:00:00.000Z,0,1.92,0.2,0.1,0.37,0.253,502
2020-06-02T00:00:00.000Z,0.1,2.4,0.4,0.3,0.5,0.239,545
2020-06-03T00:00:00.000Z,0.2,2.54,0.5,0.4,0.6,0.191,463
2020-06-04T00:00:00.000Z,0.3,2,0.7,0.6,0.85,0.206,546
2020-06-05T00:00:00.000Z,0.4,4.15,0.9,0.7,1.3,0.692,447
2020-06-06T00:00:00.000Z,0.1,4.55,0.6,0.32,1.27,0.915,495
2020-06-07T00:00:00.000Z,0.2,4.18,0.7,0.5,0.88,0.401,551
2020-06-08T00:00:00.000Z,0.1,4.75,0.4,0.3,0.6,0.438,532
2020-06-09T00:00:00.000Z,0.2,2.08,0.5,0.4,0.6,0.217,496
2020-06-10T00:00:00.000Z,0,0.77,0.1,0.1,0.28,0.165,538
2020-06-11T00:00:00.000Z,0,4.7,0.1,0.1,0.2,0.235,569
2020-06-12T00:00:00.000Z,0.1,0.95,0.5,0.4,0.56,0.14,580
2020-06-13T00:00:00.000Z,0.1,10.35,0.47,0.28,0.6,0.57,551
2020-06-14T00:00:00.000Z,0.1,0.95,0.3,0.2,0.4,0.12,336
2020-06-15T00:00:00.000Z,0.1,3.53,0.45,0.3,0.6,0.265,571
2020-06-16T00:00:00.000Z,0.1,3.75,0.35,0.2,0.47,0.24,568
2020-06-17T00:00:00.000Z,0.1,7.43,0.7,0.3,1.17,1.203,554
2020-06-18T00:00:00.000Z,0.4,3.47,0.95,0.77,1.25,0.447,511
2020-06-19T00:00:00.000Z,0.3,4.47,0.75,0.6,0.9,0.343,495
2020-06-20T00:00:00.000Z,0.2,162.88,1.33,0.7,1.7,6.679,590
2020-06-21T00:00:00.000Z,0.17,2.6,0.4,0.3,0.6,0.21,587
2020-06-22T00:00:00.000Z,0.13,3.28,0.5,0.4,0.65,0.244,556
2020-06-23T00:00:00.000Z,0.2,8.23,0.8,0.45,0.93,0.483,574
2020-06-24T00:00:00.000Z,0.43,3.55,1,0.73,1.27,0.391,571
2020-06-25T00:00:00.000Z,0.37,11.15,1.04,0.7,1.6,0.864,574
2020-06-26T00:00:00.000Z,0.4,4.37,1.1,0.85,1.33,0.389,569
2020-06-27T00:00:00.000Z,0.6,3.37,1.1,0.98,1.3,0.446,524
2020-06-28T00:00:00.000Z,0.77,4.03,1.6,1.2,2.04,0.6,453
2020-06-29T00:00:00.000Z,0.17,4.28,0.9,0.68,1.4,0.618,486
2020-06-30T00:00:00.000Z,0.1,2.7,0.45,0.3,0.7,0.294,473
2020-07-01T00:00:00.000Z,0,1.14,0.3,0.2,0.4,0.169,462
2020-07-02T00:00:00.000Z,0,4.59,0.45,0.3,0.6,0.465,457
2020-07-03T00:00:00.000Z,0.03,9.55,0.3,0.2,0.5,0.487,471
2020-07-04T00:00:00.000Z,0,18.07,0.3,0.2,0.4,1.06,502
2020-07-05T00:00:00.000Z,0,3.9,0.7,0.3,1,0.681,476
2020-07-06T00:00:00.000Z,0.1,1.45,0.65,0.5,0.8,0.222,280
2020-07-07T00:00:00.000Z,0,0.97,0.13,0.1,0.2,0.119,434
2020-07-08T00:00:00.000Z,0,6.05,0.2,0.15,0.36,0.435,445
2020-07-09T00:00:00.000Z,0,8.98,0.15,0.1,0.3,0.465,473
2020-07-10T00:00:00.000Z,0.1,5.13,0.32,0.28,0.5,0.364,443
2020-07-11T00:00:00.000Z,0,2.37,0.2,0.17,0.3,0.238,340
2020-07-12T00:00:00.000Z,0,3.75,0.2,0.1,0.3,0.27,401
2020-07-13T00:00:00.000Z,0,2.97,0.2,0.1,0.43,0.355,409
2020-07-14T00:00:00.000Z,0.1,3.08,0.6,0.45,0.8,0.364,448
2020-07-15T00:00:00.000Z,0.22,5.28,0.6,0.5,0.84,0.541,352
2020-07-16T00:00:00.000Z,0.2,5.28,0.5,0.4,0.8,0.44,332
2020-07-17T00:00:00.000Z,0.2,15.52,0.6,0.45,0.73,1.018,496
2020-07-18T00:00:00.000Z,0.2,18.05,0.6,0.47,0.8,0.892,454
2020-07-19T00:00:00.000Z,0.4,1.6,0.7,0.6,0.8,0.192,161
2020-07-20T00:00:00.000Z,0.2,2.78,0.77,0.56,0.95,0.333,182
2020-07-21T00:00:00.000Z,0,0.65,0.17,0.1,0.28,0.127,268
2020-07-22T00:00:00.000Z,0,2.57,0.03,0,0.1,0.3,275
2020-07-23T00:00:00.000Z,0,0.67,0,0,0,0.076,302
2020-07-24T00:00:00.000Z,0,1.65,0.2,0.05,0.3,0.187,386
2020-07-25T00:00:00.000Z,0,0.3,0.13,0.1,0.2,0.073,85
2020-07-26T00:00:00.000Z,0.1,10.65,0.4,0.3,0.6,0.597,448
2020-07-27T00:00:00.000Z,0.2,2.9,0.68,0.45,0.89,0.313,285
2020-07-28T00:00:00.000Z,0.3,4.7,0.93,0.7,1.27,0.66,406
2020-07-29T00:00:00.000Z,0.1,2.37,0.6,0.4,0.82,0.327,331
2020-07-30T00:00:00.000Z,0,3.72,0.3,0.2,0.4,0.271,373
2020-07-31T00:00:00.000Z,0.1,1.65,0.5,0.3,0.73,0.298,388
2020-08-01T00:00:00.000Z,0.4,4.84,0.85,0.7,1.23,0.497,383
2020-08-02T00:00:00.000Z,0.25,5.35,1.1,0.85,1.52,0.575,341
2020-08-03T00:00:00.000Z,0.1,6.28,0.7,0.5,0.88,0.581,375
2020-08-04T00:00:00.000Z,0,1.67,0.1,0.1,0.2,0.138,431
2020-08-05T00:00:00.000Z,0,31.45,0.43,0.3,0.6,1.483,445
2020-08-06T00:00:00.000Z,0.22,5.4,0.5,0.4,0.68,0.332,360
2020-08-07T00:00:00.000Z,0.25,4.3,0.7,0.5,0.93,0.369,455
2020-08-08T00:00:00.000Z,0.4,6.97,0.8,0.62,0.98,0.443,409
2020-08-09T00:00:00.000Z,0.05,1.83,0.5,0.3,0.82,0.366,471
2020-08-10T00:00:00.000Z,0,2.2,0.2,0.2,0.3,0.203,449
2020-08-11T00:00:00.000Z,0,0.9,0.2,0.2,0.3,0.107,474
2020-08-12T00:00:00.000Z,0.15,23.52,0.43,0.3,0.52,1.087,493
2020-08-13T00:00:00.000Z,0.28,5.85,0.73,0.5,1.1,0.436,485
2020-08-14T00:00:00.000Z,0.4,7.5,1.4,1.2,1.77,0.732,414
2020-08-15T00:00:00.000Z,0.6,16.55,1.6,1.3,1.9,0.953,492
2020-08-16T00:00:00.000Z,0,14.8,1.09,0.2,2.25,1.524,508
2020-08-17T00:00:00.000Z,0,5.22,1.1,0.4,1.9,1.028,490
2020-08-18T00:00:00.000Z,0.3,7.12,1.37,0.7,2,0.891,471
2020-08-19T00:00:00.000Z,0.4,5.6,1.6,0.7,2.04,0.974,241
2020-08-21T00:00:00.000Z,1.2,6.12,1.92,1.64,2.25,0.616,189
2020-08-22T00:00:00.000Z,0.47,9.35,1.7,1.23,2.65,1.23,427
2020-08-23T00:00:00.000Z,0.3,2.37,0.8,0.6,1.1,0.37,429
2020-08-24T00:00:00.000Z,0,1.57,0.4,0.2,0.7,0.321,369
2020-08-25T00:00:00.000Z,0,0.7,0.17,0.1,0.2,0.097,401
2020-08-26T00:00:00.000Z,0,4.7,0.1,0.1,0.2,0.284,414
2020-08-27T00:00:00.000Z,0,1.1,0.1,0.1,0.3,0.204,479
2020-08-28T00:00:00.000Z,0,15.48,0.2,0.1,0.52,1.027,382
2020-08-29T00:00:00.000Z,0.1,0.85,0.4,0.3,0.47,0.145,442
2020-08-30T00:00:00.000Z,0.1,33.58,0.3,0.2,0.5,2.072,419
2020-08-31T00:00:00.000Z,0,2.97,0.2,0.1,0.3,0.191,412
2020-09-01T00:00:00.000Z,0.03,0.98,0.4,0.3,0.54,0.169,357
2020-09-02T00:00:00.000Z,0.13,1.6,0.6,0.35,0.73,0.243,478
2020-09-03T00:00:00.000Z,0.1,9.17,1.6,0.8,3.27,1.509,475
2020-09-04T00:00:00.000Z,0.3,4.84,0.93,0.7,1.27,0.477,480
2020-09-05T00:00:00.000Z,0.1,9.07,1,0.5,1.37,0.698,481
2020-09-06T00:00:00.000Z,0,2.95,0.4,0.2,0.6,0.311,479
2020-09-07T00:00:00.000Z,0,3.65,0.13,0.1,0.21,0.288,449
2020-09-08T00:00:00.000Z,0,1.65,0.3,0.2,0.43,0.243,383
2020-09-09T00:00:00.000Z,0,6.87,1.33,0.6,1.85,0.887,406
2020-09-10T00:00:00.000Z,0,0.8,0,0,0.1,0.067,309
2020-09-11T00:00:00.000Z,0,2.97,0.5,0.2,0.82,0.544,315
2020-09-12T00:00:00.000Z,0.47,3.58,2.08,1.66,2.45,0.664,301
2020-09-13T00:00:00.000Z,0.1,4.05,1.52,0.8,2.1,0.841,364
2020-09-14T00:00:00.000Z,0,2.93,0.77,0.3,1.35,0.596,299
2020-09-15T00:00:00.000Z,0.45,3.85,1.46,1.1,1.95,0.704,250
2020-09-16T00:00:00.000Z,0,0.22,0.1,0,0.1,0.06,30
2020-09-17T00:00:00.000Z,0,0.6,0.2,0.1,0.2,0.116,154
2020-09-18T00:00:00.000Z,0.08,2.67,0.4,0.3,0.6,0.294,326
2020-09-19T00:00:00.000Z,0.1,4.15,0.3,0.2,0.6,0.726,313
2020-09-20T00:00:00.000Z,0.3,1.5,0.8,0.68,0.93,0.205,240
2020-09-21T00:00:00.000Z,0.45,2.17,1.1,0.9,1.3,0.319,174
2020-09-22T00:00:00.000Z,0.35,10.15,0.9,0.75,1.48,1.059,344
2020-09-23T00:00:00.000Z,0.9,31.92,3.72,2.35,5.17,3.659,451
2020-09-24T00:00:00.000Z,2.62,48.2,11.76,4.51,19,8.963,472
2020-09-25T00:00:00.000Z,0.5,10,1.3,0.98,2.4,2.345,355
2020-09-26T00:00:00.000Z,1.58,11.25,4.65,3.74,6.07,1.79,268
2020-09-27T00:00:00.000Z,1.83,9.9,5.45,3.85,6.59,1.813,232
2020-09-28T00:00:00.000Z,1.12,9.35,4,2.7,5.17,1.613,271
2020-09-29T00:00:00.000Z,0.4,5.45,1.25,0.9,1.91,0.883,257
2020-09-30T00:00:00.000Z,0.56,6.9,1.12,0.9,1.5,0.968,391
2020-10-01T00:00:00.000Z,0.5,6.32,2.49,0.85,3.97,1.575,310
2020-10-02T00:00:00.000Z,1.4,17.32,6.54,3.1,10.02,3.784,272
2020-10-03T00:00:00.000Z,2.23,23.58,11.54,7.13,14.77,4.896,258
2020-10-04T00:00:00.000Z,2.52,18.8,10.99,9.3,12.43,2.689,320
2020-10-05T00:00:00.000Z,0.3,16.7,1.3,0.74,2.25,2.16,316
2020-10-06T00:00:00.000Z,0.5,15.55,1.49,1,4.63,3.3,342
2020-10-07T00:00:00.000Z,0.5,6.85,1.24,0.94,1.54,0.73,336
2020-10-08T00:00:00.000Z,0.4,2.54,0.9,0.73,1.19,0.333,328
2020-10-09T00:00:00.000Z,0.2,4.87,0.68,0.43,0.9,0.451,364
2020-10-10T00:00:00.000Z,0.28,5.7,0.8,0.46,1.4,0.956,425
2020-10-11T00:00:00.000Z,0.17,3.9,0.5,0.3,0.7,0.364,434
2020-10-12T00:00:00.000Z,0.05,3.15,0.3,0.2,0.4,0.343,354
2020-10-13T00:00:00.000Z,0.1,1.7,0.3,0.2,0.4,0.198,421
2020-10-14T00:00:00.000Z,0.05,1.5,0.2,0.2,0.3,0.171,399
2020-10-15T00:00:00.000Z,0.1,4.53,0.3,0.2,0.37,0.306,419
2020-10-16T00:00:00.000Z,0.05,2.17,0.3,0.2,0.89,0.552,436
2020-10-17T00:00:00.000Z,0,10.18,0.4,0.3,0.65,0.781,429
2020-10-18T00:00:00.000Z,0.1,1.6,0.28,0.2,0.32,0.162,441
2020-10-19T00:00:00.000Z,0.1,2.35,0.3,0.2,0.5,0.242,430
2020-10-20T00:00:00.000Z,0.3,9.13,0.8,0.6,1.34,1.389,449
2020-10-21T00:00:00.000Z,1.1,25.3,13.35,8.25,18.98,6.167,429
2020-10-22T00:00:00.000Z,0.2,18.75,1.08,0.68,3.66,3.558,421
2020-10-23T00:00:00.000Z,0.03,1.55,0.52,0.2,0.7,0.285,416
2020-10-24T00:00:00.000Z,0.2,15.02,0.6,0.5,1.08,1.008,429
2020-10-25T00:00:00.000Z,0.13,21.1,5.46,0.65,7.22,4.158,474
2020-10-26T00:00:00.000Z,0.9,38.35,15,5.58,26.26,10.914,473
2020-10-27T00:00:00.000Z,0.9,34.79,2.6,1.5,4.65,9.861,446
