# Sensor Rutger Fuchsvägen, Saltsjöbaden, Sweden (Citizen Science project sensor.community/76310)
# https://aqicn.org/station/@362923/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-11-12T00:00:00.000Z,0.3,22.17,1,0.7,1.34,2.392,264
2022-11-13T00:00:00.000Z,0.2,32.42,0.5,0.4,1,2.511,572
2022-11-14T00:00:00.000Z,0.03,3.38,0.6,0.4,0.9,0.526,564
2022-11-15T00:00:00.000Z,0,1.5,0.1,0.1,0.2,0.141,561
2022-11-16T00:00:00.000Z,0,1.2,0.1,0,0.2,0.15,561
2022-11-17T00:00:00.000Z,0,1.27,0.1,0.05,0.2,0.152,568
2022-11-18T00:00:00.000Z,0,2.92,0.1,0.1,0.2,0.193,564
2022-11-19T00:00:00.000Z,0,1.63,0.3,0.13,0.7,0.336,559
2022-11-20T00:00:00.000Z,0,6.18,0.2,0.1,0.3,0.733,568
2022-11-21T00:00:00.000Z,0,9.32,2.83,1.2,4.18,1.772,562
2022-11-22T00:00:00.000Z,0.6,7.03,2.9,2.17,3.83,1.349,562
2022-11-23T00:00:00.000Z,0.1,3.65,0.4,0.3,0.7,0.353,567
2022-11-24T00:00:00.000Z,0.1,2.22,0.47,0.3,1,0.488,563
2022-11-25T00:00:00.000Z,0.1,5.72,0.5,0.2,1.17,0.971,562
2022-11-26T00:00:00.000Z,0.47,10.02,1.37,0.92,2.63,1.653,548
2022-11-27T00:00:00.000Z,0.63,9.35,2.25,1.42,3.8,1.863,571
2022-11-28T00:00:00.000Z,0.3,5.7,1.33,0.75,2.21,1.263,552
2022-11-29T00:00:00.000Z,0.35,5.6,1.58,0.82,2.54,1.048,545
2022-11-30T00:00:00.000Z,0.5,13.5,1.98,1.2,4.22,1.926,568
2022-12-01T00:00:00.000Z,0.5,4.9,1.73,1.2,2.58,0.941,518
2022-12-02T00:00:00.000Z,0.1,14.32,4.68,2.54,7.4,3.331,575
