# Sensor Storvägen, Ljugarn, Sweden (Citizen Science project sensor.community/79583)
# https://aqicn.org/station/@376954/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-04-04T00:00:00.000Z,0.25,13.73,0.7,0.55,0.9,1.505,103
2023-04-05T00:00:00.000Z,0.25,8.07,0.73,0.55,0.9,0.615,268
2023-04-06T00:00:00.000Z,0.25,4.53,1,0.75,1.33,0.58,274
2023-04-07T00:00:00.000Z,1.9,10.27,6,5.03,7.57,1.709,263
2023-04-08T00:00:00.000Z,0.32,8.1,1.84,0.98,4.4,2.304,270
2023-04-09T00:00:00.000Z,0.3,4.97,0.7,0.5,2.11,1.094,249
2023-04-10T00:00:00.000Z,0.8,5.47,3.08,2.09,4.05,1.173,237
2023-04-11T00:00:00.000Z,2.58,14.95,5.13,3.8,8,3.295,179
2023-04-12T00:00:00.000Z,5.4,17.25,10.05,8.68,11.27,2.207,170
2023-04-13T00:00:00.000Z,6.6,14.65,9.93,8.5,10.93,1.574,165
2023-04-14T00:00:00.000Z,2.7,12.82,6.22,5.05,8.55,2.238,271
2023-04-15T00:00:00.000Z,2.22,10.15,3.67,3.25,4.28,0.813,283
2023-04-16T00:00:00.000Z,2.72,7.57,4.51,4.03,5.07,0.893,282
2023-04-17T00:00:00.000Z,1.35,12.23,4.88,3.1,6.68,2.58,282
2023-04-18T00:00:00.000Z,0.25,3.67,1.27,0.6,1.9,0.815,280
2023-04-19T00:00:00.000Z,0.56,2.04,1.1,0.98,1.3,0.268,246
2023-04-20T00:00:00.000Z,0.65,3.67,1.5,1.13,1.77,0.464,285
2023-04-21T00:00:00.000Z,0.7,15.77,1.38,1.2,1.52,1.436,251
2023-04-22T00:00:00.000Z,0.4,8.02,1.25,0.95,1.79,0.9,253
2023-04-23T00:00:00.000Z,0.6,25.75,3.87,2.29,8.35,5.942,190
2023-04-24T00:00:00.000Z,0.52,18.27,4.8,1.8,9.3,4.488,280
2023-04-25T00:00:00.000Z,0.75,18.07,4.38,2.97,6.3,3.556,283
2023-04-26T00:00:00.000Z,0.1,6.85,0.75,0.46,2.9,1.587,277
2023-04-27T00:00:00.000Z,0.2,2.13,0.7,0.5,0.98,0.393,278
2023-04-28T00:00:00.000Z,0.1,3.8,0.6,0.38,0.85,0.4,202
2023-04-29T00:00:00.000Z,0.3,9.25,1.65,1.2,3.47,2.258,271
2023-04-30T00:00:00.000Z,0.1,3.6,0.5,0.35,0.65,0.765,214
2023-05-01T00:00:00.000Z,1.2,4.72,2.54,1.95,3.33,0.814,274
2023-05-02T00:00:00.000Z,0.1,7.18,0.7,0.45,2.23,1.616,280
2023-05-03T00:00:00.000Z,0.13,3.58,0.74,0.4,1.39,0.871,204
2023-05-04T00:00:00.000Z,0.4,1.5,0.73,0.63,0.9,0.204,280
2023-05-05T00:00:00.000Z,0.3,3.42,0.6,0.5,0.73,0.28,209
2023-05-06T00:00:00.000Z,0.4,3.33,0.75,0.62,0.97,0.378,273
2023-05-07T00:00:00.000Z,0.93,2.8,1.5,1.32,1.67,0.286,225
2023-05-15T00:00:00.000Z,2.4,9.15,3.54,3.2,4.53,1.397,282
2023-05-16T00:00:00.000Z,1.27,12.88,7.97,4.93,9.44,2.906,223
2023-05-17T00:00:00.000Z,0,4.43,0.6,0.3,2.1,1.062,267
2023-05-18T00:00:00.000Z,0.03,1.7,0.4,0.3,0.69,0.297,248
2023-05-19T00:00:00.000Z,0.3,6.68,1.1,0.8,1.35,0.671,271
2023-05-20T00:00:00.000Z,0.2,1.73,0.8,0.6,0.95,0.258,281
2023-05-21T00:00:00.000Z,0.93,2.35,1.5,1.4,1.67,0.241,281
2023-05-22T00:00:00.000Z,0.8,2.42,1.35,1.14,1.6,0.355,263
2023-05-23T00:00:00.000Z,1.1,7.25,1.88,1.6,2.85,0.958,279
2023-05-24T00:00:00.000Z,1.63,7.85,3.13,2.42,4.8,1.376,283
2023-05-25T00:00:00.000Z,0.5,8.4,2.13,1.37,4.16,2.043,260
2023-05-26T00:00:00.000Z,0.15,6.43,0.85,0.5,2.15,1.712,215
2023-05-27T00:00:00.000Z,0.38,7.63,0.93,0.6,1.23,0.85,230
2023-05-28T00:00:00.000Z,0.4,3.28,2,1.2,2.38,0.672,237
2023-05-29T00:00:00.000Z,0.32,2.85,0.8,0.6,1.1,0.413,242
2023-05-30T00:00:00.000Z,0.5,3.3,1,0.9,1.23,0.439,270
2023-05-31T00:00:00.000Z,0.22,2.65,1.07,0.75,1.45,0.451,178
2023-06-01T00:00:00.000Z,0.1,2.97,0.7,0.5,1.21,0.502,268
2023-06-02T00:00:00.000Z,0,1.14,0.28,0.19,0.4,0.213,265
2023-06-03T00:00:00.000Z,0.2,1.1,0.43,0.3,0.55,0.17,228
2023-06-04T00:00:00.000Z,0.1,1.65,0.5,0.3,0.85,0.339,286
2023-06-05T00:00:00.000Z,0.1,8.98,0.98,0.67,2.1,0.982,280
2023-06-06T00:00:00.000Z,0.9,5.22,1.83,1.27,2.31,0.784,196
2023-06-07T00:00:00.000Z,0.7,7.7,1.89,1.17,3.25,1.816,274
2023-06-08T00:00:00.000Z,0.3,3.85,1.2,0.9,1.73,0.638,219
2023-06-09T00:00:00.000Z,0.13,1.45,0.5,0.32,0.65,0.258,273
2023-06-10T00:00:00.000Z,0.2,1.4,0.6,0.5,0.77,0.198,251
2023-06-11T00:00:00.000Z,0.7,2.33,1.23,1.1,1.4,0.265,263
2023-06-12T00:00:00.000Z,0.9,3.25,1.48,1.3,1.73,0.4,273
2023-06-13T00:00:00.000Z,1.1,3.63,1.7,1.5,2.13,0.54,278
2023-06-14T00:00:00.000Z,1,2.78,1.52,1.38,1.73,0.274,271
2023-06-15T00:00:00.000Z,1.3,5.07,2.8,2.13,3.44,0.896,277
2023-06-16T00:00:00.000Z,3.05,8.44,4.53,3.9,5.5,1.165,269
