# Sensor Hakvägen, Lötkärr, Sweden (Citizen Science project sensor.community/84662)
# https://aqicn.org/station/@462457/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-12-11T00:00:00.000Z,2.72,5.9,4.88,4.53,5.28,0.909,22
2023-12-12T00:00:00.000Z,0.9,10.4,3.13,2.75,3.64,0.888,581
2023-12-13T00:00:00.000Z,0.52,7.45,2.2,1.77,2.72,0.802,577
2023-12-14T00:00:00.000Z,0.55,5.22,1.9,1.6,2.2,0.479,582
2023-12-15T00:00:00.000Z,0.9,6.45,2.43,1.88,3.63,1.303,583
2023-12-16T00:00:00.000Z,0.7,5.8,1.98,1.5,2.5,0.838,569
2023-12-17T00:00:00.000Z,0.6,15,1.73,1.2,2.88,2.594,574
2023-12-18T00:00:00.000Z,0.4,3.47,1.2,0.85,1.75,0.589,575
2023-12-19T00:00:00.000Z,0.03,3.1,0.7,0.4,1.2,0.507,567
2023-12-20T00:00:00.000Z,0.25,6.15,2.16,1.45,3.05,1.149,578
2023-12-21T00:00:00.000Z,0.05,4.2,1.45,0.6,2.33,1.008,585
2023-12-22T00:00:00.000Z,0,14.38,0.77,0.3,1.2,1.062,579
2023-12-23T00:00:00.000Z,0.32,4.65,1.09,0.9,1.3,0.402,580
2023-12-24T00:00:00.000Z,0.4,12.43,1.2,0.85,2.54,2.064,584
2023-12-25T00:00:00.000Z,0.4,31.2,1.6,0.94,2.6,2.457,584
2023-12-26T00:00:00.000Z,0.5,5.5,1.8,1.14,2.6,0.972,510
2023-12-27T00:00:00.000Z,0.17,17.57,0.98,0.6,1.6,1.004,577
2023-12-28T00:00:00.000Z,0.2,6.9,1.02,0.7,1.69,1.475,568
2023-12-29T00:00:00.000Z,0.3,5.7,2,1.35,2.71,1.036,561
2023-12-30T00:00:00.000Z,0.63,4.75,2.15,1.77,2.62,0.693,581
2023-12-31T00:00:00.000Z,0.17,13.1,1.48,1,1.98,1.117,579
2024-01-01T00:00:00.000Z,0.7,5.2,1.4,1.2,1.63,0.437,570
2024-01-02T00:00:00.000Z,0.1,4.8,0.88,0.56,1.14,0.505,489
2024-01-03T00:00:00.000Z,0.1,6.85,0.47,0.3,0.6,0.347,573
2024-01-04T00:00:00.000Z,0.1,14.15,0.95,0.69,1.27,1.028,581
2024-01-05T00:00:00.000Z,0.2,10.9,1.4,1.02,2.06,0.922,573
2024-01-06T00:00:00.000Z,0.56,26,2.2,1.65,3.42,1.589,588
2024-01-07T00:00:00.000Z,1.23,8.43,4.05,2.92,5.28,1.519,586
2024-01-08T00:00:00.000Z,0.4,4.5,1.45,1.02,2.13,0.72,577
2024-01-09T00:00:00.000Z,0.45,5.88,0.88,0.7,1.25,0.557,567
2024-01-10T00:00:00.000Z,0.3,4.09,0.63,0.5,0.9,0.444,566
2024-01-11T00:00:00.000Z,0.08,236.93,0.5,0.2,1.2,10.071,570
2024-01-12T00:00:00.000Z,0,1.8,0.43,0.3,0.6,0.264,565
2024-01-13T00:00:00.000Z,0.17,7.85,1.12,0.6,1.92,1.141,562
2024-01-14T00:00:00.000Z,0.08,5.38,1.08,0.76,2.17,1.238,568
2024-01-29T00:00:00.000Z,0.7,12.52,2.21,1.4,5.05,2.069,566
2024-01-30T00:00:00.000Z,3.1,11.2,5.88,5.3,6.6,1.092,570
2024-01-31T00:00:00.000Z,0.38,15.35,1.35,0.9,7.25,3.395,566
2024-02-01T00:00:00.000Z,0.1,2.33,0.7,0.47,1,0.377,518
2024-02-02T00:00:00.000Z,0.13,3.72,0.9,0.6,1.35,0.565,511
2024-02-03T00:00:00.000Z,0.15,2.25,0.52,0.4,0.73,0.274,560
2024-02-04T00:00:00.000Z,0.1,2.52,0.6,0.38,0.8,0.318,551
2024-02-05T00:00:00.000Z,0.03,3.25,0.52,0.4,1.23,0.606,558
2024-02-06T00:00:00.000Z,0.45,18.42,1.12,0.82,2.02,1.705,567
