# Sensor Krokvägen, Trollbäcken, Sweden (Citizen Science project sensor.community/86725)
# https://aqicn.org/station/@476353/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-03-22T00:00:00.000Z,0.2,0.88,0.5,0.4,0.6,0.141,153
2024-03-23T00:00:00.000Z,0.2,1.92,0.9,0.63,1.12,0.339,419
2024-03-24T00:00:00.000Z,0.2,5.57,0.7,0.55,1,0.446,497
2024-03-25T00:00:00.000Z,0.3,2.75,0.7,0.55,1.3,0.484,486
2024-03-26T00:00:00.000Z,0.6,8.07,1.88,1.55,2.33,0.923,580
2024-03-27T00:00:00.000Z,1.17,10.15,6.1,5.25,6.9,1.747,587
2024-03-28T00:00:00.000Z,2.6,23.55,4.43,3.38,7.42,2.47,581
2024-03-29T00:00:00.000Z,0.4,13.73,8.4,2.65,10.43,4.108,361
2024-03-30T00:00:00.000Z,0.5,3.5,1.58,1.17,1.94,0.538,581
2024-03-31T00:00:00.000Z,0.2,5.57,2.33,1.07,3.15,1.221,583
2024-04-01T00:00:00.000Z,0.2,7.28,2.14,0.9,4.9,2.059,524
2024-04-02T00:00:00.000Z,1.4,3.8,2.5,2.23,2.74,0.42,152
2024-04-07T00:00:00.000Z,0.2,20.83,1.38,1,3.03,2.746,374
2024-04-08T00:00:00.000Z,0.4,4.43,1.1,0.8,1.5,0.477,571
2024-04-09T00:00:00.000Z,0.55,20.27,1.85,1.14,2.29,1.439,580
2024-04-10T00:00:00.000Z,0,36.38,0.93,0.55,1.9,2.175,572
2024-04-11T00:00:00.000Z,0.25,7.9,0.9,0.7,1.34,0.657,560
2024-04-12T00:00:00.000Z,0.4,3.65,1.48,1.08,2.02,0.632,557
2024-04-13T00:00:00.000Z,0,20.23,0.6,0.4,0.85,1.823,582
2024-04-14T00:00:00.000Z,0,1.98,0.3,0.1,0.85,0.482,583
2024-04-15T00:00:00.000Z,0,6.2,0.2,0.1,0.4,0.457,587
2024-04-16T00:00:00.000Z,0.1,3.88,0.55,0.4,0.77,0.348,587
2024-04-17T00:00:00.000Z,0.1,2.8,0.65,0.4,1,0.445,579
2024-04-18T00:00:00.000Z,0.45,2.67,1.5,1.14,1.85,0.476,586
