# Sensor Björnsbacken, Berg, Sweden (Citizen Science project sensor.community/93269)
# https://aqicn.org/station/@533086/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-03-26T00:00:00.000Z,1.1,9.52,3,1.9,4.4,1.524,339
2025-03-27T00:00:00.000Z,1.77,10.27,2.9,2.2,5.23,2.234,219
2025-03-28T00:00:00.000Z,1.73,13.13,5.77,3.3,10.1,3.388,446
2025-03-29T00:00:00.000Z,1.1,22.3,4.12,2.1,8.93,5.644,572
2025-03-30T00:00:00.000Z,1.23,10.63,3.1,2.6,3.8,1.429,491
2025-03-31T00:00:00.000Z,0.5,8.1,1.2,0.9,4.43,2.11,539
2025-04-01T00:00:00.000Z,0.7,2.27,1.3,1,1.6,0.372,227
2025-04-02T00:00:00.000Z,0.9,2.63,1.4,1.2,1.6,0.321,178
2025-04-03T00:00:00.000Z,0.8,3.9,1.7,1.4,2.06,0.6,573
2025-04-04T00:00:00.000Z,0.4,5.47,1.03,0.9,1.2,0.369,578
2025-04-05T00:00:00.000Z,0.5,5.2,0.8,0.7,0.9,0.369,568
2025-04-06T00:00:00.000Z,0.7,2.4,1.1,1,1.21,0.219,356
2025-04-07T00:00:00.000Z,0.5,1.9,0.9,0.77,1.12,0.276,325
2025-04-08T00:00:00.000Z,0.4,2.06,0.93,0.8,1.1,0.242,578
2025-04-09T00:00:00.000Z,0.5,2.27,1,0.8,1.2,0.336,571
2025-04-10T00:00:00.000Z,0.6,4.8,1.4,1.07,2.5,1.151,574
2025-04-11T00:00:00.000Z,0.4,3.6,0.9,0.6,1.2,0.497,566
2025-04-12T00:00:00.000Z,0.53,6.13,1.4,1,3,1.503,581
2025-04-13T00:00:00.000Z,1.12,18.82,3.2,2,10.73,5.184,558
2025-04-14T00:00:00.000Z,1.23,27.4,2.83,1.83,9.43,6.037,579
2025-04-15T00:00:00.000Z,1.6,20.83,4.7,2.37,6.82,3.62,565
2025-04-16T00:00:00.000Z,4.73,13.9,7.4,6.47,9.02,1.76,578
2025-04-17T00:00:00.000Z,2.1,14.67,10.27,4.84,11.68,3.637,581
2025-04-18T00:00:00.000Z,6.03,25.57,9.23,7.8,11.6,3.369,580
2025-04-19T00:00:00.000Z,0.8,68.27,8.5,1.85,24.29,14.778,497
2025-04-20T00:00:00.000Z,0.4,2.6,1.27,0.9,1.5,0.39,535
2025-04-21T00:00:00.000Z,0.4,3,0.8,0.6,1.8,0.694,577
2025-04-22T00:00:00.000Z,1.67,18.07,10.63,9.07,12.17,3.821,575
2025-04-23T00:00:00.000Z,2.57,25.77,13.07,10.87,14.87,4.931,407
2025-04-26T00:00:00.000Z,1,8.1,1.3,1.2,1.4,0.612,353
2025-04-27T00:00:00.000Z,1.07,5.07,2,1.77,2.47,0.713,580
2025-04-28T00:00:00.000Z,1.73,15.4,5.93,3.3,9.36,3.479,579
2025-04-29T00:00:00.000Z,0.5,8.1,1,0.77,1.75,2.092,580
2025-04-30T00:00:00.000Z,0.33,2.5,0.8,0.6,1.1,0.489,580
2025-05-01T00:00:00.000Z,0.63,10.3,1.87,1,3.42,2.524,581
2025-05-02T00:00:00.000Z,0.97,11.47,3.1,1.77,4.69,2.316,532
2025-05-03T00:00:00.000Z,0.7,6.3,1.17,1,1.7,0.72,481
2025-05-04T00:00:00.000Z,0.6,2,1,0.9,1.17,0.198,581
2025-05-05T00:00:00.000Z,0.7,4.03,1.1,1,1.37,0.416,578
2025-05-06T00:00:00.000Z,0.4,2.8,0.7,0.6,0.8,0.496,580
2025-05-07T00:00:00.000Z,0.67,7.8,1.3,1.12,1.53,0.422,579
2025-05-08T00:00:00.000Z,1.2,6.47,1.9,1.6,2.2,0.459,579
2025-05-09T00:00:00.000Z,0.9,9.9,2.37,1.53,3.03,1.909,580
2025-05-10T00:00:00.000Z,0.9,6.23,1.6,1.33,2.1,1.085,581
2025-05-11T00:00:00.000Z,0.8,3.93,1.69,1.25,2.77,0.802,580
2025-05-12T00:00:00.000Z,1.37,4.9,2.7,2.25,3.4,0.779,580
2025-05-13T00:00:00.000Z,1.63,38.03,2.6,2.31,2.93,1.536,580
2025-05-14T00:00:00.000Z,0.7,6.2,1.3,1.1,1.89,1.101,580
2025-05-15T00:00:00.000Z,0.9,4.3,1.67,1.37,1.9,0.357,579
2025-05-16T00:00:00.000Z,0.9,3.1,1.6,1.4,1.8,0.312,581
2025-05-17T00:00:00.000Z,1.03,17.07,1.8,1.5,2.13,0.993,580
2025-05-18T00:00:00.000Z,0.87,2.4,1.3,1.2,1.57,0.289,580
2025-05-19T00:00:00.000Z,0.8,3.27,1.37,1.17,1.6,0.327,581
2025-05-20T00:00:00.000Z,0.8,3.07,1.6,1.3,1.93,0.462,580
2025-05-21T00:00:00.000Z,1,2.77,1.63,1.43,1.8,0.287,580
2025-05-22T00:00:00.000Z,0.5,1.63,0.9,0.77,1.1,0.241,581
2025-05-23T00:00:00.000Z,0.47,2.83,0.8,0.6,1.12,0.429,579
2025-05-24T00:00:00.000Z,0.6,2.29,1.12,1,1.33,0.261,577
2025-05-25T00:00:00.000Z,1.43,5.17,2.4,2,3.27,0.814,579
2025-05-26T00:00:00.000Z,1,6.43,1.83,1.52,2.2,1.083,577
2025-05-27T00:00:00.000Z,1.2,4.2,2.29,2,2.6,0.547,580
2025-05-28T00:00:00.000Z,1.1,5.7,2.1,1.8,2.5,1.012,573
2025-05-29T00:00:00.000Z,0.6,4.23,1.63,1.17,2.62,0.842,580
2025-05-30T00:00:00.000Z,1.2,2.7,1.8,1.6,2.02,0.302,580
2025-05-31T00:00:00.000Z,0.5,3.53,1,0.8,1.32,0.71,580
2025-06-01T00:00:00.000Z,0.8,7.4,1.9,1.47,3.57,1.51,581
2025-06-02T00:00:00.000Z,1.1,10.7,2.47,1.8,3.03,1.984,579
2025-06-03T00:00:00.000Z,1.5,4.09,2.43,2.13,2.8,0.489,580
2025-06-04T00:00:00.000Z,1.7,9.27,3.5,2.83,4.9,1.677,578
2025-06-05T00:00:00.000Z,1.03,32.4,2.1,1.6,2.9,1.579,581
2025-06-06T00:00:00.000Z,0.9,6.83,2.5,1.7,4.03,1.389,579
2025-06-07T00:00:00.000Z,1,3.2,1.6,1.4,1.87,0.366,580
2025-06-08T00:00:00.000Z,1.2,4.03,1.9,1.67,2.43,0.564,563
2025-06-09T00:00:00.000Z,0.7,3.37,1.7,1.03,2.09,0.612,581
2025-06-10T00:00:00.000Z,1.3,32.07,16.57,2.49,23.75,10.594,580
2025-06-11T00:00:00.000Z,0.47,18.97,3.77,0.7,13.18,6.188,577
2025-06-12T00:00:00.000Z,0.47,1.9,0.8,0.7,1,0.234,514
2025-06-13T00:00:00.000Z,0.7,2.5,1.3,1.1,1.5,0.289,581
2025-06-14T00:00:00.000Z,1.1,9.52,1.83,1.57,2.1,0.576,582
2025-06-15T00:00:00.000Z,2.4,7.4,4.78,4.18,5.53,1.109,364
2025-06-16T00:00:00.000Z,1.83,8.33,3.2,2.52,5.57,1.884,442
2025-06-17T00:00:00.000Z,2,12.23,7.93,5.93,9.3,2.425,583
2025-06-18T00:00:00.000Z,1.4,9.33,3.23,2.67,5.63,2.126,579
2025-06-19T00:00:00.000Z,0.7,5.77,1.3,1.03,2.17,1.07,581
2025-06-20T00:00:00.000Z,1.1,8.77,1.7,1.5,2.02,0.634,559
2025-06-21T00:00:00.000Z,0.43,9.77,2.12,0.8,3.7,1.574,568
2025-06-22T00:00:00.000Z,0.6,2.2,1.3,1.2,1.43,0.224,579
2025-06-23T00:00:00.000Z,1.1,8.33,4.5,2.93,5.73,1.852,543
2025-06-24T00:00:00.000Z,0.87,4.76,1.9,1.43,2.8,0.869,548
2025-06-25T00:00:00.000Z,1.03,8.93,2.38,1.9,3.27,0.817,580
