# Sensor Enebymovägen, Norrköping, Sweden (Citizen Science project sensor.community/95874)
# https://aqicn.org/station/@556792/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-08-05T00:00:00.000Z,0.93,2.8,1.7,1.3,2,0.476,39
2025-08-09T00:00:00.000Z,1,3.45,1.88,1.63,2.1,0.373,143
2025-08-10T00:00:00.000Z,0.4,4.63,1.3,0.9,1.92,0.902,433
2025-08-11T00:00:00.000Z,0.68,5.18,1.75,1.38,2.2,0.792,278
2025-08-12T00:00:00.000Z,1.17,4.63,2.08,1.7,2.6,0.676,518
2025-08-13T00:00:00.000Z,1.2,24.42,2.78,2.22,3.53,1.294,495
2025-08-14T00:00:00.000Z,0.8,7.57,2.63,1.9,4.23,1.47,585
2025-08-15T00:00:00.000Z,0.4,22.27,4.75,3.67,6.38,2.501,488
2025-08-16T00:00:00.000Z,0.08,5.57,0.3,0.2,0.56,0.398,563
2025-08-17T00:00:00.000Z,0.2,33.38,0.53,0.4,0.87,1.773,538
2025-08-18T00:00:00.000Z,0.4,2.52,1.14,0.8,1.4,0.373,579
2025-08-19T00:00:00.000Z,0.1,3.53,1,0.6,1.27,0.434,594
2025-08-20T00:00:00.000Z,0.1,1.92,0.4,0.3,0.5,0.253,578
2025-08-21T00:00:00.000Z,0.13,1.1,0.4,0.3,0.5,0.169,383
2025-08-22T00:00:00.000Z,0.1,2.6,0.4,0.3,0.5,0.248,384
2025-08-23T00:00:00.000Z,0.1,2.87,0.3,0.2,0.4,0.321,590
2025-08-24T00:00:00.000Z,0.1,14.93,0.45,0.3,0.63,0.664,594
2025-08-25T00:00:00.000Z,0,10.13,0.3,0.17,0.5,0.787,593
2025-08-26T00:00:00.000Z,0.1,2.17,0.45,0.3,0.7,0.331,592
2025-08-27T00:00:00.000Z,0.25,4.4,1.39,0.65,1.85,0.806,594
2025-08-28T00:00:00.000Z,1.07,15.45,2.9,2.08,4.67,2.892,587
2025-08-29T00:00:00.000Z,1,22.1,3.85,2.35,11.27,5.381,594
2025-08-30T00:00:00.000Z,2.04,18.82,4.83,3.4,8.82,3.224,476
2025-08-31T00:00:00.000Z,0.8,16.17,5.7,3.2,10.37,4.425,587
2025-09-01T00:00:00.000Z,1.93,24.2,5.7,3.5,9.56,4.952,577
2025-09-02T00:00:00.000Z,1.63,8.69,5.5,3.46,6.33,1.804,449
2025-09-03T00:00:00.000Z,1,8.3,2.7,1.7,3.9,1.794,250
2025-09-05T00:00:00.000Z,0.6,2.15,0.93,0.8,1.12,0.338,38
2025-09-06T00:00:00.000Z,1.2,2.1,1.52,1.38,1.7,0.273,11
2025-09-07T00:00:00.000Z,1.2,9.19,2.93,2.44,4.44,1.863,220
2025-09-08T00:00:00.000Z,5.47,16.67,11.12,7.42,14,3.371,240
2025-09-09T00:00:00.000Z,4.59,31.7,12.17,9.69,15.2,4.949,583
2025-09-10T00:00:00.000Z,3.65,17.63,6.74,5.68,10.93,3.336,560
2025-09-11T00:00:00.000Z,0.9,17.42,7.81,3.4,11.57,4.711,578
2025-09-12T00:00:00.000Z,0.47,6.1,1.8,1.2,3.2,1.287,552
2025-09-13T00:00:00.000Z,0.32,3.2,0.97,0.73,1.27,0.459,573
2025-09-14T00:00:00.000Z,0.52,5.47,1.8,1.14,2.67,1.04,563
2025-09-15T00:00:00.000Z,0.4,3,1.3,0.8,1.73,0.605,500
2025-09-16T00:00:00.000Z,0.2,3.65,1.45,0.82,1.9,0.68,581
2025-09-17T00:00:00.000Z,0.1,4.28,1.27,0.65,2.1,0.921,527
2025-09-18T00:00:00.000Z,0.3,5.57,2.5,1.5,3.25,1.137,566
2025-09-19T00:00:00.000Z,0.73,5.32,2.88,1.95,3.7,1.041,519
2025-09-20T00:00:00.000Z,1.77,5.07,3.2,2.52,3.55,0.62,362
2025-09-21T00:00:00.000Z,0.4,6.85,2.9,1.8,3.4,1.285,583
2025-09-22T00:00:00.000Z,0,2.77,0.4,0.2,0.6,0.374,592
2025-09-23T00:00:00.000Z,0.1,2.67,0.47,0.3,0.6,0.253,594
2025-09-24T00:00:00.000Z,0.3,17.1,0.77,0.5,1,1.276,280
2025-09-25T00:00:00.000Z,0.1,3.63,0.77,0.4,1,0.464,592
2025-09-26T00:00:00.000Z,0.2,3.13,1,0.5,1.75,0.677,574
2025-09-27T00:00:00.000Z,0.56,12.2,2.17,1.3,3.7,2.089,531
2025-09-28T00:00:00.000Z,0.3,4.57,1,0.77,1.35,0.839,557
2025-09-29T00:00:00.000Z,0.28,3.78,0.8,0.6,0.93,0.318,422
2025-09-30T00:00:00.000Z,0.4,3.42,0.98,0.75,1.3,0.391,550
2025-10-01T00:00:00.000Z,1.07,4.63,2.58,1.97,2.97,0.677,242
2025-10-02T00:00:00.000Z,1.97,7.2,3.59,3.1,4.46,1.089,344
2025-10-04T00:00:00.000Z,0.88,7.63,2.4,1.98,4.13,1.56,298
2025-10-05T00:00:00.000Z,0.4,4.26,0.89,0.7,1.2,0.63,370
2025-10-06T00:00:00.000Z,0.4,2.58,1.3,1.02,1.58,0.386,535
2025-10-07T00:00:00.000Z,0.4,6.05,1.1,0.73,1.5,0.628,587
2025-10-08T00:00:00.000Z,0.37,28.3,1.27,0.99,1.6,1.296,585
2025-10-09T00:00:00.000Z,0.8,8,1.9,1.4,3.04,1.238,592
2025-10-10T00:00:00.000Z,0.6,4.07,1.53,1.1,2,0.582,591
2025-10-11T00:00:00.000Z,0.2,4.09,0.77,0.5,1.1,0.539,429
2025-10-12T00:00:00.000Z,0.1,2.23,0.45,0.3,0.6,0.28,527
2025-10-13T00:00:00.000Z,0.1,2.02,0.3,0.2,0.4,0.182,572
2025-10-14T00:00:00.000Z,0.2,4.32,0.6,0.4,0.9,0.489,586
2025-10-15T00:00:00.000Z,0.4,10.07,1.2,0.8,2.1,1.804,590
2025-10-16T00:00:00.000Z,0.2,3,1.02,0.8,1.48,0.489,503
2025-10-17T00:00:00.000Z,0.17,3.63,0.55,0.4,0.8,0.379,485
2025-10-18T00:00:00.000Z,0.1,1.67,0.4,0.3,0.6,0.206,592
2025-10-19T00:00:00.000Z,0.33,7.88,0.65,0.55,0.77,0.515,594
2025-10-20T00:00:00.000Z,0.6,14.27,1.59,1.12,2.19,0.892,592
2025-10-21T00:00:00.000Z,2.33,15.07,7.28,5.7,10.4,2.815,594
2025-10-22T00:00:00.000Z,1.7,16.05,5.36,3.97,11.6,4.331,594
