# Sensor Tröskaregatan, Slaka, Sweden (Citizen Science project sensor.community/10719)
# https://aqicn.org/station/@58909/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.6,3.01,1.34,0.9,1.88,0.546,318
2019-12-10T00:00:00.000Z,0.75,2.6,1.5,1.21,1.75,0.382,409
2019-12-11T00:00:00.000Z,0.68,4.4,2,1.46,2.76,0.892,430
2019-12-12T00:00:00.000Z,0.66,12.4,3.45,1.53,4.43,3.224,485
2019-12-13T00:00:00.000Z,0.95,10.92,7.16,3.88,8.46,2.609,557
2019-12-14T00:00:00.000Z,0.8,19.72,7.84,2.48,12.65,6.113,396
2019-12-15T00:00:00.000Z,0.73,9.15,2.65,1.95,4.05,2.198,569
2019-12-16T00:00:00.000Z,0.82,3.94,2.04,1.56,2.78,0.757,286
2019-12-17T00:00:00.000Z,1.5,7.15,3.97,3.17,4.71,1.295,289
2019-12-18T00:00:00.000Z,0.55,22.54,2.54,1.4,3.8,4.671,466
2019-12-19T00:00:00.000Z,1.55,7.15,2.64,2.08,4.75,1.588,553
2019-12-20T00:00:00.000Z,6.48,23.53,13.43,10.58,18.18,4.888,576
2019-12-21T00:00:00.000Z,6.98,23.75,15.32,9.02,19.45,5.063,553
2019-12-22T00:00:00.000Z,1.75,8.65,3.04,2.5,4.88,1.6,559
2019-12-23T00:00:00.000Z,1.55,6.45,3.32,2.9,3.92,0.965,558
2019-12-24T00:00:00.000Z,0.9,5.27,2.72,2.37,3.18,0.834,577
2019-12-25T00:00:00.000Z,0.85,7.08,3.07,2.45,4.3,1.312,581
2019-12-26T00:00:00.000Z,0.76,3.6,1.63,1.34,1.93,0.477,580
2019-12-27T00:00:00.000Z,0.65,3.06,1.95,1.68,2.29,0.524,557
2019-12-28T00:00:00.000Z,2.13,4.12,3.02,2.82,3.22,0.327,581
2019-12-29T00:00:00.000Z,2.88,18.32,9.77,5.78,12.67,3.938,580
2019-12-30T00:00:00.000Z,1.46,16.57,4.13,3.1,6.18,2.917,575
2019-12-31T00:00:00.000Z,0.55,2.8,1.02,0.8,1.6,0.538,558
2020-01-01T00:00:00.000Z,1.35,4.88,2.65,2,3.18,0.721,566
