# Sensor Karin Larssons väg, Skarpnäcks stadsdelsområde, Sweden (Citizen Science project sensor.community/10729)
# https://aqicn.org/station/@58921/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,4.01,5.96,4.94,4.63,5.21,0.407,319
2019-12-10T00:00:00.000Z,3.22,5.5,3.96,3.76,4.23,0.436,410
2019-12-11T00:00:00.000Z,3.66,5.64,4.57,4.36,4.86,0.346,433
2019-12-12T00:00:00.000Z,3.8,5.54,4.54,4.3,4.78,0.318,492
2019-12-13T00:00:00.000Z,3.7,5.92,4.58,4.34,4.86,0.349,560
2019-12-14T00:00:00.000Z,3.9,5.28,4.46,4.28,4.75,0.294,403
2019-12-15T00:00:00.000Z,4.08,5.7,4.82,4.55,5.05,0.33,575
2019-12-16T00:00:00.000Z,3.92,5.53,4.63,4.45,4.88,0.304,287
2019-12-17T00:00:00.000Z,4.19,5.94,4.8,4.59,5.04,0.313,289
2019-12-18T00:00:00.000Z,3.82,5.73,4.65,4.46,4.88,0.326,467
2019-12-19T00:00:00.000Z,3.6,5.78,4.3,4.13,4.54,0.302,561
2019-12-20T00:00:00.000Z,4.05,5.84,4.74,4.54,5,0.323,582
2019-12-21T00:00:00.000Z,4.22,5.57,4.8,4.58,5.01,0.294,567
2019-12-22T00:00:00.000Z,4.25,5.86,5.01,4.76,5.24,0.328,582
2019-12-23T00:00:00.000Z,4.12,5.95,4.91,4.63,5.15,0.351,583
2019-12-24T00:00:00.000Z,4.05,5.52,4.74,4.48,4.96,0.312,588
2019-12-25T00:00:00.000Z,4.18,6.02,4.94,4.7,5.22,0.347,584
2019-12-26T00:00:00.000Z,3.86,5.48,4.55,4.38,4.76,0.282,584
2019-12-27T00:00:00.000Z,3.61,5.24,4.38,4.19,4.55,0.272,586
2019-12-28T00:00:00.000Z,3.29,5.96,4.16,3.84,4.42,0.535,586
2019-12-29T00:00:00.000Z,3.92,6.34,4.7,4.42,5.08,0.468,586
2019-12-30T00:00:00.000Z,4.25,6.48,5.23,4.97,5.45,0.342,584
2019-12-31T00:00:00.000Z,4.16,6.27,5.17,4.88,5.45,0.376,579
2020-01-01T00:00:00.000Z,3.88,5.64,4.8,4.59,5.04,0.311,580
2020-01-02T00:00:00.000Z,4.09,6.2,4.92,4.68,5.18,0.366,572
2020-01-03T00:00:00.000Z,4.26,6.49,5.05,4.8,5.32,0.358,551
2020-01-04T00:00:00.000Z,4.07,5.94,4.8,4.55,5.08,0.357,557
2020-01-05T00:00:00.000Z,3.72,6.32,4.61,4.38,4.88,0.434,556
2020-01-06T00:00:00.000Z,4,5.81,4.72,4.48,4.95,0.319,527
2020-01-07T00:00:00.000Z,3.72,5.56,4.63,4.4,4.9,0.347,515
2020-01-08T00:00:00.000Z,4.01,5.95,4.9,4.65,5.14,0.351,503
2020-01-09T00:00:00.000Z,3.75,5.82,4.66,4.38,4.96,0.404,539
2020-01-10T00:00:00.000Z,3.22,5.7,4.41,3.94,4.86,0.59,430
2020-01-11T00:00:00.000Z,2.99,5.79,4.44,3.74,4.8,0.639,530
2020-01-12T00:00:00.000Z,3.99,6.12,4.9,4.62,5.22,0.393,563
2020-01-13T00:00:00.000Z,3.74,5.82,4.63,4.38,4.97,0.415,485
2020-01-14T00:00:00.000Z,3.96,5.85,4.76,4.55,5.05,0.343,447
2020-01-15T00:00:00.000Z,4.21,6.38,5.12,4.88,5.38,0.365,460
2020-01-16T00:00:00.000Z,4.25,6.78,5.3,4.99,5.59,0.436,475
2020-01-17T00:00:00.000Z,3.75,6.02,4.84,4.63,5.08,0.37,470
2020-01-18T00:00:00.000Z,4.13,5.98,4.8,4.57,5.08,0.363,506
2020-01-19T00:00:00.000Z,4,6.65,5.05,4.78,5.43,0.514,463
