# Sensor Dadelvägen, Österskär, Sweden (Citizen Science project sensor.community/11548)
# https://aqicn.org/station/@59497/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.35,1.85,1.1,0.57,1.3,0.365,316
2019-12-10T00:00:00.000Z,0.35,5.63,0.9,0.74,1.44,1.173,393
2019-12-11T00:00:00.000Z,0.38,2.75,1.14,1.01,1.65,0.489,427
2019-12-12T00:00:00.000Z,0.24,11.68,8.61,0.55,10.11,4.448,483
2019-12-13T00:00:00.000Z,1.3,10.29,4.86,3.35,6.94,2.226,559
2019-12-14T00:00:00.000Z,1.05,7.95,3,1.94,4.36,1.852,394
2019-12-15T00:00:00.000Z,0.53,2.35,1.13,0.87,1.35,0.361,569
2019-12-16T00:00:00.000Z,0.72,1.87,1.07,0.95,1.42,0.291,290
2019-12-17T00:00:00.000Z,1.24,3.2,2.37,2.02,2.68,0.505,287
2019-12-18T00:00:00.000Z,0.2,1.56,0.6,0.5,0.72,0.228,466
2019-12-19T00:00:00.000Z,0.52,3.64,1.52,0.91,2.35,0.815,548
2019-12-20T00:00:00.000Z,2.04,15.42,7.02,4.3,10.62,3.7,574
2019-12-21T00:00:00.000Z,7.75,23.83,16.16,14.05,20.49,3.993,553
2019-12-22T00:00:00.000Z,1.1,8.19,2.34,1.68,2.68,1.619,562
2019-12-23T00:00:00.000Z,1.86,6.2,2.49,2.25,3.2,1.022,561
2019-12-24T00:00:00.000Z,1.8,8.82,3.59,2.4,6.42,2.158,580
2019-12-25T00:00:00.000Z,0.63,4.69,2.04,1.65,2.4,0.68,579
2019-12-26T00:00:00.000Z,0.5,3.14,1.6,1.05,2.04,0.639,574
2019-12-27T00:00:00.000Z,0.4,3.4,1.82,1.23,2.25,0.702,563
2019-12-28T00:00:00.000Z,1.05,2.76,1.76,1.45,2.06,0.373,574
2019-12-29T00:00:00.000Z,1.2,11.73,5.84,2.71,8.31,3.164,581
2019-12-30T00:00:00.000Z,0.78,11.2,3.37,2.21,4,1.892,572
2019-12-31T00:00:00.000Z,0.4,22.02,0.7,0.6,0.9,1.491,560
2020-01-01T00:00:00.000Z,0.6,2.95,1.05,0.85,1.82,0.591,566
2020-01-02T00:00:00.000Z,1.35,8.41,4.93,3.47,5.82,1.724,563
2020-01-03T00:00:00.000Z,0.45,5.66,0.8,0.68,1.23,1.044,545
2020-01-04T00:00:00.000Z,0.28,2,0.53,0.44,0.8,0.282,548
2020-01-05T00:00:00.000Z,0.36,1.4,0.65,0.56,0.8,0.175,558
2020-01-06T00:00:00.000Z,0.34,2.06,1.03,0.8,1.25,0.336,525
2020-01-07T00:00:00.000Z,0.34,8.48,2.59,0.55,4.12,2.096,518
2020-01-08T00:00:00.000Z,0.8,3.22,1.94,1.75,2.18,0.392,493
2020-01-09T00:00:00.000Z,1.12,7.36,2.04,1.83,3.73,1.691,525
2020-01-10T00:00:00.000Z,0.83,6.3,2.31,1.55,4.3,1.488,428
2020-01-11T00:00:00.000Z,0.64,4.23,1.46,1.17,1.75,0.668,508
2020-01-12T00:00:00.000Z,0.2,2.96,1.14,0.6,1.42,0.531,546
2020-01-13T00:00:00.000Z,1.02,5.76,1.6,1.4,1.94,0.733,480
2020-01-14T00:00:00.000Z,0.99,5.76,1.83,1.45,3.5,1.251,431
2020-01-15T00:00:00.000Z,0.4,2.52,1.27,1.04,1.48,0.402,460
2020-01-16T00:00:00.000Z,0.6,5.28,2.31,1.5,2.88,0.888,475
2020-01-17T00:00:00.000Z,1.14,9.15,2.93,1.82,6.29,2.495,463
