# Sensor Ringparken, Nacka, Sweden (Citizen Science project sensor.community/11663)
# https://aqicn.org/station/@59593/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.25,1.84,1.25,0.5,1.44,0.468,320
2019-12-10T00:00:00.000Z,0.4,2.22,1.06,0.85,1.46,0.399,419
2019-12-11T00:00:00.000Z,0.56,3.49,1.32,1.1,1.92,0.66,438
2019-12-12T00:00:00.000Z,0.15,16.28,11.17,0.46,14.34,6.395,495
2019-12-13T00:00:00.000Z,2.18,14.64,6.3,4.59,9.01,2.965,564
2019-12-14T00:00:00.000Z,1.23,10.76,3.45,2.24,5.34,2.552,401
2019-12-15T00:00:00.000Z,0.6,3.08,1.36,0.95,1.92,0.585,574
2019-12-16T00:00:00.000Z,0.85,3.52,1.32,1.12,1.88,0.558,288
2019-12-17T00:00:00.000Z,1.46,5.65,2.8,2.5,3.59,0.936,288
2019-12-18T00:00:00.000Z,0.02,2.92,0.81,0.55,1.12,0.488,470
2019-12-19T00:00:00.000Z,0.9,5.6,2.12,1.28,3.46,1.211,557
2019-12-20T00:00:00.000Z,3.18,19.7,10.18,7.38,13.53,3.918,586
2019-12-21T00:00:00.000Z,12.88,31.62,20.94,19.48,26.72,4.241,571
2019-12-22T00:00:00.000Z,0.86,12.1,2.79,2.08,3.33,1.463,584
2019-12-23T00:00:00.000Z,1.63,8.24,3.25,2.54,4.73,1.578,582
2019-12-24T00:00:00.000Z,3.68,11.14,5.7,4.74,6.96,1.641,586
2019-12-25T00:00:00.000Z,0.78,9.94,4.44,3.66,5.05,1.831,584
2019-12-26T00:00:00.000Z,0.6,3.45,1.78,1.23,2.24,0.654,585
2019-12-27T00:00:00.000Z,0.4,3.43,2.13,1.4,2.34,0.634,586
2019-12-28T00:00:00.000Z,1.13,14.45,2,1.69,2.23,1.033,584
2019-12-29T00:00:00.000Z,1.69,12.17,5.98,3.18,8.57,3.147,588
2019-12-30T00:00:00.000Z,0.9,11.5,3.22,2.6,4.04,1.997,583
2019-12-31T00:00:00.000Z,0.08,13.95,0.56,0.38,0.75,2.039,578
2020-01-01T00:00:00.000Z,0.55,12.36,1.12,0.95,2.15,1.285,584
2020-01-02T00:00:00.000Z,1.66,9.3,5.68,4.2,6.73,1.86,576
2020-01-03T00:00:00.000Z,0.2,5.8,0.74,0.56,1.36,1.096,557
2020-01-04T00:00:00.000Z,0.2,1.65,0.61,0.46,0.86,0.307,555
