# Sensor Östra Tvärgatan, Visby, Sweden (Citizen Science project sensor.community/12385)
# https://aqicn.org/station/@60076/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.76,5.24,2.41,2.15,2.82,0.517,315
2019-12-10T00:00:00.000Z,0.4,17.1,1.38,0.97,2.16,2.209,387
2019-12-11T00:00:00.000Z,0.44,11.25,3.57,2.7,4.61,2.175,428
2019-12-12T00:00:00.000Z,1.62,30.97,16.16,12.02,20.07,6.94,449
2019-12-13T00:00:00.000Z,2.58,28.88,11.5,6.22,15.25,6.359,556
2019-12-14T00:00:00.000Z,2.18,35.86,20.17,7.6,26.12,9.37,395
2019-12-15T00:00:00.000Z,0.3,4.66,1.97,1.29,2.76,0.983,560
2019-12-16T00:00:00.000Z,0.4,3.33,0.95,0.66,1.62,0.765,291
2019-12-17T00:00:00.000Z,4.62,62.57,17.8,12.51,34.97,17.628,292
2019-12-18T00:00:00.000Z,0.38,18.93,1.69,0.85,9.65,5.395,426
2019-12-19T00:00:00.000Z,0.6,15.18,2.15,1.03,9.84,4.799,321
2019-12-20T00:00:00.000Z,5.4,40.22,34.89,24.57,36.65,8.345,274
2019-12-21T00:00:00.000Z,13.74,42.63,18.3,16.72,35.47,9.582,152
2019-12-22T00:00:00.000Z,5.67,20.32,11.45,10.7,12.35,2.288,102
2019-12-23T00:00:00.000Z,2.1,8.13,4.11,3.32,5.24,1.17,254
2019-12-24T00:00:00.000Z,2.92,27.82,8.07,4.21,10.55,3.678,536
2019-12-25T00:00:00.000Z,2.24,21.34,6.52,5.42,7.75,2.435,586
2019-12-26T00:00:00.000Z,0.3,19.25,1.8,1.42,2.73,1.691,564
2019-12-27T00:00:00.000Z,0.72,4.01,1.23,1.02,1.95,0.679,479
2019-12-28T00:00:00.000Z,0.5,5.8,1.07,0.76,1.43,0.735,321
2019-12-29T00:00:00.000Z,1.3,14,5.12,2.61,9.75,3.643,465
2019-12-30T00:00:00.000Z,1.74,10,4.19,3.55,5.05,1.544,342
2019-12-31T00:00:00.000Z,0.4,26.12,1.25,0.95,1.58,1.372,542
2020-01-01T00:00:00.000Z,0.52,7.06,2.18,1.54,2.5,0.793,583
2020-01-02T00:00:00.000Z,2.08,21.04,10.7,6.22,17.88,6.122,572
2020-01-03T00:00:00.000Z,0.78,17.26,3.58,2.45,8.72,3.992,552
2020-01-04T00:00:00.000Z,0.4,4.08,1.14,0.92,1.42,0.617,562
2020-01-05T00:00:00.000Z,0.55,10.66,1.41,1,1.85,0.923,561
2020-01-06T00:00:00.000Z,0.45,6.44,2.71,1.36,3.92,1.361,521
2020-01-07T00:00:00.000Z,0.55,27.03,6.32,4.13,13.23,5.346,518
2020-01-08T00:00:00.000Z,1.83,16.32,4.7,3.49,12.25,4.522,509
2020-01-09T00:00:00.000Z,0.71,7.6,3.53,3.16,4,1.006,536
2020-01-10T00:00:00.000Z,0.75,7.73,1.74,1.2,3.56,1.607,427
2020-01-11T00:00:00.000Z,0.64,10.1,2.7,2,4.16,1.621,525
2020-01-12T00:00:00.000Z,0.42,11.72,2.44,1.85,7.35,3.303,570
2020-01-13T00:00:00.000Z,1.3,5.8,2.25,2,2.5,0.518,481
2020-01-14T00:00:00.000Z,2.56,14.9,7.34,4.9,10.7,3.322,441
2020-01-15T00:00:00.000Z,0.5,9.72,3.1,2.46,4.23,1.677,455
2020-01-16T00:00:00.000Z,0.57,7.38,2.73,1.76,3.27,1.073,486
2020-01-17T00:00:00.000Z,2.73,25.44,9.17,6.87,12.86,5.438,465
2020-01-18T00:00:00.000Z,0.6,50.68,9.66,1.38,38.14,17.877,503
2020-01-19T00:00:00.000Z,0.6,11.22,1.1,0.9,1.48,1.277,471
2020-01-20T00:00:00.000Z,0.6,4.05,2.38,1.66,2.82,0.782,368
2020-01-21T00:00:00.000Z,1.14,5.66,2.29,1.89,2.66,0.617,463
2020-01-22T00:00:00.000Z,1.93,2.34,2.13,2.02,2.21,0.118,17
2020-01-23T00:00:00.000Z,0.26,3.4,0.48,0.42,0.8,0.569,87
2020-01-24T00:00:00.000Z,0.45,4.38,1.18,0.99,1.36,0.47,267
2020-01-25T00:00:00.000Z,1.25,18.22,1.85,1.64,2.7,1.588,302
2020-01-26T00:00:00.000Z,0.22,8.4,1.15,0.77,2.13,1.76,293
2020-01-27T00:00:00.000Z,4.36,26.93,12.82,10.98,17.34,5.311,225
