# Sensor Vedelsvägen, Stehag, Sweden (Citizen Science project sensor.community/13421)
# https://aqicn.org/station/@60838/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.38,6.45,2.86,1.27,3.65,1.451,314
2019-12-10T00:00:00.000Z,0.38,5.45,1.58,0.75,2.9,1.123,409
2019-12-11T00:00:00.000Z,2.04,41.78,7.27,4.44,9.85,3.832,431
2019-12-12T00:00:00.000Z,1.04,20.35,8.02,4.59,13.9,5.257,495
2019-12-13T00:00:00.000Z,10.37,219.15,18.36,15.45,21.59,11.761,564
2019-12-14T00:00:00.000Z,1.62,38.5,18.93,11.04,26.6,9.361,402
2019-12-15T00:00:00.000Z,1.02,5.83,3.08,2.5,3.55,0.909,308
2019-12-17T00:00:00.000Z,3.72,35.2,6.96,4.45,19.34,9.936,239
2019-12-18T00:00:00.000Z,1.14,13.4,7.51,3.79,9.96,3.515,160
2019-12-19T00:00:00.000Z,10.11,40.98,21.86,14.8,28.06,7.729,559
2019-12-20T00:00:00.000Z,37.7,61.28,46.7,44.25,49.54,4.881,256
2019-12-23T00:00:00.000Z,4.54,50.82,12.21,9.11,13.97,5.658,346
2019-12-24T00:00:00.000Z,2.37,10.56,7.12,4.55,8.41,2.163,370
2019-12-29T00:00:00.000Z,5.22,12.05,10.37,9.27,10.9,1.973,114
2020-01-02T00:00:00.000Z,24.84,33.17,27.9,26.46,30.3,2.259,70
2020-01-25T00:00:00.000Z,13.14,21.03,17.69,15.73,18.8,2.003,50
2020-01-26T00:00:00.000Z,13.35,31.55,24.94,20.96,27.9,4.372,251
2020-01-27T00:00:00.000Z,29.92,34.1,31.85,30.54,33.27,1.386,5
2020-01-29T00:00:00.000Z,1.2,16.77,2.86,2.33,3.6,1.537,156
2020-01-30T00:00:00.000Z,1,10.02,3.56,2.9,4,1.913,129
2020-02-03T00:00:00.000Z,1.83,12,4.92,3.22,7.8,2.679,178
2020-02-06T00:00:00.000Z,1.6,21.17,3.04,2.6,4.34,3.032,192
2020-02-07T00:00:00.000Z,2.1,13.42,5.99,4.18,7.89,2.729,212
2020-02-08T00:00:00.000Z,9.16,30.72,15.98,13.16,19.75,4.592,195
2020-02-09T00:00:00.000Z,0.9,48.45,11.03,4.7,37.17,16.259,352
2020-02-10T00:00:00.000Z,1.14,5.58,2.6,2.04,3.51,0.939,372
2020-02-11T00:00:00.000Z,0.8,5.98,2.14,1.56,2.65,1.122,363
