# Sensor Hälleforsvägen, Skälsätra, Sweden (Citizen Science project sensor.community/13443)
# https://aqicn.org/station/@60859/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.35,7.94,1.44,0.75,1.82,0.908,322
2019-12-10T00:00:00.000Z,0.35,15.66,1.47,1.08,4.29,2.704,412
2019-12-11T00:00:00.000Z,0.84,6.7,2,1.66,2.8,0.985,420
2019-12-12T00:00:00.000Z,0.2,25.26,12.53,1.23,15.76,6.794,489
2019-12-13T00:00:00.000Z,2.25,67.94,9.16,5.52,11.98,5.627,557
2019-12-14T00:00:00.000Z,1.92,17.12,5.42,3.72,8.58,3.194,403
2019-12-15T00:00:00.000Z,1.36,6.28,2.38,1.96,3.01,0.84,229
2020-04-06T00:00:00.000Z,4,9.5,7.18,4.79,7.82,1.525,209
2020-04-07T00:00:00.000Z,1.45,13.97,8.75,3.78,10.95,3.787,457
2020-04-08T00:00:00.000Z,1.76,10.68,2.56,2.15,3.13,0.914,475
2020-04-09T00:00:00.000Z,0.37,7.18,1.14,0.76,2.31,0.943,470
2020-04-10T00:00:00.000Z,0.4,15.12,1.12,0.7,1.85,1.149,515
2020-04-11T00:00:00.000Z,0.86,4.84,2.65,2.02,3.45,0.886,154
2020-04-12T00:00:00.000Z,0.2,13.1,2.38,1.4,5.62,2.989,593
2020-04-13T00:00:00.000Z,0.25,2.6,0.89,0.72,1.05,0.301,586
2020-04-14T00:00:00.000Z,0.38,1.85,0.94,0.69,1.12,0.288,574
2020-04-15T00:00:00.000Z,0.26,3.9,0.85,0.65,1.14,0.506,528
2020-04-16T00:00:00.000Z,0.26,3.56,0.67,0.53,0.87,0.411,528
2020-04-17T00:00:00.000Z,0.38,8.93,1,0.8,1.44,1.055,582
2020-04-18T00:00:00.000Z,0.42,5.05,1.14,0.85,1.52,0.894,583
2020-04-19T00:00:00.000Z,0.66,43.82,1.42,1.02,2.2,2.392,562
2020-04-20T00:00:00.000Z,0.7,3.33,1.1,0.92,2.04,0.684,504
2020-04-21T00:00:00.000Z,0.45,2.6,0.94,0.8,1.22,0.412,386
2020-04-22T00:00:00.000Z,0.68,2.04,1.03,0.9,1.19,0.236,424
2020-04-23T00:00:00.000Z,0.7,2.99,1.12,0.97,1.34,0.365,469
2020-04-24T00:00:00.000Z,0.3,1.87,0.62,0.5,0.91,0.275,533
2020-04-25T00:00:00.000Z,0.28,2.58,0.8,0.6,0.95,0.356,502
2020-04-26T00:00:00.000Z,0.23,3.07,1.14,0.85,1.46,0.636,550
2020-04-27T00:00:00.000Z,0.65,3.37,1.31,1.1,1.94,0.516,516
2020-04-28T00:00:00.000Z,0.72,4.84,1.4,1.1,1.79,0.506,407
2020-04-29T00:00:00.000Z,0.85,4.26,1.56,1.36,2.06,0.742,517
2020-04-30T00:00:00.000Z,1.32,36.72,2.65,2.15,3.64,2.874,532
2020-05-01T00:00:00.000Z,2.25,17.22,6.26,4.61,10.16,3.435,548
2020-05-02T00:00:00.000Z,0.5,10.37,1.87,1.05,4.59,2.483,531
2020-05-03T00:00:00.000Z,0.65,4.44,1.71,0.9,3.11,1.116,352
2020-05-04T00:00:00.000Z,0.72,1.6,1.08,0.95,1.18,0.177,213
2020-05-05T00:00:00.000Z,0.53,3.15,1.15,0.85,1.5,0.569,503
2020-05-06T00:00:00.000Z,0.65,4.15,1.19,1.03,1.37,0.542,598
2020-05-07T00:00:00.000Z,0.51,1.64,1.06,0.83,1.22,0.242,386
2020-05-08T00:00:00.000Z,1.14,5.6,2.95,2.42,3.5,0.979,355
2020-05-09T00:00:00.000Z,0.45,5.35,0.85,0.68,1.11,1.202,342
2020-05-10T00:00:00.000Z,0.15,9.91,3.02,2.22,5.84,2.399,251
2020-05-11T00:00:00.000Z,0.1,1.6,0.85,0.56,1,0.308,354
2020-05-12T00:00:00.000Z,0.35,4.58,0.86,0.65,1.05,0.341,482
2020-05-13T00:00:00.000Z,0.25,5.45,0.91,0.65,1.22,0.653,472
2020-05-14T00:00:00.000Z,0.5,2.04,1.09,0.89,1.35,0.322,462
2020-05-15T00:00:00.000Z,0.52,1.97,1.01,0.88,1.14,0.229,534
2020-05-16T00:00:00.000Z,0.48,6.95,0.85,0.75,1.2,0.937,339
2020-05-17T00:00:00.000Z,0.25,4.09,0.85,0.47,1.36,0.724,548
2020-05-18T00:00:00.000Z,0.22,3.18,0.85,0.45,1.32,0.627,467
2020-05-19T00:00:00.000Z,0.27,2.66,0.77,0.6,1.2,0.452,544
2020-05-20T00:00:00.000Z,0.5,4.8,1.21,0.8,1.76,0.836,555
2020-05-21T00:00:00.000Z,0.55,3.81,1.14,0.9,2.29,0.807,520
2020-05-22T00:00:00.000Z,0.88,2.99,1.68,1.4,2.35,0.522,550
2020-05-23T00:00:00.000Z,0.95,8.67,2.14,1.8,3.8,2.1,516
2020-05-24T00:00:00.000Z,1.7,12.5,3.13,2.67,4.9,2.164,542
2020-05-25T00:00:00.000Z,1.3,6.6,1.99,1.73,2.67,0.893,550
2020-05-26T00:00:00.000Z,0.93,3.6,1.7,1.5,2.23,0.598,506
2020-05-27T00:00:00.000Z,0.6,3.33,2,1.8,2.29,0.432,531
2020-05-28T00:00:00.000Z,0.37,45.23,1.07,0.83,1.4,2.048,552
2020-05-29T00:00:00.000Z,0.4,5.63,1,0.8,1.58,0.57,554
2020-05-30T00:00:00.000Z,0.1,4.07,0.7,0.53,0.87,0.703,573
2020-05-31T00:00:00.000Z,0.3,1.77,0.63,0.5,0.77,0.2,513
2020-06-01T00:00:00.000Z,0.4,1.7,1,0.8,1.2,0.259,490
2020-06-02T00:00:00.000Z,0.7,3.53,1.23,1.1,1.5,0.534,546
2020-06-03T00:00:00.000Z,0.9,5.09,1.67,1.4,2.57,1.047,464
2020-06-04T00:00:00.000Z,1.3,6,2.63,2.1,3.3,0.947,538
2020-06-05T00:00:00.000Z,1.9,8.98,4.09,3.7,4.92,1.168,461
