# Sensor Växjövägen, Halmstad, Sweden (Citizen Science project sensor.community/15071)
# https://aqicn.org/station/@61867/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.3,2.56,1.28,0.73,1.59,0.546,316
2019-12-10T00:00:00.000Z,0.44,2.5,1.25,0.82,1.75,0.5,414
2019-12-11T00:00:00.000Z,1.35,33.82,2.69,1.98,6.22,3.241,434
2019-12-12T00:00:00.000Z,0.48,9.76,3.66,1.1,7.25,2.985,499
2019-12-13T00:00:00.000Z,2.15,11.44,3.94,3.28,5.23,2.214,557
2019-12-14T00:00:00.000Z,0.45,10.34,5.38,3.08,7.98,2.788,402
2019-12-15T00:00:00.000Z,0.65,12.06,1.45,1.17,1.88,0.974,574
2019-12-16T00:00:00.000Z,1.18,3.9,1.99,1.7,2.47,0.618,290
2019-12-17T00:00:00.000Z,1.22,10.54,5.86,3.44,7.62,2.41,286
2019-12-18T00:00:00.000Z,0.48,3.72,1.4,1.11,1.72,0.663,465
2019-12-19T00:00:00.000Z,2.1,6,3.6,3.08,4.45,0.901,550
2019-12-20T00:00:00.000Z,4.29,14.7,9.72,8.94,10.77,1.758,583
2019-12-21T00:00:00.000Z,2.7,11.6,6.56,4.75,9.07,2.388,570
2019-12-22T00:00:00.000Z,1.7,8.6,3.16,2.69,3.55,1.274,581
2019-12-23T00:00:00.000Z,0.84,4.08,2.04,1.3,2.73,0.821,580
2019-12-24T00:00:00.000Z,1.03,4.01,2.2,1.82,2.75,0.651,586
2019-12-25T00:00:00.000Z,0.5,7.7,2,0.94,3.83,1.708,585
2019-12-26T00:00:00.000Z,0.45,3.26,1,0.74,1.27,0.359,582
2019-12-27T00:00:00.000Z,0.55,36.22,1.13,1.02,1.38,2.572,581
2019-12-28T00:00:00.000Z,1.25,11.54,2.27,1.68,3.42,1.405,584
2019-12-29T00:00:00.000Z,2.92,11.66,6.96,3.97,9.55,2.653,591
