# Sensor Lilla Åby, Slaka, Sweden (Citizen Science project sensor.community/20251)
# https://aqicn.org/station/@65707/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.26,11.21,1.05,0.54,1.51,0.828,313
2019-12-10T00:00:00.000Z,0.44,5.65,1.04,0.8,1.2,0.472,416
2019-12-11T00:00:00.000Z,0.35,64.72,1.75,1.17,2.45,4.896,426
2019-12-12T00:00:00.000Z,0.45,11.98,3.32,1.13,4.42,2.929,490
2019-12-13T00:00:00.000Z,0.63,11.35,7.43,4.05,8.61,2.866,552
2019-12-14T00:00:00.000Z,0.6,22.1,6.75,2.04,15.52,7.099,398
2019-12-15T00:00:00.000Z,0.3,10.14,2.23,1.38,4.75,2.522,571
2019-12-16T00:00:00.000Z,0.55,4.32,1.6,1.02,2.59,0.867,288
2019-12-17T00:00:00.000Z,1.2,7,3.87,2.96,4.66,1.352,283
2019-12-18T00:00:00.000Z,0.3,37.43,1.75,1.33,4.84,8.789,471
2019-12-19T00:00:00.000Z,0.82,7.82,2.73,1.28,5.38,2.087,551
2019-12-20T00:00:00.000Z,6,25.4,13.86,11.06,18.88,5.463,589
2019-12-21T00:00:00.000Z,6.42,26.22,16.52,8.56,20.3,5.834,571
2019-12-22T00:00:00.000Z,1.35,49.3,3.63,2.1,4.88,4.335,586
2019-12-23T00:00:00.000Z,1.3,4.04,2.12,1.82,2.52,0.483,583
2019-12-24T00:00:00.000Z,0.5,42.31,1.92,1.65,2.22,3.399,585
2019-12-25T00:00:00.000Z,0.65,5.8,2.25,1.45,3.06,0.893,587
2019-12-26T00:00:00.000Z,0.64,3.95,1.42,0.97,1.7,0.577,586
2019-12-27T00:00:00.000Z,0.38,2.95,1.64,1.35,2.04,0.568,589
2019-12-28T00:00:00.000Z,1.95,20.78,2.76,2.6,2.9,1.297,588
2019-12-29T00:00:00.000Z,2.75,18.96,9.83,6.31,14,4.358,586
2019-12-30T00:00:00.000Z,1.2,16.47,3.7,2.62,5.52,3.132,574
2019-12-31T00:00:00.000Z,0.22,2.29,0.5,0.35,1.12,0.555,573
2020-01-01T00:00:00.000Z,0.97,4.26,2.24,1.63,2.68,0.661,582
2020-01-02T00:00:00.000Z,3.65,28.15,11.3,8.66,18.39,7.306,572
2020-01-03T00:00:00.000Z,0.3,3.38,1.36,0.6,2.04,0.768,549
2020-01-04T00:00:00.000Z,0.3,2.6,0.7,0.57,0.92,0.296,557
2020-01-05T00:00:00.000Z,0.45,51.75,0.8,0.65,1.17,3.168,566
2020-01-06T00:00:00.000Z,0.3,20.3,1.04,0.65,1.68,1.208,518
2020-01-07T00:00:00.000Z,0.3,33.03,4.53,1.62,10.28,5.038,511
2020-01-08T00:00:00.000Z,0.46,4.09,2.58,1.82,3.2,0.944,507
2020-01-09T00:00:00.000Z,1.24,342.48,2.9,2.75,3.12,22.513,537
2020-01-10T00:00:00.000Z,0.45,10.42,2.68,2,3.28,2.128,421
2020-01-11T00:00:00.000Z,0.45,67.67,1.55,0.99,2.15,4.526,526
2020-01-12T00:00:00.000Z,0.15,2.95,1.74,0.35,2.15,0.913,566
2020-01-13T00:00:00.000Z,1.14,3.02,1.72,1.55,2.04,0.356,480
2020-01-14T00:00:00.000Z,0.5,7.16,2.73,2.35,4.13,1.594,442
2020-01-15T00:00:00.000Z,0.2,2.86,0.5,0.31,0.64,0.507,460
2020-01-16T00:00:00.000Z,0.68,3.73,2.7,2.38,2.95,0.533,471
2020-01-17T00:00:00.000Z,1.46,13.6,5.56,2.29,9.78,3.698,439
2020-01-18T00:00:00.000Z,0.28,85.55,1.4,0.6,12.42,8.363,507
2020-01-19T00:00:00.000Z,0.47,1.3,0.9,0.76,1,0.162,451
2020-01-20T00:00:00.000Z,0.9,4.22,2.43,1.87,2.74,0.664,357
2020-01-21T00:00:00.000Z,1.25,3.64,2.5,2.24,2.78,0.44,462
2020-01-22T00:00:00.000Z,1,1.56,1.24,1.07,1.28,0.145,14
2020-01-23T00:00:00.000Z,0.35,1.8,1.45,1.27,1.59,0.384,85
2020-01-24T00:00:00.000Z,0.5,2.16,1.4,1.1,1.64,0.385,267
2020-01-25T00:00:00.000Z,0.72,5.63,1.55,1.34,1.73,0.53,303
2020-01-26T00:00:00.000Z,0.35,6.22,1.14,0.7,2.08,1.385,309
2020-01-27T00:00:00.000Z,1.48,31.2,5.52,3.03,6.44,2.905,253
2020-01-28T00:00:00.000Z,1.8,14.54,5.99,4.65,7.46,2.162,268
2020-01-29T00:00:00.000Z,1.45,6.78,2.94,2.08,3.9,1.225,307
2020-01-30T00:00:00.000Z,0.55,97.82,1.18,0.94,1.61,6.283,293
2020-01-31T00:00:00.000Z,0.5,3.64,1.14,0.8,2.18,0.805,280
2020-02-01T00:00:00.000Z,0.2,3.98,1.25,0.65,2.16,0.801,325
2020-02-02T00:00:00.000Z,0.2,0.85,0.42,0.35,0.51,0.124,318
2020-02-03T00:00:00.000Z,0.45,7.25,0.76,0.62,1.05,0.699,313
2020-02-04T00:00:00.000Z,0.56,2,1.05,0.82,1.31,0.294,260
2020-02-05T00:00:00.000Z,0.45,2.37,0.81,0.65,1.75,0.576,228
2020-02-06T00:00:00.000Z,0.43,2.29,1.3,1.02,1.52,0.377,232
2020-02-07T00:00:00.000Z,0.7,298.13,1.18,1.05,1.84,20.15,216
2020-02-08T00:00:00.000Z,0.75,35.47,2.97,2.2,8.3,4.847,195
2020-02-09T00:00:00.000Z,0.6,14.57,5.04,1.6,6.98,3.569,362
2020-02-10T00:00:00.000Z,0.53,3.01,1.86,1.45,2.31,0.561,361
2020-02-11T00:00:00.000Z,0.47,2.83,1.45,1.15,1.76,0.489,361
2020-02-12T00:00:00.000Z,0.38,3.73,1.06,0.85,2.12,0.831,381
2020-02-13T00:00:00.000Z,0.7,1.94,1.05,1,1.17,0.168,380
2020-02-14T00:00:00.000Z,0.9,35.97,1.37,1.14,1.66,3.231,384
2020-02-15T00:00:00.000Z,0.94,17.87,2.91,1.55,4.08,2.07,322
2020-02-16T00:00:00.000Z,0.23,32.72,0.65,0.43,0.97,2.519,378
2020-02-17T00:00:00.000Z,0.25,3.58,1.6,1.12,2.22,0.802,345
2020-02-18T00:00:00.000Z,1.1,4.15,1.88,1.51,2.35,0.501,308
2020-02-19T00:00:00.000Z,0.5,1.9,1.2,0.94,1.4,0.292,447
2020-02-20T00:00:00.000Z,0.5,3.2,1.2,0.94,1.53,0.472,496
2020-02-21T00:00:00.000Z,0.3,3.35,2.04,1.48,2.69,0.843,416
2020-02-22T00:00:00.000Z,0.2,4.2,0.35,0.3,0.94,0.873,277
2020-02-23T00:00:00.000Z,0.72,4.38,2.78,2.46,3.23,0.698,443
2020-02-24T00:00:00.000Z,0.45,6.2,0.85,0.73,1,0.437,522
2020-02-25T00:00:00.000Z,0.66,3.37,1.28,1.12,1.5,0.458,449
2020-02-26T00:00:00.000Z,0.4,2.1,0.65,0.55,0.7,0.176,381
2020-02-27T00:00:00.000Z,0.47,1.8,0.92,0.8,1.2,0.264,550
2020-02-28T00:00:00.000Z,0.72,11.12,2.75,1.5,3.74,1.399,562
2020-02-29T00:00:00.000Z,1.64,8.36,3.56,2.38,5.85,1.876,573
2020-03-01T00:00:00.000Z,0.68,12.56,1.72,1.3,2.04,1.224,572
2020-03-02T00:00:00.000Z,0.4,3.2,1.75,1.35,2.2,0.61,467
2020-03-03T00:00:00.000Z,2.18,14.07,7.9,6.3,9.98,2.572,422
2020-03-04T00:00:00.000Z,0.23,8.97,1.2,0.52,2.09,2.323,584
2020-03-05T00:00:00.000Z,0.34,2.1,0.94,0.55,1.31,0.431,585
2020-03-06T00:00:00.000Z,0.36,7.38,1.23,0.8,1.76,1.197,589
2020-03-07T00:00:00.000Z,6.34,16.64,12.15,10.74,12.88,1.669,591
2020-03-08T00:00:00.000Z,2.5,11.27,6.95,6.04,8.77,1.986,580
2020-03-09T00:00:00.000Z,1.1,6.25,2.16,1.62,2.64,0.895,586
2020-03-10T00:00:00.000Z,0.74,45.2,2.7,2.08,3.45,3.8,584
2020-03-11T00:00:00.000Z,0.35,3.62,2.13,1.25,2.64,0.812,583
2020-03-12T00:00:00.000Z,0.2,2.84,1.18,0.64,1.6,0.623,493
2020-03-13T00:00:00.000Z,0.28,2.8,0.56,0.45,1.78,0.718,515
2020-03-14T00:00:00.000Z,0.3,2.18,0.5,0.45,0.59,0.161,536
2020-03-15T00:00:00.000Z,1.8,9.44,2.94,2.49,4.11,1.004,289
2020-03-16T00:00:00.000Z,0.28,3.75,1,0.55,2.13,0.888,579
2020-03-17T00:00:00.000Z,1,4.13,2.06,1.4,2.45,0.724,584
2020-03-18T00:00:00.000Z,0.3,3.25,1.4,0.6,2.4,0.906,494
2020-03-19T00:00:00.000Z,0.82,2.7,1.46,1.22,2.02,0.462,552
2020-03-20T00:00:00.000Z,0.45,3.1,1,0.8,1.27,0.375,471
2020-03-21T00:00:00.000Z,0.4,2.27,0.7,0.6,0.85,0.294,481
2020-03-22T00:00:00.000Z,0.4,12.02,0.75,0.64,0.95,1.235,451
2020-03-23T00:00:00.000Z,0.5,2.6,0.99,0.75,1.27,0.441,441
2020-03-24T00:00:00.000Z,1.13,6.66,2.24,1.53,2.54,0.623,457
2020-03-25T00:00:00.000Z,2.33,6.24,3.55,2.83,4.93,1.184,418
2020-03-26T00:00:00.000Z,3.45,7.85,4.83,4.4,5.26,0.93,425
2020-03-27T00:00:00.000Z,4.28,12.3,5.97,5.19,6.86,1.227,368
2020-03-28T00:00:00.000Z,0.5,6.36,1.17,0.81,3.52,1.604,172
2020-03-29T00:00:00.000Z,0.4,1.27,0.57,0.5,0.67,0.153,321
2020-03-30T00:00:00.000Z,0.3,0.7,0.5,0.45,0.55,0.074,143
2020-03-31T00:00:00.000Z,0.45,5.68,0.9,0.68,1.2,0.471,306
2020-04-01T00:00:00.000Z,0.5,2.72,1.45,0.86,1.97,0.593,177
2020-04-02T00:00:00.000Z,0.77,9.03,2.27,1.7,2.82,0.826,402
2020-04-03T00:00:00.000Z,0.3,2.6,0.5,0.45,0.6,0.227,429
2020-04-04T00:00:00.000Z,0.4,1.48,0.8,0.65,0.95,0.198,491
2020-04-05T00:00:00.000Z,0.7,5.5,2.49,1.86,3.53,1.222,535
2020-04-06T00:00:00.000Z,1.63,5.95,3.12,2.64,3.96,0.966,502
2020-04-07T00:00:00.000Z,0.95,13.8,3.18,1.9,7.37,3.514,440
2020-04-08T00:00:00.000Z,1.62,4.16,2.22,2,2.57,0.415,447
2020-04-09T00:00:00.000Z,0.3,3.72,0.66,0.5,1.27,0.89,438
2020-04-10T00:00:00.000Z,0.22,1.35,0.53,0.43,0.75,0.208,496
2020-04-11T00:00:00.000Z,0.8,5.37,1.68,1.19,3.37,1.355,153
2020-04-12T00:00:00.000Z,0.45,12.42,3.08,1.9,6.54,3.225,590
2020-04-13T00:00:00.000Z,0.3,1.06,0.6,0.5,0.7,0.148,582
2020-04-14T00:00:00.000Z,0.35,1.35,0.75,0.63,0.86,0.191,573
2020-04-15T00:00:00.000Z,0.3,3.93,1.65,1.1,2,0.584,523
2020-04-16T00:00:00.000Z,0.25,2.57,0.5,0.44,1.11,0.64,521
2020-04-17T00:00:00.000Z,0.35,4.46,0.68,0.6,0.76,0.322,578
2020-04-18T00:00:00.000Z,0.4,1.1,0.66,0.57,0.75,0.118,588
2020-04-19T00:00:00.000Z,0.35,1.14,0.65,0.5,0.8,0.184,570
2020-04-20T00:00:00.000Z,0.45,1.72,0.76,0.64,0.9,0.216,514
2020-04-21T00:00:00.000Z,0.4,1.49,0.78,0.6,0.95,0.214,384
2020-04-22T00:00:00.000Z,0.6,2.25,1.1,0.85,1.36,0.325,429
2020-04-23T00:00:00.000Z,0.5,4.22,0.97,0.8,1.1,0.322,476
2020-04-24T00:00:00.000Z,0.3,1.4,0.56,0.45,0.85,0.265,547
2020-04-25T00:00:00.000Z,0.25,1.2,0.4,0.36,0.49,0.104,511
2020-04-26T00:00:00.000Z,0.3,1.12,0.52,0.44,0.6,0.121,562
2020-04-27T00:00:00.000Z,0.45,7.9,1.54,1.06,5.31,2.262,543
2020-04-28T00:00:00.000Z,0.2,2.5,0.95,0.55,1.32,0.618,419
2020-04-29T00:00:00.000Z,0.57,1.84,0.89,0.77,1.14,0.278,526
2020-04-30T00:00:00.000Z,1.1,5.57,1.92,1.65,2.68,1.06,546
2020-05-01T00:00:00.000Z,1.6,13.45,6.44,4.92,8.32,2.539,555
2020-05-02T00:00:00.000Z,0.66,3.86,1.5,1.03,2.48,0.93,546
2020-05-03T00:00:00.000Z,0.45,2.62,1.2,1,1.53,0.435,577
2020-05-04T00:00:00.000Z,0.45,3.14,0.88,0.74,1.3,0.665,539
2020-05-05T00:00:00.000Z,0.45,4.28,0.83,0.7,1,0.379,502
2020-05-06T00:00:00.000Z,0.55,2.22,1.27,1.03,1.4,0.328,594
2020-05-07T00:00:00.000Z,0.62,1.2,0.9,0.8,0.97,0.118,390
2020-05-08T00:00:00.000Z,0.85,4.72,2.72,2.42,3.13,0.823,352
2020-05-09T00:00:00.000Z,1.05,5.75,3.32,2.16,4.62,1.38,339
2020-05-10T00:00:00.000Z,0.45,8.44,2.49,1.8,2.9,1.463,248
2020-05-11T00:00:00.000Z,0.3,2.37,0.55,0.45,0.7,0.245,356
2020-05-12T00:00:00.000Z,0.4,1.3,0.62,0.55,0.7,0.137,475
2020-05-13T00:00:00.000Z,0.3,1.96,0.62,0.55,0.7,0.248,468
2020-05-14T00:00:00.000Z,0.45,5.36,0.74,0.65,0.82,0.364,453
2020-05-15T00:00:00.000Z,0.4,2.82,0.86,0.64,1.7,0.651,534
2020-05-16T00:00:00.000Z,0.56,2.43,1.21,0.88,1.66,0.483,335
2020-05-17T00:00:00.000Z,0.3,2.99,0.6,0.46,1.44,0.732,542
2020-05-18T00:00:00.000Z,0.2,2.5,0.38,0.3,0.57,0.524,465
2020-05-19T00:00:00.000Z,0.35,1.38,0.68,0.53,0.89,0.22,547
2020-05-20T00:00:00.000Z,0.3,0.95,0.5,0.43,0.65,0.146,563
2020-05-21T00:00:00.000Z,0.45,6.35,0.65,0.6,0.72,0.411,521
2020-05-22T00:00:00.000Z,0.7,1.85,0.9,0.85,1,0.14,555
2020-05-23T00:00:00.000Z,0.7,3.2,1.73,1.37,2.17,0.552,496
2020-05-24T00:00:00.000Z,0.4,190.4,1.5,1.1,2.29,11.232,546
2020-05-25T00:00:00.000Z,0.9,3.4,1.5,1.3,2.13,0.615,547
2020-05-26T00:00:00.000Z,0.7,2.1,1.3,1.05,1.5,0.304,504
2020-05-27T00:00:00.000Z,0.4,4.3,2.13,1.03,3,1.02,533
2020-05-28T00:00:00.000Z,0.3,42,0.7,0.6,1.1,1.851,551
2020-05-29T00:00:00.000Z,0.3,1.57,0.7,0.6,0.87,0.202,553
2020-05-30T00:00:00.000Z,0.3,1.3,0.6,0.5,0.7,0.158,564
2020-05-31T00:00:00.000Z,0.3,1.4,0.5,0.4,0.52,0.112,500
2020-06-01T00:00:00.000Z,0.4,1.27,0.7,0.6,0.8,0.167,497
2020-06-02T00:00:00.000Z,0.8,1.98,1.2,1.1,1.33,0.195,540
2020-06-03T00:00:00.000Z,0.5,2.4,1,0.8,1.5,0.448,458
2020-06-04T00:00:00.000Z,0.8,5.2,1.7,1.3,2.2,0.861,540
2020-06-05T00:00:00.000Z,0.5,7.4,2.1,1.17,4.4,2.023,446
2020-06-06T00:00:00.000Z,0.3,214.43,1,0.7,1.42,11.553,493
2020-06-07T00:00:00.000Z,0.5,2,1,0.8,1.3,0.296,551
2020-06-08T00:00:00.000Z,0.65,1.8,1.03,0.9,1.2,0.188,546
2020-06-09T00:00:00.000Z,0.6,2.9,1.3,1,1.5,0.353,498
2020-06-10T00:00:00.000Z,0.4,22.48,0.82,0.7,0.95,0.961,543
2020-06-11T00:00:00.000Z,0.4,1.43,0.6,0.56,0.7,0.14,571
2020-06-12T00:00:00.000Z,0.7,2.52,1.4,1.2,1.6,0.31,543
2020-06-13T00:00:00.000Z,0.8,3.97,1.87,1.5,2.12,0.452,552
2020-06-14T00:00:00.000Z,0.7,2.1,1.2,1,1.4,0.277,344
2020-06-15T00:00:00.000Z,1.05,2.93,1.48,1.33,1.6,0.285,569
2020-06-16T00:00:00.000Z,0.77,3.3,1.9,1.52,2.29,0.553,573
2020-06-17T00:00:00.000Z,1.37,4.8,2.4,2,3.1,0.742,545
2020-06-18T00:00:00.000Z,1.4,4.03,2.27,1.9,2.57,0.514,501
2020-06-19T00:00:00.000Z,0.8,4.33,1.7,1.23,2.4,0.773,490
2020-06-20T00:00:00.000Z,1.3,10.47,4.2,3.5,6.35,2.05,586
