# Sensor Fruängsgatan, Nyköping, Sweden (Citizen Science project sensor.community/34984)
# https://aqicn.org/station/@76915/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.05,29.3,1.06,0.68,1.31,1.694,313
2019-12-10T00:00:00.000Z,0.38,5.58,0.86,0.6,1.57,0.988,405
2019-12-11T00:00:00.000Z,0.4,8.15,1.56,1.1,1.86,0.777,416
2019-12-12T00:00:00.000Z,0.1,27.96,13.68,0.64,22.38,10.303,486
2019-12-13T00:00:00.000Z,1.78,21.06,7.25,5.38,9.1,4.428,555
2019-12-14T00:00:00.000Z,0.97,43.3,7.98,5.28,13.82,6.238,400
2019-12-15T00:00:00.000Z,0.36,10.39,2,1.5,3.2,2.544,358
2019-12-16T00:00:00.000Z,1.58,3.15,1.82,1.67,2,0.377,20
2019-12-17T00:00:00.000Z,1.52,12.02,4.63,3,6.57,2.142,286
2019-12-18T00:00:00.000Z,0.05,23.88,1.19,0.82,14.22,8.383,464
2019-12-19T00:00:00.000Z,0.7,16.62,5.01,3.25,6.94,3.03,547
2019-12-20T00:00:00.000Z,9.38,38.09,18.8,15.22,26.46,7.985,574
2019-12-21T00:00:00.000Z,9.05,39.4,28.88,17.59,33.03,8.955,557
2019-12-22T00:00:00.000Z,4.38,12.66,8.53,7.3,9.43,1.905,328
2019-12-23T00:00:00.000Z,3.6,5.79,4.47,4.19,4.69,0.475,41
2019-12-24T00:00:00.000Z,1.2,33.26,4.66,4.05,6.1,4.216,473
2019-12-28T00:00:00.000Z,1.88,7.66,3.38,2.78,4.21,0.945,313
2019-12-29T00:00:00.000Z,1.74,30.14,7.68,3.4,12.59,5.781,579
2019-12-30T00:00:00.000Z,0.9,21.19,4.38,2.68,8.14,4.147,578
2019-12-31T00:00:00.000Z,0.06,5.01,0.56,0.32,0.82,0.508,548
2020-01-01T00:00:00.000Z,0.78,7.12,1.82,1.49,2.74,0.875,493
2020-01-02T00:00:00.000Z,2.48,26.02,10.92,8.11,15.28,6.36,375
2020-01-03T00:00:00.000Z,0.22,7.12,1.12,0.52,1.96,1.041,531
2020-01-04T00:00:00.000Z,0.2,2.54,0.68,0.52,0.88,0.436,552
2020-01-05T00:00:00.000Z,0.44,6.3,0.96,0.74,1.29,0.807,557
2020-01-06T00:00:00.000Z,0.35,3.75,1.52,1.12,1.85,0.576,517
2020-01-07T00:00:00.000Z,0.12,11.74,2.16,0.56,6.65,3.421,507
2020-01-08T00:00:00.000Z,0.39,4.82,2.4,1.61,3.06,0.947,495
