# Sensor Ånestad, Johannelund, Sweden (Citizen Science project sensor.community/35606)
# https://aqicn.org/station/@77446/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.25,2.96,1.24,0.55,1.78,0.659,317
2019-12-10T00:00:00.000Z,0.6,4.5,1.38,1.13,1.7,0.654,410
2019-12-11T00:00:00.000Z,0.2,4.28,1.89,1.32,2.78,0.996,433
2019-12-12T00:00:00.000Z,0.68,31.08,5.56,1.58,9.69,8.766,486
2019-12-13T00:00:00.000Z,0.94,59.4,12.46,5.78,14.36,6.058,549
2019-12-14T00:00:00.000Z,0.75,32.54,11.57,3.26,25.66,10.947,402
2019-12-15T00:00:00.000Z,0.35,15.27,3.2,2.25,7.41,4.115,571
2019-12-16T00:00:00.000Z,0.7,4.76,2.59,1.8,3.56,1.058,287
2019-12-17T00:00:00.000Z,1.76,13.72,5.85,4.91,7.08,2.282,286
2019-12-18T00:00:00.000Z,0.12,52.52,2.77,1.4,5.15,12.323,468
2019-12-19T00:00:00.000Z,1.52,12.71,3.38,2.76,6.75,2.74,554
2019-12-20T00:00:00.000Z,10.58,52.72,28.2,13.97,42.62,13.133,567
2019-12-21T00:00:00.000Z,10.34,51.62,26.33,14.43,40.96,12.923,572
2019-12-22T00:00:00.000Z,1.35,13.59,3.74,2.65,8.33,3.368,582
2019-12-23T00:00:00.000Z,1.32,11.92,3.89,3.05,5.76,2.417,583
2019-12-24T00:00:00.000Z,0.55,13.5,4.88,3.39,5.63,2.458,581
2019-12-25T00:00:00.000Z,0.81,21.28,4.71,3.68,6.47,2.472,586
2019-12-26T00:00:00.000Z,0.56,4.36,1.8,1.25,2.29,0.707,582
2019-12-27T00:00:00.000Z,0.5,15.08,2.31,1.91,3.46,1.869,583
2019-12-28T00:00:00.000Z,2.48,10.02,4.18,3.9,4.38,0.66,581
2019-12-29T00:00:00.000Z,3.5,23.48,12.98,8.69,16.8,5.078,582
2019-12-30T00:00:00.000Z,1.54,20.48,4.51,3.36,7.13,3.879,573
2019-12-31T00:00:00.000Z,0.1,21.75,1,0.43,2.04,1.895,568
2020-01-01T00:00:00.000Z,1.33,5.89,2.89,2.15,3.79,0.952,575
2020-01-02T00:00:00.000Z,4.58,36.04,14,10.53,23.83,9.785,566
2020-01-03T00:00:00.000Z,0.2,4.7,1.42,0.56,2.82,1.144,544
2020-01-04T00:00:00.000Z,0.3,6.72,0.98,0.73,1.35,0.647,553
2020-01-05T00:00:00.000Z,0.61,4.42,1.05,0.85,1.64,0.641,563
2020-01-06T00:00:00.000Z,0.25,4.04,1.55,0.75,2.46,0.985,520
2020-01-07T00:00:00.000Z,0.25,15.27,5.04,1.84,11.68,5.16,516
2020-01-08T00:00:00.000Z,0.45,4.97,2.87,2.09,4.28,1.388,505
2020-01-09T00:00:00.000Z,1.96,6.02,4.3,4.09,4.54,0.463,524
